,Close,Date,High,Low,Open,Volume
0,19.54,"Mar 14, 2023",19.54,19.36,19.47,"129,300"
1,,"Mar 13, 2023",,,,
2,19.47,"Mar 10, 2023",19.68,19.43,19.55,"100,400"
3,19.54,"Mar 09, 2023",19.81,19.52,19.67,"79,500"
4,19.80,"Mar 08, 2023",19.90,19.71,19.78,"129,800"
5,19.73,"Mar 07, 2023",20.13,19.70,20.13,"378,600"
6,20.16,"Mar 06, 2023",20.24,20.12,20.18,"119,200"
7,20.06,"Mar 03, 2023",20.11,19.89,19.91,"135,600"
8,19.55,"Mar 02, 2023",19.60,19.31,19.33,"176,800"
9,19.52,"Mar 01, 2023",19.67,19.45,19.62,"176,900"
10,19.19,"Feb 28, 2023",19.34,19.15,19.31,"83,200"
11,19.26,"Feb 27, 2023",19.27,19.17,19.20,"52,400"
12,19.0,"Feb 24, 2023",19.17,18.94,19.17,"104,900"
13,19.8,"Feb 23, 2023",19.8,19.54,19.72,"391,300"
14,19.58,"Feb 22, 2023",19.73,19.52,19.63,"121,700"
15,19.66,"Feb 21, 2023",19.92,19.65,19.78,"442,200"
16,19.98,"Feb 17, 2023",20.02,19.77,19.89,"118,000"
17,19.84,"Feb 16, 2023",19.84,19.1,19.12,"428,200"
18,19.38,"Feb 15, 2023",19.38,19.15,19.18,"70,200"
19,19.21,"Feb 14, 2023",19.37,19.06,19.11,"405,200"
20,19.15,"Feb 13, 2023",19.17,19.06,19.11,"116,600"
21,19.24,"Feb 10, 2023",19.24,19.07,19.16,"144,400"
22,19.42,"Feb 09, 2023",19.65,19.38,19.58,"139,000"
23,19.28,"Feb 08, 2023",19.4,19.14,19.37,"1,072,100"
24,19.41,"Feb 07, 2023",19.41,19.08,19.22,"133,100"
25,19.24,"Feb 06, 2023",19.26,19.1,19.25,"841,400"
26,19.33,"Feb 03, 2023",19.58,19.31,19.44,"371,900"
27,19.64,"Feb 02, 2023",19.87,19.54,19.60,"855,000"
28,19.23,"Feb 01, 2023",19.32,18.81,18.82,"331,500"
29,18.54,"Jan 31, 2023",18.54,18.32,18.36,"70,400"
30,18.29,"Jan 30, 2023",18.43,18.23,18.40,"212,100"
31,18.72,"Jan 27, 2023",18.77,18.58,18.58,"107,200"
32,18.6,"Jan 26, 2023",18.61,18.47,18.54,"113,100"
33,18.5,"Jan 25, 2023",18.5,18.27,18.31,"89,800"
34,18.42,"Jan 24, 2023",18.45,18.15,18.20,"454,800"
35,18.29,"Jan 23, 2023",18.31,18.06,18.06,"292,800"
36,17.96,"Jan 20, 2023",17.96,17.67,17.72,"126,400"
37,17.83,"Jan 19, 2023",17.85,17.64,17.79,"192,200"
38,18.09,"Jan 18, 2023",18.36,18.05,18.36,"73,900"
39,18.1,"Jan 17, 2023",18.33,18.04,18.14,"76,600"
40,18.21,"Jan 13, 2023",18.21,18.06,18.12,"73,800"
41,18.68,"Jan 12, 2023",18.75,18.37,18.54,"78,300"
42,18.34,"Jan 11, 2023",18.37,18.25,18.33,"95,000"
43,18.23,"Jan 10, 2023",18.23,18.05,18.14,"178,800"
44,17.9,"Jan 09, 2023",18.11,17.9,18.01,"130,100"
45,17.72,"Jan 06, 2023",17.75,17.17,17.24,"250,900"
46,17.46,"Jan 05, 2023",17.53,17.4,17.46,"66,300"
47,17.44,"Jan 04, 2023",17.5,17.35,17.38,"157,400"
48,16.88,"Jan 03, 2023",17.11,16.8,17.01,"202,900"
49,16.35,"Dec 30, 2022",16.46,16.23,16.46,"120,700"
50,16.46,"Dec 29, 2022",16.55,16.36,16.36,"72,700"
51,16.19,"Dec 28, 2022",16.38,16.15,16.31,"199,500"
52,16.41,"Dec 27, 2022",16.46,16.34,16.35,"98,600"
53,16.24,"Dec 23, 2022",16.32,16.12,16.17,"86,100"
54,16.15,"Dec 22, 2022",16.28,16.0,16.28,"107,800"
55,16.57,"Dec 21, 2022",16.65,16.48,16.51,"80,000"
56,16.4,"Dec 20, 2022",16.5,16.35,16.41,"102,200"
57,16.51,"Dec 19, 2022",16.68,16.45,16.61,"123,300"
58,16.43,"Dec 16, 2022",16.53,16.31,16.46,"245,400"
59,16.46,"Dec 15, 2022",16.89,16.41,16.88,"200,100"
60,17.08,"Dec 14, 2022",17.24,16.96,17.09,"76,300"
61,17.06,"Dec 13, 2022",17.45,16.97,17.45,"118,900"
62,16.91,"Dec 12, 2022",16.94,16.78,16.92,"88,400"
63,16.95,"Dec 09, 2022",17.06,16.9,16.92,"173,000"
64,16.64,"Dec 08, 2022",16.69,16.43,16.52,"134,600"
65,16.58,"Dec 07, 2022",16.75,16.53,16.67,"83,600"
66,16.58,"Dec 06, 2022",16.91,16.51,16.85,"192,600"
67,16.78,"Dec 05, 2022",16.95,16.72,16.92,"272,000"
68,16.9,"Dec 02, 2022",16.93,16.73,16.73,"302,700"
69,16.86,"Dec 01, 2022",16.92,16.7,16.87,"308,400"
70,16.93,"Nov 30, 2022",16.98,16.48,16.72,"294,000"
71,16.17,"Nov 29, 2022",16.2,16.06,16.06,"119,900"
72,15.83,"Nov 28, 2022",16.08,15.79,16.00,"261,200"
73,16.17,"Nov 25, 2022",16.21,16.11,16.13,"35,800"
74,16.13,"Nov 23, 2022",16.13,15.87,15.87,"99,500"
75,16.06,"Nov 22, 2022",16.06,15.89,15.92,"120,400"
76,15.86,"Nov 21, 2022",15.93,15.79,15.88,"69,900"
77,16.01,"Nov 18, 2022",16.07,15.86,15.97,"111,700"
78,15.67,"Nov 17, 2022",15.68,15.41,15.41,"179,800"
79,15.91,"Nov 16, 2022",16.01,15.81,15.97,"241,900"
80,16.67,"Nov 15, 2022",16.93,16.37,16.89,"356,800"
81,16.64,"Nov 14, 2022",16.81,16.64,16.72,"175,700"
82,16.89,"Nov 11, 2022",16.9,16.49,16.55,"136,800"
83,16.16,"Nov 10, 2022",16.16,15.65,15.66,"194,100"
84,14.87,"Nov 09, 2022",15.14,14.82,14.95,"155,500"
85,15.2,"Nov 08, 2022",15.28,15.04,15.10,"190,000"
86,14.99,"Nov 07, 2022",15.03,14.78,14.87,"151,800"
87,14.85,"Nov 04, 2022",14.87,14.39,14.51,"281,500"
88,13.82,"Nov 03, 2022",13.96,13.81,13.85,"229,800"
89,14.09,"Nov 02, 2022",14.55,14.08,14.39,"201,400"
90,14.58,"Nov 01, 2022",14.75,14.41,14.75,"239,800"
91,14.42,"Oct 31, 2022",14.49,14.31,14.36,"395,200"
92,14.56,"Oct 28, 2022",14.57,14.39,14.46,"307,300"
93,14.57,"Oct 27, 2022",14.79,14.56,14.66,"451,700"
94,14.77,"Oct 26, 2022",14.84,14.46,14.49,"922,000"
95,14.69,"Oct 25, 2022",14.73,14.26,14.26,"853,300"
96,14.43,"Oct 24, 2022",14.49,14.23,14.23,"295,500"
97,14.16,"Oct 21, 2022",14.19,13.78,13.83,"178,900"
98,13.86,"Oct 20, 2022",14.22,13.76,14.02,"173,600"
99,13.98,"Oct 19, 2022",14.08,13.9,13.96,"234,000"
100,14.11,"Oct 18, 2022",14.23,13.97,14.20,"316,600"
101,13.57,"Oct 17, 2022",13.6,13.37,13.38,"184,600"
102,13.03,"Oct 14, 2022",13.31,12.99,13.27,"235,500"
103,13.2,"Oct 13, 2022",13.28,12.5,12.53,"272,400"
104,12.73,"Oct 12, 2022",12.81,12.51,12.69,"113,200"
105,12.66,"Oct 11, 2022",12.93,12.57,12.71,"342,700"
106,12.62,"Oct 10, 2022",12.84,12.5,12.80,"200,300"
107,12.74,"Oct 07, 2022",12.95,12.64,12.86,"159,200"
108,13.12,"Oct 06, 2022",13.21,13.06,13.09,"116,700"
109,13.14,"Oct 05, 2022",13.27,12.84,12.93,"146,200"
110,13.68,"Oct 04, 2022",13.7,13.32,13.32,"542,600"
111,12.97,"Oct 03, 2022",13.08,12.71,12.77,"229,600"
112,12.59,"Sep 30, 2022",12.84,12.42,12.46,"398,800"
113,12.84,"Sep 29, 2022",12.88,12.55,12.79,"506,600"
114,13.35,"Sep 28, 2022",13.39,12.92,12.97,"252,400"
115,12.98,"Sep 27, 2022",13.27,12.84,13.24,"752,400"
116,13.18,"Sep 26, 2022",13.41,13.03,13.21,"303,500"
117,13.02,"Sep 23, 2022",13.23,12.93,13.23,"219,300"
118,13.87,"Sep 22, 2022",13.92,13.72,13.90,"84,000"
119,13.84,"Sep 21, 2022",14.31,13.84,14.09,"81,100"
120,14.09,"Sep 20, 2022",14.34,13.95,14.34,"175,000"
121,14.51,"Sep 19, 2022",14.51,14.06,14.06,"72,600"
122,14.32,"Sep 16, 2022",14.32,14.0,14.01,"107,900"
123,14.32,"Sep 15, 2022",14.45,14.21,14.21,"145,100"
124,14.47,"Sep 14, 2022",14.47,14.16,14.34,"306,700"
125,14.35,"Sep 13, 2022",14.79,14.32,14.62,"284,900"
126,14.91,"Sep 12, 2022",14.99,14.75,14.80,"251,300"
127,14.18,"Sep 09, 2022",14.18,14.01,14.04,"212,600"
128,13.67,"Sep 08, 2022",13.75,13.41,13.50,"249,400"
129,14.08,"Sep 07, 2022",14.08,13.7,13.78,"366,000"
130,13.59,"Sep 06, 2022",13.68,13.42,13.61,"311,400"
131,13.83,"Sep 02, 2022",14.42,13.75,14.27,"204,400"
132,13.78,"Sep 01, 2022",13.86,13.6,13.79,"361,600"
133,14.04,"Aug 31, 2022",14.24,14.01,14.17,"171,800"
134,14.13,"Aug 30, 2022",14.35,14.1,14.33,"345,200"
135,14.05,"Aug 29, 2022",14.12,13.8,13.86,"329,200"
136,13.56,"Aug 26, 2022",14.2,13.56,14.17,"192,900"
137,14.12,"Aug 25, 2022",14.14,13.8,13.83,"232,900"
138,13.86,"Aug 24, 2022",13.97,13.75,13.80,"293,200"
139,14.07,"Aug 23, 2022",14.21,13.94,13.96,"426,000"
140,13.84,"Aug 22, 2022",13.94,13.75,13.93,"507,100"
141,14.55,"Aug 19, 2022",14.75,14.5,14.73,"131,800"
