,Close,Date,High,Low,Open,Volume
0,262.90,"Mar 14, 2023",263.79,260.58,262.56,"419,800"
1,,"Mar 13, 2023",,,,
2,261.23,"Mar 10, 2023",265.77,259.35,265.77,"476,400"
3,264.68,"Mar 09, 2023",268.77,263.13,268.15,"242,300"
4,269.66,"Mar 08, 2023",270.76,267.33,268.57,"165,000"
5,268.67,"Mar 07, 2023",274.08,268.14,273.54,"269,500"
6,270.36,"Mar 06, 2023",273.84,269.93,273.50,"752,100"
7,271.45,"Mar 03, 2023",273.14,270.54,271.90,"494,700"
8,264.58,"Mar 02, 2023",265.05,261.50,262.32,"203,500"
9,262.72,"Mar 01, 2023",265.80,262.14,265.70,"203,300"
10,260.37,"Feb 28, 2023",262.09,258.89,259.72,"351,700"
11,261.36,"Feb 27, 2023",262.60,260.52,260.88,"195,600"
12,259.11,"Feb 24, 2023",260.02,257.08,257.70,"246,200"
13,262.15,"Feb 23, 2023",264.62,261.26,263.96,"258,000"
14,260.6,"Feb 22, 2023",262.29,259.57,261.81,"286,900"
15,262.8,"Feb 21, 2023",263.62,261.78,263.04,"331,800"
16,266.88,"Feb 17, 2023",267.59,264.36,264.89,"251,800"
17,265.88,"Feb 16, 2023",268.7,264.14,265.31,"217,500"
18,267.23,"Feb 15, 2023",267.3,263.99,263.99,"282,600"
19,265.61,"Feb 14, 2023",266.2,260.98,261.25,"198,100"
20,263.44,"Feb 13, 2023",264.9,261.16,261.61,"232,000"
21,259.68,"Feb 10, 2023",260.13,256.92,258.30,"564,700"
22,266.31,"Feb 09, 2023",270.12,265.07,269.58,"306,600"
23,266.56,"Feb 08, 2023",267.84,265.15,266.46,"445,200"
24,266.91,"Feb 07, 2023",267.25,262.28,262.51,"464,800"
25,261.31,"Feb 06, 2023",263.01,258.96,260.40,"395,300"
26,260.04,"Feb 03, 2023",264.0,259.7,260.45,"776,300"
27,265.48,"Feb 02, 2023",270.35,262.61,265.20,"1,191,400"
28,253.32,"Feb 01, 2023",256.46,249.23,249.81,"786,100"
29,251.31,"Jan 31, 2023",251.59,246.51,246.60,"708,600"
