,Close,Date,High,Low,Open,Volume
0,136.67,"Mar 14, 2023",136.76,135.56,136.41,"221,600"
1,,"Mar 13, 2023",,,,
2,137.97,"Mar 10, 2023",139.34,137.45,139.20,"343,600"
3,138.52,"Mar 09, 2023",140.68,138.26,140.18,"166,000"
4,139.71,"Mar 08, 2023",139.85,138.98,139.49,"138,800"
5,139.08,"Mar 07, 2023",141.39,138.75,141.28,"152,600"
6,140.13,"Mar 06, 2023",140.64,139.96,140.11,"175,500"
7,139.83,"Mar 03, 2023",139.92,138.40,138.57,"244,700"
8,137.27,"Mar 02, 2023",137.34,136.08,136.12,"145,100"
9,136.53,"Mar 01, 2023",137.49,136.50,136.66,"190,900"
10,135.92,"Feb 28, 2023",136.59,135.88,136.11,"212,200"
11,136.25,"Feb 27, 2023",137.14,135.96,137.00,"192,100"
12,136.05,"Feb 24, 2023",137.2,135.48,137.20,"218,700"
13,138.95,"Feb 23, 2023",139.49,138.15,139.03,"198,100"
14,138.65,"Feb 22, 2023",139.28,138.29,138.70,"178,200"
15,139.18,"Feb 21, 2023",140.58,138.73,140.16,"324,000"
16,142.85,"Feb 17, 2023",143.05,141.82,142.08,"145,800"
17,142.7,"Feb 16, 2023",143.66,141.32,141.40,"303,200"
18,140.97,"Feb 15, 2023",140.98,140.06,140.41,"387,800"
19,142.65,"Feb 14, 2023",143.12,141.55,142.80,"230,400"
20,143.86,"Feb 13, 2023",143.91,142.56,142.95,"197,500"
21,143.42,"Feb 10, 2023",143.98,142.51,143.67,"230,100"
22,144.83,"Feb 09, 2023",147.49,144.69,146.36,"334,000"
23,143.83,"Feb 08, 2023",144.64,143.31,144.00,"192,400"
24,144.64,"Feb 07, 2023",144.97,143.06,143.52,"166,900"
25,143.79,"Feb 06, 2023",144.4,142.97,144.00,"172,100"
26,144.71,"Feb 03, 2023",146.41,144.45,145.62,"248,100"
27,146.62,"Feb 02, 2023",147.36,144.61,147.00,"299,400"
28,148.58,"Feb 01, 2023",149.01,146.58,146.58,"213,100"
29,147.11,"Jan 31, 2023",147.11,145.88,146.30,"145,700"
30,145.18,"Jan 30, 2023",146.29,145.09,146.00,"182,400"
31,147.16,"Jan 27, 2023",147.73,145.74,146.00,"171,800"
32,145.47,"Jan 26, 2023",146.19,144.41,145.52,"137,100"
33,146.15,"Jan 25, 2023",146.47,145.21,145.98,"245,000"
34,146.01,"Jan 24, 2023",150.4,145.0,150.40,"143,600"
35,146.03,"Jan 23, 2023",146.59,145.12,145.77,"231,300"
36,146.11,"Jan 20, 2023",146.32,144.5,144.92,"269,500"
37,144.18,"Jan 19, 2023",145.1,143.62,144.88,"244,900"
38,145.51,"Jan 18, 2023",148.1,145.07,148.00,"305,300"
39,144.77,"Jan 17, 2023",145.72,144.27,144.65,"383,700"
40,140.3,"Jan 13, 2023",140.98,139.52,140.42,"291,500"
41,142.36,"Jan 12, 2023",142.74,140.71,142.26,"242,800"
42,138.85,"Jan 11, 2023",139.67,138.63,139.67,"251,000"
43,139.14,"Jan 10, 2023",139.35,138.17,139.00,"231,100"
44,139.94,"Jan 09, 2023",141.66,139.24,139.31,"229,900"
45,138.97,"Jan 06, 2023",139.54,135.91,136.14,"164,900"
46,135.52,"Jan 05, 2023",136.24,134.67,135.72,"178,400"
47,137.19,"Jan 04, 2023",138.4,136.65,138.21,"467,100"
48,138.28,"Jan 03, 2023",138.47,137.02,137.96,"309,800"
49,136.58,"Dec 30, 2022",137.4,136.0,136.88,"168,700"
50,137.41,"Dec 29, 2022",137.49,135.91,135.94,"249,400"
51,134.13,"Dec 28, 2022",136.77,133.9,136.00,"236,900"
52,136.16,"Dec 27, 2022",136.97,135.84,136.12,"137,600"
53,137.14,"Dec 23, 2022",137.76,136.19,137.04,"149,400"
54,137.0,"Dec 22, 2022",138.43,135.88,138.28,"211,600"
55,137.46,"Dec 21, 2022",137.81,136.69,137.11,"238,600"
56,138.83,"Dec 20, 2022",140.24,138.77,138.89,"178,300"
57,139.61,"Dec 19, 2022",140.8,138.86,140.00,"191,500"
58,140.43,"Dec 16, 2022",141.51,140.04,140.28,"170,200"
59,141.66,"Dec 15, 2022",143.82,141.06,143.22,"151,300"
60,144.65,"Dec 14, 2022",146.37,143.8,146.01,"170,400"
61,144.5,"Dec 13, 2022",147.34,144.33,146.84,"167,100"
62,144.12,"Dec 12, 2022",144.21,142.75,143.62,"130,800"
63,143.34,"Dec 09, 2022",144.21,142.49,142.49,"127,900"
64,142.28,"Dec 08, 2022",142.38,141.62,142.00,"141,000"
65,141.86,"Dec 07, 2022",143.03,141.35,141.75,"208,200"
66,141.09,"Dec 06, 2022",142.88,140.2,142.88,"242,600"
67,143.19,"Dec 05, 2022",144.8,142.65,144.76,"223,400"
68,146.53,"Dec 02, 2022",146.61,144.99,145.56,"164,900"
69,147.66,"Dec 01, 2022",148.24,146.58,147.22,"199,500"
70,147.69,"Nov 30, 2022",147.87,144.85,145.44,"171,400"
71,145.4,"Nov 29, 2022",146.18,144.87,145.26,"170,200"
72,146.51,"Nov 28, 2022",147.7,146.32,146.84,"140,700"
73,148.27,"Nov 25, 2022",148.65,146.94,147.00,"95,600"
74,146.71,"Nov 23, 2022",146.71,145.25,146.06,"198,900"
75,145.33,"Nov 22, 2022",145.5,144.3,144.63,"179,900"
76,142.16,"Nov 21, 2022",142.93,141.95,142.78,"161,000"
77,143.19,"Nov 18, 2022",143.51,142.63,143.08,"130,300"
78,142.93,"Nov 17, 2022",142.96,141.1,141.21,"129,800"
79,142.12,"Nov 16, 2022",143.24,141.82,143.15,"122,200"
80,143.75,"Nov 15, 2022",144.97,142.93,144.68,"183,400"
