,Close,Date,High,Low,Open,Volume
0,18.06,"Mar 14, 2023",18.21,17.87,18.21,"291,500"
1,,"Mar 13, 2023",,,,
2,18.32,"Mar 10, 2023",18.62,18.26,18.45,"181,400"
3,18.63,"Mar 09, 2023",18.88,18.62,18.77,"196,900"
4,18.88,"Mar 08, 2023",19.07,18.80,19.05,"164,900"
5,18.81,"Mar 07, 2023",19.21,18.78,19.16,"270,400"
6,19.20,"Mar 06, 2023",19.21,18.99,19.00,"320,800"
7,19.25,"Mar 03, 2023",19.30,18.53,18.62,"431,300"
8,17.57,"Mar 02, 2023",17.57,17.40,17.43,"146,400"
9,17.76,"Mar 01, 2023",17.98,17.68,17.88,"140,300"
10,17.76,"Feb 28, 2023",18.11,17.63,17.63,"194,500"
11,17.44,"Feb 27, 2023",17.49,17.34,17.43,"164,100"
12,17.22,"Feb 24, 2023",17.27,17.11,17.23,"163,800"
13,17.89,"Feb 23, 2023",17.89,17.69,17.85,"135,400"
14,17.57,"Feb 22, 2023",17.77,17.57,17.63,"87,700"
15,17.48,"Feb 21, 2023",17.68,17.42,17.54,"233,900"
16,17.86,"Feb 17, 2023",17.87,17.71,17.77,"92,200"
17,17.86,"Feb 16, 2023",18.01,17.78,17.89,"101,000"
18,17.81,"Feb 15, 2023",17.88,17.68,17.85,"454,900"
19,18.06,"Feb 14, 2023",18.08,17.67,17.73,"184,600"
20,17.48,"Feb 13, 2023",17.57,17.44,17.49,"139,100"
21,17.44,"Feb 10, 2023",17.53,17.4,17.49,"162,100"
22,17.61,"Feb 09, 2023",17.92,17.58,17.87,"165,800"
23,17.53,"Feb 08, 2023",17.65,17.47,17.59,"205,400"
24,17.76,"Feb 07, 2023",17.92,17.61,17.70,"170,200"
25,17.65,"Feb 06, 2023",17.93,17.55,17.92,"128,800"
26,18.07,"Feb 03, 2023",18.26,18.04,18.17,"181,400"
27,18.33,"Feb 02, 2023",18.46,18.13,18.21,"189,200"
28,17.88,"Feb 01, 2023",17.99,17.54,17.55,"265,100"
29,17.46,"Jan 31, 2023",17.48,17.23,17.23,"154,600"
30,17.19,"Jan 30, 2023",17.37,17.18,17.29,"168,200"
31,17.34,"Jan 27, 2023",17.57,17.26,17.48,"829,300"
32,17.41,"Jan 26, 2023",17.52,17.31,17.49,"142,000"
33,17.25,"Jan 25, 2023",17.3,17.13,17.27,"222,600"
34,17.24,"Jan 24, 2023",17.33,17.13,17.17,"391,800"
35,17.39,"Jan 23, 2023",17.45,17.22,17.28,"192,200"
36,17.27,"Jan 20, 2023",17.28,16.87,16.94,"165,000"
37,17.06,"Jan 19, 2023",17.1,16.9,17.04,"132,400"
38,17.23,"Jan 18, 2023",17.69,17.23,17.69,"184,800"
39,17.5,"Jan 17, 2023",17.75,17.46,17.48,"265,000"
40,17.45,"Jan 13, 2023",17.45,17.25,17.27,"171,400"
41,17.85,"Jan 12, 2023",17.93,17.61,17.74,"235,100"
42,17.45,"Jan 11, 2023",17.49,17.32,17.43,"214,600"
43,17.13,"Jan 10, 2023",17.25,17.01,17.21,"143,600"
44,17.15,"Jan 09, 2023",17.3,17.12,17.18,"155,000"
45,17.07,"Jan 06, 2023",17.08,16.58,16.62,"178,600"
46,16.73,"Jan 05, 2023",16.89,16.7,16.89,"128,700"
47,16.79,"Jan 04, 2023",16.88,16.66,16.78,"296,000"
48,16.34,"Jan 03, 2023",16.45,16.21,16.42,"232,600"
49,15.65,"Dec 30, 2022",15.79,15.58,15.70,"372,000"
50,15.78,"Dec 29, 2022",15.87,15.66,15.67,"580,700"
51,15.23,"Dec 28, 2022",15.58,15.2,15.54,"390,300"
52,15.61,"Dec 27, 2022",15.73,15.55,15.70,"683,900"
53,15.72,"Dec 23, 2022",15.87,15.66,15.76,"237,100"
54,15.44,"Dec 22, 2022",15.69,15.32,15.66,"541,300"
55,15.95,"Dec 21, 2022",16.12,15.94,16.07,"726,800"
56,16.16,"Dec 20, 2022",16.35,16.11,16.24,"428,800"
57,16.49,"Dec 19, 2022",16.67,16.47,16.56,"549,800"
58,,"Dec 19, 2022",,,Dividend,
59,17.85,"Dec 16, 2022",18.14,17.6,18.04,"380,300"
60,18.09,"Dec 15, 2022",18.36,18.01,18.35,"240,000"
61,18.5,"Dec 14, 2022",18.7,18.4,18.57,"372,100"
62,18.28,"Dec 13, 2022",18.67,18.25,18.67,"280,500"
63,18.24,"Dec 12, 2022",18.39,18.15,18.38,"280,500"
64,18.6,"Dec 09, 2022",18.75,18.58,18.63,"144,000"
65,18.66,"Dec 08, 2022",18.77,18.62,18.72,"146,400"
66,18.84,"Dec 07, 2022",19.17,18.83,19.10,"155,100"
67,19.14,"Dec 06, 2022",19.51,19.03,19.51,"245,800"
68,19.37,"Dec 05, 2022",19.65,19.28,19.60,"482,800"
69,19.29,"Dec 02, 2022",19.38,19.21,19.28,"133,000"
70,19.46,"Dec 01, 2022",19.51,19.31,19.39,"290,300"
71,19.24,"Nov 30, 2022",19.28,18.78,19.03,"237,100"
72,18.77,"Nov 29, 2022",18.84,18.57,18.58,"256,100"
73,18.61,"Nov 28, 2022",18.85,18.52,18.67,"276,700"
74,18.93,"Nov 25, 2022",19.04,18.84,18.88,"62,100"
75,18.67,"Nov 23, 2022",18.73,18.45,18.49,"151,400"
76,18.86,"Nov 22, 2022",18.86,18.57,18.65,"127,100"
77,18.7,"Nov 21, 2022",18.95,18.67,18.95,"121,000"
78,19.43,"Nov 18, 2022",19.47,19.25,19.42,"246,400"
79,19.1,"Nov 17, 2022",19.1,18.74,18.74,"271,500"
80,19.03,"Nov 16, 2022",19.15,18.79,19.03,"297,600"
81,19.51,"Nov 15, 2022",19.97,19.22,19.94,"464,600"
82,19.6,"Nov 14, 2022",19.83,19.52,19.66,"350,700"
83,19.72,"Nov 11, 2022",19.79,19.32,19.52,"287,000"
84,18.77,"Nov 10, 2022",18.8,18.4,18.47,"351,900"
85,17.74,"Nov 09, 2022",18.03,17.72,17.87,"224,700"
86,18.04,"Nov 08, 2022",18.17,17.85,18.06,"202,900"
87,18.12,"Nov 07, 2022",18.2,17.93,17.99,"315,100"
88,17.32,"Nov 04, 2022",17.48,17.07,17.35,"303,000"
89,16.35,"Nov 03, 2022",16.44,16.16,16.20,"332,700"
90,16.66,"Nov 02, 2022",17.16,16.66,16.82,"530,200"
91,17.21,"Nov 01, 2022",17.4,16.93,17.35,"449,600"
92,17.09,"Oct 31, 2022",17.15,16.61,16.67,"497,600"
93,16.92,"Oct 28, 2022",16.93,16.36,16.39,"607,400"
94,17.0,"Oct 27, 2022",17.19,16.85,16.94,"235,600"
95,17.06,"Oct 26, 2022",17.2,16.78,16.85,"490,500"
96,16.85,"Oct 25, 2022",16.93,16.6,16.66,"316,600"
97,16.72,"Oct 24, 2022",16.92,16.55,16.78,"231,100"
98,16.9,"Oct 21, 2022",16.91,16.29,16.32,"226,900"
99,16.52,"Oct 20, 2022",16.86,16.46,16.55,"224,500"
100,16.36,"Oct 19, 2022",16.69,16.3,16.53,"300,300"
101,16.9,"Oct 18, 2022",17.17,16.73,17.07,"537,800"
102,16.46,"Oct 17, 2022",16.72,16.46,16.61,"363,100"
103,15.59,"Oct 14, 2022",16.15,15.54,16.10,"496,800"
104,16.03,"Oct 13, 2022",16.16,15.37,15.39,"401,300"
105,15.48,"Oct 12, 2022",15.59,15.3,15.49,"361,300"
106,15.83,"Oct 11, 2022",16.17,15.65,15.78,"387,400"
107,15.9,"Oct 10, 2022",16.17,15.76,16.10,"489,300"
108,16.47,"Oct 07, 2022",16.91,16.34,16.79,"498,300"
109,17.1,"Oct 06, 2022",17.25,17.0,17.02,"171,900"
110,16.9,"Oct 05, 2022",17.0,16.5,16.75,"359,400"
111,17.14,"Oct 04, 2022",17.24,16.84,16.86,"698,800"
112,16.41,"Oct 03, 2022",16.55,16.09,16.24,"546,800"
113,16.25,"Sep 30, 2022",16.59,16.05,16.12,"726,500"
114,17.05,"Sep 29, 2022",17.31,16.65,17.18,"1,920,700"
115,19.12,"Sep 28, 2022",19.2,18.1,18.16,"977,900"
116,18.2,"Sep 27, 2022",18.47,17.86,18.30,"1,290,300"
117,18.33,"Sep 26, 2022",18.66,18.08,18.12,"843,000"
118,18.59,"Sep 23, 2022",18.86,18.4,18.81,"880,800"
119,19.49,"Sep 22, 2022",19.76,19.24,19.67,"407,900"
120,19.71,"Sep 21, 2022",20.33,19.71,19.96,"374,200"
121,20.41,"Sep 20, 2022",20.69,20.2,20.52,"819,400"
122,20.63,"Sep 19, 2022",20.65,19.46,19.53,"1,385,400"
123,19.76,"Sep 16, 2022",19.8,19.09,19.13,"567,800"
124,19.64,"Sep 15, 2022",19.84,19.28,19.31,"376,800"
125,19.84,"Sep 14, 2022",19.92,19.23,19.27,"667,600"
126,19.38,"Sep 13, 2022",19.73,19.34,19.41,"799,500"
127,20.1,"Sep 12, 2022",20.2,19.0,19.03,"1,288,500"
128,18.53,"Sep 09, 2022",18.64,18.35,18.55,"1,235,000"
129,18.81,"Sep 08, 2022",18.86,18.35,18.46,"556,500"
130,19.33,"Sep 07, 2022",19.33,18.82,18.84,"442,200"
131,19.27,"Sep 06, 2022",19.34,18.88,18.92,"779,900"
132,18.25,"Sep 02, 2022",19.19,18.17,18.83,"294,300"
133,18.23,"Sep 01, 2022",18.27,17.86,18.13,"280,800"
134,18.51,"Aug 31, 2022",18.67,18.42,18.47,"477,500"
135,19.11,"Aug 30, 2022",19.29,18.96,19.29,"320,200"
136,18.58,"Aug 29, 2022",18.68,18.42,18.58,"223,300"
137,18.26,"Aug 26, 2022",19.19,18.26,19.13,"259,400"
138,18.56,"Aug 25, 2022",18.62,18.23,18.29,"260,900"
139,18.3,"Aug 24, 2022",18.36,18.02,18.06,"229,600"
140,18.48,"Aug 23, 2022",18.72,18.42,18.46,"256,200"
141,17.99,"Aug 22, 2022",18.13,17.91,18.13,"564,500"
142,19.37,"Aug 19, 2022",19.57,19.35,19.57,"120,100"
143,19.89,"Aug 18, 2022",20.0,19.79,19.99,"226,600"
144,19.94,"Aug 17, 2022",20.06,19.81,19.91,"120,900"
145,20.39,"Aug 16, 2022",20.46,20.09,20.14,"262,700"
146,20.13,"Aug 15, 2022",20.24,20.0,20.05,"189,700"
147,20.38,"Aug 12, 2022",20.42,20.16,20.42,"161,300"
148,20.31,"Aug 11, 2022",20.54,20.29,20.50,"322,900"
149,20.39,"Aug 10, 2022",20.39,19.99,20.01,"436,600"
150,19.32,"Aug 09, 2022",19.7,19.3,19.61,"439,400"
151,19.6,"Aug 08, 2022",19.78,19.52,19.72,"238,500"
152,19.7,"Aug 05, 2022",19.76,19.56,19.66,"207,000"
153,19.95,"Aug 04, 2022",20.08,19.85,20.07,"176,700"
154,20.11,"Aug 03, 2022",20.14,19.71,19.74,"322,000"
155,19.69,"Aug 02, 2022",20.0,19.6,19.90,"273,500"
156,20.04,"Aug 01, 2022",20.14,19.84,19.90,"294,400"
157,19.76,"Jul 29, 2022",19.79,19.18,19.24,"271,100"
158,19.11,"Jul 28, 2022",19.17,18.56,18.67,"275,100"
159,18.47,"Jul 27, 2022",18.55,18.0,18.12,"345,900"
160,18.47,"Jul 26, 2022",18.57,18.31,18.36,"425,300"
161,18.71,"Jul 25, 2022",19.12,18.6,19.07,"380,400"
162,19.04,"Jul 22, 2022",19.57,19.01,19.42,"341,900"
163,19.38,"Jul 21, 2022",19.39,19.05,19.10,"322,900"
164,19.6,"Jul 20, 2022",19.82,19.45,19.60,"458,100"
165,19.7,"Jul 19, 2022",19.73,19.25,19.29,"430,600"
166,18.82,"Jul 18, 2022",19.14,18.74,19.11,"433,300"
167,18.45,"Jul 15, 2022",18.58,18.22,18.48,"264,100"
168,17.83,"Jul 14, 2022",18.01,17.45,17.68,"296,900"
169,18.24,"Jul 13, 2022",18.35,17.89,17.98,"241,300"
170,18.36,"Jul 12, 2022",18.65,18.15,18.24,"211,800"
171,18.3,"Jul 11, 2022",18.85,18.29,18.82,"262,500"
172,19.08,"Jul 08, 2022",19.2,18.8,18.96,"278,900"
173,18.24,"Jul 07, 2022",18.3,17.9,17.99,"351,900"
174,17.29,"Jul 06, 2022",17.39,17.03,17.06,"390,000"
175,17.27,"Jul 05, 2022",17.3,16.8,16.86,"477,500"
176,18.24,"Jul 01, 2022",18.24,17.74,17.87,"262,200"
177,18.22,"Jun 30, 2022",18.33,17.64,17.86,"478,000"
178,19.05,"Jun 29, 2022",19.33,19.02,19.26,"318,200"
179,19.54,"Jun 28, 2022",20.29,19.34,20.10,"892,500"
180,19.34,"Jun 27, 2022",19.6,19.3,19.60,"281,200"
181,19.22,"Jun 24, 2022",19.23,18.56,18.58,"248,000"
182,18.7,"Jun 23, 2022",19.02,18.6,19.01,"739,900"
183,19.22,"Jun 22, 2022",19.56,18.96,19.00,"290,700"
184,19.46,"Jun 21, 2022",19.73,19.43,19.62,"350,400"
185,19.11,"Jun 17, 2022",19.35,18.83,19.24,"302,100"
186,19.14,"Jun 16, 2022",19.34,19.08,19.26,"265,500"
187,19.84,"Jun 15, 2022",19.99,19.5,19.89,"438,700"
188,19.83,"Jun 14, 2022",20.2,19.7,20.15,"448,700"
189,20.12,"Jun 13, 2022",20.4,19.89,20.33,"325,000"
190,21.43,"Jun 10, 2022",21.64,21.23,21.57,"202,900"
191,22.0,"Jun 09, 2022",22.43,22.0,22.27,"160,800"
192,22.43,"Jun 08, 2022",22.76,22.42,22.45,"264,400"
193,22.37,"Jun 07, 2022",22.38,22.03,22.07,"224,900"
194,22.48,"Jun 06, 2022",22.91,22.4,22.82,"435,800"
195,22.52,"Jun 03, 2022",22.92,22.38,22.85,"220,700"
196,23.32,"Jun 02, 2022",23.34,22.68,22.74,"315,900"
197,22.87,"Jun 01, 2022",23.0,22.73,22.82,"302,700"
198,22.47,"May 31, 2022",22.52,22.16,22.48,"365,700"
199,21.17,"May 27, 2022",21.18,20.87,20.92,"273,500"
200,20.75,"May 26, 2022",20.84,20.23,20.25,"479,500"
201,19.87,"May 25, 2022",19.98,19.44,19.44,"339,100"
202,19.72,"May 24, 2022",20.07,19.52,20.03,"348,600"
203,20.22,"May 23, 2022",20.24,20.0,20.14,"614,100"
204,19.58,"May 20, 2022",20.28,19.23,20.28,"236,500"
205,19.7,"May 19, 2022",19.9,19.4,19.43,"360,500"
206,19.56,"May 18, 2022",20.01,19.54,19.94,"227,500"
207,20.27,"May 17, 2022",20.34,20.0,20.16,"275,700"
208,19.89,"May 16, 2022",20.0,19.65,19.90,"430,800"
209,20.04,"May 13, 2022",20.11,19.57,19.61,"399,600"
210,,"May 13, 2022",,,Dividend,
211,20.3,"May 12, 2022",20.55,20.2,20.22,"328,100"
212,20.25,"May 11, 2022",20.88,20.16,20.31,"379,900"
213,20.08,"May 10, 2022",20.54,19.82,20.54,"460,800"
214,20.07,"May 09, 2022",20.46,20.03,20.26,"561,100"
215,21.17,"May 06, 2022",21.44,20.9,21.38,"331,000"
216,21.05,"May 05, 2022",22.17,20.77,22.15,"588,200"
217,22.1,"May 04, 2022",22.1,21.47,21.62,"412,700"
218,21.48,"May 03, 2022",22.02,21.42,22.02,"344,400"
219,21.35,"May 02, 2022",21.58,21.12,21.40,"342,200"
220,21.58,"Apr 29, 2022",22.08,21.55,21.83,"218,200"
221,22.06,"Apr 28, 2022",22.2,21.8,22.20,"496,400"
222,21.67,"Apr 27, 2022",21.86,21.38,21.43,"256,000"
223,21.55,"Apr 26, 2022",22.57,21.5,22.51,"409,700"
224,22.9,"Apr 25, 2022",22.9,22.31,22.70,"318,100"
225,23.03,"Apr 22, 2022",23.5,23.02,23.47,"252,600"
226,23.52,"Apr 21, 2022",24.17,23.45,24.10,"352,000"
227,23.33,"Apr 20, 2022",23.57,23.25,23.51,"247,400"
228,23.27,"Apr 19, 2022",23.39,22.91,22.91,"444,000"
229,22.16,"Apr 18, 2022",22.6,22.03,22.30,"407,600"
230,22.3,"Apr 14, 2022",23.0,22.3,23.00,"408,800"
231,22.85,"Apr 13, 2022",22.89,22.13,22.17,"343,100"
232,22.51,"Apr 12, 2022",22.98,22.35,22.92,"303,900"
233,23.0,"Apr 11, 2022",23.4,23.0,23.20,"175,700"
234,23.33,"Apr 08, 2022",23.59,23.08,23.17,"197,800"
235,23.48,"Apr 07, 2022",23.54,23.12,23.41,"185,300"
236,23.24,"Apr 06, 2022",23.35,23.05,23.21,"356,100"
237,24.27,"Apr 05, 2022",24.81,24.24,24.67,"230,500"
238,25.08,"Apr 04, 2022",25.16,24.95,25.05,"207,400"
239,25.22,"Apr 01, 2022",25.45,24.94,25.35,"303,500"
240,24.67,"Mar 31, 2022",25.27,24.67,25.10,"445,700"
241,25.86,"Mar 30, 2022",26.26,25.81,26.21,"434,500"
242,26.45,"Mar 29, 2022",26.6,25.81,26.12,"730,200"
243,24.59,"Mar 28, 2022",24.61,24.2,24.23,"330,200"
244,24.08,"Mar 25, 2022",24.25,23.88,24.07,"217,300"
245,24.37,"Mar 24, 2022",24.46,24.0,24.18,"188,000"
