,Close,Date,High,Low,Open,Volume
0,57.98,"Mar 14, 2023",58.70,57.19,58.47,"325,400"
1,,"Mar 13, 2023",,,,
2,57.95,"Mar 10, 2023",59.73,56.65,59.30,"365,800"
3,59.23,"Mar 09, 2023",60.67,59.22,60.13,"215,700"
4,60.04,"Mar 08, 2023",60.06,58.65,59.36,"216,500"
5,58.86,"Mar 07, 2023",59.24,58.36,58.98,"206,700"
6,58.72,"Mar 06, 2023",60.08,58.53,60.04,"172,000"
7,60.23,"Mar 03, 2023",60.69,59.16,59.80,"218,100"
8,58.97,"Mar 02, 2023",59.03,57.93,58.51,"426,100"
9,59.30,"Mar 01, 2023",60.52,58.93,59.51,"303,600"
10,59.81,"Feb 28, 2023",60.60,59.78,59.89,"268,000"
11,,"Feb 28, 2023",,,Dividend,
12,59.51,"Feb 24, 2023",59.76,58.17,58.49,"226,000"
13,59.95,"Feb 23, 2023",59.96,58.29,59.24,"286,800"
14,58.69,"Feb 22, 2023",59.59,58.12,58.62,"310,800"
15,58.16,"Feb 21, 2023",59.72,57.74,58.27,"289,900"
16,59.98,"Feb 17, 2023",62.41,59.26,62.41,"335,500"
17,62.9,"Feb 16, 2023",63.68,61.76,62.00,"250,700"
18,63.3,"Feb 15, 2023",64.17,62.37,62.90,"471,400"
19,63.69,"Feb 14, 2023",65.36,63.42,64.45,"325,200"
20,65.33,"Feb 13, 2023",65.38,63.78,64.03,"230,500"
21,63.85,"Feb 10, 2023",64.27,62.93,63.12,"262,500"
22,63.48,"Feb 09, 2023",64.72,63.1,64.21,"370,500"
23,62.61,"Feb 08, 2023",63.87,61.82,63.61,"417,900"
24,64.3,"Feb 07, 2023",64.43,59.45,60.00,"575,200"
25,60.4,"Feb 06, 2023",60.74,59.61,59.61,"335,600"
26,60.38,"Feb 03, 2023",61.77,59.78,60.66,"384,800"
27,61.75,"Feb 02, 2023",64.38,60.88,61.50,"724,600"
28,63.28,"Feb 01, 2023",63.76,60.33,61.18,"523,400"
29,61.2,"Jan 31, 2023",61.45,59.1,59.77,"478,100"
30,58.92,"Jan 30, 2023",61.2,58.77,60.17,"358,100"
31,61.04,"Jan 27, 2023",61.67,60.59,60.59,"195,700"
32,60.96,"Jan 26, 2023",61.65,59.84,60.62,"392,900"
33,60.14,"Jan 25, 2023",60.42,58.76,58.84,"293,700"
34,59.5,"Jan 24, 2023",59.85,58.36,58.76,"221,800"
35,59.05,"Jan 23, 2023",59.14,57.74,57.81,"123,700"
36,58.15,"Jan 20, 2023",58.41,56.49,57.28,"209,100"
37,56.88,"Jan 19, 2023",57.58,55.85,57.24,"229,300"
38,57.75,"Jan 18, 2023",59.51,57.54,57.87,"151,000"
39,57.33,"Jan 17, 2023",58.48,57.21,57.97,"199,400"
40,58.06,"Jan 13, 2023",59.04,57.12,57.12,"228,000"
41,58.18,"Jan 12, 2023",58.2,56.37,57.78,"189,600"
42,57.73,"Jan 11, 2023",57.86,55.7,56.15,"442,000"
43,55.51,"Jan 10, 2023",55.8,54.35,54.35,"213,100"
44,54.96,"Jan 09, 2023",55.74,54.64,55.25,"177,800"
45,54.89,"Jan 06, 2023",55.75,54.01,55.19,"314,900"
46,54.8,"Jan 05, 2023",55.0,52.74,53.21,"213,300"
47,53.97,"Jan 04, 2023",54.19,52.21,52.21,"359,400"
48,51.22,"Jan 03, 2023",51.65,50.06,51.06,"210,800"
49,50.01,"Dec 30, 2022",50.44,49.47,49.66,"165,400"
50,50.28,"Dec 29, 2022",50.57,47.94,48.88,"149,200"
51,48.52,"Dec 28, 2022",51.23,48.48,51.15,"201,100"
52,51.22,"Dec 27, 2022",51.59,50.84,50.99,"108,200"
53,51.42,"Dec 23, 2022",51.98,51.01,51.51,"115,900"
54,51.97,"Dec 22, 2022",51.98,50.52,51.26,"150,100"
55,51.93,"Dec 21, 2022",52.19,51.38,51.49,"189,200"
56,50.72,"Dec 20, 2022",51.06,49.94,50.67,"167,600"
57,51.14,"Dec 19, 2022",53.51,50.8,52.97,"228,400"
58,53.36,"Dec 16, 2022",53.99,52.58,52.61,"1,643,300"
59,54.04,"Dec 15, 2022",55.0,52.16,52.47,"418,100"
60,53.76,"Dec 14, 2022",54.77,53.29,53.74,"256,000"
61,53.75,"Dec 13, 2022",56.0,53.04,54.90,"767,500"
62,51.75,"Dec 12, 2022",51.85,50.64,50.81,"199,600"
63,50.51,"Dec 09, 2022",51.29,50.26,50.26,"210,800"
64,50.98,"Dec 08, 2022",51.7,50.36,50.87,"390,900"
65,51.0,"Dec 07, 2022",51.45,49.72,49.90,"384,200"
66,49.56,"Dec 06, 2022",50.48,48.9,49.59,"383,100"
67,49.57,"Dec 05, 2022",50.31,48.72,50.03,"223,000"
68,51.16,"Dec 02, 2022",51.87,50.3,50.67,"388,500"
69,51.88,"Dec 01, 2022",52.1,48.0,48.81,"598,000"
70,48.16,"Nov 30, 2022",48.16,45.51,46.64,"604,400"
71,46.84,"Nov 29, 2022",47.44,46.62,46.63,"273,100"
72,,"Nov 29, 2022",,,Dividend,
73,47.05,"Nov 28, 2022",47.78,46.56,47.48,"170,300"
74,47.79,"Nov 25, 2022",48.15,47.67,47.67,"79,200"
75,47.99,"Nov 23, 2022",48.19,46.09,46.62,"154,100"
76,46.64,"Nov 22, 2022",46.65,45.36,45.36,"171,200"
77,46.0,"Nov 21, 2022",46.51,45.56,46.24,"93,600"
78,46.44,"Nov 18, 2022",47.07,46.03,46.95,"138,000"
