,Close,Date,High,Low,Open,Volume
0,97.52,"Mar 14, 2023",98.64,96.42,96.53,"3,234,500"
1,95.59,"Mar 13, 2023",97.07,92.50,92.52,"4,478,900"
2,94.10,"Mar 10, 2023",97.36,93.03,95.21,"4,655,900"
3,94.94,"Mar 09, 2023",96.58,94.05,94.15,"4,928,600"
4,93.79,"Mar 08, 2023",93.83,91.31,91.83,"3,209,400"
5,91.17,"Mar 07, 2023",92.72,90.85,92.30,"1,926,400"
6,91.46,"Mar 06, 2023",92.84,91.19,91.94,"2,321,200"
7,92.78,"Mar 03, 2023",93.20,91.23,92.06,"2,743,900"
8,90.79,"Mar 02, 2023",91.27,89.05,89.98,"2,647,700"
9,90.89,"Mar 01, 2023",93.06,90.84,92.07,"1,932,800"
10,92.48,"Feb 28, 2023",92.82,91.31,91.33,"2,058,600"
11,91.49,"Feb 27, 2023",92.77,90.98,92.32,"1,875,300"
12,91.16,"Feb 24, 2023",91.82,89.81,90.18,"2,451,000"
13,92.26,"Feb 23, 2023",92.56,90.57,91.62,"2,140,700"
14,91.14,"Feb 22, 2023",92.01,90.54,91.08,"3,624,000"
15,90.26,"Feb 21, 2023",93.69,90.07,91.96,"4,763,000"
16,94.38,"Feb 17, 2023",96.43,93.15,96.29,"5,028,700"
17,97.15,"Feb 16, 2023",97.98,96.37,97.73,"3,374,900"
18,99.24,"Feb 15, 2023",100.01,97.73,97.95,"2,440,700"
19,99.17,"Feb 14, 2023",100.61,98.59,99.44,"2,264,700"
20,100.52,"Feb 13, 2023",100.61,98.27,98.65,"2,534,500"
21,98.59,"Feb 10, 2023",98.78,97.09,97.15,"2,387,200"
22,97.71,"Feb 09, 2023",99.2,97.63,98.91,"2,573,800"
23,97.41,"Feb 08, 2023",99.15,96.75,98.89,"3,255,800"
24,99.45,"Feb 07, 2023",100.0,97.05,97.25,"2,603,600"
25,98.18,"Feb 06, 2023",98.96,97.17,98.59,"3,170,000"
26,,"Feb 06, 2023",,,Dividend,
27,99.47,"Feb 03, 2023",101.64,99.21,100.13,"2,655,700"
28,102.94,"Feb 02, 2023",104.14,101.04,101.39,"3,054,200"
29,99.9,"Feb 01, 2023",100.87,96.53,98.00,"2,904,400"
30,98.69,"Jan 31, 2023",98.72,95.42,95.77,"4,081,800"
31,94.83,"Jan 30, 2023",97.17,94.76,95.63,"2,667,300"
32,96.52,"Jan 27, 2023",97.32,95.96,96.32,"2,094,000"
33,96.81,"Jan 26, 2023",97.37,94.86,96.05,"2,225,900"
34,95.48,"Jan 25, 2023",96.22,94.89,95.55,"2,784,800"
35,97.0,"Jan 24, 2023",98.93,95.55,97.10,"4,047,100"
36,95.68,"Jan 23, 2023",96.01,93.75,93.82,"3,143,300"
