,Close,Date,High,Low,Open,Volume
0,100.77,"Mar 14, 2023",101.78,99.62,99.74,"3,015,700"
1,98.96,"Mar 13, 2023",100.08,96.06,96.37,"2,935,500"
2,97.38,"Mar 10, 2023",100.10,96.35,98.91,"2,680,300"
3,98.59,"Mar 09, 2023",101.20,98.44,99.08,"3,327,400"
4,99.08,"Mar 08, 2023",99.14,96.76,97.46,"2,388,800"
5,96.83,"Mar 07, 2023",98.39,96.61,97.85,"1,774,700"
6,97.18,"Mar 06, 2023",98.38,96.86,97.70,"1,753,900"
7,97.61,"Mar 03, 2023",98.54,96.86,98.54,"2,210,700"
8,96.06,"Mar 02, 2023",96.42,94.11,94.44,"1,891,900"
9,95.64,"Mar 01, 2023",97.65,95.64,96.11,"1,859,600"
10,96.74,"Feb 28, 2023",97.20,95.63,95.74,"3,075,700"
11,95.90,"Feb 27, 2023",97.37,95.18,97.00,"1,892,800"
12,95.84,"Feb 24, 2023",96.57,94.32,94.87,"2,207,800"
13,97.15,"Feb 23, 2023",97.45,95.7,96.94,"1,803,000"
14,96.36,"Feb 22, 2023",97.62,95.75,96.58,"2,386,300"
15,95.77,"Feb 21, 2023",98.71,95.34,97.51,"2,125,000"
16,99.09,"Feb 17, 2023",100.56,97.83,100.46,"2,850,000"
17,101.3,"Feb 16, 2023",101.99,100.36,101.15,"2,422,600"
18,103.5,"Feb 15, 2023",104.85,102.19,102.95,"1,672,000"
19,104.07,"Feb 14, 2023",104.98,102.98,103.65,"1,544,000"
20,104.55,"Feb 13, 2023",104.59,101.43,101.74,"1,893,100"
21,101.9,"Feb 10, 2023",102.32,100.04,100.41,"1,350,800"
22,100.87,"Feb 09, 2023",102.57,100.57,102.24,"1,360,600"
23,100.83,"Feb 08, 2023",102.85,100.56,102.85,"1,626,600"
24,103.52,"Feb 07, 2023",103.75,100.9,101.45,"2,654,300"
25,102.73,"Feb 06, 2023",104.0,102.48,103.64,"1,754,100"
26,104.81,"Feb 03, 2023",106.66,104.09,105.05,"2,070,300"
27,108.08,"Feb 02, 2023",109.28,106.43,106.43,"3,174,500"
28,104.69,"Feb 01, 2023",105.88,100.74,102.21,"2,810,700"
29,102.4,"Jan 31, 2023",102.63,100.5,100.50,"2,472,200"
30,99.22,"Jan 30, 2023",101.7,99.01,99.79,"2,097,100"
31,100.61,"Jan 27, 2023",101.42,99.6,99.72,"1,330,800"
32,100.02,"Jan 26, 2023",100.45,98.17,99.43,"1,382,500"
33,,"Jan 26, 2023",,,Dividend,
34,99.04,"Jan 25, 2023",99.22,97.68,97.97,"2,051,600"
35,99.09,"Jan 24, 2023",99.25,96.81,97.50,"1,996,900"
36,97.53,"Jan 23, 2023",98.35,96.21,96.21,"1,847,000"
37,96.69,"Jan 20, 2023",96.77,94.49,95.98,"1,997,200"
38,95.7,"Jan 19, 2023",97.36,94.86,96.73,"2,322,300"
39,97.56,"Jan 18, 2023",101.27,97.43,100.00,"2,866,900"
40,98.78,"Jan 17, 2023",99.45,98.06,98.47,"2,245,400"
41,98.82,"Jan 13, 2023",99.17,96.38,96.65,"2,291,700"
42,99.15,"Jan 12, 2023",99.78,97.21,99.09,"2,242,900"
43,98.58,"Jan 11, 2023",98.62,96.61,97.68,"2,179,200"
44,96.57,"Jan 10, 2023",96.64,94.21,94.64,"1,694,000"
45,95.29,"Jan 09, 2023",96.79,94.92,95.31,"2,659,000"
46,95.66,"Jan 06, 2023",96.5,94.35,94.35,"1,879,200"
47,93.78,"Jan 05, 2023",94.39,91.82,92.25,"2,052,300"
48,93.61,"Jan 04, 2023",95.03,92.71,93.36,"2,505,400"
49,91.98,"Jan 03, 2023",92.57,90.74,91.69,"2,351,900"
50,90.5,"Dec 30, 2022",90.67,89.73,89.73,"1,079,800"
51,90.67,"Dec 29, 2022",91.04,88.51,89.00,"1,354,400"
52,88.5,"Dec 28, 2022",91.08,88.42,90.80,"1,203,400"
53,90.7,"Dec 27, 2022",91.32,90.05,90.05,"1,088,600"
54,90.62,"Dec 23, 2022",90.84,89.69,90.09,"1,009,700"
55,91.04,"Dec 22, 2022",91.12,89.0,89.61,"1,925,600"
56,90.57,"Dec 21, 2022",91.47,89.85,90.61,"1,758,900"
57,89.0,"Dec 20, 2022",90.25,88.42,89.18,"2,406,000"
58,90.1,"Dec 19, 2022",92.9,89.47,92.50,"3,438,300"
59,92.2,"Dec 16, 2022",93.87,91.49,93.56,"4,492,800"
60,94.29,"Dec 15, 2022",94.82,87.35,88.49,"6,921,800"
61,90.82,"Dec 14, 2022",92.39,89.89,91.24,"3,729,000"
62,90.59,"Dec 13, 2022",95.24,90.26,94.24,"2,674,700"
63,89.0,"Dec 12, 2022",89.25,88.13,88.84,"2,032,900"
64,88.5,"Dec 09, 2022",89.6,88.11,88.29,"2,270,400"
65,89.43,"Dec 08, 2022",90.01,88.05,88.64,"1,673,700"
66,89.0,"Dec 07, 2022",89.31,86.37,86.74,"2,549,900"
67,85.9,"Dec 06, 2022",87.81,84.51,87.80,"2,501,000"
68,87.35,"Dec 05, 2022",88.07,86.18,86.56,"1,761,100"
69,88.3,"Dec 02, 2022",88.39,86.01,86.44,"1,395,800"
70,88.16,"Dec 01, 2022",90.34,87.84,88.95,"1,547,400"
71,87.83,"Nov 30, 2022",87.86,84.45,86.00,"2,975,000"
72,86.4,"Nov 29, 2022",86.53,84.67,84.97,"1,040,000"
73,85.35,"Nov 28, 2022",86.96,84.86,85.84,"1,123,600"
74,86.38,"Nov 25, 2022",86.72,85.77,85.79,"505,900"
75,86.46,"Nov 23, 2022",86.8,84.13,85.19,"1,730,100"
76,85.12,"Nov 22, 2022",85.2,83.9,84.51,"1,892,700"
77,83.44,"Nov 21, 2022",85.06,82.73,84.63,"2,361,400"
78,84.71,"Nov 18, 2022",86.92,83.89,86.49,"1,732,400"
79,85.09,"Nov 17, 2022",85.21,83.09,84.17,"1,192,000"
80,86.45,"Nov 16, 2022",87.71,85.61,87.16,"1,733,900"
81,87.75,"Nov 15, 2022",88.94,85.93,88.50,"1,736,100"
82,85.74,"Nov 14, 2022",87.66,85.7,87.40,"1,675,900"
83,88.03,"Nov 11, 2022",89.09,87.56,88.40,"2,617,700"
84,88.4,"Nov 10, 2022",90.0,84.26,84.38,"4,951,600"
85,78.53,"Nov 09, 2022",81.62,76.79,76.81,"2,618,100"
86,77.77,"Nov 08, 2022",79.92,76.82,79.70,"2,637,700"
87,79.25,"Nov 07, 2022",80.21,77.52,80.09,"1,621,600"
88,79.61,"Nov 04, 2022",81.98,77.93,80.48,"2,164,400"
89,79.0,"Nov 03, 2022",79.86,77.25,78.33,"2,787,900"
90,80.0,"Nov 02, 2022",83.52,79.5,81.28,"3,945,500"
91,81.62,"Nov 01, 2022",82.78,80.15,82.53,"2,882,200"
92,80.7,"Oct 31, 2022",81.07,79.52,80.90,"2,510,800"
93,82.04,"Oct 28, 2022",82.17,79.18,79.26,"1,651,400"
94,79.46,"Oct 27, 2022",81.19,78.58,79.07,"2,324,400"
95,78.79,"Oct 26, 2022",80.06,78.02,78.55,"2,844,200"
96,78.6,"Oct 25, 2022",79.04,74.76,74.93,"2,378,900"
97,74.44,"Oct 24, 2022",74.73,72.83,73.92,"2,073,600"
98,73.43,"Oct 21, 2022",73.59,69.9,70.13,"2,752,800"
99,71.38,"Oct 20, 2022",74.08,71.0,72.70,"1,768,400"
100,72.29,"Oct 19, 2022",75.57,71.91,75.57,"2,370,600"
101,76.87,"Oct 18, 2022",77.19,75.55,76.08,"1,883,400"
102,74.49,"Oct 17, 2022",76.17,74.08,74.77,"1,815,600"
103,73.46,"Oct 14, 2022",77.31,72.92,76.57,"2,070,600"
104,76.12,"Oct 13, 2022",76.96,71.12,74.34,"2,858,400"
105,76.51,"Oct 12, 2022",78.08,76.06,77.77,"2,219,200"
106,,"Oct 12, 2022",,,Dividend,
107,78.16,"Oct 11, 2022",80.4,77.41,77.67,"2,496,800"
108,78.18,"Oct 10, 2022",79.17,77.34,78.70,"1,567,900"
109,78.11,"Oct 07, 2022",78.96,77.31,78.79,"1,908,200"
110,80.16,"Oct 06, 2022",80.97,79.12,79.60,"2,473,700"
111,79.85,"Oct 05, 2022",80.45,78.81,79.50,"1,612,900"
112,80.91,"Oct 04, 2022",81.3,79.62,79.85,"2,354,300"
113,78.16,"Oct 03, 2022",78.55,74.64,75.86,"2,976,800"
114,74.55,"Sep 30, 2022",76.2,73.69,74.89,"2,579,200"
115,74.97,"Sep 29, 2022",76.25,74.49,75.97,"1,806,000"
116,77.48,"Sep 28, 2022",77.98,74.21,74.42,"2,823,100"
117,73.47,"Sep 27, 2022",75.94,72.77,74.73,"2,770,100"
118,73.7,"Sep 26, 2022",77.18,73.59,76.27,"2,963,600"
119,77.07,"Sep 23, 2022",77.12,75.09,76.10,"3,497,800"
120,77.43,"Sep 22, 2022",78.69,76.3,76.31,"4,770,600"
121,75.92,"Sep 21, 2022",78.89,75.78,77.43,"2,398,400"
122,76.88,"Sep 20, 2022",77.87,76.2,76.99,"2,066,700"
123,78.47,"Sep 19, 2022",78.71,76.75,76.78,"3,256,500"
124,75.79,"Sep 16, 2022",76.15,73.42,73.68,"5,339,900"
125,73.82,"Sep 15, 2022",75.31,73.23,73.63,"2,672,200"
126,73.44,"Sep 14, 2022",74.81,72.48,74.45,"3,827,500"
127,74.23,"Sep 13, 2022",77.88,74.15,77.77,"3,646,300"
128,80.61,"Sep 12, 2022",81.73,80.22,80.71,"1,967,300"
129,79.82,"Sep 09, 2022",80.21,78.37,78.64,"1,402,000"
130,78.41,"Sep 08, 2022",78.49,76.44,77.11,"1,598,600"
131,77.9,"Sep 07, 2022",78.21,76.61,76.61,"1,560,500"
132,76.54,"Sep 06, 2022",78.04,75.89,77.81,"2,167,300"
133,77.87,"Sep 02, 2022",79.47,77.24,78.46,"2,384,600"
134,77.49,"Sep 01, 2022",77.5,75.09,76.77,"2,866,700"
135,77.45,"Aug 31, 2022",79.63,77.44,79.59,"2,244,200"
136,78.92,"Aug 30, 2022",80.99,78.57,80.53,"2,140,900"
137,79.9,"Aug 29, 2022",80.92,79.03,79.58,"1,988,400"
138,80.33,"Aug 26, 2022",85.1,79.69,84.95,"3,298,900"
139,84.9,"Aug 25, 2022",85.16,82.17,82.17,"2,644,700"
140,83.8,"Aug 24, 2022",84.99,81.32,81.51,"2,073,400"
141,82.11,"Aug 23, 2022",83.24,82.09,82.65,"1,842,200"
142,82.25,"Aug 22, 2022",83.07,81.87,82.47,"2,385,400"
143,83.84,"Aug 19, 2022",85.0,83.2,84.76,"3,008,400"
144,85.65,"Aug 18, 2022",86.5,85.22,86.47,"1,980,700"
145,86.21,"Aug 17, 2022",87.21,85.36,86.75,"3,445,600"
146,88.07,"Aug 16, 2022",88.97,86.71,87.44,"2,435,100"
147,88.08,"Aug 15, 2022",89.08,87.43,88.01,"2,244,200"
148,88.27,"Aug 12, 2022",88.35,86.78,87.16,"2,078,800"
149,87.76,"Aug 11, 2022",89.31,87.31,87.96,"2,585,900"
150,87.28,"Aug 10, 2022",89.01,86.67,86.81,"2,346,700"
151,84.27,"Aug 09, 2022",86.59,83.79,86.42,"2,396,300"
152,86.67,"Aug 08, 2022",87.51,85.4,85.40,"1,773,000"
153,84.73,"Aug 05, 2022",85.2,83.04,83.57,"2,315,400"
154,85.4,"Aug 04, 2022",85.62,81.93,82.57,"2,826,500"
155,82.56,"Aug 03, 2022",83.41,81.0,82.72,"2,736,800"
156,82.0,"Aug 02, 2022",84.7,81.61,83.94,"3,804,800"
157,85.23,"Aug 01, 2022",86.35,83.72,84.99,"2,702,500"
158,85.0,"Jul 29, 2022",85.16,83.26,85.16,"2,659,900"
159,85.2,"Jul 28, 2022",85.8,83.45,84.00,"3,183,600"
160,83.58,"Jul 27, 2022",83.98,79.94,81.57,"2,955,500"
161,81.04,"Jul 26, 2022",81.61,79.91,80.79,"2,445,100"
162,81.61,"Jul 25, 2022",82.7,80.92,81.89,"3,122,000"
163,83.08,"Jul 22, 2022",85.58,81.91,82.89,"3,245,100"
164,82.08,"Jul 21, 2022",82.18,77.9,78.59,"3,175,000"
165,79.17,"Jul 20, 2022",79.76,78.3,79.63,"2,636,100"
166,79.35,"Jul 19, 2022",79.56,76.95,78.11,"2,317,000"
167,77.26,"Jul 18, 2022",78.95,76.86,78.20,"2,435,300"
168,78.09,"Jul 15, 2022",79.42,76.48,79.36,"1,910,200"
169,77.54,"Jul 14, 2022",78.55,76.27,77.95,"1,769,300"
170,78.8,"Jul 13, 2022",79.05,74.71,75.75,"3,497,500"
171,78.29,"Jul 12, 2022",80.29,77.55,77.70,"3,425,800"
172,78.7,"Jul 11, 2022",79.45,77.89,78.06,"2,407,600"
173,78.39,"Jul 08, 2022",79.05,76.98,76.98,"2,084,800"
174,77.7,"Jul 07, 2022",77.73,75.96,77.10,"2,233,700"
175,76.63,"Jul 06, 2022",77.91,74.86,77.58,"3,335,300"
176,,"Jul 06, 2022",,,Dividend,
177,77.39,"Jul 05, 2022",77.4,73.7,74.05,"5,555,900"
178,74.6,"Jul 01, 2022",74.82,71.12,71.12,"3,534,600"
179,70.57,"Jun 30, 2022",71.18,68.2,68.66,"2,498,400"
180,69.64,"Jun 29, 2022",70.13,67.78,69.40,"1,948,300"
181,69.74,"Jun 28, 2022",73.0,69.65,72.28,"2,126,100"
182,71.99,"Jun 27, 2022",72.93,70.81,71.85,"1,921,200"
183,71.93,"Jun 24, 2022",72.68,70.58,71.42,"3,722,000"
184,70.71,"Jun 23, 2022",71.59,68.0,68.07,"3,575,700"
185,67.66,"Jun 22, 2022",68.71,64.51,65.02,"3,578,200"
186,65.65,"Jun 21, 2022",68.18,63.82,65.95,"5,623,300"
187,64.63,"Jun 17, 2022",65.44,62.54,63.85,"5,452,600"
188,64.49,"Jun 16, 2022",67.27,63.36,67.13,"4,093,300"
189,68.97,"Jun 15, 2022",70.43,67.14,69.83,"3,134,900"
