,Close,Date,High,Low,Open,Volume
0,106.27,"Mar 14, 2023",107.92,105.26,106.09,"410,100"
1,,"Mar 14, 2023",,,Dividend,
2,,"Mar 13, 2023",,,,
3,106.49,"Mar 10, 2023",110.95,104.93,110.95,"514,800"
4,109.11,"Mar 09, 2023",112.46,109.08,110.50,"310,800"
5,110.43,"Mar 08, 2023",110.45,107.00,108.51,"264,500"
6,107.56,"Mar 07, 2023",110.30,107.53,110.01,"302,100"
7,109.26,"Mar 06, 2023",112.26,108.85,112.26,"568,500"
8,109.98,"Mar 03, 2023",111.01,107.23,108.92,"345,900"
9,107.31,"Mar 02, 2023",107.60,105.16,106.95,"422,500"
10,108.24,"Mar 01, 2023",110.04,107.64,108.52,"397,900"
11,109.23,"Feb 28, 2023",109.98,108.11,108.11,"356,100"
12,107.6,"Feb 24, 2023",108.06,104.63,105.79,"403,700"
13,108.69,"Feb 23, 2023",109.26,106.55,108.0,"279,300"
14,107.35,"Feb 22, 2023",108.17,105.88,107.72,"662,100"
15,106.99,"Feb 21, 2023",108.77,106.07,106.07,"576,100"
16,109.03,"Feb 17, 2023",110.44,105.28,110.21,"545,500"
17,110.78,"Feb 16, 2023",112.04,109.92,110.69,"384,300"
18,113.16,"Feb 15, 2023",114.81,112.47,112.83,"342,700"
19,114.5,"Feb 14, 2023",115.53,112.56,114.16,"349,000"
20,115.57,"Feb 13, 2023",115.72,111.71,112.32,"337,400"
21,112.64,"Feb 10, 2023",113.65,111.32,111.32,"438,800"
22,111.78,"Feb 09, 2023",113.22,111.08,112.14,"554,100"
23,110.71,"Feb 08, 2023",113.32,109.5,112.88,"301,300"
24,114.01,"Feb 07, 2023",114.62,109.69,110.43,"500,900"
25,110.34,"Feb 06, 2023",111.97,109.78,111.47,"354,100"
26,113.32,"Feb 03, 2023",115.28,112.0,113.07,"509,200"
27,116.59,"Feb 02, 2023",117.22,108.27,108.89,"764,500"
28,109.53,"Feb 01, 2023",110.52,105.24,107.33,"638,900"
29,107.69,"Jan 31, 2023",107.86,104.01,104.2,"760,300"
30,103.41,"Jan 30, 2023",106.72,103.26,104.95,"327,500"
31,106.59,"Jan 27, 2023",107.17,105.46,105.46,"281,100"
32,105.82,"Jan 26, 2023",106.41,103.0,104.4,"354,400"
33,104.4,"Jan 25, 2023",104.94,101.94,101.94,"393,000"
34,102.83,"Jan 24, 2023",102.87,99.92,100.98,"265,000"
35,100.81,"Jan 23, 2023",101.48,99.31,99.8,"247,200"
36,100.18,"Jan 20, 2023",100.22,96.27,98.2,"456,000"
37,97.85,"Jan 19, 2023",98.93,96.68,98.93,"374,400"
38,99.39,"Jan 18, 2023",102.98,99.04,100.89,"262,700"
39,99.86,"Jan 17, 2023",101.44,99.76,100.72,"413,300"
40,101.03,"Jan 13, 2023",102.13,99.45,99.45,"494,000"
41,100.92,"Jan 12, 2023",102.07,99.35,101.18,"324,000"
42,100.9,"Jan 11, 2023",101.27,99.77,100.2,"309,600"
43,98.96,"Jan 10, 2023",99.5,97.79,98.56,"372,400"
44,99.38,"Jan 09, 2023",101.34,98.85,100.0,"291,800"
45,99.8,"Jan 06, 2023",100.86,98.43,98.71,"290,300"
46,97.83,"Jan 05, 2023",98.8,95.42,95.92,"436,400"
47,97.03,"Jan 04, 2023",98.63,95.34,95.53,"481,400"
48,93.3,"Jan 03, 2023",94.67,92.29,93.86,"298,700"
49,92.2,"Dec 30, 2022",92.57,90.99,91.21,"245,600"
50,92.42,"Dec 29, 2022",92.81,88.8,90.08,"231,400"
51,89.46,"Dec 28, 2022",92.58,89.33,92.49,"298,300"
52,92.06,"Dec 27, 2022",92.67,91.23,92.0,"216,900"
53,92.26,"Dec 23, 2022",92.31,90.88,92.12,"238,800"
54,92.78,"Dec 22, 2022",92.79,89.87,90.68,"275,100"
55,91.86,"Dec 21, 2022",91.86,90.01,90.55,"253,600"
56,89.31,"Dec 20, 2022",90.36,88.29,89.35,"255,800"
57,90.1,"Dec 19, 2022",92.71,90.02,91.75,"379,800"
58,92.33,"Dec 16, 2022",94.1,91.75,93.28,"1,241,800"
59,94.33,"Dec 15, 2022",94.86,89.01,89.78,"528,800"
60,91.97,"Dec 14, 2022",93.8,91.26,92.48,"323,300"
61,91.82,"Dec 13, 2022",97.01,91.26,95.59,"645,500"
62,89.36,"Dec 12, 2022",89.64,88.0,88.17,"242,300"
63,87.79,"Dec 09, 2022",88.48,86.79,86.79,"239,500"
64,88.02,"Dec 08, 2022",89.41,87.02,87.99,"220,300"
65,88.18,"Dec 07, 2022",88.53,85.3,86.03,"276,500"
66,85.55,"Dec 06, 2022",86.45,84.46,86.02,"326,900"
67,85.8,"Dec 05, 2022",85.85,84.42,84.93,"208,500"
68,86.65,"Dec 02, 2022",87.5,84.72,85.01,"167,700"
69,87.05,"Dec 01, 2022",89.73,86.5,87.63,"219,100"
70,86.41,"Nov 30, 2022",86.43,82.27,84.08,"278,900"
71,84.66,"Nov 29, 2022",85.41,83.59,84.1,"208,700"
72,84.93,"Nov 28, 2022",86.68,84.18,85.62,"232,800"
73,86.03,"Nov 25, 2022",86.41,85.33,85.33,"94,600"
74,85.77,"Nov 23, 2022",86.08,82.96,83.45,"221,000"
75,83.61,"Nov 22, 2022",83.63,81.68,82.0,"210,000"
76,81.05,"Nov 21, 2022",81.62,80.25,81.23,"180,500"
77,81.33,"Nov 18, 2022",83.02,80.96,83.02,"231,900"
78,81.6,"Nov 17, 2022",81.72,79.92,80.94,"185,600"
79,83.27,"Nov 16, 2022",84.02,82.42,83.31,"258,800"
80,83.35,"Nov 15, 2022",85.03,82.31,84.39,"239,000"
81,81.66,"Nov 14, 2022",83.7,81.61,83.5,"365,400"
82,83.74,"Nov 11, 2022",84.86,82.42,83.03,"374,300"
83,82.64,"Nov 10, 2022",85.79,78.57,79.61,"635,200"
84,73.76,"Nov 09, 2022",76.62,72.61,72.77,"251,100"
85,73.66,"Nov 08, 2022",74.76,72.51,73.78,"266,000"
86,73.62,"Nov 07, 2022",74.67,71.44,74.34,"263,800"
87,73.86,"Nov 04, 2022",75.2,71.89,73.03,"197,500"
88,71.93,"Nov 03, 2022",73.33,71.04,72.49,"209,000"
89,74.08,"Nov 02, 2022",78.31,73.96,76.76,"366,200"
90,76.78,"Nov 01, 2022",78.72,75.93,78.47,"242,900"
91,76.16,"Oct 31, 2022",76.81,74.15,75.26,"294,800"
92,76.75,"Oct 28, 2022",77.01,73.03,74.0,"406,200"
93,74.2,"Oct 27, 2022",77.65,71.44,73.26,"760,500"
94,72.53,"Oct 26, 2022",74.08,72.3,72.54,"411,300"
95,73.05,"Oct 25, 2022",73.87,69.22,69.22,"351,200"
96,69.19,"Oct 24, 2022",70.07,68.07,69.28,"384,900"
97,68.99,"Oct 21, 2022",69.09,65.41,66.28,"527,700"
98,66.27,"Oct 20, 2022",68.17,65.67,66.92,"417,800"
99,66.76,"Oct 19, 2022",70.66,65.95,70.6,"474,200"
100,71.54,"Oct 18, 2022",72.33,70.11,71.34,"452,800"
101,69.57,"Oct 17, 2022",69.85,68.19,68.26,"560,500"
102,66.66,"Oct 14, 2022",71.76,66.43,71.26,"442,800"
103,70.72,"Oct 13, 2022",71.24,66.26,69.0,"606,200"
104,70.9,"Oct 12, 2022",72.3,70.24,72.3,"436,200"
105,72.73,"Oct 11, 2022",74.35,71.79,72.67,"442,700"
106,73.13,"Oct 10, 2022",74.13,72.57,74.04,"327,300"
107,74.19,"Oct 07, 2022",76.04,73.75,76.04,"317,700"
108,77.02,"Oct 06, 2022",77.36,75.53,75.53,"247,200"
109,75.91,"Oct 05, 2022",76.45,74.58,75.84,"237,500"
110,77.03,"Oct 04, 2022",77.17,74.55,74.55,"651,900"
111,72.98,"Oct 03, 2022",73.62,70.77,71.74,"514,500"
112,70.27,"Sep 30, 2022",71.79,70.16,71.43,"360,300"
113,71.43,"Sep 29, 2022",73.02,71.22,73.02,"342,600"
114,74.54,"Sep 28, 2022",76.22,71.76,71.8,"627,600"
115,71.29,"Sep 27, 2022",72.29,70.12,71.57,"416,600"
116,70.81,"Sep 26, 2022",73.77,70.67,73.3,"449,900"
117,73.34,"Sep 23, 2022",73.41,71.2,71.32,"380,900"
118,72.16,"Sep 22, 2022",73.72,71.95,73.39,"319,500"
119,74.01,"Sep 21, 2022",77.15,73.91,75.72,"345,900"
120,75.13,"Sep 20, 2022",76.07,74.03,74.9,"299,900"
121,76.05,"Sep 19, 2022",76.35,74.39,75.05,"470,800"
122,74.28,"Sep 16, 2022",74.35,72.0,72.31,"459,800"
123,72.42,"Sep 15, 2022",73.52,71.7,72.52,"453,700"
124,72.52,"Sep 14, 2022",74.53,71.72,74.13,"349,200"
125,73.94,"Sep 13, 2022",77.7,73.81,77.7,"279,200"
126,80.48,"Sep 12, 2022",81.3,79.32,79.4,"250,900"
127,78.82,"Sep 09, 2022",78.94,76.45,76.68,"261,300"
128,76.36,"Sep 08, 2022",76.53,74.63,75.73,"252,700"
129,76.51,"Sep 07, 2022",76.61,75.04,75.57,"245,700"
130,75.32,"Sep 06, 2022",77.46,75.01,77.22,"341,300"
131,77.17,"Sep 02, 2022",79.04,76.41,78.0,"216,900"
132,77.4,"Sep 01, 2022",77.77,75.97,77.32,"199,000"
133,78.35,"Aug 31, 2022",80.34,78.17,80.34,"246,000"
134,79.94,"Aug 30, 2022",81.6,79.63,81.34,"248,000"
135,80.72,"Aug 29, 2022",81.68,79.28,79.39,"247,800"
136,80.46,"Aug 26, 2022",84.63,80.15,84.63,"267,400"
137,84.44,"Aug 25, 2022",84.49,81.0,81.0,"199,800"
138,81.7,"Aug 24, 2022",83.29,79.53,80.19,"267,600"
139,81.11,"Aug 23, 2022",82.92,80.82,81.51,"260,700"
140,81.66,"Aug 22, 2022",82.79,81.11,81.97,"256,200"
141,83.4,"Aug 19, 2022",85.41,83.2,85.41,"246,200"
142,86.3,"Aug 18, 2022",86.54,85.4,86.05,"309,200"
143,86.11,"Aug 17, 2022",87.12,85.24,86.96,"199,100"
144,87.97,"Aug 16, 2022",88.92,86.08,86.4,"205,500"
145,88.17,"Aug 15, 2022",89.46,87.29,88.73,"252,700"
146,89.17,"Aug 12, 2022",89.21,87.26,87.68,"221,600"
147,87.48,"Aug 11, 2022",89.87,87.17,89.07,"216,900"
148,87.18,"Aug 10, 2022",89.31,85.15,85.15,"321,100"
149,83.29,"Aug 09, 2022",85.81,82.61,85.81,"305,800"
150,86.45,"Aug 08, 2022",88.2,85.84,85.84,"234,800"
151,85.49,"Aug 05, 2022",86.9,84.19,85.08,"210,700"
152,86.94,"Aug 04, 2022",87.47,84.86,84.86,"242,200"
153,85.06,"Aug 03, 2022",85.5,83.3,83.82,"213,900"
154,83.91,"Aug 02, 2022",87.72,83.8,86.88,"281,500"
155,88.11,"Aug 01, 2022",90.27,86.87,88.17,"298,100"
156,88.3,"Jul 29, 2022",88.88,85.87,88.88,"386,800"
157,88.31,"Jul 28, 2022",90.87,84.15,88.73,"682,400"
158,88.63,"Jul 27, 2022",89.37,84.77,86.28,"423,100"
159,86.03,"Jul 26, 2022",87.08,85.38,86.93,"310,200"
160,86.98,"Jul 25, 2022",87.64,86.12,86.79,"441,900"
161,87.44,"Jul 22, 2022",87.88,85.26,86.35,"499,100"
162,85.41,"Jul 21, 2022",85.54,81.31,83.52,"413,400"
163,84.12,"Jul 20, 2022",84.87,82.79,84.57,"305,200"
164,85.01,"Jul 19, 2022",85.05,82.29,83.44,"341,500"
165,82.23,"Jul 18, 2022",84.05,81.86,83.47,"269,900"
166,82.95,"Jul 15, 2022",83.91,80.64,83.91,"325,200"
167,82.05,"Jul 14, 2022",82.42,80.01,81.52,"211,900"
168,82.88,"Jul 13, 2022",83.17,78.14,80.02,"311,100"
169,81.82,"Jul 12, 2022",84.69,81.19,81.19,"375,000"
170,82.55,"Jul 11, 2022",82.84,81.08,81.48,"388,200"
171,81.76,"Jul 08, 2022",81.88,78.78,78.78,"403,100"
172,79.24,"Jul 07, 2022",79.37,77.51,78.58,"237,900"
173,78.21,"Jul 06, 2022",80.6,76.47,79.86,"313,700"
174,79.86,"Jul 05, 2022",79.97,75.64,75.88,"406,200"
175,77.19,"Jul 01, 2022",77.59,72.68,72.93,"382,600"
176,72.5,"Jun 30, 2022",73.31,70.11,70.95,"244,400"
177,71.77,"Jun 29, 2022",72.65,70.87,71.97,"223,500"
178,72.46,"Jun 28, 2022",75.49,72.36,74.91,"328,600"
179,74.41,"Jun 27, 2022",75.84,72.46,73.7,"351,600"
180,73.81,"Jun 24, 2022",74.35,71.93,72.6,"1,072,300"
181,72.04,"Jun 23, 2022",72.78,66.83,66.9,"897,400"
182,66.21,"Jun 22, 2022",67.21,63.64,63.96,"546,500"
183,64.97,"Jun 21, 2022",68.23,64.4,66.57,"420,100"
184,65.79,"Jun 17, 2022",66.16,62.51,65.12,"1,186,300"
185,66.82,"Jun 16, 2022",72.0,66.08,72.0,"656,400"
186,74.1,"Jun 15, 2022",76.04,72.45,75.41,"374,400"
187,74.29,"Jun 14, 2022",76.8,74.02,76.21,"347,000"
188,76.16,"Jun 13, 2022",79.72,75.13,77.71,"754,200"
189,80.11,"Jun 10, 2022",82.9,79.54,82.78,"370,900"
190,83.83,"Jun 09, 2022",84.94,82.76,83.31,"299,100"
191,83.51,"Jun 08, 2022",84.95,83.04,84.22,"292,500"
192,85.2,"Jun 07, 2022",85.3,82.84,83.22,"229,000"
193,84.57,"Jun 06, 2022",85.76,84.07,85.42,"274,800"
194,85.18,"Jun 03, 2022",86.49,84.0,84.3,"274,500"
195,85.45,"Jun 02, 2022",86.33,83.79,84.83,"210,900"
196,84.44,"Jun 01, 2022",85.59,83.83,85.59,"284,500"
197,85.31,"May 31, 2022",85.92,83.86,85.07,"362,000"
198,85.77,"May 27, 2022",85.91,84.18,84.98,"233,000"
199,84.6,"May 26, 2022",85.67,82.66,84.05,"365,700"
200,81.64,"May 25, 2022",81.96,78.07,78.07,"384,500"
201,78.19,"May 24, 2022",78.92,75.54,78.72,"586,900"
202,79.38,"May 23, 2022",82.5,79.09,82.27,"306,600"
203,81.93,"May 20, 2022",82.41,78.71,82.05,"340,200"
204,81.22,"May 19, 2022",83.08,79.86,79.86,"317,100"
205,80.0,"May 18, 2022",83.46,79.57,82.7,"369,900"
206,84.47,"May 17, 2022",84.69,81.7,83.76,"250,500"
207,82.16,"May 16, 2022",83.03,80.42,82.86,"283,600"
208,82.86,"May 13, 2022",83.6,79.8,79.8,"419,900"
209,80.42,"May 12, 2022",81.76,77.63,77.86,"330,000"
210,78.22,"May 11, 2022",82.34,77.83,80.39,"481,300"
211,81.09,"May 10, 2022",85.17,79.91,84.35,"455,100"
212,83.25,"May 09, 2022",85.36,81.68,81.87,"354,500"
213,83.01,"May 06, 2022",84.43,80.75,83.8,"290,700"
214,84.13,"May 05, 2022",88.26,82.95,87.26,"431,200"
