,Close,Date,High,Low,Open,Volume
0,61.00,"Mar 14, 2023",61.10,60.35,60.48,"2,974,900"
1,60.72,"Mar 13, 2023",61.34,59.33,59.42,"4,309,600"
2,60.11,"Mar 10, 2023",61.54,59.97,60.71,"4,028,800"
3,60.73,"Mar 09, 2023",61.93,60.49,61.73,"3,042,400"
4,63.26,"Mar 08, 2023",63.52,63.02,63.28,"2,969,800"
5,62.21,"Mar 07, 2023",63.64,62.19,63.60,"3,367,500"
6,64.04,"Mar 06, 2023",64.40,63.83,64.30,"3,009,500"
7,65.85,"Mar 03, 2023",66.01,65.38,65.68,"2,686,300"
8,65.01,"Mar 02, 2023",65.27,63.17,63.46,"5,870,900"
9,63.16,"Mar 01, 2023",63.54,62.63,63.00,"4,786,800"
10,60.97,"Feb 28, 2023",61.57,60.75,61.27,"3,041,500"
11,60.45,"Feb 27, 2023",60.98,59.98,60.11,"2,873,100"
12,60.43,"Feb 24, 2023",60.5,59.84,60.13,"4,344,600"
13,62.83,"Feb 23, 2023",63.92,62.22,63.35,"4,134,500"
14,64.18,"Feb 22, 2023",64.63,63.46,64.33,"4,002,600"
15,66.27,"Feb 21, 2023",67.14,66.11,66.80,"3,126,400"
16,66.44,"Feb 17, 2023",66.88,66.15,66.48,"2,743,200"
17,67.13,"Feb 16, 2023",67.77,66.31,66.47,"2,713,000"
18,66.8,"Feb 15, 2023",66.85,65.11,65.26,"2,932,200"
19,67.16,"Feb 14, 2023",67.42,66.07,66.18,"2,350,500"
20,66.74,"Feb 13, 2023",66.94,65.62,65.72,"2,930,700"
21,65.98,"Feb 10, 2023",66.41,65.51,66.33,"2,827,500"
22,66.68,"Feb 09, 2023",68.1,66.45,68.10,"2,507,100"
23,66.55,"Feb 08, 2023",67.14,66.4,66.57,"2,310,600"
24,66.81,"Feb 07, 2023",67.05,65.32,65.93,"3,124,400"
25,66.02,"Feb 06, 2023",66.26,65.38,66.07,"2,881,800"
26,67.08,"Feb 03, 2023",68.0,66.89,67.39,"3,359,300"
27,67.55,"Feb 02, 2023",69.07,66.81,69.00,"6,053,600"
28,70.1,"Feb 01, 2023",70.44,68.35,69.91,"4,558,000"
29,70.15,"Jan 31, 2023",70.2,69.01,69.21,"2,369,000"
30,69.67,"Jan 30, 2023",70.2,69.49,69.70,"2,577,100"
31,69.88,"Jan 27, 2023",70.68,69.24,70.28,"3,123,700"
32,71.24,"Jan 26, 2023",71.52,70.41,71.32,"2,811,000"
33,70.76,"Jan 25, 2023",70.85,69.38,69.39,"2,654,000"
34,69.76,"Jan 24, 2023",70.0,68.2,70.00,"2,533,900"
35,69.38,"Jan 23, 2023",69.56,68.77,69.16,"2,272,900"
36,69.46,"Jan 20, 2023",69.49,67.98,68.15,"4,344,900"
37,68.88,"Jan 19, 2023",69.32,67.79,67.87,"3,704,400"
38,68.06,"Jan 18, 2023",70.0,68.05,69.42,"3,548,900"
39,67.76,"Jan 17, 2023",68.69,67.72,68.66,"3,530,300"
40,69.28,"Jan 13, 2023",69.38,68.44,68.65,"2,635,200"
41,68.99,"Jan 12, 2023",69.0,66.96,68.18,"3,174,600"
42,67.3,"Jan 11, 2023",67.48,66.57,67.43,"3,299,500"
43,66.78,"Jan 10, 2023",66.82,65.86,66.31,"2,679,600"
44,65.62,"Jan 09, 2023",66.67,65.58,66.47,"2,844,200"
45,66.04,"Jan 06, 2023",66.11,64.1,64.70,"2,820,300"
46,63.33,"Jan 05, 2023",63.61,62.76,63.22,"3,024,900"
47,62.77,"Jan 04, 2023",62.78,61.68,62.38,"3,345,600"
48,61.4,"Jan 03, 2023",62.35,61.05,61.58,"2,137,900"
49,62.05,"Dec 30, 2022",62.43,61.64,62.00,"1,349,400"
50,62.24,"Dec 29, 2022",62.46,61.96,62.00,"1,495,300"
51,61.74,"Dec 28, 2022",62.93,61.64,62.87,"1,670,300"
52,62.74,"Dec 27, 2022",63.09,62.4,62.69,"1,457,300"
53,62.05,"Dec 23, 2022",62.14,61.33,62.03,"1,235,100"
54,61.41,"Dec 22, 2022",61.73,60.57,61.65,"2,307,600"
55,62.66,"Dec 21, 2022",62.9,62.29,62.45,"1,884,200"
56,61.54,"Dec 20, 2022",61.89,61.1,61.10,"1,722,900"
57,60.82,"Dec 19, 2022",62.1,60.48,61.90,"2,035,600"
58,61.18,"Dec 16, 2022",61.32,60.56,60.85,"3,155,800"
59,61.67,"Dec 15, 2022",62.5,61.59,62.41,"3,573,100"
60,62.41,"Dec 14, 2022",62.9,61.61,62.42,"3,227,500"
61,63.36,"Dec 13, 2022",64.44,63.14,64.15,"2,604,800"
62,63.09,"Dec 12, 2022",63.31,62.19,63.29,"2,631,500"
63,63.98,"Dec 09, 2022",65.18,63.98,64.67,"2,923,600"
64,63.47,"Dec 08, 2022",63.96,63.24,63.42,"2,243,200"
65,62.45,"Dec 07, 2022",63.21,62.22,62.30,"2,420,700"
66,62.74,"Dec 06, 2022",63.43,62.38,63.12,"2,885,200"
67,62.48,"Dec 05, 2022",64.25,62.32,63.53,"3,001,200"
68,63.43,"Dec 02, 2022",63.56,61.85,61.90,"2,857,600"
69,63.02,"Dec 01, 2022",63.42,62.67,62.79,"2,789,900"
70,62.8,"Nov 30, 2022",63.19,61.43,61.72,"3,757,700"
71,60.81,"Nov 29, 2022",61.0,60.36,60.45,"3,402,200"
72,58.98,"Nov 28, 2022",59.69,58.77,58.99,"3,012,800"
73,59.68,"Nov 25, 2022",59.91,59.35,59.38,"1,282,700"
74,60.04,"Nov 23, 2022",60.04,58.46,58.53,"3,658,600"
75,58.75,"Nov 22, 2022",58.82,57.78,58.00,"2,482,200"
76,57.24,"Nov 21, 2022",57.53,55.96,56.79,"3,662,400"
77,58.74,"Nov 18, 2022",58.89,58.15,58.79,"2,659,000"
78,58.6,"Nov 17, 2022",58.62,56.83,57.00,"3,270,100"
79,58.68,"Nov 16, 2022",59.54,58.36,59.30,"3,941,200"
80,59.69,"Nov 15, 2022",60.14,59.21,60.05,"3,461,300"
81,58.39,"Nov 14, 2022",59.13,58.24,58.36,"3,687,100"
82,58.05,"Nov 11, 2022",58.59,57.16,57.57,"6,602,100"
83,54.44,"Nov 10, 2022",54.56,53.14,53.66,"4,891,700"
84,52.1,"Nov 09, 2022",53.54,52.06,53.23,"3,225,500"
85,53.35,"Nov 08, 2022",53.99,52.59,52.92,"4,162,400"
86,52.79,"Nov 07, 2022",53.97,52.68,53.97,"3,550,700"
87,53.04,"Nov 04, 2022",53.62,52.18,52.62,"7,810,100"
88,48.33,"Nov 03, 2022",48.69,47.47,47.61,"4,326,800"
89,48.07,"Nov 02, 2022",50.34,48.05,49.60,"4,966,600"
90,49.6,"Nov 01, 2022",50.4,49.24,50.34,"4,150,200"
91,47.82,"Oct 31, 2022",48.26,47.09,47.09,"3,972,500"
92,47.53,"Oct 28, 2022",48.26,46.92,48.00,"7,580,200"
93,49.9,"Oct 27, 2022",50.19,49.4,50.08,"4,783,300"
94,51.06,"Oct 26, 2022",52.0,50.37,50.42,"5,160,300"
95,49.67,"Oct 25, 2022",50.05,48.57,48.99,"3,675,600"
96,49.01,"Oct 24, 2022",49.58,48.7,48.90,"3,782,500"
97,50.26,"Oct 21, 2022",50.39,47.82,47.89,"3,986,900"
98,48.25,"Oct 20, 2022",49.46,47.69,47.73,"4,480,200"
99,48.57,"Oct 19, 2022",49.1,48.15,48.72,"2,639,500"
100,49.29,"Oct 18, 2022",50.44,48.58,50.25,"3,294,800"
101,49.81,"Oct 17, 2022",50.25,49.48,49.87,"4,004,600"
102,48.31,"Oct 14, 2022",50.39,48.27,50.36,"2,833,500"
103,50.24,"Oct 13, 2022",50.77,47.87,48.17,"3,664,900"
104,49.14,"Oct 12, 2022",50.06,49.06,49.19,"3,570,700"
105,50.13,"Oct 11, 2022",51.2,49.47,50.13,"4,007,200"
106,51.22,"Oct 10, 2022",51.79,51.05,51.73,"3,440,300"
107,51.18,"Oct 07, 2022",51.89,50.95,51.38,"3,635,100"
108,51.57,"Oct 06, 2022",52.28,51.36,51.76,"3,393,600"
109,52.59,"Oct 05, 2022",52.91,51.83,52.05,"3,275,400"
110,53.23,"Oct 04, 2022",53.49,52.21,52.31,"3,274,900"
111,51.66,"Oct 03, 2022",51.95,50.88,51.00,"3,003,500"
112,50.04,"Sep 30, 2022",51.1,49.71,49.71,"3,093,900"
113,50.42,"Sep 29, 2022",50.72,49.46,50.56,"4,138,000"
114,50.13,"Sep 28, 2022",50.23,48.5,48.58,"3,765,400"
115,48.5,"Sep 27, 2022",48.93,48.11,48.50,"3,995,700"
116,47.47,"Sep 26, 2022",48.6,47.39,47.50,"5,592,800"
117,48.87,"Sep 23, 2022",49.27,48.18,49.16,"5,368,900"
118,51.21,"Sep 22, 2022",52.08,50.92,52.00,"4,884,100"
119,50.01,"Sep 21, 2022",51.65,50.01,51.55,"2,621,500"
120,51.45,"Sep 20, 2022",51.71,51.01,51.64,"3,754,600"
121,51.89,"Sep 19, 2022",51.93,50.01,50.08,"3,231,100"
122,50.95,"Sep 16, 2022",51.41,50.35,50.71,"4,872,300"
123,51.68,"Sep 15, 2022",52.39,51.35,51.68,"2,991,800"
124,52.02,"Sep 14, 2022",52.58,51.59,52.25,"3,149,500"
125,52.18,"Sep 13, 2022",53.74,52.05,53.13,"4,359,200"
126,54.54,"Sep 12, 2022",54.9,54.15,54.60,"3,382,700"
127,53.34,"Sep 09, 2022",53.49,52.38,52.38,"3,895,000"
128,50.39,"Sep 08, 2022",50.5,49.36,49.56,"5,296,400"
129,49.0,"Sep 07, 2022",49.19,48.22,48.63,"5,109,700"
130,49.85,"Sep 06, 2022",50.65,49.68,50.50,"5,097,500"
131,50.21,"Sep 02, 2022",51.32,49.96,51.09,"4,106,200"
132,49.88,"Sep 01, 2022",50.39,49.4,50.37,"7,320,600"
133,,"Sep 01, 2022",,,Dividend,
134,54.89,"Aug 31, 2022",55.5,54.65,55.50,"4,050,000"
135,55.4,"Aug 30, 2022",57.23,55.28,57.16,"4,607,200"
136,57.86,"Aug 29, 2022",58.56,57.81,57.85,"3,552,900"
137,58.88,"Aug 26, 2022",60.81,58.77,60.31,"3,353,600"
138,59.93,"Aug 25, 2022",59.94,58.94,58.95,"2,958,700"
139,58.15,"Aug 24, 2022",58.42,57.68,58.05,"3,385,700"
140,58.79,"Aug 23, 2022",59.11,57.5,57.50,"4,610,500"
141,57.31,"Aug 22, 2022",57.43,56.41,56.81,"3,738,400"
142,56.75,"Aug 19, 2022",57.01,56.28,56.91,"3,216,600"
143,57.13,"Aug 18, 2022",57.58,56.63,57.45,"3,809,300"
144,56.55,"Aug 17, 2022",57.27,56.2,56.27,"3,923,000"
145,57.97,"Aug 16, 2022",58.0,56.32,56.56,"4,584,500"
146,54.74,"Aug 15, 2022",54.81,53.64,53.95,"3,156,800"
147,55.76,"Aug 12, 2022",55.81,54.24,54.29,"3,036,200"
148,55.35,"Aug 11, 2022",55.87,55.08,55.09,"2,482,400"
149,54.93,"Aug 10, 2022",55.13,54.41,54.71,"2,325,000"
150,53.9,"Aug 09, 2022",54.4,53.68,54.07,"2,400,400"
151,54.38,"Aug 08, 2022",55.13,54.16,54.77,"2,330,700"
152,54.4,"Aug 05, 2022",54.69,52.91,53.05,"2,309,200"
153,53.13,"Aug 04, 2022",53.56,52.86,53.03,"2,650,900"
154,53.25,"Aug 03, 2022",53.68,52.9,53.64,"2,524,600"
155,53.02,"Aug 02, 2022",53.79,52.77,53.60,"2,393,200"
156,54.19,"Aug 01, 2022",54.55,53.67,54.48,"2,422,900"
157,55.04,"Jul 29, 2022",55.31,53.88,54.29,"2,655,600"
158,54.02,"Jul 28, 2022",54.65,53.34,54.50,"2,423,500"
159,53.44,"Jul 27, 2022",53.58,51.92,52.15,"3,000,000"
160,52.72,"Jul 26, 2022",52.97,52.31,52.83,"2,989,300"
161,52.82,"Jul 25, 2022",53.11,52.18,52.97,"2,490,600"
162,51.09,"Jul 22, 2022",52.18,50.86,51.90,"3,033,300"
163,50.76,"Jul 21, 2022",50.83,49.46,49.50,"2,922,800"
164,50.86,"Jul 20, 2022",50.96,50.27,50.82,"2,718,000"
165,50.87,"Jul 19, 2022",51.03,49.99,50.37,"3,153,400"
166,50.67,"Jul 18, 2022",51.61,50.46,51.13,"3,781,300"
167,49.27,"Jul 15, 2022",49.33,48.11,48.60,"3,198,800"
168,48.24,"Jul 14, 2022",48.44,47.35,48.01,"4,660,100"
169,50.29,"Jul 13, 2022",50.76,49.26,49.68,"3,406,900"
170,50.19,"Jul 12, 2022",50.85,50.01,50.50,"3,741,900"
171,51.12,"Jul 11, 2022",51.65,50.68,51.44,"2,775,900"
172,52.99,"Jul 08, 2022",53.53,52.28,53.32,"3,193,100"
173,54.14,"Jul 07, 2022",55.1,53.76,54.34,"4,148,400"
174,52.5,"Jul 06, 2022",52.54,51.25,52.13,"4,067,600"
175,52.94,"Jul 05, 2022",52.95,51.46,52.27,"5,291,300"
176,54.13,"Jul 01, 2022",54.51,52.64,54.19,"4,125,700"
177,56.18,"Jun 30, 2022",56.7,55.1,56.10,"3,594,300"
178,58.19,"Jun 29, 2022",58.79,57.61,58.65,"2,876,400"
179,58.19,"Jun 28, 2022",59.04,57.9,58.55,"3,026,500"
180,57.68,"Jun 27, 2022",58.07,57.19,57.50,"2,769,800"
181,56.32,"Jun 24, 2022",56.37,54.89,55.16,"2,783,700"
182,54.75,"Jun 23, 2022",55.71,54.04,55.63,"3,917,300"
183,55.61,"Jun 22, 2022",56.14,55.04,55.18,"4,035,300"
184,57.72,"Jun 21, 2022",58.1,56.92,56.95,"3,576,800"
185,57.76,"Jun 17, 2022",58.94,57.24,58.51,"3,963,700"
186,60.21,"Jun 16, 2022",60.64,59.63,60.06,"3,170,400"
187,61.95,"Jun 15, 2022",62.27,60.33,61.26,"3,582,000"
188,59.97,"Jun 14, 2022",60.8,59.31,60.37,"3,288,600"
189,60.81,"Jun 13, 2022",61.72,60.11,60.83,"3,559,800"
190,63.48,"Jun 10, 2022",64.13,62.92,63.56,"3,218,500"
191,65.28,"Jun 09, 2022",66.84,65.28,66.79,"2,719,100"
192,67.59,"Jun 08, 2022",68.56,67.34,67.74,"3,190,300"
193,69.21,"Jun 07, 2022",69.25,67.03,67.04,"4,557,100"
194,66.78,"Jun 06, 2022",67.42,66.37,66.98,"3,050,000"
195,67.1,"Jun 03, 2022",67.48,66.39,66.66,"3,632,900"
196,67.44,"Jun 02, 2022",67.93,66.25,66.40,"3,866,300"
197,,"Jun 02, 2022",,,Stock Split,
198,63.87,"Jun 01, 2022",64.96,63.2,64.45,"5,143,596"
199,63.03,"May 31, 2022",64.39,62.71,63.96,"3,267,603"
200,63.35,"May 27, 2022",63.76,62.8,62.87,"2,622,467"
201,61.03,"May 26, 2022",61.26,60.71,60.87,"2,244,242"
202,61.28,"May 25, 2022",61.47,60.37,61.18,"2,301,525"
203,61.56,"May 24, 2022",61.68,60.33,60.44,"3,192,832"
204,61.28,"May 23, 2022",61.57,60.46,60.93,"4,398,356"
205,60.05,"May 20, 2022",60.26,58.91,59.98,"4,860,320"
206,58.76,"May 19, 2022",59.29,57.21,57.21,"5,452,432"
207,56.93,"May 18, 2022",57.76,56.72,57.57,"3,603,118"
208,58.47,"May 17, 2022",58.55,57.81,58.28,"3,809,831"
209,56.62,"May 16, 2022",56.99,56.02,56.61,"4,217,538"
210,56.68,"May 13, 2022",56.9,55.79,56.02,"3,130,168"
211,55.29,"May 12, 2022",55.63,54.15,54.65,"4,571,662"
212,55.99,"May 11, 2022",58.0,55.92,57.13,"4,290,179"
213,55.77,"May 10, 2022",56.58,54.89,56.49,"3,914,980"
214,55.43,"May 09, 2022",56.95,55.32,56.68,"5,975,715"
215,58.74,"May 06, 2022",58.85,57.41,58.14,"3,810,727"
216,58.69,"May 05, 2022",60.81,58.07,60.69,"5,458,149"
217,61.79,"May 04, 2022",61.88,59.28,59.90,"4,593,410"
218,60.55,"May 03, 2022",61.04,60.16,60.29,"3,054,613"
219,60.12,"May 02, 2022",60.13,58.88,59.71,"4,315,402"
220,59.75,"Apr 29, 2022",61.84,59.7,61.41,"3,650,985"
221,60.76,"Apr 28, 2022",60.81,59.22,59.84,"4,777,814"
