,Close,Date,High,Low,Open,Volume
0,11.16,"Mar 14, 2023",11.16,11.01,11.11,"867,900"
1,,"Mar 13, 2023",,,,
2,11.18,"Mar 10, 2023",11.45,11.13,11.27,"422,400"
3,11.14,"Mar 09, 2023",11.30,11.08,11.24,"349,100"
4,11.45,"Mar 08, 2023",11.55,11.31,11.32,"518,200"
5,11.28,"Mar 07, 2023",11.68,11.23,11.68,"869,900"
6,12.04,"Mar 06, 2023",12.11,11.95,12.11,"473,800"
7,12.60,"Mar 03, 2023",12.61,12.44,12.54,"460,000"
8,12.23,"Mar 02, 2023",12.26,12.03,12.05,"255,000"
9,12.32,"Mar 01, 2023",12.33,12.19,12.21,"605,500"
10,11.87,"Feb 28, 2023",11.97,11.83,11.83,"335,500"
11,11.88,"Feb 27, 2023",11.90,11.71,11.78,"1,350,500"
12,11.67,"Feb 24, 2023",11.75,11.6,11.71,"475,700"
13,11.97,"Feb 23, 2023",11.97,11.76,11.93,"542,500"
14,11.8,"Feb 22, 2023",11.92,11.74,11.78,"621,600"
15,12.01,"Feb 21, 2023",12.23,12.0,12.19,"861,000"
16,12.27,"Feb 17, 2023",12.29,12.11,12.16,"354,300"
17,12.18,"Feb 16, 2023",12.27,11.99,11.99,"735,800"
18,12.3,"Feb 15, 2023",12.3,11.97,12.03,"1,196,700"
19,12.62,"Feb 14, 2023",12.73,12.34,12.35,"1,010,200"
20,12.52,"Feb 13, 2023",12.55,12.37,12.40,"421,000"
21,12.35,"Feb 10, 2023",12.52,12.29,12.49,"489,400"
22,12.64,"Feb 09, 2023",13.01,12.61,13.01,"717,700"
23,13.17,"Feb 08, 2023",13.25,13.09,13.21,"1,896,200"
24,13.27,"Feb 07, 2023",13.33,13.04,13.11,"596,300"
25,13.12,"Feb 06, 2023",13.14,12.94,13.07,"1,295,100"
26,13.28,"Feb 03, 2023",13.54,13.25,13.34,"764,700"
27,13.25,"Feb 02, 2023",13.5,13.19,13.50,"1,626,900"
28,13.52,"Feb 01, 2023",13.61,13.22,13.45,"449,300"
29,13.33,"Jan 31, 2023",13.39,13.18,13.23,"489,800"
30,13.52,"Jan 30, 2023",13.61,13.5,13.50,"199,200"
31,13.54,"Jan 27, 2023",13.62,13.39,13.55,"965,600"
32,13.63,"Jan 26, 2023",13.65,13.41,13.58,"734,300"
33,13.84,"Jan 25, 2023",13.86,13.62,13.68,"544,700"
34,13.92,"Jan 24, 2023",13.96,13.67,13.75,"598,900"
35,14.28,"Jan 23, 2023",14.33,14.15,14.27,"667,900"
36,14.31,"Jan 20, 2023",14.31,14.03,14.07,"561,600"
37,14.07,"Jan 19, 2023",14.1,13.76,13.78,"912,700"
38,13.98,"Jan 18, 2023",14.41,13.96,14.10,"1,495,900"
39,13.42,"Jan 17, 2023",13.53,13.36,13.41,"1,353,000"
40,13.68,"Jan 13, 2023",13.69,13.46,13.46,"1,367,300"
41,13.28,"Jan 12, 2023",13.31,12.87,13.08,"1,060,200"
42,13.04,"Jan 11, 2023",13.21,12.88,13.20,"663,400"
43,13.1,"Jan 10, 2023",13.1,12.88,13.07,"723,700"
44,13.05,"Jan 09, 2023",13.26,13.05,13.15,"763,100"
45,12.75,"Jan 06, 2023",12.75,12.43,12.46,"559,600"
46,12.23,"Jan 05, 2023",12.26,12.06,12.11,"973,500"
47,12.18,"Jan 04, 2023",12.47,12.11,12.47,"2,024,400"
48,13.0,"Jan 03, 2023",13.36,12.92,13.23,"447,300"
49,13.32,"Dec 30, 2022",13.38,13.09,13.09,"172,800"
50,13.39,"Dec 29, 2022",13.48,13.38,13.47,"146,200"
51,13.41,"Dec 28, 2022",13.74,13.35,13.74,"355,800"
52,13.65,"Dec 27, 2022",13.65,13.5,13.52,"266,000"
53,13.44,"Dec 23, 2022",13.47,13.25,13.25,"199,900"
54,13.38,"Dec 22, 2022",13.46,13.2,13.46,"337,700"
55,13.52,"Dec 21, 2022",13.55,13.35,13.37,"397,300"
56,13.32,"Dec 20, 2022",13.36,13.18,13.21,"657,300"
57,12.97,"Dec 19, 2022",13.13,12.91,13.06,"263,300"
58,12.91,"Dec 16, 2022",12.98,12.81,12.90,"410,700"
59,12.95,"Dec 15, 2022",13.15,12.92,13.15,"591,700"
60,13.45,"Dec 14, 2022",13.47,13.2,13.35,"696,900"
61,13.34,"Dec 13, 2022",13.65,13.3,13.56,"443,700"
62,13.12,"Dec 12, 2022",13.3,13.04,13.28,"502,300"
63,13.15,"Dec 09, 2022",13.34,13.15,13.30,"216,000"
64,13.36,"Dec 08, 2022",13.48,13.33,13.41,"299,400"
65,13.17,"Dec 07, 2022",13.32,13.1,13.14,"495,600"
66,13.5,"Dec 06, 2022",13.55,13.27,13.39,"663,800"
67,13.51,"Dec 05, 2022",13.9,13.5,13.84,"271,800"
68,13.71,"Dec 02, 2022",13.75,13.43,13.46,"310,400"
69,13.58,"Dec 01, 2022",13.72,13.5,13.66,"277,600"
70,13.5,"Nov 30, 2022",13.66,13.32,13.50,"784,000"
71,13.19,"Nov 29, 2022",13.2,13.06,13.06,"527,200"
72,12.82,"Nov 28, 2022",13.0,12.69,12.72,"363,600"
73,12.81,"Nov 25, 2022",12.91,12.8,12.85,"154,200"
74,12.82,"Nov 23, 2022",12.82,12.61,12.66,"371,500"
75,12.28,"Nov 22, 2022",12.28,12.14,12.19,"372,000"
76,11.85,"Nov 21, 2022",11.87,11.63,11.76,"572,400"
77,12.0,"Nov 18, 2022",12.04,11.88,12.00,"370,700"
78,12.17,"Nov 17, 2022",12.17,11.91,11.93,"226,400"
79,12.2,"Nov 16, 2022",12.29,12.15,12.25,"452,600"
80,12.23,"Nov 15, 2022",12.34,12.15,12.32,"498,600"
