,Close,Date,High,Low,Open,Volume
0,16.82,"Mar 14, 2023",16.83,16.57,16.66,"124,700"
1,,"Mar 13, 2023",,,,
2,16.66,"Mar 10, 2023",17.09,16.56,16.88,"135,100"
3,16.50,"Mar 09, 2023",16.91,16.50,16.83,"140,500"
4,17.01,"Mar 08, 2023",17.09,16.81,16.81,"130,700"
5,16.78,"Mar 07, 2023",17.33,16.71,17.33,"223,700"
6,17.59,"Mar 06, 2023",17.70,17.35,17.59,"371,500"
7,18.26,"Mar 03, 2023",18.35,18.12,18.35,"249,600"
8,17.99,"Mar 02, 2023",17.99,17.65,17.73,"148,100"
9,17.95,"Mar 01, 2023",18.06,17.75,17.84,"300,700"
10,17.28,"Feb 28, 2023",17.59,17.16,17.18,"282,800"
11,17.13,"Feb 27, 2023",17.40,17.07,17.21,"401,200"
12,17.2,"Feb 24, 2023",17.25,16.98,17.20,"408,800"
13,18.17,"Feb 23, 2023",18.58,17.96,18.53,"152,100"
14,18.47,"Feb 22, 2023",18.69,18.21,18.49,"138,400"
15,18.91,"Feb 21, 2023",19.25,18.91,19.19,"137,500"
16,19.39,"Feb 17, 2023",19.42,19.14,19.31,"129,000"
17,19.54,"Feb 16, 2023",19.81,19.23,19.23,"110,600"
18,19.49,"Feb 15, 2023",19.52,18.81,18.83,"81,700"
19,19.76,"Feb 14, 2023",19.82,19.39,19.44,"87,900"
20,19.65,"Feb 13, 2023",19.68,19.4,19.50,"188,900"
21,19.45,"Feb 10, 2023",19.68,19.39,19.68,"954,500"
22,20.08,"Feb 09, 2023",20.65,20.06,20.65,"394,900"
23,20.17,"Feb 08, 2023",20.32,20.06,20.20,"208,700"
24,20.55,"Feb 07, 2023",20.63,20.17,20.33,"429,700"
25,20.24,"Feb 06, 2023",20.29,20.02,20.23,"218,000"
26,20.56,"Feb 03, 2023",20.83,20.48,20.55,"174,500"
27,20.7,"Feb 02, 2023",21.2,20.46,21.16,"186,000"
28,21.17,"Feb 01, 2023",21.47,20.72,21.03,"285,100"
29,21.55,"Jan 31, 2023",21.57,21.03,21.10,"166,600"
30,21.82,"Jan 30, 2023",22.06,21.76,21.83,"130,900"
31,22.17,"Jan 27, 2023",22.27,21.82,22.27,"169,900"
32,22.51,"Jan 26, 2023",22.52,22.17,22.51,"82,800"
33,22.46,"Jan 25, 2023",22.54,22.09,22.15,"134,700"
34,22.26,"Jan 24, 2023",22.29,21.7,21.85,"207,100"
35,22.45,"Jan 23, 2023",22.46,22.19,22.36,"188,300"
36,22.31,"Jan 20, 2023",22.37,21.97,22.04,"207,900"
37,22.35,"Jan 19, 2023",22.39,22.0,22.11,"303,800"
38,22.35,"Jan 18, 2023",22.95,22.29,22.60,"504,200"
39,21.98,"Jan 17, 2023",22.07,21.75,21.89,"426,800"
40,21.97,"Jan 13, 2023",21.97,21.67,21.67,"103,500"
41,22.19,"Jan 12, 2023",22.2,21.57,22.00,"171,800"
42,21.55,"Jan 11, 2023",21.74,21.34,21.70,"77,000"
43,21.35,"Jan 10, 2023",21.39,21.08,21.27,"251,400"
44,21.57,"Jan 09, 2023",21.93,21.57,21.69,"92,900"
45,21.31,"Jan 06, 2023",21.35,20.46,20.61,"206,800"
46,19.86,"Jan 05, 2023",19.91,19.52,19.70,"135,000"
47,19.21,"Jan 04, 2023",19.38,19.06,19.30,"124,800"
48,19.53,"Jan 03, 2023",19.74,19.43,19.48,"73,700"
49,19.61,"Dec 30, 2022",19.61,19.18,19.50,"71,800"
50,19.62,"Dec 29, 2022",19.8,19.58,19.67,"106,900"
51,19.69,"Dec 28, 2022",20.17,19.67,20.14,"103,200"
52,19.59,"Dec 27, 2022",20.4,19.59,20.40,"151,800"
53,19.71,"Dec 23, 2022",19.85,19.15,19.15,"139,800"
54,19.32,"Dec 22, 2022",19.38,19.05,19.38,"151,800"
