,Close,Date,High,Low,Open,Volume
0,15.94,"Mar 14, 2023",16.05,15.78,15.87,"23,262,000"
1,,"Mar 14, 2023",,,Dividend,
2,16.07,"Mar 13, 2023",16.40,15.94,16.02,"27,469,300"
3,16.20,"Mar 10, 2023",16.64,16.11,16.39,"18,615,600"
4,16.47,"Mar 09, 2023",16.84,16.43,16.72,"16,344,500"
5,16.72,"Mar 08, 2023",16.91,16.59,16.62,"12,981,900"
6,16.32,"Mar 07, 2023",16.84,16.27,16.70,"31,286,600"
7,16.69,"Mar 06, 2023",16.78,16.55,16.73,"46,661,500"
8,17.11,"Mar 03, 2023",17.25,17.06,17.19,"40,046,600"
9,17.10,"Mar 02, 2023",17.22,16.87,17.16,"28,703,400"
10,17.32,"Mar 01, 2023",17.49,16.86,16.90,"33,752,200"
11,16.34,"Feb 28, 2023",16.53,16.15,16.30,"20,128,100"
12,16.33,"Feb 24, 2023",16.5,16.23,16.44,"15,877,700"
13,16.92,"Feb 23, 2023",17.17,16.59,17.08,"18,437,200"
14,16.91,"Feb 22, 2023",17.02,16.52,16.84,"32,689,400"
15,17.04,"Feb 21, 2023",17.55,17.01,17.07,"35,445,400"
16,17.02,"Feb 17, 2023",17.2,16.88,17.06,"16,999,100"
17,17.09,"Feb 16, 2023",17.25,16.94,17.11,"19,080,200"
18,17.05,"Feb 15, 2023",17.07,16.61,16.73,"16,820,600"
19,16.77,"Feb 14, 2023",17.0,16.62,16.84,"15,494,600"
20,16.72,"Feb 13, 2023",16.79,16.42,16.46,"19,540,200"
21,16.56,"Feb 10, 2023",16.77,16.46,16.70,"24,320,900"
22,16.76,"Feb 09, 2023",16.97,16.72,16.90,"15,645,300"
23,16.95,"Feb 08, 2023",17.11,16.8,16.95,"12,820,500"
24,16.95,"Feb 07, 2023",17.16,16.85,17.00,"12,971,400"
25,16.96,"Feb 06, 2023",16.99,16.65,16.77,"16,439,600"
26,17.32,"Feb 03, 2023",17.77,17.21,17.65,"39,014,500"
27,17.66,"Feb 02, 2023",18.31,17.6,18.31,"27,022,600"
28,18.45,"Feb 01, 2023",18.54,17.94,18.17,"22,991,100"
29,18.68,"Jan 31, 2023",18.69,18.42,18.56,"14,280,200"
30,18.51,"Jan 30, 2023",18.75,18.4,18.65,"18,578,900"
31,18.66,"Jan 27, 2023",19.11,18.6,19.06,"26,483,600"
32,19.3,"Jan 26, 2023",19.31,19.0,19.05,"20,958,000"
33,18.91,"Jan 25, 2023",18.95,18.5,18.54,"15,963,900"
34,18.52,"Jan 24, 2023",18.54,18.06,18.08,"13,737,700"
35,18.13,"Jan 23, 2023",18.2,17.97,18.03,"11,139,600"
36,18.12,"Jan 20, 2023",18.18,18.0,18.05,"20,682,900"
37,18.07,"Jan 19, 2023",18.2,17.92,18.04,"20,044,300"
38,18.05,"Jan 18, 2023",18.48,18.03,18.41,"19,427,800"
39,18.0,"Jan 17, 2023",18.19,17.94,18.14,"23,675,800"
40,18.43,"Jan 13, 2023",18.49,18.25,18.26,"16,548,600"
41,18.38,"Jan 12, 2023",18.49,17.99,18.19,"17,878,300"
42,17.9,"Jan 11, 2023",18.09,17.8,18.06,"21,824,200"
43,17.96,"Jan 10, 2023",18.04,17.76,17.80,"28,056,900"
44,17.52,"Jan 09, 2023",17.64,17.32,17.46,"22,693,900"
45,17.66,"Jan 06, 2023",17.68,17.19,17.39,"31,231,000"
46,17.09,"Jan 05, 2023",17.1,16.55,16.58,"28,418,500"
47,16.55,"Jan 04, 2023",16.55,16.05,16.23,"34,623,700"
48,16.35,"Jan 03, 2023",16.72,16.3,16.65,"25,585,700"
49,16.97,"Dec 30, 2022",17.1,16.73,16.83,"16,455,900"
50,16.88,"Dec 29, 2022",17.23,16.85,17.15,"19,336,000"
51,16.92,"Dec 28, 2022",17.16,16.83,17.08,"21,807,400"
52,16.88,"Dec 27, 2022",16.95,16.62,16.64,"19,991,100"
53,16.69,"Dec 23, 2022",16.79,16.5,16.51,"13,416,000"
54,16.54,"Dec 22, 2022",16.61,16.3,16.53,"17,452,500"
55,16.59,"Dec 21, 2022",16.74,16.43,16.51,"27,809,300"
56,16.44,"Dec 20, 2022",16.69,16.39,16.44,"16,416,900"
57,16.1,"Dec 19, 2022",16.13,15.85,15.93,"20,805,200"
58,16.07,"Dec 16, 2022",16.3,15.95,16.12,"24,389,300"
59,16.4,"Dec 15, 2022",16.64,16.23,16.38,"28,607,900"
60,16.41,"Dec 14, 2022",16.49,16.1,16.18,"26,603,700"
61,16.18,"Dec 13, 2022",16.56,16.11,16.41,"39,242,400"
62,16.23,"Dec 12, 2022",16.42,15.92,16.37,"42,406,200"
63,16.94,"Dec 09, 2022",17.09,16.7,16.79,"40,815,400"
64,16.43,"Dec 08, 2022",16.75,16.4,16.62,"21,012,500"
65,16.17,"Dec 07, 2022",16.31,16.0,16.31,"37,540,200"
66,16.76,"Dec 06, 2022",16.94,16.56,16.71,"23,256,100"
67,16.46,"Dec 05, 2022",16.85,16.39,16.68,"39,078,100"
68,16.72,"Dec 02, 2022",16.83,16.46,16.49,"32,911,100"
69,16.64,"Dec 01, 2022",16.68,16.27,16.45,"33,043,800"
70,16.5,"Nov 30, 2022",16.62,16.2,16.20,"34,378,400"
71,16.09,"Nov 29, 2022",16.2,15.81,15.81,"35,717,100"
72,15.17,"Nov 28, 2022",15.27,14.96,15.02,"23,125,400"
73,15.12,"Nov 25, 2022",15.42,15.02,15.29,"11,023,100"
74,15.12,"Nov 23, 2022",15.15,14.79,14.95,"22,711,000"
75,14.89,"Nov 22, 2022",15.23,14.75,15.07,"38,071,400"
76,15.04,"Nov 21, 2022",15.06,14.63,14.93,"19,853,500"
77,15.07,"Nov 18, 2022",15.33,15.0,15.29,"38,862,800"
78,15.33,"Nov 17, 2022",15.33,14.76,14.89,"24,906,500"
79,15.22,"Nov 16, 2022",15.84,15.13,15.67,"30,932,900"
80,15.81,"Nov 15, 2022",15.98,15.6,15.93,"24,265,900"
81,15.71,"Nov 14, 2022",15.93,15.3,15.30,"39,393,900"
82,15.45,"Nov 11, 2022",15.53,14.44,14.48,"63,743,900"
83,13.85,"Nov 10, 2022",14.16,13.64,14.04,"44,423,200"
84,14.07,"Nov 09, 2022",14.53,13.97,14.28,"29,424,300"
85,14.42,"Nov 08, 2022",14.57,14.05,14.16,"41,753,700"
86,13.9,"Nov 07, 2022",14.33,13.88,14.28,"31,237,600"
87,14.39,"Nov 04, 2022",14.57,13.99,14.13,"83,276,300"
88,13.11,"Nov 03, 2022",13.18,12.81,13.03,"37,888,900"
89,12.77,"Nov 02, 2022",13.4,12.75,13.30,"48,757,400"
90,13.43,"Nov 01, 2022",13.76,13.29,13.41,"65,489,000"
91,12.94,"Oct 31, 2022",13.24,12.57,12.60,"74,676,700"
92,12.64,"Oct 28, 2022",12.9,12.47,12.75,"72,168,900"
93,13.37,"Oct 27, 2022",13.67,13.05,13.30,"66,526,000"
94,13.74,"Oct 26, 2022",14.02,13.45,13.46,"63,550,800"
95,13.55,"Oct 25, 2022",13.78,13.3,13.33,"63,760,500"
96,13.5,"Oct 24, 2022",13.94,13.42,13.92,"71,835,300"
97,14.33,"Oct 21, 2022",14.43,13.61,13.70,"65,200,700"
98,13.74,"Oct 20, 2022",14.04,13.36,13.41,"46,895,600"
99,13.45,"Oct 19, 2022",13.66,13.34,13.56,"39,920,400"
100,13.64,"Oct 18, 2022",13.79,13.32,13.67,"43,325,900"
101,13.28,"Oct 17, 2022",13.5,13.18,13.25,"43,260,000"
102,13.07,"Oct 14, 2022",13.7,13.03,13.70,"41,714,400"
103,13.67,"Oct 13, 2022",13.88,13.27,13.41,"45,623,800"
104,13.66,"Oct 12, 2022",13.92,13.62,13.77,"29,629,300"
105,13.85,"Oct 11, 2022",14.19,13.79,13.85,"41,128,800"
106,14.09,"Oct 10, 2022",14.54,14.05,14.54,"48,196,300"
