,Close,Date,High,Low,Open,Volume
0,1.6000,"Mar 14, 2023",1.6000,1.5700,1.5900,"25,000"
1,,"Mar 13, 2023",,,,
2,1.5200,"Mar 10, 2023",1.5200,1.5200,1.5200,300
3,1.5200,"Mar 09, 2023",1.5200,1.5200,1.5200,"1,000"
4,1.5800,"Mar 08, 2023",1.5800,1.5800,1.5800,"1,000"
5,1.5800,"Mar 07, 2023",1.6000,1.5700,1.5700,"336,500"
6,1.5800,"Mar 06, 2023",1.5800,1.5800,1.5800,300
7,1.6000,"Mar 03, 2023",1.6000,1.6000,1.6000,"317,000"
8,1.6000,"Mar 02, 2023",1.6300,1.5800,1.5800,900
9,1.6000,"Mar 01, 2023",1.6000,1.5800,1.5900,"3,000"
10,1.5100,"Feb 28, 2023",1.5100,1.5100,1.5100,"1,000"
11,1.5300,"Feb 27, 2023",1.5300,1.5100,1.5100,"4,100"
12,1.52,"Feb 24, 2023",1.54,1.51,1.5100,"25,700"
13,1.6,"Feb 23, 2023",1.6,1.6,1.6000,
14,1.6,"Feb 22, 2023",1.61,1.6,1.6100,200
15,1.57,"Feb 21, 2023",1.65,1.56,1.6200,"18,300"
16,1.53,"Feb 17, 2023",1.53,1.53,1.5300,"9,300"
17,1.52,"Feb 16, 2023",1.52,1.51,1.5100,"1,200"
18,1.53,"Feb 15, 2023",1.55,1.51,1.5500,"39,400"
19,1.56,"Feb 14, 2023",1.59,1.56,1.5600,"15,300"
20,1.51,"Feb 13, 2023",1.53,1.51,1.5300,"10,300"
21,1.52,"Feb 10, 2023",1.52,1.52,1.5200,500
22,1.52,"Feb 09, 2023",1.52,1.52,1.5200,"1,000"
23,1.52,"Feb 08, 2023",1.52,1.52,1.5200,"2,500"
24,1.56,"Feb 07, 2023",1.56,1.56,1.5600,"6,900"
25,1.55,"Feb 06, 2023",1.55,1.54,1.5400,"29,300"
26,1.62,"Feb 03, 2023",1.62,1.62,1.6200,"6,100"
27,1.68,"Feb 02, 2023",1.68,1.65,1.6700,"3,900"
28,1.7,"Feb 01, 2023",1.7,1.7,1.7000,"30,600"
29,1.65,"Jan 31, 2023",1.65,1.63,1.6300,600
30,1.7,"Jan 30, 2023",1.73,1.7,1.7300,"29,600"
31,1.71,"Jan 27, 2023",1.72,1.7,1.7100,"12,300"
32,1.68,"Jan 26, 2023",1.7,1.68,1.6900,"8,500"
33,1.64,"Jan 25, 2023",1.67,1.64,1.6500,"8,600"
34,1.65,"Jan 24, 2023",1.69,1.65,1.6700,"18,500"
35,1.66,"Jan 23, 2023",1.7,1.66,1.6900,"72,900"
36,1.65,"Jan 20, 2023",1.65,1.63,1.6500,"16,400"
37,1.63,"Jan 19, 2023",1.63,1.59,1.6100,"6,300"
38,1.55,"Jan 18, 2023",1.55,1.53,1.5500,"3,900"
39,1.51,"Jan 17, 2023",1.56,1.51,1.5100,"19,500"
40,1.56,"Jan 13, 2023",1.56,1.56,1.5600,"630,000"
41,1.56,"Jan 12, 2023",1.57,1.56,1.5700,"10,500"
42,1.57,"Jan 11, 2023",1.57,1.57,1.5700,"7,000"
43,1.58,"Jan 10, 2023",1.58,1.54,1.5400,"1,400"
44,1.58,"Jan 09, 2023",1.61,1.55,1.5500,"44,300"
45,1.46,"Jan 06, 2023",1.46,1.44,1.4400,"1,100"
46,1.44,"Jan 05, 2023",1.45,1.44,1.4500,"2,000"
47,1.45,"Jan 04, 2023",1.45,1.43,1.4300,"4,100"
48,1.43,"Jan 03, 2023",1.43,1.39,1.3900,"9,500"
49,1.31,"Dec 30, 2022",1.33,1.3,1.3300,"88,900"
50,1.38,"Dec 29, 2022",1.4,1.35,1.4000,"1,400"
51,1.35,"Dec 28, 2022",1.36,1.35,1.3600,"5,600"
52,1.32,"Dec 27, 2022",1.34,1.3,1.3400,"15,900"
53,1.36,"Dec 23, 2022",1.36,1.36,1.3600,
54,1.36,"Dec 22, 2022",1.37,1.36,1.3700,200
55,1.33,"Dec 21, 2022",1.34,1.33,1.3400,"14,900"
56,1.37,"Dec 20, 2022",1.37,1.37,1.3700,700
57,1.38,"Dec 19, 2022",1.4,1.36,1.4000,"46,100"
58,1.4,"Dec 16, 2022",1.4,1.37,1.3700,"2,300"
