,Close,Date,High,Low,Open,Volume
0,481.92,"Mar 14, 2023",485.16,473.00,475.43,"2,421,400"
1,472.00,"Mar 13, 2023",476.69,466.80,466.80,"1,799,600"
2,471.14,"Mar 10, 2023",480.46,468.38,478.98,"2,122,200"
3,479.52,"Mar 09, 2023",490.00,478.62,487.48,"1,629,400"
4,486.04,"Mar 08, 2023",486.88,481.14,483.00,"1,548,500"
5,485.15,"Mar 07, 2023",495.21,485.00,486.10,"2,659,100"
6,483.08,"Mar 06, 2023",488.82,475.52,476.52,"3,104,700"
7,475.26,"Mar 03, 2023",476.00,465.33,474.83,"5,349,900"
8,485.69,"Mar 02, 2023",487.43,475.56,477.36,"2,379,200"
9,478.67,"Mar 01, 2023",482.58,475.02,481.10,"1,759,300"
10,484.18,"Feb 28, 2023",488.88,483.78,485.60,"1,918,200"
11,487.03,"Feb 27, 2023",493.00,485.68,492.55,"1,501,700"
12,488.61,"Feb 24, 2023",490.36,484.7,488.58,"1,587,600"
13,493.14,"Feb 23, 2023",498.86,487.86,498.80,"1,546,300"
14,497.39,"Feb 22, 2023",505.46,496.6,503.92,"1,332,000"
15,501.74,"Feb 21, 2023",503.99,496.55,500.82,"1,811,800"
16,507.48,"Feb 17, 2023",507.71,501.84,504.27,"1,340,400"
17,504.1,"Feb 16, 2023",510.73,503.6,503.61,"1,456,000"
18,511.28,"Feb 15, 2023",511.42,501.34,502.73,"1,422,600"
19,503.22,"Feb 14, 2023",507.85,498.63,505.01,"1,257,300"
20,506.45,"Feb 13, 2023",506.79,501.35,501.74,"1,452,600"
21,499.99,"Feb 10, 2023",500.55,495.38,498.51,"1,536,800"
22,500.63,"Feb 09, 2023",509.16,498.42,505.29,"1,517,300"
23,503.81,"Feb 08, 2023",512.18,501.56,511.29,"2,062,900"
24,516.53,"Feb 07, 2023",517.99,507.39,511.99,"1,927,300"
25,515.59,"Feb 06, 2023",517.22,512.27,514.44,"1,740,100"
26,514.8,"Feb 03, 2023",521.55,512.5,519.13,"1,844,100"
27,523.43,"Feb 02, 2023",530.05,520.64,524.29,"2,287,400"
28,,"Feb 02, 2023",,,Dividend,
29,517.91,"Feb 01, 2023",520.45,504.72,508.31,"2,080,200"
30,511.14,"Jan 31, 2023",511.41,502.0,503.23,"1,924,100"
31,503.28,"Jan 30, 2023",505.6,500.37,500.37,"1,855,900"
32,503.29,"Jan 27, 2023",509.1,497.86,499.76,"2,034,100"
33,498.3,"Jan 26, 2023",498.67,491.77,493.20,"1,576,400"
34,490.88,"Jan 25, 2023",491.94,484.5,489.36,"1,329,800"
35,492.11,"Jan 24, 2023",493.6,487.01,492.05,"1,510,200"
36,492.61,"Jan 23, 2023",495.24,477.6,479.95,"2,709,400"
37,480.11,"Jan 20, 2023",480.32,469.47,473.92,"2,588,600"
38,469.49,"Jan 19, 2023",477.56,468.07,476.24,"1,919,500"
39,479.47,"Jan 18, 2023",488.81,478.52,484.81,"1,925,500"
40,486.77,"Jan 17, 2023",490.48,484.37,485.13,"1,539,900"
41,485.25,"Jan 13, 2023",485.59,479.0,480.89,"1,405,900"
42,482.43,"Jan 12, 2023",485.0,478.75,484.99,"1,628,200"
43,484.31,"Jan 11, 2023",484.52,479.11,480.33,"1,576,400"
44,481.4,"Jan 10, 2023",482.09,475.48,477.14,"1,649,900"
45,478.75,"Jan 09, 2023",486.87,478.14,482.93,"2,384,800"
46,482.87,"Jan 06, 2023",484.42,462.22,463.08,"5,174,500"
47,450.19,"Jan 05, 2023",456.43,449.62,454.54,"2,169,300"
48,456.56,"Jan 04, 2023",459.51,452.59,457.18,"2,097,300"
49,453.28,"Jan 03, 2023",458.8,447.9,458.00,"1,978,100"
50,456.5,"Dec 30, 2022",456.7,450.75,454.65,"1,803,200"
51,456.53,"Dec 29, 2022",459.0,453.46,455.63,"1,465,000"
52,452.99,"Dec 28, 2022",460.46,452.8,457.54,"1,324,100"
53,458.5,"Dec 27, 2022",464.7,457.11,464.40,"1,230,800"
54,462.65,"Dec 23, 2022",463.18,454.8,457.52,"1,229,500"
55,458.71,"Dec 22, 2022",460.4,453.39,458.65,"1,906,100"
56,462.06,"Dec 21, 2022",463.69,456.2,459.38,"1,462,400"
57,457.82,"Dec 20, 2022",460.25,452.53,456.56,"1,993,700"
58,458.63,"Dec 19, 2022",463.41,455.36,460.92,"1,939,200"
59,461.45,"Dec 16, 2022",464.79,456.88,461.26,"4,909,200"
60,463.91,"Dec 15, 2022",476.7,463.16,475.34,"3,437,700"
61,483.52,"Dec 14, 2022",491.69,481.04,488.86,"2,145,000"
62,488.2,"Dec 13, 2022",497.97,481.55,497.04,"2,626,700"
63,487.68,"Dec 12, 2022",487.82,480.67,482.73,"2,276,400"
64,483.02,"Dec 09, 2022",490.09,470.5,475.10,"4,211,100"
65,481.42,"Dec 08, 2022",483.33,473.5,482.90,"2,901,000"
66,481.97,"Dec 07, 2022",486.54,478.87,479.09,"2,072,600"
67,481.16,"Dec 06, 2022",491.47,477.17,490.66,"2,995,900"
68,488.66,"Dec 05, 2022",492.7,484.73,492.50,"2,455,300"
69,494.53,"Dec 02, 2022",498.97,492.11,498.52,"3,632,100"
70,503.86,"Dec 01, 2022",519.14,495.67,519.14,"6,970,400"
71,539.25,"Nov 30, 2022",542.58,522.14,527.41,"3,601,800"
72,528.96,"Nov 29, 2022",533.72,528.0,531.04,"1,685,700"
73,530.92,"Nov 28, 2022",536.25,528.94,530.89,"1,684,300"
74,533.66,"Nov 25, 2022",535.86,533.07,534.16,"744,200"
75,534.49,"Nov 23, 2022",536.8,530.4,534.00,"1,288,200"
76,531.95,"Nov 22, 2022",532.8,526.68,529.96,"1,809,100"
77,523.37,"Nov 21, 2022",527.28,522.08,525.74,"1,268,300"
78,523.67,"Nov 18, 2022",529.54,518.19,526.87,"1,584,400"
79,521.32,"Nov 17, 2022",521.79,512.96,519.00,"1,902,500"
80,524.11,"Nov 16, 2022",528.56,520.17,521.31,"1,833,600"
81,526.47,"Nov 15, 2022",529.8,520.0,520.00,"2,502,200"
82,509.68,"Nov 14, 2022",520.7,509.42,515.77,"1,820,200"
83,515.47,"Nov 11, 2022",516.84,506.71,513.13,"2,393,500"
84,513.13,"Nov 10, 2022",514.85,501.4,504.95,"3,098,300"
85,489.97,"Nov 09, 2022",497.58,486.86,491.90,"1,640,500"
86,492.76,"Nov 08, 2022",498.26,484.51,490.73,"1,709,900"
87,488.55,"Nov 07, 2022",490.0,474.5,477.05,"2,036,000"
88,486.41,"Nov 04, 2022",492.63,476.49,490.40,"1,987,300"
89,486.29,"Nov 03, 2022",491.33,479.71,480.88,"2,010,400"
90,483.51,"Nov 02, 2022",503.24,483.27,497.80,"2,464,400"
91,499.96,"Nov 01, 2022",507.39,499.78,503.70,"1,586,300"
92,501.5,"Oct 31, 2022",509.64,500.5,509.64,"2,192,200"
93,510.87,"Oct 28, 2022",512.82,495.97,497.30,"2,369,300"
94,496.54,"Oct 27, 2022",503.01,494.14,499.81,"1,576,600"
95,,"Oct 27, 2022",,,Dividend,
96,499.45,"Oct 26, 2022",507.42,495.69,498.00,"2,088,700"
97,499.06,"Oct 25, 2022",500.19,490.5,493.32,"2,130,900"
98,496.97,"Oct 24, 2022",498.0,481.01,481.61,"2,366,200"
99,478.18,"Oct 21, 2022",479.57,462.28,463.71,"2,508,400"
100,464.62,"Oct 20, 2022",472.08,462.91,471.00,"1,709,500"
101,471.43,"Oct 19, 2022",474.87,466.95,467.81,"1,207,600"
102,473.27,"Oct 18, 2022",476.52,468.83,473.20,"1,864,000"
103,464.17,"Oct 17, 2022",466.88,460.48,461.65,"2,097,500"
104,454.65,"Oct 14, 2022",473.39,453.79,472.03,"2,301,600"
105,467.99,"Oct 13, 2022",471.74,449.03,458.19,"3,390,900"
106,466.38,"Oct 12, 2022",479.74,466.3,474.32,"2,043,900"
107,472.02,"Oct 11, 2022",477.25,463.7,465.00,"2,341,400"
108,466.31,"Oct 10, 2022",470.25,461.61,469.69,"1,616,300"
109,468.15,"Oct 07, 2022",479.11,466.12,478.26,"2,568,100"
110,482.49,"Oct 06, 2022",493.88,481.92,483.45,"2,430,700"
111,480.32,"Oct 05, 2022",483.87,474.82,481.30,"1,587,700"
112,486.13,"Oct 04, 2022",488.02,480.73,483.83,"2,175,600"
113,477.73,"Oct 03, 2022",480.84,470.4,474.50,"2,338,500"
114,472.27,"Sep 30, 2022",483.83,471.87,480.66,"2,436,700"
115,478.98,"Sep 29, 2022",489.01,474.07,485.61,"1,963,900"
116,488.29,"Sep 28, 2022",491.55,474.19,481.53,"2,419,500"
