,Close,Date,High,Low,Open,Volume
0,94.88,"Mar 14, 2023",95.07,92.71,93.83,"60,849,900"
1,92.43,"Mar 13, 2023",94.02,88.12,89.97,"72,397,100"
2,90.73,"Mar 10, 2023",93.57,90.25,92.67,"69,747,500"
3,92.25,"Mar 09, 2023",96.21,92.18,93.68,"56,218,700"
4,93.92,"Mar 08, 2023",94.17,92.18,93.60,"44,899,100"
5,93.55,"Mar 07, 2023",95.09,92.78,94.06,"49,100,700"
6,93.75,"Mar 06, 2023",96.55,93.74,95.19,"52,112,400"
7,94.90,"Mar 03, 2023",94.94,92.66,92.74,"55,695,300"
8,92.13,"Mar 02, 2023",92.23,90.39,91.41,"55,509,400"
9,92.17,"Mar 01, 2023",94.68,91.59,93.87,"52,299,500"
10,94.23,"Feb 28, 2023",94.69,92.92,93.14,"43,959,300"
11,93.76,"Feb 27, 2023",94.78,93.14,94.28,"47,470,300"
12,93.5,"Feb 24, 2023",94.14,92.32,93.53,"57,053,800"
13,95.82,"Feb 23, 2023",96.43,93.67,96.12,"48,467,000"
14,95.79,"Feb 22, 2023",97.01,94.8,95.10,"59,534,100"
15,94.58,"Feb 21, 2023",95.61,94.27,95.34,"56,580,400"
16,97.2,"Feb 17, 2023",97.94,95.65,97.80,"60,029,400"
17,98.15,"Feb 16, 2023",100.63,98.1,99.21,"56,339,200"
18,101.16,"Feb 15, 2023",101.17,98.45,99.09,"47,957,600"
19,99.7,"Feb 14, 2023",100.92,97.52,98.41,"56,202,900"
20,99.54,"Feb 13, 2023",99.68,96.91,97.85,"52,841,500"
21,97.61,"Feb 10, 2023",98.82,96.23,97.56,"52,740,100"
22,98.24,"Feb 09, 2023",101.78,97.57,101.32,"64,622,500"
23,100.05,"Feb 08, 2023",102.67,98.78,102.04,"75,878,300"
24,102.11,"Feb 07, 2023",102.41,98.08,101.17,"119,501,300"
25,102.18,"Feb 06, 2023",103.95,100.65,102.93,"81,945,200"
26,103.39,"Feb 03, 2023",108.78,102.52,105.26,"144,374,800"
27,112.91,"Feb 02, 2023",114.0,108.88,110.25,"158,154,200"
28,105.15,"Feb 01, 2023",106.24,101.24,102.53,"80,450,100"
29,103.13,"Jan 31, 2023",103.35,101.14,101.16,"66,527,300"
30,100.55,"Jan 30, 2023",101.74,99.01,101.09,"70,691,900"
31,102.24,"Jan 27, 2023",103.49,99.53,99.53,"87,775,600"
32,99.22,"Jan 26, 2023",99.49,96.92,98.24,"68,523,600"
33,97.18,"Jan 25, 2023",97.24,91.52,92.56,"94,261,600"
34,96.32,"Jan 24, 2023",98.09,96.0,96.93,"66,929,500"
35,97.52,"Jan 23, 2023",97.78,95.86,97.56,"76,501,100"
36,97.25,"Jan 20, 2023",97.35,93.2,93.86,"67,481,500"
37,93.68,"Jan 19, 2023",95.44,92.86,94.74,"69,002,700"
38,95.46,"Jan 18, 2023",99.32,95.38,97.25,"79,570,400"
39,96.05,"Jan 17, 2023",98.89,95.73,98.68,"72,755,000"
40,98.12,"Jan 13, 2023",98.37,94.12,94.18,"85,549,400"
41,95.27,"Jan 12, 2023",97.19,93.5,96.93,"85,254,800"
42,95.09,"Jan 11, 2023",95.26,90.93,90.93,"103,126,200"
43,89.87,"Jan 10, 2023",90.19,87.29,87.57,"67,756,600"
44,87.36,"Jan 09, 2023",89.48,87.08,87.46,"65,266,100"
45,86.08,"Jan 06, 2023",86.4,81.43,83.03,"83,303,400"
46,83.12,"Jan 05, 2023",85.42,83.07,85.33,"67,930,800"
47,85.14,"Jan 04, 2023",86.98,83.36,86.55,"68,885,100"
48,85.82,"Jan 03, 2023",86.96,84.21,85.46,"76,706,000"
49,84.0,"Dec 30, 2022",84.05,82.47,83.12,"62,401,200"
50,84.18,"Dec 29, 2022",84.55,82.55,82.87,"54,995,900"
51,81.82,"Dec 28, 2022",83.48,81.69,82.80,"58,228,600"
52,83.04,"Dec 27, 2022",85.35,83.0,84.97,"57,284,000"
53,85.25,"Dec 23, 2022",85.78,82.93,83.25,"57,433,700"
54,83.79,"Dec 22, 2022",85.68,82.25,85.52,"81,431,300"
55,86.77,"Dec 21, 2022",87.23,85.21,86.18,"59,267,200"
56,85.19,"Dec 20, 2022",86.61,84.33,85.33,"74,348,300"
57,84.92,"Dec 19, 2022",87.63,84.51,87.51,"83,531,500"
