,Close,Date,High,Low,Open,Volume
0,194.02,"Mar 14, 2023",194.32,186.56,187.58,"41,536,300"
1,180.90,"Mar 13, 2023",183.78,174.82,177.96,"24,728,000"
2,179.51,"Mar 10, 2023",184.77,178.80,181.01,"25,547,400"
3,181.69,"Mar 09, 2023",188.93,180.30,186.35,"26,582,800"
4,184.97,"Mar 08, 2023",185.26,181.34,182.87,"19,432,400"
5,184.51,"Mar 07, 2023",190.36,184.01,189.00,"36,701,500"
6,184.90,"Mar 06, 2023",189.66,184.64,188.00,"33,209,400"
7,185.25,"Mar 03, 2023",186.62,177.05,178.92,"45,821,600"
8,174.53,"Mar 02, 2023",175.01,171.43,172.38,"17,352,000"
9,173.42,"Mar 01, 2023",177.85,173.05,174.59,"30,998,400"
10,174.94,"Feb 28, 2023",177.55,171.87,171.90,"46,051,100"
11,169.54,"Feb 27, 2023",173.12,169.06,171.88,"19,277,000"
12,170.39,"Feb 24, 2023",170.72,167.66,168.64,"19,791,300"
13,172.04,"Feb 23, 2023",173.69,169.38,172.0,"20,017,800"
14,171.12,"Feb 22, 2023",172.76,169.69,171.07,"22,433,200"
15,172.08,"Feb 21, 2023",178.17,171.88,174.31,"34,592,600"
16,172.88,"Feb 17, 2023",173.18,169.7,170.22,"22,191,900"
17,172.44,"Feb 16, 2023",175.85,171.79,172.75,"25,827,500"
18,177.16,"Feb 15, 2023",178.19,175.33,176.42,"25,338,000"
19,179.48,"Feb 14, 2023",181.51,175.88,177.16,"24,034,600"
20,179.43,"Feb 13, 2023",181.0,175.82,178.22,"31,463,200"
21,174.15,"Feb 10, 2023",178.89,173.35,176.35,"33,413,200"
22,177.92,"Feb 09, 2023",186.65,177.27,186.13,"37,118,800"
23,183.43,"Feb 08, 2023",190.83,182.92,190.0,"36,139,100"
24,191.62,"Feb 07, 2023",193.78,184.4,185.58,"47,080,700"
25,186.06,"Feb 06, 2023",190.7,185.52,186.53,"42,483,800"
26,186.53,"Feb 03, 2023",196.77,182.89,183.47,"76,733,100"
27,188.77,"Feb 02, 2023",197.16,180.16,183.38,"150,475,700"
28,153.12,"Feb 01, 2023",153.58,147.06,148.03,"55,661,000"
29,148.97,"Jan 31, 2023",149.88,147.52,147.95,"29,842,100"
30,147.06,"Jan 30, 2023",151.12,146.95,149.41,"28,040,100"
31,151.74,"Jan 27, 2023",153.19,147.39,148.24,"35,746,900"
32,147.3,"Jan 26, 2023",147.51,143.3,144.4,"25,482,100"
33,141.5,"Jan 25, 2023",143.17,140.31,141.22,"26,622,000"
34,143.14,"Jan 24, 2023",145.0,141.36,141.69,"21,970,200"
