,Close,Date,High,Low,Open,Volume
0,152.59,"Mar 14, 2023",153.40,150.10,151.28,"73,628,400"
1,150.47,"Mar 13, 2023",153.14,147.70,147.81,"84,457,100"
2,148.50,"Mar 10, 2023",150.94,147.61,150.21,"68,524,400"
3,150.59,"Mar 09, 2023",154.54,150.23,153.56,"53,833,600"
4,152.87,"Mar 08, 2023",153.47,151.83,152.81,"47,204,800"
5,151.60,"Mar 07, 2023",154.03,151.13,153.70,"56,182,000"
6,153.83,"Mar 06, 2023",156.30,153.46,153.79,"87,558,000"
7,151.03,"Mar 03, 2023",151.11,147.33,148.04,"70,668,500"
8,145.91,"Mar 02, 2023",146.71,143.90,144.38,"52,238,100"
9,145.31,"Mar 01, 2023",147.23,145.01,146.83,"55,479,000"
10,147.41,"Feb 28, 2023",149.08,146.83,147.05,"50,547,000"
11,147.92,"Feb 27, 2023",149.17,147.45,147.71,"44,998,500"
12,146.71,"Feb 24, 2023",147.19,145.72,147.11,"55,469,600"
13,149.4,"Feb 23, 2023",150.34,147.24,150.09,"48,394,200"
14,148.91,"Feb 22, 2023",149.95,147.16,148.87,"51,011,300"
15,148.48,"Feb 21, 2023",151.3,148.41,150.20,"58,867,200"
16,152.55,"Feb 17, 2023",153.0,150.85,152.35,"59,144,100"
17,153.71,"Feb 16, 2023",156.33,153.35,153.51,"68,167,900"
18,155.33,"Feb 15, 2023",155.5,152.88,153.11,"65,573,800"
19,153.2,"Feb 14, 2023",153.77,150.86,152.12,"61,707,600"
20,153.85,"Feb 13, 2023",154.26,150.92,150.95,"62,199,000"
21,151.01,"Feb 10, 2023",151.34,149.22,149.46,"57,450,700"
22,,"Feb 10, 2023",,,Dividend,
23,150.87,"Feb 09, 2023",154.33,150.42,153.78,"56,007,100"
24,151.92,"Feb 08, 2023",154.58,151.17,153.88,"64,120,100"
25,154.65,"Feb 07, 2023",155.23,150.64,150.64,"83,322,600"
26,151.73,"Feb 06, 2023",153.1,150.78,152.57,"69,858,300"
27,154.5,"Feb 03, 2023",157.38,147.83,148.03,"154,357,300"
28,150.82,"Feb 02, 2023",151.18,148.17,148.90,"118,339,000"
29,145.43,"Feb 01, 2023",146.61,141.32,143.97,"77,663,600"
30,144.29,"Jan 31, 2023",144.34,142.28,142.70,"65,874,500"
31,143.0,"Jan 30, 2023",145.55,142.85,144.96,"64,015,300"
32,145.93,"Jan 27, 2023",147.23,143.08,143.16,"70,555,800"
33,143.96,"Jan 26, 2023",144.25,141.9,143.17,"54,105,100"
34,141.86,"Jan 25, 2023",142.43,138.81,140.89,"65,799,300"
35,142.53,"Jan 24, 2023",143.16,140.3,140.31,"66,435,100"
36,141.11,"Jan 23, 2023",143.32,137.9,138.12,"81,760,300"
37,137.87,"Jan 20, 2023",138.02,134.22,135.28,"80,223,600"
38,135.27,"Jan 19, 2023",136.25,133.77,134.08,"58,280,400"
39,135.21,"Jan 18, 2023",138.61,135.03,136.82,"69,672,800"
40,135.94,"Jan 17, 2023",137.29,134.13,134.83,"63,646,600"
41,134.76,"Jan 13, 2023",134.92,131.66,132.03,"57,809,700"
42,133.41,"Jan 12, 2023",134.26,131.44,133.88,"71,379,600"
43,133.49,"Jan 11, 2023",133.51,130.46,131.25,"69,458,900"
44,130.73,"Jan 10, 2023",131.26,128.12,130.26,"63,896,200"
45,130.15,"Jan 09, 2023",133.41,129.89,130.47,"70,790,800"
46,129.62,"Jan 06, 2023",130.29,124.89,126.01,"87,754,700"
47,125.02,"Jan 05, 2023",127.77,124.76,127.13,"80,962,700"
48,126.36,"Jan 04, 2023",128.66,125.08,126.89,"89,113,600"
49,125.07,"Jan 03, 2023",130.9,124.17,130.28,"112,117,500"
50,129.93,"Dec 30, 2022",129.95,127.43,128.41,"77,034,200"
51,129.61,"Dec 29, 2022",130.48,127.73,127.99,"75,703,700"
52,126.04,"Dec 28, 2022",131.03,125.87,129.67,"85,438,400"
53,130.03,"Dec 27, 2022",131.41,128.72,131.38,"69,007,800"
54,131.86,"Dec 23, 2022",132.42,129.64,130.92,"63,814,900"
55,132.23,"Dec 22, 2022",134.56,130.3,134.35,"77,852,100"
56,135.45,"Dec 21, 2022",136.81,132.75,132.98,"85,928,000"
57,132.3,"Dec 20, 2022",133.25,129.89,131.39,"77,432,800"
58,132.37,"Dec 19, 2022",135.2,131.32,135.11,"79,592,600"
59,134.51,"Dec 16, 2022",137.65,133.73,136.69,"160,156,900"
60,136.5,"Dec 15, 2022",141.8,136.03,141.11,"98,931,900"
61,143.21,"Dec 14, 2022",146.66,141.16,145.35,"82,291,200"
62,145.47,"Dec 13, 2022",149.97,144.24,149.50,"93,886,200"
63,144.49,"Dec 12, 2022",144.5,141.06,142.70,"70,462,700"
64,142.16,"Dec 09, 2022",145.57,140.9,142.34,"76,097,000"
65,142.65,"Dec 08, 2022",143.52,141.1,142.36,"62,128,300"
66,140.94,"Dec 07, 2022",143.37,140.0,142.19,"69,721,100"
67,142.91,"Dec 06, 2022",147.3,141.92,147.07,"64,727,200"
68,146.63,"Dec 05, 2022",150.92,145.77,147.77,"68,826,400"
69,147.81,"Dec 02, 2022",148.0,145.65,145.96,"65,447,400"
70,148.31,"Dec 01, 2022",149.13,146.61,148.21,"71,250,400"
71,148.03,"Nov 30, 2022",148.72,140.55,141.40,"111,380,900"
72,141.17,"Nov 29, 2022",144.81,140.35,144.29,"83,763,800"
73,144.22,"Nov 28, 2022",146.64,143.38,145.14,"69,246,000"
74,148.11,"Nov 25, 2022",148.88,147.12,148.31,"35,195,900"
