,Close,Date,High,Low,Open,Volume
0,25.35,"Mar 14, 2023",25.69,25.00,25.25,"56,600"
1,,"Mar 13, 2023",,,,
2,25.70,"Mar 10, 2023",26.50,25.51,26.50,"155,200"
3,27.30,"Mar 09, 2023",27.90,27.25,27.45,"76,400"
4,27.75,"Mar 08, 2023",27.80,27.46,27.46,"97,400"
5,27.87,"Mar 07, 2023",28.94,27.87,28.12,"98,900"
6,28.74,"Mar 06, 2023",29.18,28.62,28.62,"192,400"
7,29.00,"Mar 03, 2023",29.00,28.15,28.30,"105,200"
8,28.79,"Mar 02, 2023",28.85,28.36,28.75,"52,200"
9,28.31,"Mar 01, 2023",29.00,28.20,28.24,"82,300"
10,26.93,"Feb 28, 2023",27.20,26.60,26.60,"99,900"
11,27.30,"Feb 27, 2023",27.75,27.11,27.67,"124,700"
12,27.78,"Feb 24, 2023",28.39,27.64,28.04,"143,800"
13,28.24,"Feb 23, 2023",29.76,28.1,28.52,"64,300"
14,28.53,"Feb 22, 2023",28.9,28.41,28.85,"75,100"
15,28.8,"Feb 21, 2023",29.34,28.6,29.00,"122,500"
16,29.3,"Feb 17, 2023",29.55,29.0,29.55,"161,200"
17,30.11,"Feb 16, 2023",30.29,29.75,30.11,"221,100"
18,30.6,"Feb 15, 2023",30.65,30.0,30.00,"146,100"
19,30.56,"Feb 14, 2023",30.6,30.25,30.59,"61,800"
20,30.9,"Feb 13, 2023",31.85,30.0,30.00,"104,300"
21,30.36,"Feb 10, 2023",31.22,30.22,30.22,"117,100"
22,31.28,"Feb 09, 2023",31.77,31.28,31.49,"115,600"
23,30.36,"Feb 08, 2023",31.09,30.01,31.00,"105,000"
24,31.09,"Feb 07, 2023",31.5,30.77,31.22,"93,400"
25,31.28,"Feb 06, 2023",31.36,30.65,31.19,"161,800"
26,32.42,"Feb 03, 2023",32.98,32.08,32.08,"157,000"
27,33.25,"Feb 02, 2023",33.87,33.05,33.50,"196,000"
28,33.5,"Feb 01, 2023",33.94,32.92,33.00,"249,600"
29,31.74,"Jan 31, 2023",31.77,31.3,31.63,"137,400"
30,32.04,"Jan 30, 2023",32.47,31.42,31.75,"179,800"
31,31.97,"Jan 27, 2023",32.04,31.25,31.60,"166,800"
32,31.03,"Jan 26, 2023",31.46,30.13,30.16,"171,700"
33,29.66,"Jan 25, 2023",30.0,29.0,29.01,"55,500"
34,29.65,"Jan 24, 2023",30.01,29.1,29.10,"69,200"
35,29.76,"Jan 23, 2023",29.98,28.72,28.72,"94,500"
36,29.25,"Jan 20, 2023",29.93,28.71,29.01,"104,000"
37,29.08,"Jan 19, 2023",29.15,28.05,28.05,"97,000"
38,28.05,"Jan 18, 2023",29.0,27.27,27.27,"58,100"
39,28.43,"Jan 17, 2023",28.52,28.3,28.52,"182,900"
40,29.6,"Jan 13, 2023",29.66,29.0,29.39,"131,800"
41,29.7,"Jan 12, 2023",29.85,29.03,29.03,"162,500"
42,28.07,"Jan 11, 2023",28.5,27.26,27.26,"124,300"
43,26.71,"Jan 10, 2023",26.83,26.34,26.38,"90,300"
44,26.07,"Jan 09, 2023",26.52,25.78,26.51,"212,500"
45,26.3,"Jan 06, 2023",26.38,25.58,26.10,"116,600"
46,26.71,"Jan 05, 2023",27.15,26.5,27.15,"107,400"
47,26.86,"Jan 04, 2023",26.92,25.69,25.69,"94,400"
48,25.58,"Jan 03, 2023",26.0,25.33,25.33,"52,400"
49,24.57,"Dec 30, 2022",24.8,24.2,24.20,"82,700"
50,24.8,"Dec 29, 2022",25.0,24.01,24.01,"64,100"
51,24.35,"Dec 28, 2022",24.75,23.91,23.96,"81,200"
52,24.4,"Dec 27, 2022",24.94,24.09,24.09,"167,700"
53,24.47,"Dec 23, 2022",24.88,24.36,24.88,"33,500"
54,25.01,"Dec 22, 2022",26.0,24.8,25.33,"73,000"
55,25.97,"Dec 21, 2022",25.97,24.96,25.25,"76,200"
56,25.65,"Dec 20, 2022",26.0,25.07,25.39,"78,600"
57,25.67,"Dec 19, 2022",26.94,25.67,25.67,"123,500"
58,26.42,"Dec 16, 2022",26.84,26.01,26.69,"539,300"
59,26.44,"Dec 15, 2022",27.25,25.96,25.96,"84,900"
60,26.35,"Dec 14, 2022",26.68,26.27,26.50,"252,200"
61,26.75,"Dec 13, 2022",27.85,26.58,26.63,"177,700"
62,27.08,"Dec 12, 2022",27.25,26.78,27.00,"77,400"
63,27.04,"Dec 09, 2022",27.97,27.02,27.60,"80,200"
64,27.6,"Dec 08, 2022",27.77,27.0,27.00,"357,100"
65,26.2,"Dec 07, 2022",26.25,25.15,25.84,"140,300"
66,25.68,"Dec 06, 2022",25.71,25.08,25.08,"92,000"
67,24.59,"Dec 05, 2022",25.48,24.5,25.48,"192,700"
68,25.89,"Dec 02, 2022",26.0,24.46,24.70,"237,800"
69,25.07,"Dec 01, 2022",25.64,24.89,25.27,"88,000"
70,25.64,"Nov 30, 2022",25.67,24.05,24.06,"259,200"
71,23.32,"Nov 29, 2022",23.35,22.71,22.71,"130,600"
72,22.15,"Nov 28, 2022",22.4,21.48,21.50,"92,200"
73,21.9,"Nov 25, 2022",22.69,21.29,21.29,"92,700"
74,22.7,"Nov 23, 2022",23.26,22.11,22.11,"102,900"
75,22.6,"Nov 22, 2022",23.41,22.45,23.00,"132,800"
76,23.52,"Nov 21, 2022",23.62,23.02,23.50,"60,200"
