,Close,Date,High,Low,Open,Volume
0,12.84,"Mar 14, 2023",12.92,12.80,12.80,"17,700"
1,,"Mar 13, 2023",,,,
2,12.28,"Mar 10, 2023",12.33,12.26,12.32,"21,800"
3,12.19,"Mar 09, 2023",12.34,12.04,12.04,"28,700"
4,12.46,"Mar 08, 2023",12.59,12.43,12.59,"25,500"
5,12.58,"Mar 07, 2023",12.68,12.58,12.68,"29,700"
6,12.48,"Mar 06, 2023",12.55,12.45,12.55,"12,500"
7,12.39,"Mar 03, 2023",12.47,12.39,12.42,"6,900"
8,12.52,"Mar 02, 2023",12.52,12.38,12.42,"6,900"
9,12.23,"Mar 01, 2023",12.23,12.11,12.13,"9,200"
10,12.01,"Feb 28, 2023",12.17,11.94,12.17,"14,500"
11,12.21,"Feb 27, 2023",12.23,12.17,12.18,"3,400"
12,12.14,"Feb 24, 2023",12.19,12.1,12.16,"14,500"
13,12.29,"Feb 23, 2023",12.31,12.2,12.28,"11,400"
14,12.12,"Feb 22, 2023",12.18,12.11,12.18,"15,200"
15,12.13,"Feb 21, 2023",12.2,12.05,12.08,"10,400"
16,11.86,"Feb 17, 2023",11.93,11.86,11.86,"7,300"
17,11.76,"Feb 16, 2023",11.76,11.74,11.74,"4,200"
18,11.76,"Feb 15, 2023",11.84,11.74,11.80,"10,200"
19,11.9,"Feb 14, 2023",11.99,11.9,11.90,"10,700"
20,11.95,"Feb 13, 2023",11.98,11.89,11.98,"15,000"
21,11.99,"Feb 10, 2023",12.02,11.98,12.02,"20,300"
22,12.19,"Feb 09, 2023",12.19,12.11,12.13,"2,500"
23,12.14,"Feb 08, 2023",12.22,12.01,12.22,"4,300"
24,12.25,"Feb 07, 2023",12.25,12.12,12.12,"10,800"
25,12.17,"Feb 06, 2023",12.22,12.14,12.14,"10,600"
26,12.14,"Feb 03, 2023",12.25,12.14,12.20,"10,700"
27,12.39,"Feb 02, 2023",12.47,12.36,12.47,"20,400"
28,12.35,"Feb 01, 2023",12.35,12.22,12.23,"11,500"
29,12.42,"Jan 31, 2023",12.42,12.38,12.38,"13,300"
30,12.16,"Jan 30, 2023",12.48,12.12,12.48,"55,300"
31,12.73,"Jan 27, 2023",12.8,12.7,12.80,"3,400"
32,12.71,"Jan 26, 2023",12.71,12.65,12.67,"2,500"
33,12.85,"Jan 25, 2023",12.98,12.7,12.76,"10,900"
34,12.82,"Jan 24, 2023",12.98,12.63,12.92,"17,200"
35,12.91,"Jan 23, 2023",12.97,12.63,12.90,"16,500"
36,12.91,"Jan 20, 2023",12.91,12.67,12.78,"5,400"
37,12.47,"Jan 19, 2023",12.59,12.42,12.59,"10,800"
38,12.7,"Jan 18, 2023",12.7,12.52,12.52,"3,100"
