,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",11.37,12.08,10.95,12.01,"156,300"
1,"Feb 23, 2023",11.15,11.61,11.15,11.58,"75,700"
2,"Feb 22, 2023",10.87,11.22,10.87,11.06,"64,500"
3,"Feb 21, 2023",11.51,11.62,10.72,10.86,"138,900"
4,"Feb 17, 2023",12.11,12.11,11.60,11.79,"92,700"
5,"Feb 16, 2023",12.07,12.44,11.83,12.12,"90,800"
6,"Feb 15, 2023",12.25,12.55,12.23,12.26,"73,700"
7,"Feb 14, 2023",12.88,12.94,12.41,12.44,"95,200"
8,"Feb 13, 2023",12.40,13.00,12.32,12.98,"88,600"
9,"Feb 10, 2023",12.31,12.52,12.04,12.34,"102,200"
10,"Feb 09, 2023",12.82,12.87,12.29,12.38,"80,200"
11,"Feb 08, 2023",13.15,13.24,12.57,12.62,"78,500"
12,"Feb 07, 2023",12.69,13.38,12.42,13.26,"133,600"
13,"Feb 06, 2023",12.96,13.18,12.58,12.75,"93,500"
14,"Feb 03, 2023",13.12,13.38,12.86,12.99,"144,100"
15,"Feb 02, 2023",12.86,13.67,12.86,13.35,"246,600"
16,"Feb 01, 2023",12.52,13.03,12.25,12.82,"265,500"
17,"Jan 31, 2023",11.65,12.93,11.65,12.64,"227,000"
18,"Jan 30, 2023",11.15,11.81,11.10,11.70,"161,000"
19,"Jan 27, 2023",11.16,11.33,11.08,11.20,"97,600"
20,"Jan 26, 2023",11.27,11.44,11.05,11.19,"82,000"
21,"Jan 25, 2023",11.13,11.32,11.00,11.20,"126,500"
22,"Jan 24, 2023",11.12,11.45,10.96,11.20,"159,900"
23,"Jan 23, 2023",10.64,11.13,10.64,11.10,"187,600"
24,"Jan 20, 2023",10.51,11.07,10.25,10.75,"293,200"
25,"Jan 19, 2023",10.35,10.43,10.11,10.40,"116,000"
26,"Jan 18, 2023",10.50,11.25,10.43,10.44,"304,400"
27,"Jan 17, 2023",10.19,10.42,10.07,10.37,"125,200"
28,"Jan 13, 2023",9.50,10.18,9.32,10.16,"185,800"
29,"Jan 12, 2023",10.16,10.60,9.90,10.30,"148,000"
30,"Jan 11, 2023",9.95,10.23,9.85,10.02,"199,100"
31,"Jan 10, 2023",9.86,10.10,9.73,9.90,"96,900"
32,"Jan 09, 2023",10.25,10.54,9.90,9.99,"119,700"
33,"Jan 06, 2023",9.83,10.32,9.83,10.12,"107,800"
34,"Jan 05, 2023",9.67,10.07,9.58,9.93,"175,400"
35,"Jan 04, 2023",9.72,9.97,9.48,9.83,"172,100"
36,"Jan 03, 2023",8.85,9.72,8.81,9.58,"253,200"
37,"Dec 30, 2022",8.59,8.80,8.50,8.66,"236,300"
38,"Dec 29, 2022",8.42,8.81,8.31,8.75,"233,200"
39,"Dec 28, 2022",8.88,8.96,8.17,8.37,"370,300"
40,"Dec 27, 2022",9.51,9.51,8.81,8.90,"185,200"
41,"Dec 23, 2022",9.48,9.78,9.37,9.50,"143,300"
42,"Dec 22, 2022",9.37,9.66,9.25,9.50,"166,600"
43,"Dec 21, 2022",9.12,9.50,9.12,9.42,"176,000"
44,"Dec 20, 2022",9.04,9.37,8.98,9.06,"183,500"
45,"Dec 19, 2022",9.27,9.44,9.05,9.13,"135,200"
46,"Dec 16, 2022",9.25,9.55,9.18,9.37,"224,500"
47,"Dec 15, 2022",9.41,9.58,9.15,9.41,"193,500"
48,"Dec 14, 2022",9.71,9.99,9.46,9.65,"188,900"
49,"Dec 13, 2022",9.87,9.93,9.65,9.90,"262,900"
50,"Dec 12, 2022",9.30,9.40,9.18,9.34,"109,900"
51,"Dec 09, 2022",9.37,9.66,9.25,9.28,"181,300"
52,"Dec 08, 2022",9.67,9.76,9.45,9.48,"237,900"
53,"Dec 07, 2022",9.18,9.62,9.16,9.54,"163,500"
54,"Dec 06, 2022",9.38,9.54,9.15,9.27,"202,900"
55,"Dec 05, 2022",9.42,9.60,9.23,9.40,"227,700"
56,"Dec 02, 2022",9.19,9.67,9.15,9.55,"225,900"
57,"Dec 01, 2022",9.87,9.99,9.28,9.36,"164,200"
58,"Nov 30, 2022",9.65,9.84,9.15,9.84,"267,100"
59,"Nov 29, 2022",9.46,9.73,9.42,9.59,"164,500"
60,"Nov 28, 2022",9.79,9.95,9.48,9.52,"142,400"
61,"Nov 25, 2022",9.66,9.94,9.53,9.87,"51,200"
62,"Nov 23, 2022",9.32,9.78,9.17,9.66,"206,300"
63,"Nov 22, 2022",9.51,9.51,8.77,9.30,"316,600"
64,"Nov 21, 2022",10.07,10.15,9.62,9.67,"79,900"
65,"Nov 18, 2022",10.14,10.15,9.85,10.06,"95,900"
66,"Nov 17, 2022",9.63,9.98,9.40,9.93,"143,900"
67,"Nov 16, 2022",10.28,10.28,9.67,9.80,"92,600"
68,"Nov 15, 2022",10.50,10.67,10.16,10.34,"143,400"
69,"Nov 14, 2022",11.00,11.00,10.30,10.31,"118,900"
70,"Nov 11, 2022",11.00,11.25,10.85,10.98,"172,900"
71,"Nov 10, 2022",10.61,11.44,10.60,10.82,"198,900"
72,"Nov 09, 2022",10.04,10.56,9.92,10.02,"117,800"
73,"Nov 08, 2022",10.03,10.26,9.69,10.25,"122,300"
74,"Nov 07, 2022",10.52,10.60,9.55,10.01,"224,000"
75,"Nov 04, 2022",10.35,11.01,10.31,10.67,"133,200"
76,"Nov 03, 2022",10.35,10.72,9.84,10.60,"150,300"
77,"Nov 02, 2022",11.04,11.10,10.24,10.31,"173,100"
78,"Nov 01, 2022",11.35,11.39,10.89,11.00,"199,700"
79,"Oct 31, 2022",10.93,11.25,10.67,11.10,"156,400"
80,"Oct 28, 2022",10.63,11.08,10.45,11.06,"148,000"
81,"Oct 27, 2022",11.00,11.19,10.66,10.70,"114,200"
82,"Oct 26, 2022",10.75,11.12,10.62,10.89,"181,200"
83,"Oct 25, 2022",10.03,10.68,10.03,10.68,"183,500"
84,"Oct 24, 2022",9.90,10.23,9.55,10.14,"121,000"
85,"Oct 21, 2022",9.64,9.96,9.39,9.90,"122,700"
86,"Oct 20, 2022",9.91,10.11,9.53,9.65,"108,100"
87,"Oct 19, 2022",10.25,10.25,9.76,9.95,"171,600"
88,"Oct 18, 2022",10.69,10.80,10.23,10.38,"123,300"
89,"Oct 17, 2022",10.53,10.67,10.27,10.43,"152,200"
90,"Oct 14, 2022",10.61,10.61,10.07,10.15,"152,600"
91,"Oct 13, 2022",10.69,10.85,10.41,10.60,"116,200"
92,"Oct 12, 2022",11.43,11.50,10.85,10.91,"89,400"
93,"Oct 11, 2022",11.34,11.37,11.03,11.19,"141,400"
94,"Oct 10, 2022",11.09,11.32,10.83,11.30,"91,300"
95,"Oct 07, 2022",11.30,11.44,10.65,10.84,"343,000"
96,"Oct 06, 2022",11.05,11.32,11.03,11.24,"142,000"
97,"Oct 05, 2022",10.90,11.28,10.74,11.05,"215,000"
98,"Oct 04, 2022",10.82,11.24,10.82,11.06,"223,500"
99,"Oct 03, 2022",10.61,10.81,10.47,10.73,"204,000"
100,"Sep 30, 2022",10.48,10.67,10.42,10.60,"202,800"
101,"Sep 29, 2022",10.36,10.57,10.10,10.54,"147,800"
102,"Sep 28, 2022",10.19,10.78,10.10,10.59,"181,300"
103,"Sep 27, 2022",9.86,10.08,9.79,10.04,"166,300"
104,"Sep 26, 2022",10.17,10.35,9.68,9.81,"99,400"
105,"Sep 23, 2022",10.39,10.39,9.99,10.21,"85,300"
106,"Sep 22, 2022",11.00,11.00,10.45,10.47,"82,400"
107,"Sep 21, 2022",11.12,11.40,10.98,11.03,"112,000"
108,"Sep 20, 2022",11.29,11.29,10.95,11.07,"99,300"
109,"Sep 19, 2022",11.25,11.52,11.11,11.30,"129,600"
110,"Sep 16, 2022",11.39,11.58,10.98,11.23,"557,900"
111,"Sep 15, 2022",11.57,11.80,11.19,11.56,"151,100"
112,"Sep 14, 2022",11.62,11.67,11.17,11.51,"143,600"
113,"Sep 13, 2022",12.67,12.72,11.58,11.67,"315,000"
114,"Sep 12, 2022",12.81,13.09,12.78,12.88,"232,500"
115,"Sep 09, 2022",12.52,12.73,12.37,12.63,"118,400"
116,"Sep 08, 2022",12.27,12.56,12.04,12.46,"93,000"
117,"Sep 07, 2022",12.00,12.48,12.00,12.44,"115,700"
118,"Sep 06, 2022",12.42,12.56,11.99,12.09,"134,000"
119,"Sep 02, 2022",12.36,12.48,11.96,12.25,"223,100"
120,"Sep 01, 2022",12.15,12.38,12.00,12.19,"159,700"
121,"Aug 31, 2022",12.24,12.48,12.22,12.35,"114,500"
122,"Aug 30, 2022",11.89,12.20,11.89,12.18,"422,800"
123,"Aug 29, 2022",11.72,12.19,11.72,11.89,"167,400"
124,"Aug 26, 2022",12.30,12.59,11.69,11.83,"235,900"
125,"Aug 25, 2022",12.54,12.93,11.89,12.30,"394,400"
126,"Aug 24, 2022",11.20,11.63,11.11,11.43,"85,500"
127,"Aug 23, 2022",11.16,11.45,11.11,11.23,"73,800"
128,"Aug 22, 2022",11.98,12.07,11.04,11.23,"204,100"
129,"Aug 19, 2022",12.30,12.30,11.94,12.04,"94,700"
130,"Aug 18, 2022",12.25,12.57,12.05,12.52,"89,100"
131,"Aug 17, 2022",12.71,12.71,12.16,12.32,"106,700"
132,"Aug 16, 2022",12.65,12.92,12.38,12.72,"224,000"
133,"Aug 15, 2022",12.93,13.19,12.57,12.67,"186,500"
134,"Aug 12, 2022",13.05,13.59,12.52,12.91,"227,700"
135,"Aug 11, 2022",12.59,13.09,12.59,12.85,"198,200"
136,"Aug 10, 2022",12.84,13.11,12.42,12.50,"162,500"
137,"Aug 09, 2022",12.24,12.72,12.11,12.50,"216,200"
138,"Aug 08, 2022",12.60,12.65,12.00,12.26,"336,100"
139,"Aug 05, 2022",13.43,14.85,12.51,12.62,"274,700"
140,"Aug 04, 2022",13.20,14.56,13.20,13.51,"363,500"
141,"Aug 03, 2022",12.76,13.05,12.49,12.95,"122,300"
142,"Aug 02, 2022",13.14,13.39,12.72,12.72,"106,300"
143,"Aug 01, 2022",12.98,13.29,12.41,13.14,"145,400"
144,"Jul 29, 2022",13.29,13.29,12.80,13.00,"112,800"
145,"Jul 28, 2022",13.10,13.34,12.76,13.21,"91,000"
146,"Jul 27, 2022",12.88,13.00,12.50,12.93,"117,200"
147,"Jul 26, 2022",12.86,12.98,12.61,12.75,"95,000"
148,"Jul 25, 2022",13.24,13.31,12.92,12.97,"236,800"
149,"Jul 22, 2022",13.19,13.80,13.00,13.32,"150,300"
150,"Jul 21, 2022",12.75,13.14,12.59,13.10,"107,400"
151,"Jul 20, 2022",12.71,12.95,12.58,12.89,"98,100"
152,"Jul 19, 2022",12.55,12.85,12.34,12.68,"93,800"
153,"Jul 18, 2022",12.30,12.52,12.01,12.30,"110,300"
154,"Jul 15, 2022",12.20,12.44,11.76,12.25,"131,900"
155,"Jul 14, 2022",11.72,11.96,11.57,11.79,"113,100"
156,"Jul 13, 2022",11.84,12.23,11.74,11.95,"195,900"
157,"Jul 12, 2022",11.74,12.35,11.74,12.03,"113,200"
158,"Jul 11, 2022",12.21,12.31,11.81,11.91,"114,500"
159,"Jul 08, 2022",11.84,12.23,11.82,12.22,"137,000"
160,"Jul 07, 2022",11.99,12.12,11.67,11.81,"152,000"
161,"Jul 06, 2022",11.99,12.05,11.53,11.86,"176,900"
162,"Jul 05, 2022",11.18,12.04,11.03,12.03,"238,400"
163,"Jul 01, 2022",10.68,11.18,10.54,11.16,"192,500"
164,"Jun 30, 2022",10.43,10.77,10.32,10.64,"313,200"
165,"Jun 29, 2022",10.50,10.64,10.05,10.54,"333,000"
166,"Jun 28, 2022",10.92,11.18,10.49,10.57,"308,500"
167,"Jun 27, 2022",10.51,11.45,10.51,10.78,"549,300"
168,"Jun 24, 2022",11.05,11.26,10.36,10.45,"2,762,000"
169,"Jun 23, 2022",10.13,11.30,10.13,11.00,"543,600"
170,"Jun 22, 2022",10.00,10.30,9.60,10.05,"469,900"
171,"Jun 21, 2022",11.14,11.14,10.12,10.21,"348,700"
172,"Jun 17, 2022",11.02,11.20,10.14,10.64,"546,600"
173,"Jun 16, 2022",12.45,12.45,11.50,11.82,"265,900"
174,"Jun 15, 2022",12.88,13.06,12.05,12.79,"281,500"
175,"Jun 14, 2022",13.17,13.56,12.44,12.74,"233,000"
176,"Jun 13, 2022",14.10,14.30,13.05,13.16,"153,700"
177,"Jun 10, 2022",14.95,15.21,14.32,14.50,"270,100"
178,"Jun 09, 2022",15.80,15.92,14.74,15.14,"203,600"
179,"Jun 08, 2022",15.59,16.05,15.18,15.80,"193,900"
180,"Jun 07, 2022",15.79,15.79,14.46,15.65,"523,800"
181,"Jun 06, 2022",17.74,17.94,15.98,16.08,"276,900"
182,"Jun 03, 2022",17.39,17.79,17.20,17.61,"182,700"
183,"Jun 02, 2022",17.72,18.00,17.35,17.51,"169,900"
184,"Jun 01, 2022",17.77,17.93,16.51,17.72,"466,000"
185,"May 31, 2022",17.34,17.86,17.15,17.66,"206,200"
186,"May 27, 2022",17.38,17.72,17.23,17.58,"128,000"
187,"May 26, 2022",16.55,17.44,16.45,17.24,"222,900"
188,"May 25, 2022",15.63,16.50,15.51,16.31,"118,300"
189,"May 24, 2022",16.30,16.35,15.40,15.63,"199,200"
190,"May 23, 2022",17.09,17.13,16.40,16.50,"125,200"
