,Close,Date,High,Low,Open,Volume
0,11.93,"Mar 14, 2023",12.31,11.77,12.21,"93,752,400"
1,12.03,"Mar 13, 2023",12.31,11.32,11.93,"119,167,600"
2,12.10,"Mar 10, 2023",12.51,12.00,12.43,"73,798,900"
3,12.45,"Mar 09, 2023",13.08,12.44,13.02,"65,423,500"
4,12.98,"Mar 08, 2023",13.01,12.71,12.78,"46,421,000"
5,12.83,"Mar 07, 2023",12.98,12.78,12.94,"46,540,400"
6,12.98,"Mar 06, 2023",13.18,12.93,13.08,"50,571,200"
7,13.08,"Mar 03, 2023",13.11,12.65,12.72,"80,017,500"
8,12.55,"Mar 02, 2023",12.55,12.23,12.38,"78,214,100"
9,12.32,"Mar 01, 2023",12.54,12.17,12.35,"85,328,800"
10,12.07,"Feb 28, 2023",12.18,12.01,12.07,"59,796,800"
11,12.06,"Feb 27, 2023",12.42,11.96,11.98,"60,378,100"
12,11.88,"Feb 24, 2023",11.98,11.75,11.82,"50,631,600"
13,12.07,"Feb 23, 2023",12.36,11.88,12.32,"57,952,800"
14,12.21,"Feb 22, 2023",12.31,12.14,12.24,"52,844,700"
15,12.2,"Feb 21, 2023",12.81,12.17,12.72,"77,724,200"
16,12.89,"Feb 17, 2023",12.94,12.65,12.82,"54,401,000"
17,12.91,"Feb 16, 2023",13.14,12.51,12.73,"64,145,500"
18,12.93,"Feb 15, 2023",12.94,12.6,12.75,"65,850,000"
19,12.97,"Feb 14, 2023",13.19,12.82,12.99,"75,352,900"
20,13.09,"Feb 13, 2023",13.1,12.7,12.71,"64,201,900"
21,12.73,"Feb 10, 2023",12.9,12.51,12.84,"68,205,200"
22,,"Feb 10, 2023",,,Dividend,
23,13.49,"Feb 09, 2023",13.93,13.4,13.66,"78,667,100"
24,13.42,"Feb 08, 2023",13.69,13.3,13.30,"62,028,400"
25,13.45,"Feb 07, 2023",13.51,12.98,13.08,"70,671,100"
26,13.14,"Feb 06, 2023",13.21,12.78,13.16,"77,262,800"
27,13.23,"Feb 03, 2023",13.61,12.78,13.05,"165,500,200"
28,14.32,"Feb 02, 2023",14.6,14.03,14.17,"102,579,800"
29,13.79,"Feb 01, 2023",13.99,13.49,13.52,"70,641,000"
30,13.51,"Jan 31, 2023",13.57,13.25,13.39,"83,093,300"
31,12.89,"Jan 30, 2023",13.2,12.86,13.01,"64,512,600"
32,13.27,"Jan 27, 2023",13.37,12.87,12.88,"62,114,600"
33,12.92,"Jan 26, 2023",13.07,12.71,12.99,"48,970,900"
34,12.79,"Jan 25, 2023",12.85,12.49,12.60,"37,739,000"
35,12.74,"Jan 24, 2023",12.9,12.62,12.68,"41,537,400"
36,12.8,"Jan 23, 2023",12.91,12.43,12.48,"49,688,000"
37,12.4,"Jan 20, 2023",12.42,12.08,12.21,"44,349,200"
38,12.18,"Jan 19, 2023",12.36,12.04,12.29,"52,918,500"
39,12.41,"Jan 18, 2023",12.85,12.4,12.79,"48,774,400"
40,12.67,"Jan 17, 2023",12.85,12.43,12.71,"60,774,900"
41,12.72,"Jan 13, 2023",12.82,12.47,12.63,"96,444,000"
42,13.43,"Jan 12, 2023",13.53,13.11,13.27,"58,113,700"
43,13.22,"Jan 11, 2023",13.26,12.89,12.93,"51,911,600"
44,12.84,"Jan 10, 2023",12.87,12.5,12.68,"47,065,500"
45,12.69,"Jan 09, 2023",12.93,12.55,12.74,"50,865,500"
46,12.58,"Jan 06, 2023",12.59,12.1,12.12,"53,089,100"
47,12.25,"Jan 05, 2023",12.38,11.88,12.11,"50,785,600"
48,12.01,"Jan 04, 2023",12.08,11.74,11.88,"53,429,700"
49,11.68,"Jan 03, 2023",11.92,11.57,11.82,"45,809,000"
50,11.63,"Dec 30, 2022",11.64,11.39,11.40,"39,232,200"
51,11.54,"Dec 29, 2022",11.55,11.05,11.08,"53,550,300"
52,10.95,"Dec 28, 2022",11.25,10.9,11.18,"49,375,400"
53,11.2,"Dec 27, 2022",11.39,11.13,11.28,"44,837,400"
54,11.36,"Dec 23, 2022",11.4,11.22,11.27,"38,200,700"
55,11.31,"Dec 22, 2022",11.54,11.1,11.54,"75,158,700"
56,11.78,"Dec 21, 2022",11.79,11.55,11.61,"49,256,000"
57,11.47,"Dec 20, 2022",11.68,11.12,11.65,"82,057,900"
