,Close,Date,High,Low,Open,Volume
0,35.60,"Mar 14, 2023",36.67,35.08,36.46,"18,933,500"
1,35.76,"Mar 13, 2023",36.31,34.86,35.62,"21,584,200"
2,36.52,"Mar 10, 2023",37.78,36.26,37.70,"14,135,500"
3,37.82,"Mar 09, 2023",39.70,37.76,39.52,"15,604,100"
4,39.76,"Mar 08, 2023",40.02,39.37,39.70,"10,674,800"
5,39.74,"Mar 07, 2023",40.43,39.62,40.22,"12,126,900"
6,40.45,"Mar 06, 2023",41.19,40.25,41.02,"9,810,000"
7,41.01,"Mar 03, 2023",41.35,40.25,40.39,"13,428,600"
8,39.53,"Mar 02, 2023",39.56,38.12,38.41,"12,908,600"
9,,"Mar 02, 2023",,,Dividend,
10,38.72,"Mar 01, 2023",39.33,38.64,38.68,"14,164,800"
11,38.74,"Feb 28, 2023",39.24,38.49,39.21,"17,166,700"
12,39.18,"Feb 24, 2023",39.32,38.46,38.91,"12,929,600"
13,39.25,"Feb 23, 2023",41.26,38.87,41.05,"19,930,700"
14,40.89,"Feb 22, 2023",41.47,40.63,41.23,"9,870,000"
15,41.13,"Feb 21, 2023",43.08,41.09,42.43,"12,320,100"
16,43.17,"Feb 17, 2023",43.17,42.19,43.00,"13,034,100"
17,43.1,"Feb 16, 2023",43.63,42.23,42.39,"14,549,600"
18,42.95,"Feb 15, 2023",42.98,42.05,42.14,"11,660,100"
19,42.43,"Feb 14, 2023",42.73,41.69,41.70,"13,012,400"
20,42.02,"Feb 13, 2023",42.08,40.72,40.73,"12,854,800"
21,41.35,"Feb 10, 2023",41.63,40.96,41.24,"11,447,400"
22,41.63,"Feb 09, 2023",42.99,41.49,42.09,"20,848,900"
23,41.57,"Feb 08, 2023",42.1,40.98,41.08,"12,318,500"
24,41.4,"Feb 07, 2023",41.78,40.74,41.26,"11,542,500"
25,41.34,"Feb 06, 2023",41.61,40.77,40.90,"14,285,700"
26,41.13,"Feb 03, 2023",41.99,40.31,40.65,"18,566,700"
27,41.5,"Feb 02, 2023",42.05,39.92,40.28,"28,757,000"
28,39.3,"Feb 01, 2023",39.84,38.56,39.45,"25,569,500"
29,39.32,"Jan 31, 2023",39.73,38.33,38.93,"47,396,300"
30,36.29,"Jan 30, 2023",37.28,36.22,36.75,"23,596,800"
31,37.95,"Jan 27, 2023",38.24,36.44,36.58,"21,995,400"
32,36.48,"Jan 26, 2023",37.18,36.23,36.99,"19,559,000"
33,36.32,"Jan 25, 2023",36.55,35.38,35.99,"13,715,600"
34,36.2,"Jan 24, 2023",36.66,35.82,36.00,"12,072,100"
35,36.44,"Jan 23, 2023",36.6,35.53,35.69,"17,001,900"
36,35.35,"Jan 20, 2023",36.01,35.28,35.68,"17,187,200"
37,35.73,"Jan 19, 2023",36.02,35.13,35.65,"11,403,600"
38,36.44,"Jan 18, 2023",37.53,36.42,37.06,"11,322,700"
39,36.61,"Jan 17, 2023",37.14,36.21,36.50,"13,916,100"
40,36.51,"Jan 13, 2023",36.73,35.81,36.48,"21,242,800"
41,38.33,"Jan 12, 2023",38.61,37.83,38.14,"15,318,500"
42,37.82,"Jan 11, 2023",38.11,37.15,37.35,"15,190,300"
43,37.11,"Jan 10, 2023",37.14,35.9,36.14,"10,280,400"
44,35.92,"Jan 09, 2023",36.84,35.85,36.53,"11,617,900"
45,35.91,"Jan 06, 2023",36.01,34.55,34.69,"9,783,500"
46,35.0,"Jan 05, 2023",35.44,34.12,34.20,"11,932,000"
47,34.69,"Jan 04, 2023",34.95,34.09,34.29,"11,326,300"
48,33.82,"Jan 03, 2023",34.34,33.4,34.02,"11,793,300"
49,33.64,"Dec 30, 2022",33.76,33.23,33.33,"11,807,400"
50,33.67,"Dec 29, 2022",33.67,32.82,32.82,"11,634,900"
51,32.53,"Dec 28, 2022",33.5,32.52,33.32,"9,550,900"
52,33.32,"Dec 27, 2022",33.75,33.02,33.52,"9,984,400"
53,33.83,"Dec 23, 2022",33.88,33.18,33.68,"10,619,100"
54,33.53,"Dec 22, 2022",35.18,33.28,35.17,"20,227,800"
55,35.9,"Dec 21, 2022",36.03,35.47,35.72,"9,959,900"
56,35.2,"Dec 20, 2022",35.59,34.78,35.26,"10,934,300"
57,35.42,"Dec 19, 2022",36.4,35.36,36.28,"12,248,000"
58,36.15,"Dec 16, 2022",37.2,35.87,37.03,"27,530,500"
59,37.62,"Dec 15, 2022",37.8,37.19,37.79,"11,293,600"
60,38.36,"Dec 14, 2022",39.09,37.96,38.74,"11,964,600"
61,38.77,"Dec 13, 2022",40.01,38.53,39.66,"12,154,500"
62,38.49,"Dec 12, 2022",38.67,38.02,38.32,"13,873,200"
63,38.28,"Dec 09, 2022",38.56,37.78,37.85,"8,865,500"
64,38.2,"Dec 08, 2022",38.26,37.6,38.07,"8,622,500"
65,37.96,"Dec 07, 2022",38.33,37.56,37.67,"11,613,800"
66,38.02,"Dec 06, 2022",39.09,37.35,38.93,"12,775,500"
67,38.79,"Dec 05, 2022",39.62,38.69,39.47,"7,633,200"
68,39.9,"Dec 02, 2022",40.14,39.55,39.86,"9,224,100"
69,40.43,"Dec 01, 2022",41.38,40.42,40.77,"12,335,100"
70,,"Dec 01, 2022",,,Dividend,
71,40.56,"Nov 30, 2022",40.56,39.23,39.98,"14,805,900"
72,39.75,"Nov 29, 2022",40.04,39.54,39.62,"10,582,400"
73,39.38,"Nov 28, 2022",40.37,39.31,39.92,"19,395,400"
74,40.46,"Nov 25, 2022",40.47,39.81,39.81,"4,615,300"
75,40.11,"Nov 23, 2022",40.2,39.57,39.85,"9,097,000"
76,39.97,"Nov 22, 2022",40.27,39.63,39.89,"8,394,400"
77,39.52,"Nov 21, 2022",39.72,39.0,39.44,"12,281,900"
78,39.77,"Nov 18, 2022",39.99,39.04,39.50,"22,849,200"
79,38.64,"Nov 17, 2022",39.6,37.47,38.03,"26,006,900"
80,38.47,"Nov 16, 2022",39.86,38.47,39.75,"12,032,500"
81,40.24,"Nov 15, 2022",41.37,40.01,40.70,"12,390,000"
82,39.93,"Nov 14, 2022",41.19,39.92,41.01,"14,968,900"
83,41.12,"Nov 11, 2022",41.58,39.82,39.86,"13,035,200"
84,39.74,"Nov 10, 2022",40.6,38.86,39.15,"20,197,600"
85,38.06,"Nov 09, 2022",38.87,38.03,38.55,"10,526,200"
86,39.05,"Nov 08, 2022",39.51,38.51,39.47,"10,946,400"
