,Close,Date,High,Low,Open,Volume
0,285.57,"Mar 14, 2023",289.80,281.39,289.30,"5,114,000"
1,286.52,"Mar 13, 2023",292.34,282.60,283.99,"3,892,100"
2,286.31,"Mar 10, 2023",293.16,284.10,288.56,"4,728,300"
3,288.00,"Mar 09, 2023",294.37,287.75,293.05,"3,248,000"
4,291.49,"Mar 08, 2023",292.46,288.27,289.44,"4,680,300"
5,,"Mar 08, 2023",,,Dividend,
6,290.70,"Mar 07, 2023",299.06,290.42,299.06,"4,512,400"
7,298.21,"Mar 06, 2023",300.11,296.98,298.00,"3,763,200"
8,298.45,"Mar 03, 2023",298.61,293.76,294.64,"4,030,300"
9,293.02,"Mar 02, 2023",294.11,287.27,288.46,"4,103,700"
10,290.79,"Mar 01, 2023",293.72,288.66,291.92,"5,905,100"
11,296.54,"Feb 28, 2023",298.70,294.31,295.00,"3,949,500"
12,296.66,"Feb 24, 2023",298.33,292.0,292.40,"3,713,300"
13,299.31,"Feb 23, 2023",299.88,294.62,296.79,"4,354,500"
14,296.3,"Feb 22, 2023",300.4,295.09,297.55,"5,922,100"
15,295.5,"Feb 21, 2023",308.01,295.03,305.55,"10,891,800"
16,317.95,"Feb 17, 2023",320.6,312.95,318.68,"4,985,500"
17,321.24,"Feb 16, 2023",323.74,314.93,315.00,"3,169,200"
18,320.69,"Feb 15, 2023",321.53,315.79,315.88,"2,585,500"
19,318.43,"Feb 14, 2023",322.96,315.67,320.61,"3,380,800"
20,323.53,"Feb 13, 2023",323.69,315.61,317.34,"2,432,500"
21,316.54,"Feb 10, 2023",317.2,312.75,313.85,"2,768,800"
22,315.55,"Feb 09, 2023",323.89,314.83,323.10,"3,063,300"
23,320.79,"Feb 08, 2023",323.99,319.57,322.94,"2,777,200"
24,325.2,"Feb 07, 2023",327.0,320.72,324.00,"3,865,500"
25,329.27,"Feb 06, 2023",331.01,327.46,328.99,"2,229,700"
26,331.5,"Feb 03, 2023",334.71,330.33,332.53,"3,389,700"
27,339.79,"Feb 02, 2023",341.47,332.69,333.45,"4,776,600"
28,328.09,"Feb 01, 2023",330.55,317.64,322.39,"3,076,500"
29,324.17,"Jan 31, 2023",324.35,315.1,315.99,"3,526,800"
30,314.24,"Jan 30, 2023",318.14,313.69,315.83,"2,643,100"
31,316.69,"Jan 27, 2023",318.24,311.33,312.02,"2,761,200"
32,313.81,"Jan 26, 2023",319.26,312.53,314.15,"3,555,300"
33,317.26,"Jan 25, 2023",318.12,311.55,315.33,"2,060,400"
34,317.69,"Jan 24, 2023",318.1,312.63,315.12,"2,127,900"
35,315.48,"Jan 23, 2023",317.53,311.09,313.54,"3,237,900"
36,315.0,"Jan 20, 2023",315.24,307.39,310.01,"3,725,100"
37,310.88,"Jan 19, 2023",321.34,310.63,320.34,"5,359,300"
38,323.69,"Jan 18, 2023",334.52,322.93,330.00,"2,952,200"
39,327.53,"Jan 17, 2023",335.16,327.1,330.33,"3,988,900"
40,331.21,"Jan 13, 2023",332.39,326.0,326.49,"2,798,600"
41,329.87,"Jan 12, 2023",332.21,326.71,332.21,"2,481,800"
42,329.0,"Jan 11, 2023",329.04,322.12,322.55,"2,864,800"
43,320.63,"Jan 10, 2023",320.73,313.96,316.30,"2,111,300"
44,317.81,"Jan 09, 2023",322.55,317.06,320.00,"3,466,300"
45,317.53,"Jan 06, 2023",318.85,309.0,316.29,"4,022,500"
46,315.47,"Jan 05, 2023",318.08,313.23,317.83,"2,935,100"
47,319.73,"Jan 04, 2023",322.51,316.38,321.07,"3,560,900"
48,315.91,"Jan 03, 2023",319.22,311.78,317.42,"2,822,400"
49,315.86,"Dec 30, 2022",318.17,313.02,317.49,"2,581,600"
50,320.41,"Dec 29, 2022",321.83,317.59,318.65,"1,559,100"
51,315.73,"Dec 28, 2022",321.43,315.5,320.55,"1,568,200"
52,319.55,"Dec 27, 2022",321.55,317.51,318.41,"1,610,200"
53,318.73,"Dec 23, 2022",319.1,313.06,314.15,"2,064,900"
54,316.12,"Dec 22, 2022",316.4,310.73,316.40,"3,064,400"
55,319.36,"Dec 21, 2022",319.59,314.74,318.05,"2,610,400"
56,314.84,"Dec 20, 2022",316.89,310.83,313.32,"2,632,200"
57,317.33,"Dec 19, 2022",321.91,316.02,319.50,"3,000,600"
58,323.34,"Dec 16, 2022",327.94,319.24,323.43,"9,615,000"
59,327.6,"Dec 15, 2022",330.02,323.37,329.44,"5,056,900"
60,333.43,"Dec 14, 2022",339.06,329.01,330.53,"4,546,000"
61,332.89,"Dec 13, 2022",347.25,329.96,344.35,"5,787,700"
62,327.98,"Dec 12, 2022",328.34,321.29,323.00,"4,900,200"
63,320.48,"Dec 09, 2022",324.44,319.93,321.48,"3,738,800"
64,324.09,"Dec 08, 2022",324.52,318.55,318.55,"3,483,600"
65,320.15,"Dec 07, 2022",322.88,314.44,315.96,"4,038,200"
66,317.45,"Dec 06, 2022",321.65,314.54,319.64,"3,341,500"
67,320.08,"Dec 05, 2022",325.52,319.54,325.15,"5,057,300"
68,327.99,"Dec 02, 2022",328.48,320.33,321.08,"3,644,100"
69,327.07,"Dec 01, 2022",329.67,324.44,326.31,"3,830,100"
70,323.99,"Nov 30, 2022",324.19,311.5,312.93,"15,106,500"
71,,"Nov 30, 2022",,,Dividend,
72,315.96,"Nov 29, 2022",320.0,315.62,316.00,"3,505,600"
73,318.92,"Nov 28, 2022",328.8,317.85,325.06,"4,733,700"
