,Close,Date,High,Low,Open,Volume
0,35.37,"Mar 14, 2023",35.86,34.93,35.63,"1,145,200"
1,,"Mar 13, 2023",,,,
2,34.62,"Mar 10, 2023",35.80,33.92,35.76,"1,636,200"
3,35.55,"Mar 09, 2023",36.34,35.43,35.58,"1,508,900"
4,35.61,"Mar 08, 2023",35.61,34.95,35.38,"900,100"
5,35.09,"Mar 07, 2023",35.65,34.92,35.27,"1,271,400"
6,34.99,"Mar 06, 2023",35.63,34.85,35.05,"1,601,000"
7,35.76,"Mar 03, 2023",35.95,35.20,35.69,"1,164,100"
8,35.19,"Mar 02, 2023",35.19,34.20,34.60,"1,235,000"
9,34.89,"Mar 01, 2023",35.62,34.86,35.15,"1,403,200"
10,35.27,"Feb 28, 2023",35.80,35.23,35.48,"1,090,200"
11,35.35,"Feb 27, 2023",35.82,35.14,35.71,"1,039,300"
12,35.2,"Feb 24, 2023",35.43,34.55,34.73,"1,334,600"
13,35.52,"Feb 23, 2023",35.65,34.61,34.97,"1,143,800"
14,34.77,"Feb 22, 2023",35.3,34.53,34.90,"1,370,000"
15,34.51,"Feb 21, 2023",35.33,34.36,35.14,"1,519,100"
16,35.66,"Feb 17, 2023",36.42,35.3,36.42,"1,571,000"
17,36.58,"Feb 16, 2023",36.97,36.13,36.48,"1,120,000"
18,37.12,"Feb 15, 2023",37.35,36.78,37.13,"1,041,000"
19,37.48,"Feb 14, 2023",38.13,36.89,37.58,"1,456,900"
20,38.17,"Feb 13, 2023",38.23,37.16,37.23,"922,500"
21,37.36,"Feb 10, 2023",37.81,36.91,37.10,"1,214,200"
22,37.3,"Feb 09, 2023",38.26,37.21,38.07,"1,584,600"
23,37.69,"Feb 08, 2023",39.15,37.63,39.06,"1,941,700"
24,39.44,"Feb 07, 2023",39.65,38.49,38.61,"1,379,700"
25,39.01,"Feb 06, 2023",39.42,38.74,39.23,"1,043,500"
26,39.69,"Feb 03, 2023",40.33,39.28,39.30,"1,152,600"
27,40.43,"Feb 02, 2023",40.92,39.46,39.50,"2,030,500"
28,38.83,"Feb 01, 2023",39.21,37.49,38.24,"2,149,800"
