,Close,Date,High,Low,Open,Volume
0,196.83,"Mar 14, 2023",200.09,193.82,199.40,"3,909,000"
1,197.55,"Mar 13, 2023",201.39,194.73,195.74,"3,116,300"
2,196.66,"Mar 10, 2023",201.69,196.09,199.12,"2,986,500"
3,199.05,"Mar 09, 2023",204.05,198.54,202.09,"2,440,300"
4,201.14,"Mar 08, 2023",202.08,197.69,198.22,"2,670,400"
5,197.41,"Mar 07, 2023",202.49,197.26,202.49,"3,320,200"
6,201.57,"Mar 06, 2023",203.71,200.06,200.30,"3,160,900"
7,199.73,"Mar 03, 2023",200.55,195.06,195.78,"3,482,800"
8,195.10,"Mar 02, 2023",195.45,192.03,192.66,"4,096,900"
9,194.31,"Mar 01, 2023",205.64,191.27,205.44,"9,814,300"
10,205.75,"Feb 28, 2023",208.28,203.30,203.98,"4,391,400"
11,204.24,"Feb 27, 2023",206.49,203.44,204.33,"2,764,800"
12,201.54,"Feb 24, 2023",202.59,198.46,199.79,"2,163,500"
13,202.21,"Feb 23, 2023",203.75,199.13,202.56,"2,332,200"
14,202.63,"Feb 22, 2023",204.44,200.06,201.21,"2,667,400"
15,201.85,"Feb 21, 2023",206.9,201.22,205.27,"3,942,900"
16,212.75,"Feb 17, 2023",213.71,208.9,213.24,"3,462,000"
17,214.01,"Feb 16, 2023",216.07,209.62,210.20,"2,479,000"
18,215.03,"Feb 15, 2023",215.5,211.27,212.35,"1,849,900"
19,213.76,"Feb 14, 2023",215.12,211.14,212.03,"2,316,600"
20,214.14,"Feb 13, 2023",214.3,207.43,209.30,"2,364,000"
21,208.78,"Feb 10, 2023",208.93,206.33,207.46,"1,836,300"
22,208.64,"Feb 09, 2023",215.24,207.96,214.77,"2,386,700"
23,212.76,"Feb 08, 2023",214.21,211.07,214.21,"2,421,100"
24,214.73,"Feb 07, 2023",215.57,210.42,212.89,"2,552,300"
25,215.87,"Feb 06, 2023",216.84,214.06,214.25,"2,380,600"
26,215.97,"Feb 03, 2023",218.39,214.82,217.14,"3,047,900"
27,221.56,"Feb 02, 2023",223.31,215.98,216.05,"4,156,800"
28,213.56,"Feb 01, 2023",215.14,204.39,207.46,"3,363,900"
29,208.25,"Jan 31, 2023",208.33,202.5,203.25,"3,415,800"
30,201.91,"Jan 30, 2023",204.56,201.15,201.97,"2,786,300"
31,202.49,"Jan 27, 2023",203.42,200.44,201.45,"2,907,900"
32,201.81,"Jan 26, 2023",208.77,201.64,204.35,"3,426,100"
33,206.11,"Jan 25, 2023",206.29,201.84,204.52,"2,283,400"
34,206.41,"Jan 24, 2023",206.58,202.61,202.61,"2,862,500"
35,205.11,"Jan 23, 2023",206.91,201.79,203.52,"3,473,500"
36,204.53,"Jan 20, 2023",204.99,198.67,201.36,"3,517,600"
37,202.13,"Jan 19, 2023",207.9,201.19,207.51,"3,508,800"
38,208.5,"Jan 18, 2023",214.18,208.11,210.72,"3,575,000"
39,209.52,"Jan 17, 2023",214.98,209.25,212.17,"2,943,800"
40,212.16,"Jan 13, 2023",213.56,207.81,207.81,"3,875,900"
41,210.26,"Jan 12, 2023",211.57,206.59,210.26,"2,690,200"
42,208.59,"Jan 11, 2023",208.72,202.15,202.16,"2,781,000"
43,201.4,"Jan 10, 2023",201.67,198.54,199.92,"2,200,800"
44,199.44,"Jan 09, 2023",204.13,199.34,202.42,"2,748,500"
45,200.97,"Jan 06, 2023",201.79,194.45,200.73,"3,121,400"
46,200.77,"Jan 05, 2023",201.44,197.48,199.30,"1,942,300"
47,201.39,"Jan 04, 2023",202.35,197.51,201.43,"2,507,400"
48,199.04,"Jan 03, 2023",202.3,197.14,201.49,"2,602,000"
49,199.24,"Dec 30, 2022",200.5,197.21,200.03,"2,154,600"
50,202.26,"Dec 29, 2022",203.12,201.3,201.68,"1,270,900"
51,200.06,"Dec 28, 2022",203.5,199.63,201.96,"1,419,900"
52,201.71,"Dec 27, 2022",203.99,201.31,201.69,"2,076,600"
53,201.88,"Dec 23, 2022",202.32,197.02,198.42,"1,469,200"
54,199.15,"Dec 22, 2022",200.23,195.27,198.52,"2,414,800"
55,202.43,"Dec 21, 2022",203.62,200.27,202.93,"2,345,400"
56,200.86,"Dec 20, 2022",202.13,197.69,201.19,"2,372,200"
57,203.17,"Dec 19, 2022",205.94,201.99,205.35,"2,442,400"
58,206.14,"Dec 16, 2022",207.36,203.32,206.36,"9,543,500"
59,208.02,"Dec 15, 2022",209.72,205.49,208.61,"3,373,900"
60,212.11,"Dec 14, 2022",216.63,210.06,210.95,"3,727,700"
61,211.22,"Dec 13, 2022",217.83,208.92,216.71,"4,168,600"
62,205.08,"Dec 12, 2022",205.1,201.04,202.29,"2,719,800"
63,201.77,"Dec 09, 2022",204.61,200.2,201.00,"3,226,900"
64,203.56,"Dec 08, 2022",206.41,202.46,205.00,"3,150,200"
65,206.89,"Dec 07, 2022",209.99,202.26,202.76,"3,999,300"
66,201.91,"Dec 06, 2022",205.71,199.0,205.21,"3,627,500"
67,206.18,"Dec 05, 2022",211.61,205.4,210.91,"3,308,400"
68,214.84,"Dec 02, 2022",216.6,211.5,212.40,"3,242,300"
69,215.48,"Dec 01, 2022",216.72,212.71,214.79,"2,735,100"
70,212.55,"Nov 30, 2022",212.97,203.25,206.11,"4,701,600"
71,207.47,"Nov 29, 2022",208.65,206.62,208.00,"1,980,900"
72,209.04,"Nov 28, 2022",211.47,208.52,210.39,"2,202,300"
73,210.97,"Nov 25, 2022",211.83,210.01,211.36,"975,700"
74,211.02,"Nov 23, 2022",215.7,210.02,215.23,"2,593,800"
75,214.47,"Nov 22, 2022",215.53,211.07,211.65,"2,845,700"
76,210.27,"Nov 21, 2022",210.81,208.23,210.13,"2,326,400"
77,209.93,"Nov 18, 2022",211.84,206.41,211.82,"2,912,500"
78,208.4,"Nov 17, 2022",212.99,205.37,212.50,"3,507,800"
79,215.13,"Nov 16, 2022",221.42,211.6,212.09,"8,173,100"
80,208.84,"Nov 15, 2022",211.25,203.82,206.75,"5,127,800"
81,204.66,"Nov 14, 2022",210.47,204.23,208.43,"4,165,000"
82,209.02,"Nov 11, 2022",211.26,204.51,205.09,"4,272,500"
83,204.32,"Nov 10, 2022",204.74,195.3,195.31,"4,837,200"
84,186.63,"Nov 09, 2022",191.27,186.31,187.31,"3,007,200"
85,188.36,"Nov 08, 2022",190.01,185.78,188.06,"2,880,800"
86,186.56,"Nov 07, 2022",187.8,181.04,183.57,"2,715,300"
87,182.15,"Nov 04, 2022",187.85,178.3,182.78,"4,623,400"
88,179.82,"Nov 03, 2022",182.86,178.71,180.85,"4,187,500"
89,185.71,"Nov 02, 2022",194.68,185.53,193.19,"4,539,400"
90,193.55,"Nov 01, 2022",199.74,192.28,198.00,"3,260,100"
91,194.95,"Oct 31, 2022",197.97,194.36,196.99,"3,550,200"
92,198.73,"Oct 28, 2022",199.74,192.85,193.50,"3,292,200"
93,193.66,"Oct 27, 2022",196.48,192.53,195.24,"2,457,600"
94,193.55,"Oct 26, 2022",195.61,191.28,194.23,"2,567,200"
95,193.85,"Oct 25, 2022",195.08,188.89,189.90,"3,245,700"
96,187.61,"Oct 24, 2022",188.51,183.58,183.58,"3,704,900"
97,182.37,"Oct 21, 2022",182.67,176.5,178.14,"3,583,600"
98,178.3,"Oct 20, 2022",185.4,177.47,183.39,"4,095,600"
99,183.94,"Oct 19, 2022",188.47,180.22,187.28,"5,362,300"
100,193.2,"Oct 18, 2022",198.57,192.56,196.20,"3,804,300"
101,194.09,"Oct 17, 2022",195.22,192.09,192.25,"3,504,800"
102,188.96,"Oct 14, 2022",196.96,188.73,194.84,"4,142,800"
103,193.16,"Oct 13, 2022",194.93,185.48,189.83,"4,851,100"
104,193.87,"Oct 12, 2022",198.38,193.78,197.79,"2,353,900"
105,196.43,"Oct 11, 2022",198.37,193.97,194.94,"2,766,000"
106,194.9,"Oct 10, 2022",196.96,192.71,195.95,"2,449,700"
107,197.21,"Oct 07, 2022",198.51,195.34,198.02,"3,466,800"
108,199.98,"Oct 06, 2022",202.29,198.32,198.45,"3,304,900"
109,199.03,"Oct 05, 2022",200.32,194.0,195.32,"3,196,100"
110,197.42,"Oct 04, 2022",199.66,196.33,196.97,"4,139,100"
111,193.92,"Oct 03, 2022",195.8,191.03,191.61,"4,346,500"
112,187.81,"Sep 30, 2022",191.09,185.96,189.43,"6,049,000"
113,190.46,"Sep 29, 2022",192.43,188.81,192.00,"3,622,800"
114,194.53,"Sep 28, 2022",195.47,190.14,192.45,"5,384,900"
115,187.67,"Sep 27, 2022",190.86,186.21,187.94,"3,866,500"
116,186.02,"Sep 26, 2022",190.0,185.69,188.06,"2,938,700"
117,188.13,"Sep 23, 2022",189.16,185.56,186.75,"3,382,500"
118,188.12,"Sep 22, 2022",189.78,186.51,188.00,"2,864,500"
119,188.36,"Sep 21, 2022",194.81,188.32,191.91,"2,925,700"
120,190.41,"Sep 20, 2022",194.18,188.68,192.62,"3,650,200"
121,195.1,"Sep 19, 2022",195.9,190.67,190.91,"3,351,900"
122,191.81,"Sep 16, 2022",193.07,188.75,189.00,"10,187,800"
123,191.04,"Sep 15, 2022",194.49,190.01,193.32,"3,309,700"
124,192.39,"Sep 14, 2022",195.22,190.21,194.55,"3,963,700"
125,193.63,"Sep 13, 2022",202.89,192.95,201.26,"4,441,400"
126,206.4,"Sep 12, 2022",209.42,205.5,206.00,"3,218,700"
127,205.65,"Sep 09, 2022",206.53,203.32,203.98,"3,176,400"
128,204.38,"Sep 08, 2022",204.51,198.73,200.65,"3,564,200"
129,201.3,"Sep 07, 2022",201.94,193.58,193.71,"4,086,500"
130,192.96,"Sep 06, 2022",196.81,191.25,196.17,"3,128,800"
131,195.51,"Sep 02, 2022",199.03,194.29,197.40,"3,165,900"
132,195.76,"Sep 01, 2022",195.95,192.61,193.79,"3,462,200"
133,194.14,"Aug 31, 2022",197.43,194.0,197.10,"5,145,100"
134,197.22,"Aug 30, 2022",203.3,196.41,202.46,"3,906,900"
135,201.07,"Aug 29, 2022",203.61,199.08,200.12,"3,273,800"
136,200.99,"Aug 26, 2022",212.63,200.94,211.73,"3,720,500"
137,210.96,"Aug 25, 2022",211.17,207.95,208.59,"2,634,700"
