,Close,Date,High,Low,Open,Volume
0,260.79,"Mar 14, 2023",261.07,255.86,256.75,"33,594,200"
1,253.92,"Mar 13, 2023",257.91,245.73,247.40,"33,339,700"
2,248.59,"Mar 10, 2023",252.79,247.60,251.08,"28,321,800"
3,252.32,"Mar 09, 2023",259.56,251.58,255.82,"26,653,400"
4,253.70,"Mar 08, 2023",254.54,250.81,254.04,"17,340,200"
5,254.15,"Mar 07, 2023",257.69,253.39,256.30,"21,473,200"
6,256.87,"Mar 06, 2023",260.12,255.98,256.43,"24,109,800"
7,255.29,"Mar 03, 2023",255.62,251.39,252.19,"30,741,300"
8,251.11,"Mar 02, 2023",251.40,245.61,246.55,"24,808,200"
9,246.27,"Mar 01, 2023",250.93,245.79,250.76,"27,565,300"
10,249.42,"Feb 28, 2023",251.49,248.73,249.07,"22,491,000"
11,250.16,"Feb 27, 2023",252.82,249.39,252.46,"21,190,000"
12,249.22,"Feb 24, 2023",251.0,248.1,249.96,"24,990,900"
13,254.77,"Feb 23, 2023",256.84,250.48,255.56,"29,219,100"
14,251.51,"Feb 22, 2023",254.34,250.34,254.09,"22,491,100"
15,252.67,"Feb 21, 2023",255.49,251.59,254.48,"28,397,400"
16,258.06,"Feb 17, 2023",260.09,256.0,259.39,"30,000,100"
17,262.15,"Feb 16, 2023",266.74,261.9,264.02,"29,603,600"
18,269.32,"Feb 15, 2023",270.73,266.18,268.32,"28,922,400"
19,,"Feb 15, 2023",,,Dividend,
20,272.17,"Feb 14, 2023",274.97,269.28,272.67,"37,047,900"
21,271.32,"Feb 13, 2023",274.6,267.15,267.64,"44,630,900"
22,263.1,"Feb 10, 2023",264.09,260.66,261.53,"25,818,500"
23,263.62,"Feb 09, 2023",273.98,262.8,273.80,"42,375,100"
24,266.73,"Feb 08, 2023",276.76,266.21,273.20,"54,686,000"
25,267.56,"Feb 07, 2023",268.77,260.08,260.53,"50,841,400"
26,256.77,"Feb 06, 2023",258.3,254.78,257.44,"22,518,000"
27,258.35,"Feb 03, 2023",264.2,257.1,259.54,"29,077,300"
28,264.6,"Feb 02, 2023",264.69,257.25,258.82,"39,940,400"
29,252.75,"Feb 01, 2023",255.18,245.47,248.00,"31,259,900"
30,247.81,"Jan 31, 2023",247.95,242.95,243.45,"26,541,100"
31,242.71,"Jan 30, 2023",245.6,242.2,244.51,"25,867,400"
32,248.16,"Jan 27, 2023",249.83,246.83,248.99,"26,498,900"
33,248.0,"Jan 26, 2023",248.31,242.0,243.65,"33,454,500"
34,240.61,"Jan 25, 2023",243.3,230.9,234.48,"66,526,600"
35,242.04,"Jan 24, 2023",243.95,240.44,242.50,"40,234,400"
36,242.58,"Jan 23, 2023",245.17,239.65,241.10,"31,934,000"
37,240.22,"Jan 20, 2023",240.74,234.51,234.86,"35,389,800"
38,231.93,"Jan 19, 2023",235.52,230.68,233.78,"28,623,000"
39,235.81,"Jan 18, 2023",242.38,235.52,241.57,"30,028,700"
40,240.35,"Jan 17, 2023",240.91,237.09,237.97,"29,831,300"
41,239.23,"Jan 13, 2023",239.37,234.92,237.00,"21,333,300"
42,238.51,"Jan 12, 2023",239.9,233.56,235.26,"27,269,500"
43,235.77,"Jan 11, 2023",235.95,231.11,231.29,"28,669,300"
44,228.85,"Jan 10, 2023",231.31,227.33,227.76,"27,033,900"
45,227.12,"Jan 09, 2023",231.24,226.41,226.45,"27,369,800"
46,224.93,"Jan 06, 2023",225.76,219.35,223.00,"43,613,600"
47,222.31,"Jan 05, 2023",227.55,221.76,227.20,"39,585,600"
48,229.1,"Jan 04, 2023",232.87,225.96,232.28,"50,623,400"
49,239.58,"Jan 03, 2023",245.75,237.4,243.08,"25,740,000"
50,239.82,"Dec 30, 2022",239.96,236.66,238.21,"21,938,500"
51,241.01,"Dec 29, 2022",241.92,235.65,235.65,"19,770,700"
52,234.53,"Dec 28, 2022",239.72,234.17,236.89,"17,457,100"
53,236.96,"Dec 27, 2022",238.93,235.83,238.70,"16,688,600"
54,238.73,"Dec 23, 2022",238.87,233.94,236.11,"21,207,000"
55,238.19,"Dec 22, 2022",241.99,233.87,241.26,"28,651,700"
56,244.43,"Dec 21, 2022",245.62,240.11,241.69,"23,690,600"
57,241.8,"Dec 20, 2022",242.91,238.42,239.40,"25,150,800"
58,240.45,"Dec 19, 2022",245.21,238.71,244.86,"29,696,400"
59,244.69,"Dec 16, 2022",249.84,243.51,248.55,"86,102,000"
60,249.01,"Dec 15, 2022",254.2,247.34,253.72,"35,560,400"
61,257.22,"Dec 14, 2022",262.59,254.31,257.13,"35,410,900"
62,256.92,"Dec 13, 2022",263.92,253.07,261.69,"42,196,900"
63,252.51,"Dec 12, 2022",252.54,247.17,247.45,"30,665,100"
64,245.42,"Dec 09, 2022",248.31,244.16,244.70,"20,609,700"
65,247.4,"Dec 08, 2022",248.74,243.06,244.84,"22,611,800"
66,244.37,"Dec 07, 2022",246.16,242.21,244.83,"20,481,500"
67,245.12,"Dec 06, 2022",251.86,243.78,250.82,"22,463,700"
68,250.2,"Dec 05, 2022",253.82,248.06,252.01,"23,435,300"
69,255.02,"Dec 02, 2022",256.06,249.69,249.82,"21,528,500"
70,254.69,"Dec 01, 2022",256.12,250.92,253.87,"26,041,500"
71,255.14,"Nov 30, 2022",255.33,239.86,240.57,"47,594,200"
72,240.33,"Nov 29, 2022",242.79,238.21,241.40,"17,956,300"
