,Close,Date,High,Low,Open,Volume
0,73.24,"Mar 14, 2023",74.67,72.68,74.07,"12,485,600"
1,72.61,"Mar 13, 2023",73.97,71.09,72.62,"14,049,000"
2,73.43,"Mar 10, 2023",75.94,73.10,75.94,"13,118,800"
3,75.93,"Mar 09, 2023",79.26,75.72,76.96,"17,398,200"
4,75.84,"Mar 08, 2023",76.20,74.35,75.16,"9,467,900"
5,74.91,"Mar 07, 2023",77.38,74.79,76.54,"9,680,400"
6,76.78,"Mar 06, 2023",77.76,76.36,76.94,"9,608,600"
7,76.29,"Mar 03, 2023",76.32,74.09,74.16,"10,030,700"
8,74.10,"Mar 02, 2023",74.37,72.60,72.62,"7,729,100"
9,73.82,"Mar 01, 2023",74.22,73.25,73.63,"7,699,600"
10,73.60,"Feb 28, 2023",74.34,73.13,73.53,"8,607,400"
11,73.77,"Feb 27, 2023",74.57,73.46,74.32,"8,579,300"
12,73.55,"Feb 24, 2023",74.03,72.98,73.5,"12,317,700"
13,75.19,"Feb 23, 2023",76.28,73.63,75.89,"9,292,000"
14,75.48,"Feb 22, 2023",76.28,74.89,75.36,"9,526,700"
15,75.24,"Feb 21, 2023",75.57,73.68,73.71,"14,537,400"
16,74.66,"Feb 17, 2023",76.33,73.59,76.2,"15,830,800"
17,76.73,"Feb 16, 2023",78.72,76.54,76.87,"11,461,800"
18,77.91,"Feb 15, 2023",78.79,76.05,76.53,"14,511,600"
19,77.26,"Feb 14, 2023",79.37,76.3,79.0,"18,802,000"
20,79.45,"Feb 13, 2023",80.71,78.44,80.65,"15,898,500"
21,80.8,"Feb 10, 2023",82.85,78.6,79.37,"37,502,600"
22,78.42,"Feb 09, 2023",81.8,78.1,81.73,"25,473,900"
23,79.72,"Feb 08, 2023",82.61,79.62,82.35,"13,569,300"
24,83.23,"Feb 07, 2023",83.67,80.82,82.06,"13,520,800"
25,82.33,"Feb 06, 2023",83.8,82.14,83.33,"14,175,900"
26,85.52,"Feb 03, 2023",87.84,85.2,85.39,"14,775,200"
27,86.96,"Feb 02, 2023",88.63,84.65,86.72,"16,906,600"
28,82.91,"Feb 01, 2023",83.6,79.58,81.34,"13,221,600"
29,81.49,"Jan 31, 2023",82.47,79.61,79.7,"15,730,300"
30,79.64,"Jan 30, 2023",81.36,79.54,80.87,"10,301,000"
31,81.83,"Jan 27, 2023",82.54,80.32,80.56,"10,886,500"
32,80.81,"Jan 26, 2023",80.9,78.56,80.08,"10,566,000"
33,79.1,"Jan 25, 2023",79.55,77.3,78.56,"9,463,400"
34,79.58,"Jan 24, 2023",80.39,78.11,79.38,"9,491,300"
35,79.5,"Jan 23, 2023",79.72,76.66,77.83,"17,407,300"
36,79.09,"Jan 20, 2023",79.1,75.9,77.01,"12,187,400"
37,76.75,"Jan 19, 2023",77.42,75.96,76.26,"10,023,400"
38,77.31,"Jan 18, 2023",80.75,77.12,79.8,"13,601,900"
39,80.18,"Jan 17, 2023",80.67,78.88,80.14,"11,261,800"
40,79.48,"Jan 13, 2023",79.81,78.03,78.53,"8,621,300"
41,79.78,"Jan 12, 2023",80.3,77.1,79.01,"9,381,900"
42,78.54,"Jan 11, 2023",79.19,77.82,78.67,"10,640,400"
43,77.92,"Jan 10, 2023",78.02,76.5,76.9,"10,436,000"
44,77.08,"Jan 09, 2023",78.76,76.53,77.0,"12,966,100"
45,76.48,"Jan 06, 2023",77.06,73.95,76.77,"14,160,400"
46,76.27,"Jan 05, 2023",77.32,75.65,77.3,"11,113,800"
47,77.69,"Jan 04, 2023",78.48,75.43,76.11,"19,144,700"
48,74.58,"Jan 03, 2023",75.26,73.38,73.69,"27,974,200"
49,71.22,"Dec 30, 2022",71.26,69.06,69.48,"10,167,000"
50,70.56,"Dec 29, 2022",70.74,68.22,68.39,"13,143,000"
51,67.55,"Dec 28, 2022",69.47,67.29,68.12,"8,897,600"
52,68.33,"Dec 27, 2022",69.24,67.68,68.96,"10,323,800"
53,69.03,"Dec 23, 2022",69.25,67.71,68.05,"9,990,400"
54,68.57,"Dec 22, 2022",68.82,66.39,68.54,"16,488,200"
55,69.21,"Dec 21, 2022",70.19,68.07,68.81,"13,861,600"
56,68.76,"Dec 20, 2022",70.13,68.13,68.39,"9,470,900"
57,68.95,"Dec 19, 2022",69.6,67.75,69.06,"15,330,000"
58,69.26,"Dec 16, 2022",70.86,68.45,69.4,"25,735,200"
59,69.77,"Dec 15, 2022",71.66,69.44,71.29,"17,639,900"
60,72.63,"Dec 14, 2022",74.33,71.59,73.7,"18,298,800"
61,73.7,"Dec 13, 2022",77.81,73.1,77.04,"20,069,600"
62,73.8,"Dec 12, 2022",74.07,72.8,73.14,"13,652,800"
