,Close,Date,High,Low,Open,Volume
0,17.53,"Mar 14, 2023",17.63,17.39,17.49,"8,088,100"
1,17.35,"Mar 13, 2023",17.50,17.15,17.28,"7,881,600"
2,17.60,"Mar 10, 2023",18.01,17.55,17.88,"6,961,900"
3,17.97,"Mar 09, 2023",18.33,17.95,18.24,"4,756,400"
4,18.51,"Mar 08, 2023",18.58,18.39,18.50,"3,559,100"
5,18.43,"Mar 07, 2023",18.82,18.41,18.79,"4,817,400"
6,18.65,"Mar 06, 2023",18.83,18.64,18.83,"4,683,300"
7,18.83,"Mar 03, 2023",18.86,18.66,18.75,"7,643,300"
8,18.35,"Mar 02, 2023",18.38,18.09,18.11,"4,795,200"
9,18.26,"Mar 01, 2023",18.36,18.16,18.27,"8,047,800"
10,17.52,"Feb 28, 2023",17.76,17.50,17.65,"5,638,200"
11,17.61,"Feb 27, 2023",17.76,17.56,17.59,"6,180,600"
12,17.57,"Feb 24, 2023",17.58,17.26,17.38,"8,537,000"
13,18.02,"Feb 23, 2023",18.13,17.67,17.95,"11,726,400"
14,17.27,"Feb 22, 2023",17.5,17.14,17.14,"9,501,200"
15,16.66,"Feb 21, 2023",17.0,16.65,16.95,"6,751,000"
16,17.29,"Feb 17, 2023",17.29,16.88,16.98,"6,618,000"
17,16.94,"Feb 16, 2023",17.13,16.83,16.83,"4,418,800"
18,17.01,"Feb 15, 2023",17.07,16.81,16.81,"4,086,600"
19,16.81,"Feb 14, 2023",16.92,16.64,16.66,"3,981,700"
20,16.67,"Feb 13, 2023",16.71,16.47,16.52,"3,231,300"
21,16.4,"Feb 10, 2023",16.58,16.35,16.58,"5,102,900"
22,16.75,"Feb 09, 2023",16.93,16.73,16.80,"8,500,500"
23,16.18,"Feb 08, 2023",16.38,16.16,16.30,"3,724,700"
24,16.27,"Feb 07, 2023",16.31,16.03,16.16,"4,834,100"
25,16.17,"Feb 06, 2023",16.22,15.99,16.18,"4,661,200"
26,16.33,"Feb 03, 2023",16.61,16.27,16.34,"5,478,000"
27,16.6,"Feb 02, 2023",16.72,16.22,16.33,"6,898,700"
28,16.08,"Feb 01, 2023",16.18,15.78,15.79,"6,263,400"
29,15.72,"Jan 31, 2023",15.73,15.32,15.34,"5,840,300"
30,15.1,"Jan 30, 2023",15.36,15.09,15.32,"6,570,400"
31,15.54,"Jan 27, 2023",15.6,15.32,15.33,"5,385,100"
32,15.39,"Jan 26, 2023",15.4,15.24,15.36,"4,158,500"
33,15.25,"Jan 25, 2023",15.32,15.02,15.05,"3,917,400"
34,15.23,"Jan 24, 2023",15.27,15.05,15.13,"3,291,200"
35,15.28,"Jan 23, 2023",15.35,15.1,15.14,"4,587,000"
36,15.2,"Jan 20, 2023",15.24,14.98,15.03,"4,852,700"
37,15.13,"Jan 19, 2023",15.17,14.98,15.10,"4,132,300"
38,15.28,"Jan 18, 2023",15.7,15.27,15.67,"3,995,700"
39,15.45,"Jan 17, 2023",15.62,15.4,15.44,"4,135,100"
40,15.42,"Jan 13, 2023",15.43,15.29,15.32,"4,883,000"
41,16.03,"Jan 12, 2023",16.09,15.78,15.92,"5,612,300"
42,15.8,"Jan 11, 2023",15.85,15.68,15.82,"3,526,800"
43,15.87,"Jan 10, 2023",15.87,15.68,15.78,"5,060,100"
44,15.62,"Jan 09, 2023",15.74,15.57,15.64,"7,173,600"
45,15.45,"Jan 06, 2023",15.5,15.01,15.05,"5,227,100"
46,15.17,"Jan 05, 2023",15.24,15.05,15.10,"4,698,900"
47,15.06,"Jan 04, 2023",15.12,14.83,14.95,"5,575,200"
48,14.59,"Jan 03, 2023",14.76,14.49,14.66,"5,361,400"
49,14.2,"Dec 30, 2022",14.31,14.16,14.24,"4,211,400"
50,14.34,"Dec 29, 2022",14.35,14.13,14.14,"4,721,200"
51,13.85,"Dec 28, 2022",14.1,13.84,14.04,"5,638,700"
52,14.0,"Dec 27, 2022",14.05,13.95,13.98,"3,001,200"
53,14.05,"Dec 23, 2022",14.08,13.9,13.96,"4,230,700"
54,13.88,"Dec 22, 2022",14.08,13.71,14.07,"5,846,500"
55,14.33,"Dec 21, 2022",14.4,14.22,14.25,"4,149,400"
56,14.07,"Dec 20, 2022",14.13,14.01,14.06,"4,093,300"
57,14.21,"Dec 19, 2022",14.31,14.14,14.27,"3,846,300"
58,14.14,"Dec 16, 2022",14.36,14.12,14.30,"5,421,900"
59,14.44,"Dec 15, 2022",14.55,14.35,14.54,"5,446,600"
60,14.71,"Dec 14, 2022",14.84,14.57,14.76,"6,183,300"
61,14.64,"Dec 13, 2022",14.99,14.52,14.98,"8,477,700"
62,14.58,"Dec 12, 2022",14.61,14.42,14.51,"5,608,600"
63,14.44,"Dec 09, 2022",14.55,14.34,14.41,"7,766,700"
64,14.84,"Dec 08, 2022",15.05,14.8,15.05,"5,272,800"
65,15.21,"Dec 07, 2022",15.3,15.12,15.20,"4,891,400"
66,15.17,"Dec 06, 2022",15.39,15.0,15.33,"4,839,200"
67,15.25,"Dec 05, 2022",15.47,15.22,15.44,"5,142,200"
68,15.37,"Dec 02, 2022",15.45,15.3,15.38,"4,926,300"
69,15.72,"Dec 01, 2022",15.87,15.61,15.73,"5,118,500"
70,15.62,"Nov 30, 2022",15.63,15.25,15.39,"7,217,300"
71,15.21,"Nov 29, 2022",15.29,15.08,15.09,"4,881,800"
72,15.04,"Nov 28, 2022",15.22,15.01,15.12,"3,939,200"
73,15.21,"Nov 25, 2022",15.25,15.07,15.07,"2,063,900"
74,15.04,"Nov 23, 2022",15.08,14.91,14.98,"4,603,600"
75,15.19,"Nov 22, 2022",15.2,15.01,15.02,"3,668,900"
76,14.91,"Nov 21, 2022",14.96,14.79,14.85,"4,242,100"
77,14.93,"Nov 18, 2022",14.97,14.78,14.91,"4,804,700"
78,14.75,"Nov 17, 2022",14.78,14.51,14.52,"5,956,100"
79,14.83,"Nov 16, 2022",14.88,14.71,14.79,"7,224,500"
80,14.87,"Nov 15, 2022",15.16,14.67,15.12,"6,897,300"
81,14.8,"Nov 14, 2022",15.01,14.79,14.87,"6,028,800"
82,14.87,"Nov 11, 2022",14.95,14.52,14.58,"6,892,400"
83,14.46,"Nov 10, 2022",14.46,14.13,14.20,"6,825,200"
84,13.59,"Nov 09, 2022",13.83,13.58,13.64,"6,302,900"
85,13.8,"Nov 08, 2022",13.85,13.65,13.73,"8,459,200"
86,13.8,"Nov 07, 2022",13.85,13.62,13.75,"5,769,600"
87,13.54,"Nov 04, 2022",13.61,13.24,13.31,"10,135,700"
88,12.91,"Nov 03, 2022",13.06,12.79,12.87,"11,610,000"
89,13.37,"Nov 02, 2022",13.8,13.32,13.64,"12,782,000"
90,13.73,"Nov 01, 2022",13.87,13.53,13.84,"8,426,300"
91,13.52,"Oct 31, 2022",13.56,13.36,13.37,"6,216,300"
92,13.57,"Oct 28, 2022",13.59,13.39,13.40,"4,822,500"
93,13.55,"Oct 27, 2022",13.73,13.52,13.57,"5,364,300"
94,13.62,"Oct 26, 2022",13.78,13.51,13.56,"5,576,600"
95,13.44,"Oct 25, 2022",13.53,13.32,13.32,"5,467,600"
96,13.41,"Oct 24, 2022",13.45,13.18,13.27,"7,300,000"
97,13.04,"Oct 21, 2022",13.05,12.6,12.65,"5,864,300"
98,12.76,"Oct 20, 2022",13.02,12.7,12.85,"5,415,300"
99,12.66,"Oct 19, 2022",12.84,12.53,12.78,"5,949,400"
100,12.92,"Oct 18, 2022",13.09,12.75,13.05,"9,586,100"
101,12.57,"Oct 17, 2022",12.64,12.48,12.52,"6,569,100"
102,12.1,"Oct 14, 2022",12.4,12.08,12.36,"6,997,100"
103,12.3,"Oct 13, 2022",12.35,11.57,11.64,"7,599,700"
104,11.77,"Oct 12, 2022",11.92,11.73,11.81,"6,275,800"
105,11.81,"Oct 11, 2022",12.08,11.66,11.75,"7,033,200"
106,11.86,"Oct 10, 2022",12.01,11.75,12.00,"8,447,700"
107,11.93,"Oct 07, 2022",12.14,11.85,12.12,"7,648,300"
108,12.29,"Oct 06, 2022",12.45,12.26,12.37,"7,548,400"
109,12.55,"Oct 05, 2022",12.62,12.19,12.34,"6,505,000"
110,12.88,"Oct 04, 2022",12.94,12.62,12.62,"7,259,200"
111,12.23,"Oct 03, 2022",12.38,11.93,12.08,"10,162,400"
112,11.84,"Sep 30, 2022",12.06,11.77,11.81,"11,057,100"
113,11.98,"Sep 29, 2022",12.05,11.73,12.00,"8,004,500"
114,12.58,"Sep 28, 2022",12.65,12.14,12.21,"8,361,400"
115,12.31,"Sep 27, 2022",12.5,12.16,12.42,"8,687,900"
116,12.24,"Sep 26, 2022",12.53,12.17,12.29,"9,796,700"
117,12.16,"Sep 23, 2022",12.34,12.0,12.33,"10,713,200"
118,12.78,"Sep 22, 2022",13.03,12.74,12.98,"8,155,900"
119,13.0,"Sep 21, 2022",13.39,12.99,13.13,"8,409,300"
120,13.13,"Sep 20, 2022",13.33,13.05,13.32,"8,259,000"
121,13.61,"Sep 19, 2022",13.64,13.2,13.22,"6,686,700"
122,13.47,"Sep 16, 2022",13.57,13.37,13.44,"8,519,100"
123,13.54,"Sep 15, 2022",13.78,13.51,13.54,"6,613,300"
124,13.62,"Sep 14, 2022",13.73,13.45,13.57,"5,110,000"
125,13.41,"Sep 13, 2022",13.84,13.37,13.63,"6,322,000"
126,13.93,"Sep 12, 2022",13.98,13.8,13.84,"6,654,200"
127,13.41,"Sep 09, 2022",13.43,13.3,13.31,"5,564,800"
128,13.07,"Sep 08, 2022",13.09,12.83,12.87,"4,805,600"
129,13.24,"Sep 07, 2022",13.25,12.77,12.78,"4,712,900"
130,12.8,"Sep 06, 2022",12.93,12.7,12.83,"9,013,200"
131,13.09,"Sep 02, 2022",13.57,13.01,13.47,"10,443,800"
132,13.27,"Sep 01, 2022",13.29,13.0,13.19,"7,050,200"
133,13.4,"Aug 31, 2022",13.54,13.36,13.50,"5,344,200"
134,13.63,"Aug 30, 2022",13.9,13.51,13.86,"4,333,800"
135,13.81,"Aug 29, 2022",13.91,13.69,13.72,"4,100,200"
136,13.61,"Aug 26, 2022",14.2,13.6,14.19,"4,909,400"
137,14.18,"Aug 25, 2022",14.19,13.94,13.97,"3,278,500"
138,14.07,"Aug 24, 2022",14.18,13.86,13.89,"2,942,800"
139,14.01,"Aug 23, 2022",14.11,13.87,13.88,"4,307,300"
140,13.66,"Aug 22, 2022",13.85,13.64,13.83,"4,895,900"
141,14.53,"Aug 19, 2022",14.7,14.48,14.66,"3,612,600"
142,15.08,"Aug 18, 2022",15.11,14.95,15.04,"2,069,400"
143,14.99,"Aug 17, 2022",15.1,14.83,14.99,"3,782,200"
144,15.28,"Aug 16, 2022",15.3,15.07,15.08,"3,373,000"
145,15.27,"Aug 15, 2022",15.3,15.0,15.01,"2,562,600"
146,15.43,"Aug 12, 2022",15.43,15.2,15.27,"3,454,000"
147,15.21,"Aug 11, 2022",15.28,15.14,15.23,"3,711,400"
148,15.07,"Aug 10, 2022",15.22,15.02,15.05,"3,911,900"
149,14.72,"Aug 09, 2022",14.91,14.65,14.90,"3,693,600"
150,15.09,"Aug 08, 2022",15.13,14.85,14.86,"6,638,100"
151,14.62,"Aug 05, 2022",14.71,14.52,14.52,"2,790,100"
152,14.61,"Aug 04, 2022",14.78,14.58,14.65,"4,169,000"
153,14.73,"Aug 03, 2022",14.76,14.34,14.34,"5,286,700"
154,14.55,"Aug 02, 2022",14.71,14.42,14.50,"6,439,900"
155,14.62,"Aug 01, 2022",14.66,14.42,14.48,"5,850,900"
156,14.38,"Jul 29, 2022",14.39,14.01,14.12,"5,678,700"
157,14.0,"Jul 28, 2022",14.01,13.67,13.79,"10,024,300"
158,13.39,"Jul 27, 2022",13.4,13.0,13.06,"4,741,800"
159,12.85,"Jul 26, 2022",13.01,12.82,12.89,"2,333,400"
160,13.08,"Jul 25, 2022",13.23,13.04,13.14,"3,900,300"
161,12.85,"Jul 22, 2022",12.99,12.75,12.88,"4,882,100"
162,13.0,"Jul 21, 2022",13.01,12.61,12.63,"5,810,000"
163,12.8,"Jul 20, 2022",12.98,12.67,12.85,"4,275,500"
164,13.04,"Jul 19, 2022",13.13,12.64,12.66,"9,584,100"
165,12.26,"Jul 18, 2022",12.46,12.19,12.39,"4,206,200"
166,12.09,"Jul 15, 2022",12.14,11.85,11.98,"5,304,400"
167,11.81,"Jul 14, 2022",11.82,11.46,11.71,"8,409,600"
168,12.18,"Jul 13, 2022",12.21,11.88,11.93,"4,769,500"
169,12.27,"Jul 12, 2022",12.43,12.16,12.17,"4,761,100"
170,12.19,"Jul 11, 2022",12.45,12.19,12.45,"6,365,000"
171,12.61,"Jul 08, 2022",12.7,12.45,12.59,"6,102,600"
172,12.29,"Jul 07, 2022",12.31,12.04,12.05,"5,903,800"
173,11.57,"Jul 06, 2022",11.6,11.37,11.52,"5,969,200"
174,11.71,"Jul 05, 2022",11.73,11.47,11.57,"6,356,100"
175,12.4,"Jul 01, 2022",12.43,12.05,12.14,"5,891,900"
176,12.36,"Jun 30, 2022",12.47,12.12,12.32,"8,288,000"
177,12.69,"Jun 29, 2022",12.86,12.63,12.85,"7,848,300"
178,12.84,"Jun 28, 2022",13.45,12.84,13.30,"7,611,900"
179,13.09,"Jun 27, 2022",13.21,13.01,13.14,"4,543,000"
180,13.25,"Jun 24, 2022",13.25,12.83,12.85,"4,379,100"
181,12.89,"Jun 23, 2022",13.09,12.68,13.07,"4,562,300"
182,13.14,"Jun 22, 2022",13.34,13.0,13.03,"5,666,800"
183,13.42,"Jun 21, 2022",13.49,13.3,13.38,"3,980,500"
184,12.9,"Jun 17, 2022",12.96,12.68,12.86,"6,075,000"
185,12.69,"Jun 16, 2022",12.89,12.56,12.85,"8,865,800"
