,Close,Date,High,Low,Open,Volume
0,158.37,"Mar 14, 2023",160.32,156.55,159.77,"2,572,200"
1,157.92,"Mar 13, 2023",160.73,156.23,156.32,"2,342,500"
2,158.18,"Mar 10, 2023",161.87,157.51,160.27,"2,753,800"
3,160.64,"Mar 09, 2023",164.70,160.47,164.31,"1,872,200"
4,163.51,"Mar 08, 2023",163.73,162.17,162.90,"1,752,700"
5,162.82,"Mar 07, 2023",166.62,162.58,165.83,"2,410,800"
6,165.20,"Mar 06, 2023",166.76,164.52,166.59,"2,220,900"
7,166.00,"Mar 03, 2023",166.21,164.32,166.15,"2,317,500"
8,165.94,"Mar 02, 2023",165.99,160.95,161.21,"2,829,200"
9,162.40,"Mar 01, 2023",168.40,160.80,168.16,"5,835,700"
10,168.50,"Feb 28, 2023",172.67,167.10,168.73,"10,669,300"
11,166.81,"Feb 27, 2023",169.87,165.48,168.67,"5,245,000"
12,166.96,"Feb 24, 2023",167.43,163.0,164.08,"2,888,800"
13,165.5,"Feb 23, 2023",165.9,161.87,165.90,"2,718,500"
14,165.72,"Feb 22, 2023",169.3,165.2,165.60,"2,941,000"
15,166.22,"Feb 21, 2023",170.99,166.17,169.52,"4,133,600"
16,173.22,"Feb 17, 2023",173.52,170.89,173.35,"2,678,100"
17,174.54,"Feb 16, 2023",177.29,173.77,174.20,"2,318,700"
18,176.02,"Feb 15, 2023",176.29,169.95,170.01,"2,954,400"
19,171.17,"Feb 14, 2023",172.98,168.84,171.55,"2,418,400"
20,173.32,"Feb 13, 2023",173.5,170.33,170.99,"2,432,600"
21,170.02,"Feb 10, 2023",171.2,168.79,170.32,"1,841,400"
22,171.37,"Feb 09, 2023",174.02,170.56,172.70,"1,656,100"
23,171.79,"Feb 08, 2023",173.97,171.51,173.52,"2,037,000"
24,174.76,"Feb 07, 2023",175.44,171.94,173.55,"2,256,700"
25,173.84,"Feb 06, 2023",175.38,171.72,174.69,"2,642,700"
26,176.76,"Feb 03, 2023",179.07,175.2,177.27,"2,941,600"
27,181.02,"Feb 02, 2023",181.7,176.9,177.71,"4,003,800"
28,177.08,"Feb 01, 2023",177.68,169.91,172.11,"4,022,200"
29,172.14,"Jan 31, 2023",172.22,168.12,168.12,"3,716,000"
30,168.68,"Jan 30, 2023",169.59,165.74,167.00,"3,453,500"
31,168.51,"Jan 27, 2023",170.32,166.79,168.00,"3,850,300"
32,167.03,"Jan 26, 2023",167.1,164.48,165.70,"2,079,100"
33,164.21,"Jan 25, 2023",164.21,160.64,162.50,"2,248,200"
34,163.55,"Jan 24, 2023",169.82,163.26,169.82,"1,902,000"
35,164.63,"Jan 23, 2023",165.49,161.35,162.21,"2,371,400"
36,162.21,"Jan 20, 2023",162.75,158.5,159.63,"3,122,000"
37,159.1,"Jan 19, 2023",160.61,157.53,159.50,"2,881,300"
38,160.83,"Jan 18, 2023",165.19,160.63,163.41,"2,798,100"
39,162.1,"Jan 17, 2023",165.69,162.07,164.49,"3,527,900"
40,164.6,"Jan 13, 2023",164.93,159.13,159.32,"5,161,200"
41,159.75,"Jan 12, 2023",160.25,156.48,160.00,"3,222,600"
42,158.97,"Jan 11, 2023",159.0,155.9,157.15,"3,146,800"
43,155.97,"Jan 10, 2023",157.54,154.84,157.42,"2,554,900"
44,156.35,"Jan 09, 2023",160.37,156.34,159.88,"3,853,800"
45,160.15,"Jan 06, 2023",161.06,156.88,157.65,"4,944,200"
46,154.26,"Jan 05, 2023",154.51,150.29,152.21,"3,266,000"
47,152.72,"Jan 04, 2023",154.32,147.68,148.26,"4,443,300"
48,151.73,"Jan 03, 2023",152.64,149.58,149.98,"3,685,200"
49,149.04,"Dec 30, 2022",149.08,146.8,147.23,"2,391,100"
50,148.37,"Dec 29, 2022",149.66,146.88,146.97,"2,829,000"
51,145.8,"Dec 28, 2022",147.22,144.85,145.31,"2,623,200"
52,145.55,"Dec 27, 2022",146.28,142.4,143.00,"3,112,500"
53,143.15,"Dec 23, 2022",143.27,139.88,140.86,"2,464,800"
54,141.35,"Dec 22, 2022",141.71,139.68,141.50,"3,846,500"
55,142.3,"Dec 21, 2022",144.19,141.97,142.26,"3,510,200"
56,143.25,"Dec 20, 2022",143.96,142.45,142.90,"3,175,400"
57,144.65,"Dec 19, 2022",147.0,143.56,146.60,"4,186,700"
58,146.45,"Dec 16, 2022",147.66,145.55,146.05,"8,367,000"
59,147.6,"Dec 15, 2022",150.0,145.32,149.86,"5,415,500"
60,152.51,"Dec 14, 2022",154.65,150.14,150.50,"3,749,100"
61,150.87,"Dec 13, 2022",154.1,149.7,153.20,"4,178,900"
62,150.03,"Dec 12, 2022",150.68,148.43,150.50,"4,433,800"
63,152.28,"Dec 09, 2022",154.72,152.12,153.41,"2,905,900"
64,154.21,"Dec 08, 2022",155.26,153.17,154.04,"3,107,100"
65,153.76,"Dec 07, 2022",155.69,153.39,153.50,"3,685,200"
66,155.05,"Dec 06, 2022",156.68,153.28,155.82,"4,721,800"
67,154.93,"Dec 05, 2022",162.89,154.79,162.89,"6,233,200"
68,164.16,"Dec 02, 2022",164.86,162.45,163.31,"3,442,900"
69,165.03,"Dec 01, 2022",167.43,163.05,166.47,"4,989,200"
70,167.07,"Nov 30, 2022",167.23,162.74,165.88,"11,376,700"
71,166.37,"Nov 29, 2022",166.97,161.51,164.43,"5,231,700"
72,165.37,"Nov 28, 2022",166.89,162.81,162.81,"4,624,100"
73,163.38,"Nov 25, 2022",163.96,161.6,163.50,"1,883,000"
74,163.41,"Nov 23, 2022",164.14,158.25,158.48,"4,833,500"
75,157.86,"Nov 22, 2022",159.91,155.75,158.79,"6,364,100"
76,158.02,"Nov 21, 2022",161.93,156.77,161.08,"5,964,700"
77,162.88,"Nov 18, 2022",164.7,160.0,161.98,"7,280,900"
78,162.01,"Nov 17, 2022",162.18,152.72,153.48,"11,300,500"
79,155.47,"Nov 16, 2022",158.49,148.75,149.85,"36,731,500"
80,178.98,"Nov 15, 2022",180.46,176.9,177.00,"8,606,000"
81,173.26,"Nov 14, 2022",176.8,172.35,172.64,"5,753,800"
82,173.32,"Nov 11, 2022",174.83,164.95,165.12,"5,828,300"
83,164.38,"Nov 10, 2022",164.55,158.39,158.94,"4,962,900"
84,152.99,"Nov 09, 2022",161.59,152.5,161.08,"4,018,400"
85,161.62,"Nov 08, 2022",164.66,159.81,161.32,"3,284,600"
86,159.87,"Nov 07, 2022",161.41,158.0,161.24,"2,424,100"
87,159.63,"Nov 04, 2022",162.75,156.26,162.41,"2,653,500"
88,159.8,"Nov 03, 2022",160.79,157.75,157.98,"3,041,600"
89,160.2,"Nov 02, 2022",165.89,160.08,164.58,"3,377,900"
90,164.59,"Nov 01, 2022",166.98,162.57,166.44,"3,051,000"
91,164.25,"Oct 31, 2022",167.36,164.02,166.00,"3,792,500"
92,167.52,"Oct 28, 2022",167.94,163.04,166.26,"3,066,800"
93,166.9,"Oct 27, 2022",170.3,166.8,168.22,"2,957,400"
94,166.77,"Oct 26, 2022",170.75,165.32,167.84,"3,453,500"
95,165.8,"Oct 25, 2022",166.31,161.99,162.80,"4,177,900"
96,161.82,"Oct 24, 2022",162.9,159.63,160.30,"2,974,100"
97,159.19,"Oct 21, 2022",159.26,154.3,154.54,"3,508,300"
98,154.4,"Oct 20, 2022",159.16,153.42,155.98,"3,079,800"
99,155.39,"Oct 19, 2022",158.19,154.13,157.19,"2,611,500"
100,157.23,"Oct 18, 2022",161.13,155.01,155.53,"5,563,400"
101,149.25,"Oct 17, 2022",151.0,146.68,147.74,"3,177,400"
102,145.69,"Oct 14, 2022",155.19,145.19,154.48,"4,762,800"
103,154.12,"Oct 13, 2022",156.06,148.87,151.21,"3,393,900"
104,154.16,"Oct 12, 2022",157.0,154.04,154.74,"2,265,100"
105,154.5,"Oct 11, 2022",157.72,152.71,153.50,"2,408,100"
106,153.1,"Oct 10, 2022",153.88,150.48,152.98,"2,055,800"
107,152.34,"Oct 07, 2022",154.52,150.72,154.34,"2,771,900"
108,155.75,"Oct 06, 2022",159.0,155.48,157.46,"2,603,400"
109,156.41,"Oct 05, 2022",157.55,153.41,155.00,"2,491,700"
110,156.96,"Oct 04, 2022",158.29,154.34,154.70,"3,028,600"
111,151.79,"Oct 03, 2022",152.62,148.39,149.67,"2,847,500"
112,148.39,"Sep 30, 2022",152.23,145.5,151.59,"4,328,300"
113,151.79,"Sep 29, 2022",154.75,150.9,154.20,"3,170,400"
114,155.87,"Sep 28, 2022",156.95,149.31,149.54,"4,254,000"
115,148.47,"Sep 27, 2022",152.26,146.86,150.47,"2,941,400"
116,148.71,"Sep 26, 2022",152.51,147.37,151.56,"3,967,800"
117,152.61,"Sep 23, 2022",152.78,149.71,151.95,"3,796,600"
118,152.96,"Sep 22, 2022",158.43,152.64,158.24,"3,984,700"
119,159.03,"Sep 21, 2022",163.82,159.03,161.00,"2,809,500"
120,160.03,"Sep 20, 2022",163.75,158.22,163.30,"3,019,600"
121,164.76,"Sep 19, 2022",165.09,162.03,163.00,"2,607,200"
122,164.09,"Sep 16, 2022",165.64,161.71,162.73,"4,843,500"
123,165.01,"Sep 15, 2022",168.99,164.7,165.45,"2,909,300"
124,165.38,"Sep 14, 2022",168.88,163.4,167.86,"3,618,800"
125,166.24,"Sep 13, 2022",171.75,165.69,170.05,"3,585,400"
126,173.85,"Sep 12, 2022",176.13,173.14,175.11,"3,024,600"
127,173.65,"Sep 09, 2022",174.57,171.54,171.75,"3,379,500"
128,171.9,"Sep 08, 2022",172.21,168.72,169.07,"2,817,100"
129,170.79,"Sep 07, 2022",171.72,162.78,163.22,"5,206,400"
130,163.58,"Sep 06, 2022",164.79,159.33,164.51,"4,530,300"
131,164.6,"Sep 02, 2022",166.34,163.29,165.51,"3,563,200"
132,164.84,"Sep 01, 2022",164.9,158.1,159.29,"4,021,400"
133,160.34,"Aug 31, 2022",161.31,158.26,161.25,"4,901,300"
134,160.78,"Aug 30, 2022",161.09,157.18,158.70,"3,249,700"
135,158.69,"Aug 29, 2022",160.45,158.16,159.25,"2,531,100"
136,160.62,"Aug 26, 2022",168.12,160.6,168.01,"3,607,600"
137,167.5,"Aug 25, 2022",167.55,161.6,162.63,"3,071,400"
138,163.13,"Aug 24, 2022",164.54,159.72,162.07,"3,407,100"
139,161.97,"Aug 23, 2022",162.82,160.15,161.94,"3,795,100"
140,161.96,"Aug 22, 2022",165.98,161.36,165.07,"4,630,100"
141,167.04,"Aug 19, 2022",171.92,166.79,171.83,"5,015,800"
142,173.05,"Aug 18, 2022",175.14,171.58,173.98,"4,241,300"
143,175.34,"Aug 17, 2022",177.99,170.83,174.16,"13,409,000"
144,180.19,"Aug 16, 2022",183.89,175.56,177.11,"9,057,600"
145,173.39,"Aug 15, 2022",174.16,170.2,171.83,"3,788,600"
146,172.48,"Aug 12, 2022",172.49,170.05,171.07,"2,357,300"
147,169.6,"Aug 11, 2022",172.99,168.88,171.07,"4,278,800"
148,169.67,"Aug 10, 2022",172.93,167.75,169.04,"4,539,900"
149,165.12,"Aug 09, 2022",166.08,163.91,165.77,"2,608,600"
150,166.97,"Aug 08, 2022",170.99,166.43,166.66,"2,806,400"
151,166.13,"Aug 05, 2022",166.9,164.4,165.05,"2,205,400"
152,166.56,"Aug 04, 2022",168.5,165.73,167.63,"3,157,600"
153,167.92,"Aug 03, 2022",169.65,164.38,164.38,"4,057,000"
154,163.48,"Aug 02, 2022",166.33,163.29,164.52,"3,109,400"
155,165.55,"Aug 01, 2022",169.11,165.35,168.64,"4,534,700"
156,163.38,"Jul 29, 2022",164.04,158.53,160.00,"5,523,000"
157,159.42,"Jul 28, 2022",160.06,154.67,155.10,"3,114,000"
158,154.6,"Jul 27, 2022",155.84,150.8,153.00,"3,609,300"
159,151.81,"Jul 26, 2022",152.62,149.5,149.73,"4,620,000"
160,157.49,"Jul 25, 2022",158.48,156.61,158.40,"2,328,000"
161,157.74,"Jul 22, 2022",160.79,156.63,159.35,"2,779,800"
162,158.66,"Jul 21, 2022",158.75,154.99,156.48,"3,105,200"
163,156.5,"Jul 20, 2022",156.61,152.21,153.80,"3,248,100"
164,153.36,"Jul 19, 2022",153.54,149.76,151.35,"3,155,900"
165,149.36,"Jul 18, 2022",152.78,147.78,148.55,"4,362,700"
166,146.67,"Jul 15, 2022",148.68,145.85,147.92,"3,831,500"
167,146.29,"Jul 14, 2022",146.55,142.92,143.54,"2,976,000"
168,145.44,"Jul 13, 2022",147.33,142.23,142.66,"2,769,000"
169,144.56,"Jul 12, 2022",149.66,143.6,146.66,"3,132,800"
170,146.39,"Jul 11, 2022",148.71,145.79,147.99,"2,050,800"
171,147.99,"Jul 08, 2022",150.03,147.46,149.89,"2,544,900"
172,149.96,"Jul 07, 2022",150.13,145.24,145.78,"3,959,500"
173,144.81,"Jul 06, 2022",146.08,143.03,145.46,"2,828,500"
174,145.71,"Jul 05, 2022",146.06,139.3,141.41,"3,715,100"
175,142.38,"Jul 01, 2022",142.5,139.5,140.76,"3,010,200"
176,141.23,"Jun 30, 2022",143.23,137.16,140.18,"5,899,900"
177,141.9,"Jun 29, 2022",144.49,141.32,144.21,"4,238,900"
178,144.52,"Jun 28, 2022",151.31,144.33,150.44,"4,131,800"
179,149.61,"Jun 27, 2022",151.93,148.03,151.16,"3,607,200"
180,150.42,"Jun 24, 2022",151.0,146.48,147.17,"6,993,100"
181,146.81,"Jun 23, 2022",147.3,140.83,141.82,"5,211,100"
182,140.81,"Jun 22, 2022",144.32,140.24,143.19,"4,639,700"
183,144.7,"Jun 21, 2022",145.7,140.85,141.55,"6,555,500"
184,139.3,"Jun 17, 2022",141.8,138.58,141.08,"10,928,100"
185,142.89,"Jun 16, 2022",147.08,142.01,144.92,"5,630,300"
186,147.44,"Jun 15, 2022",149.27,142.11,142.52,"6,353,100"
187,142.7,"Jun 14, 2022",146.43,141.29,144.88,"5,200,800"
188,144.81,"Jun 13, 2022",147.39,143.87,146.53,"5,886,000"
189,149.67,"Jun 10, 2022",152.72,149.63,151.51,"5,099,600"
190,154.55,"Jun 09, 2022",158.29,154.49,156.75,"5,744,300"
191,156.7,"Jun 08, 2022",159.63,153.35,154.43,"6,576,000"
192,155.98,"Jun 07, 2022",157.95,147.15,148.00,"33,299,700"
193,159.67,"Jun 06, 2022",162.05,158.75,161.40,"3,772,300"
194,161.04,"Jun 03, 2022",162.86,159.0,159.19,"4,187,700"
195,160.91,"Jun 02, 2022",161.06,156.08,156.56,"4,366,000"
196,156.52,"Jun 01, 2022",163.16,156.48,161.88,"4,480,900"
197,161.88,"May 31, 2022",166.79,161.43,166.51,"8,942,100"
198,167.14,"May 27, 2022",167.2,163.2,163.24,"6,315,500"
199,163.2,"May 26, 2022",163.33,157.85,157.98,"7,369,700"
200,156.42,"May 25, 2022",156.98,149.52,150.24,"8,107,700"
201,149.95,"May 24, 2022",152.09,145.51,151.58,"10,936,600"
202,153.9,"May 23, 2022",156.11,153.28,154.99,"7,700,100"
203,155.36,"May 20, 2022",155.8,150.89,153.62,"12,300,200"
204,153.43,"May 19, 2022",161.43,151.28,161.27,"23,319,000"
205,161.61,"May 18, 2022",168.0,155.2,163.07,"50,936,800"
206,215.28,"May 17, 2022",215.58,209.13,210.63,"6,641,600"
207,219.25,"May 16, 2022",221.65,216.27,220.11,"3,345,600"
208,219.73,"May 13, 2022",223.3,217.81,219.99,"3,146,700"
209,217.27,"May 12, 2022",220.82,213.06,213.36,"3,547,400"
210,213.49,"May 11, 2022",220.92,212.38,219.40,"3,193,600"
211,219.11,"May 10, 2022",228.75,216.69,226.59,"3,748,000"
212,224.2,"May 09, 2022",228.18,222.32,223.20,"4,672,300"
213,225.21,"May 06, 2022",229.66,222.65,225.85,"3,683,300"
214,230.76,"May 05, 2022",235.86,228.3,235.61,"3,466,500"
215,237.43,"May 04, 2022",238.59,229.14,231.85,"3,256,300"
216,232.54,"May 03, 2022",234.49,229.5,231.04,"3,027,600"
217,229.78,"May 02, 2022",233.0,225.16,230.15,"3,049,000"
218,228.65,"Apr 29, 2022",235.83,228.21,234.49,"3,220,700"
219,236.39,"Apr 28, 2022",237.62,230.78,234.43,"2,317,800"
220,230.97,"Apr 27, 2022",237.53,230.47,236.45,"2,995,300"
221,236.5,"Apr 26, 2022",242.5,236.41,239.56,"2,915,500"
222,241.66,"Apr 25, 2022",242.92,238.27,239.99,"3,265,100"
