,Close,Date,High,Low,Open,Volume
0,183.26,"Mar 14, 2023",183.80,177.14,177.31,"143,430,400"
1,174.48,"Mar 13, 2023",177.35,163.91,167.46,"167,790,300"
2,173.44,"Mar 10, 2023",178.29,168.44,175.13,"191,007,900"
3,172.92,"Mar 09, 2023",185.18,172.51,180.25,"170,023,800"
4,182.00,"Mar 08, 2023",186.50,180.00,185.04,"151,897,800"
5,187.71,"Mar 07, 2023",194.20,186.10,191.38,"148,125,800"
6,193.81,"Mar 06, 2023",198.60,192.30,198.54,"128,100,100"
7,197.79,"Mar 03, 2023",200.48,192.88,194.80,"153,800,400"
8,190.90,"Mar 02, 2023",193.75,186.01,186.74,"181,500,700"
9,202.77,"Mar 01, 2023",207.20,198.52,206.21,"156,852,800"
10,205.71,"Feb 28, 2023",211.23,203.75,210.59,"153,144,900"
11,207.63,"Feb 27, 2023",209.42,201.26,202.03,"161,028,300"
12,196.88,"Feb 24, 2023",197.67,192.8,196.33,"142,228,100"
13,202.07,"Feb 23, 2023",205.14,196.33,203.91,"146,360,000"
14,200.86,"Feb 22, 2023",201.99,191.78,197.93,"191,828,500"
15,197.37,"Feb 21, 2023",209.71,197.22,204.99,"180,018,600"
16,208.31,"Feb 17, 2023",208.44,197.5,199.99,"213,738,500"
17,202.04,"Feb 16, 2023",217.65,201.84,210.78,"229,586,500"
18,214.24,"Feb 15, 2023",214.66,206.11,211.76,"181,006,400"
19,209.25,"Feb 14, 2023",209.82,189.44,191.94,"216,455,700"
20,194.64,"Feb 13, 2023",196.3,187.61,194.42,"172,475,500"
21,196.89,"Feb 10, 2023",206.2,192.89,202.23,"204,754,100"
22,207.32,"Feb 09, 2023",214.0,204.77,207.78,"215,431,400"
23,201.29,"Feb 08, 2023",203.0,194.31,196.10,"180,673,600"
24,196.81,"Feb 07, 2023",197.5,189.55,196.43,"186,010,300"
25,194.76,"Feb 06, 2023",198.17,189.92,193.01,"186,188,100"
26,189.98,"Feb 03, 2023",199.0,183.69,183.95,"232,662,000"
27,188.27,"Feb 02, 2023",196.75,182.61,187.33,"217,448,300"
28,181.41,"Feb 01, 2023",183.81,169.93,173.89,"213,806,300"
29,173.22,"Jan 31, 2023",174.3,162.78,164.57,"196,813,500"
30,166.66,"Jan 30, 2023",179.77,166.5,178.05,"230,878,800"
31,177.9,"Jan 27, 2023",180.68,161.17,162.43,"306,590,600"
