,Close,Date,High,Low,Open,Volume
0,33.29,"Mar 14, 2023",33.89,32.81,33.78,"7,071,200"
1,33.57,"Mar 13, 2023",33.73,32.94,33.02,"8,901,400"
2,33.26,"Mar 10, 2023",33.64,32.90,33.37,"8,610,800"
3,33.29,"Mar 09, 2023",34.57,33.27,34.49,"7,442,200"
4,34.48,"Mar 08, 2023",34.54,34.14,34.21,"4,602,300"
5,34.14,"Mar 07, 2023",35.52,34.10,35.48,"7,812,400"
6,35.45,"Mar 06, 2023",36.15,35.36,36.05,"7,553,400"
7,36.09,"Mar 03, 2023",36.21,35.41,35.59,"5,416,100"
8,35.38,"Mar 02, 2023",35.40,34.85,35.18,"4,656,300"
9,35.20,"Mar 01, 2023",35.41,34.98,35.25,"4,946,900"
10,35.53,"Feb 28, 2023",35.78,35.32,35.48,"8,847,000"
11,35.39,"Feb 27, 2023",36.08,35.27,36.05,"5,580,100"
12,35.8,"Feb 24, 2023",35.98,35.61,35.98,"4,067,100"
13,36.21,"Feb 23, 2023",36.5,35.95,36.46,"4,492,300"
14,36.08,"Feb 22, 2023",36.34,35.9,36.19,"4,007,500"
15,36.16,"Feb 21, 2023",36.51,36.05,36.38,"4,910,600"
16,36.76,"Feb 17, 2023",36.78,36.19,36.40,"4,192,300"
17,36.32,"Feb 16, 2023",36.56,35.92,36.21,"5,046,800"
18,36.52,"Feb 15, 2023",36.53,35.84,36.20,"5,768,700"
19,36.75,"Feb 14, 2023",37.13,36.45,37.08,"5,111,900"
20,37.11,"Feb 13, 2023",37.12,36.51,36.55,"5,498,600"
21,36.55,"Feb 10, 2023",36.57,35.76,35.92,"6,610,100"
22,35.81,"Feb 09, 2023",37.02,35.71,36.88,"6,946,400"
23,36.56,"Feb 08, 2023",36.92,36.38,36.60,"5,336,500"
24,36.74,"Feb 07, 2023",36.81,35.96,36.27,"6,941,900"
25,36.28,"Feb 06, 2023",37.0,36.07,37.00,"6,287,200"
26,37.09,"Feb 03, 2023",37.75,36.92,37.70,"5,937,300"
27,37.71,"Feb 02, 2023",37.96,37.17,37.30,"6,829,100"
28,37.18,"Feb 01, 2023",37.43,36.17,36.82,"7,963,700"
29,36.86,"Jan 31, 2023",36.89,35.95,36.50,"12,117,100"
30,36.53,"Jan 30, 2023",37.14,36.51,37.04,"5,196,100"
31,37.17,"Jan 27, 2023",37.53,36.64,36.68,"5,950,800"
32,36.5,"Jan 26, 2023",36.56,35.99,36.48,"4,267,900"
33,36.28,"Jan 25, 2023",36.44,35.81,35.97,"5,347,600"
34,35.9,"Jan 24, 2023",36.16,35.63,36.06,"6,016,600"
35,36.67,"Jan 23, 2023",36.73,35.82,35.95,"6,287,600"
36,35.88,"Jan 20, 2023",35.94,35.13,35.65,"5,607,000"
37,35.41,"Jan 19, 2023",35.75,35.35,35.60,"6,165,200"
38,35.61,"Jan 18, 2023",36.44,35.42,36.43,"7,128,400"
39,36.33,"Jan 17, 2023",36.9,36.16,36.90,"6,820,200"
40,36.78,"Jan 13, 2023",36.83,36.12,36.58,"4,178,900"
41,36.66,"Jan 12, 2023",37.41,36.62,37.30,"6,056,100"
42,37.12,"Jan 11, 2023",37.29,36.76,37.20,"6,098,700"
43,36.7,"Jan 10, 2023",36.72,36.06,36.35,"6,341,200"
44,36.35,"Jan 09, 2023",37.11,36.3,36.73,"9,435,000"
45,36.61,"Jan 06, 2023",36.74,35.11,35.36,"10,009,800"
46,35.19,"Jan 05, 2023",36.18,34.3,35.91,"19,328,200"
47,37.49,"Jan 04, 2023",37.95,36.98,37.60,"7,987,000"
48,37.19,"Jan 03, 2023",37.85,36.88,37.85,"7,377,200"
49,37.36,"Dec 30, 2022",37.38,36.97,37.24,"5,406,200"
50,37.47,"Dec 29, 2022",37.97,37.36,37.66,"5,251,500"
51,37.58,"Dec 28, 2022",38.57,37.56,38.25,"4,008,900"
52,38.31,"Dec 27, 2022",38.68,38.11,38.62,"3,940,100"
53,38.63,"Dec 23, 2022",38.76,38.21,38.56,"3,476,700"
54,38.44,"Dec 22, 2022",38.46,37.57,38.39,"5,997,000"
55,38.6,"Dec 21, 2022",39.93,38.32,39.85,"7,081,600"
56,39.53,"Dec 20, 2022",39.83,39.2,39.39,"4,716,900"
57,39.32,"Dec 19, 2022",39.84,39.03,39.09,"5,436,400"
58,39.05,"Dec 16, 2022",39.46,38.55,39.16,"10,867,100"
59,39.53,"Dec 15, 2022",40.28,39.33,40.15,"5,693,500"
60,40.63,"Dec 14, 2022",41.32,40.37,41.04,"4,575,300"
61,41.03,"Dec 13, 2022",42.29,40.81,42.01,"6,089,300"
62,41.06,"Dec 12, 2022",41.06,40.24,40.60,"6,156,800"
63,40.43,"Dec 09, 2022",40.92,40.4,40.78,"7,710,800"
64,40.9,"Dec 08, 2022",40.97,40.4,40.64,"3,587,900"
65,40.65,"Dec 07, 2022",40.97,40.31,40.41,"3,775,600"
66,40.59,"Dec 06, 2022",41.4,40.41,41.28,"4,326,300"
67,41.21,"Dec 05, 2022",41.42,40.82,41.36,"4,501,800"
68,41.48,"Dec 02, 2022",41.63,40.85,40.99,"4,857,600"
69,41.31,"Dec 01, 2022",42.03,41.06,41.51,"4,511,400"
70,41.5,"Nov 30, 2022",41.74,40.52,41.31,"7,591,800"
71,41.08,"Nov 29, 2022",41.21,40.63,40.90,"3,213,600"
72,40.81,"Nov 28, 2022",41.66,40.64,41.43,"4,687,900"
73,41.66,"Nov 25, 2022",41.97,41.42,41.67,"2,225,500"
74,41.76,"Nov 23, 2022",41.94,41.5,41.60,"3,889,500"
75,41.79,"Nov 22, 2022",41.84,41.11,41.48,"5,697,300"
76,40.59,"Nov 21, 2022",40.66,39.61,39.83,"5,107,800"
77,39.75,"Nov 18, 2022",40.95,39.26,40.87,"6,945,100"
78,40.13,"Nov 17, 2022",40.37,39.6,39.76,"5,910,300"
79,40.39,"Nov 16, 2022",41.13,40.26,40.76,"4,833,200"
80,40.65,"Nov 15, 2022",41.58,40.25,41.00,"6,767,500"
81,40.54,"Nov 14, 2022",41.54,40.4,40.80,"8,301,900"
82,41.26,"Nov 11, 2022",41.57,39.4,40.39,"13,101,300"
83,38.49,"Nov 10, 2022",38.53,37.58,38.02,"8,825,000"
84,36.89,"Nov 09, 2022",38.14,36.85,38.08,"6,830,500"
85,38.29,"Nov 08, 2022",39.51,37.78,38.51,"8,082,900"
86,38.59,"Nov 07, 2022",39.13,37.7,37.77,"12,631,400"
87,37.07,"Nov 04, 2022",37.13,35.93,36.10,"7,478,700"
88,35.74,"Nov 03, 2022",35.94,35.14,35.56,"5,609,800"
89,35.81,"Nov 02, 2022",37.0,35.79,36.81,"8,126,300"
90,36.26,"Nov 01, 2022",36.7,36.07,36.66,"5,473,100"
91,36.5,"Oct 31, 2022",36.81,36.23,36.53,"9,705,800"
92,36.58,"Oct 28, 2022",36.64,35.57,35.70,"6,883,500"
93,35.67,"Oct 27, 2022",36.22,35.64,35.88,"5,581,600"
94,35.51,"Oct 26, 2022",36.13,35.45,35.81,"5,739,600"
95,35.52,"Oct 25, 2022",35.6,34.4,34.40,"6,596,900"
96,34.69,"Oct 24, 2022",34.75,34.07,34.40,"7,655,600"
97,34.3,"Oct 21, 2022",34.54,33.21,33.40,"9,883,800"
98,33.36,"Oct 20, 2022",34.03,33.32,33.50,"6,223,600"
99,33.39,"Oct 19, 2022",33.59,32.83,32.91,"8,462,600"
100,33.1,"Oct 18, 2022",33.88,32.7,33.46,"10,005,500"
101,33.0,"Oct 17, 2022",33.98,32.96,33.73,"13,122,900"
102,33.24,"Oct 14, 2022",34.24,33.2,33.70,"10,479,800"
103,33.65,"Oct 13, 2022",34.01,31.77,31.91,"21,806,900"
104,31.94,"Oct 12, 2022",32.88,31.88,32.65,"9,555,900"
105,32.61,"Oct 11, 2022",33.17,31.94,32.03,"10,981,800"
106,31.84,"Oct 10, 2022",32.16,30.83,30.87,"10,560,000"
107,30.52,"Oct 07, 2022",32.07,30.39,32.03,"11,291,100"
108,32.25,"Oct 06, 2022",33.26,32.18,33.10,"5,417,600"
109,33.16,"Oct 05, 2022",33.38,32.71,33.29,"5,308,000"
110,33.39,"Oct 04, 2022",33.4,32.6,32.61,"6,426,700"
111,32.43,"Oct 03, 2022",32.51,31.29,31.81,"8,336,200"
112,31.4,"Sep 30, 2022",31.79,31.35,31.66,"8,035,300"
113,31.55,"Sep 29, 2022",32.81,31.23,32.81,"8,232,100"
114,33.2,"Sep 28, 2022",33.3,32.27,32.60,"6,680,100"
115,32.43,"Sep 27, 2022",33.22,32.33,33.00,"6,142,300"
116,32.69,"Sep 26, 2022",33.01,32.44,32.58,"5,483,400"
117,32.83,"Sep 23, 2022",33.15,32.38,33.04,"6,093,600"
118,33.32,"Sep 22, 2022",33.53,32.92,33.42,"4,933,900"
119,33.43,"Sep 21, 2022",34.41,33.43,34.20,"5,001,200"
120,33.99,"Sep 20, 2022",34.1,33.53,33.95,"5,080,000"
121,34.15,"Sep 19, 2022",34.2,33.7,34.00,"5,372,700"
122,34.27,"Sep 16, 2022",34.69,33.86,34.09,"10,565,800"
123,34.23,"Sep 15, 2022",35.18,33.95,34.77,"10,889,800"
124,34.77,"Sep 14, 2022",34.99,34.51,34.90,"6,422,700"
125,34.74,"Sep 13, 2022",36.31,34.62,36.09,"9,039,400"
126,36.63,"Sep 12, 2022",37.2,36.35,36.63,"9,084,400"
127,36.24,"Sep 09, 2022",36.66,36.05,36.30,"10,234,200"
128,35.96,"Sep 08, 2022",36.14,35.31,35.92,"7,744,100"
129,36.08,"Sep 07, 2022",36.13,34.93,35.49,"7,661,200"
130,35.32,"Sep 06, 2022",35.71,35.04,35.55,"8,700,000"
131,35.27,"Sep 02, 2022",35.98,35.11,35.47,"7,259,700"
132,35.26,"Sep 01, 2022",35.29,34.53,34.96,"7,461,500"
133,35.06,"Aug 31, 2022",35.82,35.03,35.31,"7,828,500"
134,35.18,"Aug 30, 2022",36.14,35.15,36.14,"6,668,800"
135,35.96,"Aug 29, 2022",36.22,35.64,35.95,"5,316,400"
136,36.0,"Aug 26, 2022",36.99,36.0,36.94,"6,927,600"
137,36.8,"Aug 25, 2022",37.05,36.63,36.86,"6,433,300"
138,36.77,"Aug 24, 2022",37.4,36.57,37.28,"7,603,000"
139,37.44,"Aug 23, 2022",37.72,37.21,37.33,"5,044,200"
140,37.31,"Aug 22, 2022",38.03,37.18,38.00,"6,320,800"
141,38.22,"Aug 19, 2022",38.53,38.08,38.12,"6,908,700"
142,38.24,"Aug 18, 2022",40.56,37.86,40.56,"16,450,400"
143,40.87,"Aug 17, 2022",41.84,40.77,41.65,"6,499,300"
144,42.04,"Aug 16, 2022",42.1,41.1,41.20,"6,892,800"
145,41.07,"Aug 15, 2022",41.11,40.33,40.63,"4,783,300"
146,40.59,"Aug 12, 2022",40.76,39.97,40.22,"4,416,300"
147,40.07,"Aug 11, 2022",40.59,40.0,40.08,"4,553,700"
148,39.9,"Aug 10, 2022",40.16,39.66,39.79,"5,888,600"
149,39.13,"Aug 09, 2022",39.87,38.73,39.76,"5,469,200"
150,39.48,"Aug 08, 2022",40.25,39.2,39.20,"5,132,900"
151,38.99,"Aug 05, 2022",39.14,38.62,38.92,"5,611,600"
152,38.98,"Aug 04, 2022",39.65,38.85,39.35,"5,091,600"
153,39.19,"Aug 03, 2022",39.7,38.92,39.48,"8,437,400"
154,39.05,"Aug 02, 2022",40.02,39.02,39.97,"6,274,300"
155,39.89,"Aug 01, 2022",40.09,39.33,39.62,"5,538,300"
156,39.62,"Jul 29, 2022",39.79,39.35,39.44,"9,741,500"
157,39.44,"Jul 28, 2022",39.64,38.78,39.32,"4,400,400"
158,39.22,"Jul 27, 2022",39.33,38.38,38.79,"4,722,500"
159,38.85,"Jul 26, 2022",39.07,38.01,38.23,"4,566,500"
160,38.75,"Jul 25, 2022",39.13,38.43,38.93,"3,825,700"
161,38.66,"Jul 22, 2022",39.22,38.38,38.77,"4,429,500"
162,38.46,"Jul 21, 2022",38.51,37.54,37.56,"5,726,600"
163,38.92,"Jul 20, 2022",38.97,38.23,38.58,"5,014,300"
164,38.6,"Jul 19, 2022",39.03,38.53,38.73,"5,398,300"
165,38.32,"Jul 18, 2022",38.62,38.09,38.33,"4,421,100"
166,38.03,"Jul 15, 2022",38.05,37.04,37.26,"7,469,600"
167,36.86,"Jul 14, 2022",37.28,36.57,36.90,"8,298,400"
168,37.24,"Jul 13, 2022",37.94,37.1,37.56,"5,641,500"
169,37.97,"Jul 12, 2022",38.95,37.32,37.42,"5,868,400"
170,37.43,"Jul 11, 2022",37.92,37.33,37.42,"6,706,600"
171,37.55,"Jul 08, 2022",38.49,37.5,38.26,"7,066,800"
172,38.21,"Jul 07, 2022",38.28,37.6,38.02,"6,053,300"
173,37.78,"Jul 06, 2022",38.59,37.7,38.39,"5,951,900"
174,38.51,"Jul 05, 2022",38.55,37.71,37.92,"6,969,600"
175,38.56,"Jul 01, 2022",38.61,36.98,37.63,"9,291,900"
176,37.9,"Jun 30, 2022",39.67,37.71,39.52,"15,611,700"
177,40.87,"Jun 29, 2022",41.09,40.44,40.92,"6,099,200"
178,40.96,"Jun 28, 2022",42.74,40.9,41.03,"7,825,000"
179,42.19,"Jun 27, 2022",42.34,41.55,41.87,"7,140,600"
180,41.65,"Jun 24, 2022",41.97,41.08,41.29,"8,093,700"
181,40.89,"Jun 23, 2022",41.48,40.39,40.89,"6,354,100"
182,40.45,"Jun 22, 2022",40.81,39.68,39.68,"6,332,700"
183,40.1,"Jun 21, 2022",40.33,39.17,39.61,"5,493,200"
184,39.32,"Jun 17, 2022",40.59,39.27,39.54,"11,970,400"
185,39.67,"Jun 16, 2022",40.35,39.14,40.35,"7,784,900"
186,40.73,"Jun 15, 2022",41.24,40.15,40.53,"6,439,100"
187,40.2,"Jun 14, 2022",40.74,39.77,40.54,"6,428,900"
188,40.28,"Jun 13, 2022",41.22,40.1,40.86,"6,696,700"
189,41.54,"Jun 10, 2022",41.92,41.08,41.34,"6,056,600"
190,41.72,"Jun 09, 2022",42.71,41.69,42.40,"5,207,300"
191,42.6,"Jun 08, 2022",43.07,42.39,42.85,"3,291,000"
192,43.0,"Jun 07, 2022",43.11,42.3,42.87,"4,087,000"
193,43.39,"Jun 06, 2022",43.93,43.14,43.38,"3,611,400"
194,43.14,"Jun 03, 2022",43.79,42.93,43.51,"4,011,900"
195,43.43,"Jun 02, 2022",43.5,42.17,43.38,"4,860,000"
196,43.26,"Jun 01, 2022",43.99,42.79,43.90,"4,691,000"
197,43.83,"May 31, 2022",44.27,43.05,43.48,"8,192,000"
198,43.71,"May 27, 2022",43.75,42.95,43.16,"4,928,600"
199,43.04,"May 26, 2022",43.51,42.86,42.93,"7,261,800"
200,42.46,"May 25, 2022",42.72,41.72,42.05,"5,544,100"
201,42.08,"May 24, 2022",42.16,41.28,41.98,"5,290,600"
202,42.15,"May 23, 2022",42.4,41.28,41.35,"6,888,700"
203,40.96,"May 20, 2022",41.05,39.72,40.85,"7,370,400"
204,40.61,"May 19, 2022",41.05,39.76,40.56,"8,323,600"
205,41.17,"May 18, 2022",44.24,41.02,44.19,"15,164,100"
206,44.94,"May 17, 2022",44.96,43.69,44.25,"7,089,800"
207,44.15,"May 16, 2022",44.5,43.16,43.68,"4,919,200"
208,43.55,"May 13, 2022",43.71,42.97,43.50,"5,781,800"
209,43.16,"May 12, 2022",43.57,42.46,43.35,"6,545,700"
210,43.35,"May 11, 2022",44.29,43.22,43.51,"6,218,400"
211,43.31,"May 10, 2022",44.72,42.86,44.42,"8,095,900"
212,43.85,"May 09, 2022",44.54,43.55,43.87,"8,900,400"
213,43.99,"May 06, 2022",45.3,43.5,43.58,"10,631,800"
214,43.78,"May 05, 2022",44.35,43.38,44.28,"7,885,000"
215,44.46,"May 04, 2022",44.57,42.32,42.95,"9,181,800"
216,42.94,"May 03, 2022",43.29,42.4,42.79,"6,968,800"
217,42.52,"May 02, 2022",42.99,41.8,42.63,"7,691,500"
218,42.4,"Apr 29, 2022",44.62,42.34,44.48,"11,835,500"
219,44.53,"Apr 28, 2022",44.9,44.11,44.48,"6,055,500"
220,44.23,"Apr 27, 2022",45.04,43.89,44.92,"6,936,900"
221,44.87,"Apr 26, 2022",45.91,44.86,45.10,"6,051,100"
222,45.39,"Apr 25, 2022",45.5,44.17,45.22,"6,572,700"
223,45.54,"Apr 22, 2022",46.8,45.5,46.62,"5,956,500"
224,46.81,"Apr 21, 2022",47.28,46.23,46.72,"7,106,000"
225,46.54,"Apr 20, 2022",46.75,45.79,45.86,"5,661,600"
226,45.6,"Apr 19, 2022",45.66,44.66,44.69,"5,328,200"
227,44.5,"Apr 18, 2022",44.97,44.31,44.71,"3,679,100"
228,44.81,"Apr 14, 2022",45.43,44.62,44.66,"5,289,700"
229,44.6,"Apr 13, 2022",47.11,44.06,44.42,"12,014,100"
230,44.23,"Apr 12, 2022",44.97,44.05,44.54,"5,168,200"
231,44.43,"Apr 11, 2022",46.27,44.34,45.49,"7,698,500"
232,45.42,"Apr 08, 2022",45.8,44.75,45.18,"6,164,900"
233,45.11,"Apr 07, 2022",45.21,43.7,44.43,"9,526,400"
234,44.31,"Apr 06, 2022",44.76,43.06,43.22,"10,504,500"
235,43.49,"Apr 05, 2022",43.75,43.02,43.02,"7,911,800"
236,43.4,"Apr 04, 2022",44.05,42.9,43.84,"9,752,600"
