"date","_NDXD-open","_NDXD-high","_NDXD-low","_NDXD-close","_NDXD-vol"
"1/31/1985","125","125","125","125","0"
"2/1/1985","124.63","124.63","124.63","124.63","0"
"2/4/1985","126.22","126.22","126.22","126.22","0"
"2/5/1985","126.76","126.76","126.76","126.76","0"
"2/6/1985","127.16","127.16","127.16","127.16","0"
"2/7/1985","128.56","128.56","128.56","128.56","0"
"2/8/1985","128.65","128.65","128.65","128.65","0"
"2/11/1985","127.8","127.8","127.8","127.8","0"
"2/12/1985","126.97","126.97","126.97","126.97","0"
"2/13/1985","127.88","127.88","127.88","127.88","0"
"2/14/1985","127.01","127.01","127.01","127.01","0"
"2/15/1985","126.02","126.02","126.02","126.02","0"
"2/19/1985","125.09","125.09","125.09","125.09","0"
"2/20/1985","125.48","125.48","125.48","125.48","0"
"2/21/1985","125.25","125.25","125.25","125.25","0"
"2/22/1985","124.95","124.95","124.95","124.95","0"
"2/25/1985","123.59","123.59","123.59","123.59","0"
"2/26/1985","124.69","124.69","124.69","124.69","0"
"2/27/1985","123.56","123.56","123.56","123.56","0"
"2/28/1985","123.52","123.52","123.52","123.52","0"
"3/1/1985","124.84","124.84","124.84","124.84","0"
"3/4/1985","125.11","125.11","125.11","125.11","0"
"3/5/1985","124.6","124.6","124.6","124.6","0"
"3/6/1985","122.5","122.5","122.5","122.5","0"
"3/7/1985","120.61","120.61","120.61","120.61","0"
"3/8/1985","119.79","119.79","119.79","119.79","0"
"3/11/1985","119.22","119.22","119.22","119.22","0"
"3/12/1985","119.72","119.72","119.72","119.72","0"
"3/13/1985","116.73","116.73","116.73","116.73","0"
"3/14/1985","115.98","115.98","115.98","115.98","0"
"3/15/1985","116.61","116.61","116.61","116.61","0"
"3/18/1985","116.61","116.61","116.61","116.61","0"
"3/19/1985","117.84","117.84","117.84","117.84","0"
"3/20/1985","117.63","117.63","117.63","117.63","0"
"3/21/1985","117.67","117.67","117.67","117.67","0"
"3/22/1985","117.31","117.31","117.31","117.31","0"
"3/25/1985","115.02","115.02","115.02","115.02","0"
"3/26/1985","115.25","115.25","115.25","115.25","0"
"3/27/1985","116.38","116.38","116.38","116.38","0"
"3/28/1985","116.39","116.39","116.39","116.39","0"
"3/29/1985","117.36","117.36","117.36","117.36","0"
"4/1/1985","118.72","118.72","118.72","118.72","0"
"4/2/1985","117.96","117.96","117.96","117.96","0"
"4/3/1985","116.19","116.19","116.19","116.19","0"
"4/4/1985","115.97","115.97","115.97","115.97","0"
"4/8/1985","115.14","115.14","115.14","115.14","0"
"4/9/1985","115.33","115.33","115.33","115.33","0"
"4/10/1985","117.11","117.11","117.11","117.11","0"
"4/11/1985","117.25","117.25","117.25","117.25","0"
"4/12/1985","117.5","117.5","117.5","117.5","0"
"4/15/1985","117.74","117.74","117.74","117.74","0"
"4/16/1985","118.24","118.24","118.24","118.24","0"
"4/17/1985","118.84","118.84","118.84","118.84","0"
"4/18/1985","118.33","118.33","118.33","118.33","0"
"4/19/1985","118.02","118.02","118.02","118.02","0"
"4/22/1985","117","117","117","117","0"
"4/23/1985","117.66","117.66","117.66","117.66","0"
"4/24/1985","117.64","117.64","117.64","117.64","0"
"4/25/1985","118.16","118.16","118.16","118.16","0"
"4/26/1985","117.84","117.84","117.84","117.84","0"
"4/29/1985","116.23","116.23","116.23","116.23","0"
"4/30/1985","115.38","115.38","115.38","115.38","0"
"5/1/1985","114.83","114.83","114.83","114.83","0"
"5/2/1985","114.36","114.36","114.36","114.36","0"
"5/3/1985","115.29","115.29","115.29","115.29","0"
"5/6/1985","114.45","114.45","114.45","114.45","0"
"5/7/1985","114.97","114.97","114.97","114.97","0"
"5/8/1985","115.08","115.08","115.08","115.08","0"
"5/9/1985","116.54","116.54","116.54","116.54","0"
"5/10/1985","119.75","119.75","119.75","119.75","0"
"5/13/1985","120.17","120.17","120.17","120.17","0"
"5/14/1985","119.56","119.56","119.56","119.56","0"
"5/15/1985","119.83","119.83","119.83","119.83","0"
"5/16/1985","120.59","120.59","120.59","120.59","0"
"5/17/1985","121.66","121.66","121.66","121.66","0"
"5/20/1985","123.36","123.36","123.36","123.36","0"
"5/21/1985","122.81","122.81","122.81","122.81","0"
"5/22/1985","122.27","122.27","122.27","122.27","0"
"5/23/1985","121.3","121.3","121.3","121.3","0"
"5/24/1985","121.05","121.05","121.05","121.05","0"
"5/28/1985","119.56","119.56","119.56","119.56","0"
"5/29/1985","119.59","119.59","119.59","119.59","0"
"5/30/1985","118.72","118.72","118.72","118.72","0"
"5/31/1985","119.64","119.64","119.64","119.64","0"
"6/3/1985","119.78","119.78","119.78","119.78","0"
"6/4/1985","120.1","120.1","120.1","120.1","0"
"6/5/1985","119.75","119.75","119.75","119.75","0"
"6/6/1985","119.88","119.88","119.88","119.88","0"
"6/7/1985","119.16","119.16","119.16","119.16","0"
"6/10/1985","119.05","119.05","119.05","119.05","0"
"6/11/1985","118.34","118.34","118.34","118.34","0"
"6/12/1985","116.75","116.75","116.75","116.75","0"
"6/13/1985","114.61","114.61","114.61","114.61","0"
"6/14/1985","115.45","115.45","115.45","115.45","0"
"6/17/1985","114.76","114.76","114.76","114.76","0"
"6/18/1985","114.92","114.92","114.92","114.92","0"
"6/19/1985","115.14","115.14","115.14","115.14","0"
"6/20/1985","114.56","114.56","114.56","114.56","0"
"6/21/1985","115.8","115.8","115.8","115.8","0"
"6/24/1985","117.3","117.3","117.3","117.3","0"
"6/25/1985","119.64","119.64","119.64","119.64","0"
"6/26/1985","120.95","120.95","120.95","120.95","0"
"6/27/1985","122.14","122.14","122.14","122.14","0"
"6/28/1985","122.14","122.14","122.14","122.14","0"
"7/1/1985","122.42","122.42","122.42","122.42","0"
"7/2/1985","121.79","121.79","121.79","121.79","0"
"7/3/1985","121.28","121.28","121.28","121.28","0"
"7/5/1985","121.76","121.76","121.76","121.76","0"
"7/8/1985","120.86","120.86","120.86","120.86","0"
"7/9/1985","120.31","120.31","120.31","120.31","0"
"7/10/1985","120.86","120.86","120.86","120.86","0"
"7/11/1985","121.9","121.9","121.9","121.9","0"
"7/12/1985","122.84","122.84","122.84","122.84","0"
"7/15/1985","123.33","123.33","123.33","123.33","0"
"7/16/1985","124.73","124.73","124.73","124.73","0"
"7/17/1985","126.61","126.61","126.61","126.61","0"
"7/18/1985","125.31","125.31","125.31","125.31","0"
"7/19/1985","125.87","125.87","125.87","125.87","0"
"7/22/1985","125.47","125.47","125.47","125.47","0"
"7/23/1985","125.89","125.89","125.89","125.89","0"
"7/24/1985","125.11","125.11","125.11","125.11","0"
"7/25/1985","125.78","125.78","125.78","125.78","0"
"7/26/1985","125.5","125.5","125.5","125.5","0"
"7/29/1985","123.09","123.09","123.09","123.09","0"
"7/30/1985","123.11","123.11","123.11","123.11","0"
"7/31/1985","123.27","123.27","123.27","123.27","0"
"8/1/1985","124.55","124.55","124.55","124.55","0"
"8/2/1985","124.45","124.45","124.45","124.45","0"
"8/5/1985","123.28","123.28","123.28","123.28","0"
"8/6/1985","122.27","122.27","122.27","122.27","0"
"8/7/1985","121.17","121.17","121.17","121.17","0"
"8/8/1985","121.46","121.46","121.46","121.46","0"
"8/9/1985","121.72","121.72","121.72","121.72","0"
"8/12/1985","121.16","121.16","121.16","121.16","0"
"8/13/1985","119.91","119.91","119.91","119.91","0"
"8/14/1985","120.06","120.06","120.06","120.06","0"
"8/15/1985","119.73","119.73","119.73","119.73","0"
"8/16/1985","118.81","118.81","118.81","118.81","0"
"8/19/1985","118.29","118.29","118.29","118.29","0"
"8/20/1985","119.55","119.55","119.55","119.55","0"
"8/21/1985","120.38","120.38","120.38","120.38","0"
"8/22/1985","119.52","119.52","119.52","119.52","0"
"8/23/1985","119.17","119.17","119.17","119.17","0"
"8/26/1985","119.04","119.04","119.04","119.04","0"
"8/27/1985","117.92","117.92","117.92","117.92","0"
"8/28/1985","118.45","118.45","118.45","118.45","0"
"8/29/1985","118.24","118.24","118.24","118.24","0"
"8/30/1985","118.3","118.3","118.3","118.3","0"
"9/3/1985","117.57","117.57","117.57","117.57","0"
"9/4/1985","116.83","116.83","116.83","116.83","0"
"9/5/1985","116.53","116.53","116.53","116.53","0"
"9/6/1985","117.19","117.19","117.19","117.19","0"
"9/9/1985","117.47","117.47","117.47","117.47","0"
"9/10/1985","116.56","116.56","116.56","116.56","0"
"9/11/1985","115.22","115.22","115.22","115.22","0"
"9/12/1985","115.33","115.33","115.33","115.33","0"
"9/13/1985","114.19","114.19","114.19","114.19","0"
"9/16/1985","113.33","113.33","113.33","113.33","0"
"9/17/1985","111","111","111","111","0"
"9/18/1985","111.73","111.73","111.73","111.73","0"
"9/19/1985","113.69","113.69","113.69","113.69","0"
"9/20/1985","114.01","114.01","114.01","114.01","0"
"9/23/1985","115.07","115.07","115.07","115.07","0"
"9/24/1985","112.81","112.81","112.81","112.81","0"
"9/25/1985","111.17","111.17","111.17","111.17","0"
"9/26/1985","110.89","110.89","110.89","110.89","0"
"9/27/1985","111.13","111.13","111.13","111.13","0"
"9/30/1985","110.62","110.62","110.62","110.62","0"
