,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",11.82,11.98,11.75,11.88,"50,574,200"
1,"Feb 23, 2023",12.32,12.36,11.88,12.07,"57,952,800"
2,"Feb 22, 2023",12.24,12.31,12.14,12.21,"52,844,700"
3,"Feb 21, 2023",12.72,12.81,12.17,12.20,"77,724,200"
4,"Feb 17, 2023",12.82,12.94,12.65,12.89,"54,345,400"
5,"Feb 16, 2023",12.73,13.14,12.51,12.91,"64,145,500"
6,"Feb 15, 2023",12.75,12.94,12.60,12.93,"66,050,100"
7,"Feb 14, 2023",12.99,13.19,12.82,12.97,"75,352,900"
8,"Feb 13, 2023",12.71,13.10,12.70,13.09,"64,201,900"
9,"Feb 10, 2023",12.84,12.90,12.51,12.73,"68,146,200"
10,"Feb 10, 2023",Dividend,,,,
11,"Feb 09, 2023",13.66,13.93,13.40,13.49,"78,667,100"
12,"Feb 08, 2023",13.30,13.69,13.30,13.42,"62,028,400"
13,"Feb 07, 2023",13.08,13.51,12.98,13.45,"70,671,100"
14,"Feb 06, 2023",13.16,13.21,12.78,13.14,"77,262,800"
15,"Feb 03, 2023",13.05,13.61,12.78,13.23,"165,357,500"
16,"Feb 02, 2023",14.17,14.60,14.03,14.32,"102,579,800"
17,"Feb 01, 2023",13.52,13.99,13.49,13.79,"70,641,000"
18,"Jan 31, 2023",13.39,13.57,13.25,13.51,"83,093,300"
19,"Jan 30, 2023",13.01,13.20,12.86,12.89,"64,512,600"
20,"Jan 27, 2023",12.88,13.37,12.87,13.27,"62,066,500"
21,"Jan 26, 2023",12.99,13.07,12.71,12.92,"48,970,900"
22,"Jan 25, 2023",12.60,12.85,12.49,12.79,"37,739,000"
23,"Jan 24, 2023",12.68,12.90,12.62,12.74,"41,537,400"
24,"Jan 23, 2023",12.48,12.91,12.43,12.80,"49,688,000"
25,"Jan 20, 2023",12.21,12.42,12.08,12.40,"44,288,900"
26,"Jan 19, 2023",12.29,12.36,12.04,12.18,"52,918,500"
27,"Jan 18, 2023",12.79,12.85,12.40,12.41,"48,774,400"
28,"Jan 17, 2023",12.71,12.85,12.43,12.67,"60,774,900"
29,"Jan 13, 2023",12.63,12.82,12.47,12.72,"96,317,800"
30,"Jan 12, 2023",13.27,13.53,13.11,13.43,"58,113,700"
31,"Jan 11, 2023",12.93,13.26,12.89,13.22,"51,911,600"
32,"Jan 10, 2023",12.68,12.87,12.50,12.84,"47,065,500"
33,"Jan 09, 2023",12.74,12.93,12.55,12.69,"50,865,500"
34,"Jan 06, 2023",12.12,12.59,12.10,12.58,"53,066,500"
35,"Jan 05, 2023",12.11,12.38,11.88,12.25,"50,785,600"
36,"Jan 04, 2023",11.88,12.08,11.74,12.01,"53,429,700"
37,"Jan 03, 2023",11.82,11.92,11.57,11.68,"45,809,000"
38,"Dec 30, 2022",11.40,11.64,11.39,11.63,"39,149,700"
39,"Dec 29, 2022",11.08,11.55,11.05,11.54,"53,550,300"
40,"Dec 28, 2022",11.18,11.25,10.90,10.95,"49,375,400"
41,"Dec 27, 2022",11.28,11.39,11.13,11.20,"44,837,400"
42,"Dec 23, 2022",11.27,11.40,11.22,11.36,"38,200,700"
43,"Dec 22, 2022",11.54,11.54,11.10,11.31,"75,158,700"
44,"Dec 21, 2022",11.61,11.79,11.55,11.78,"49,256,000"
45,"Dec 20, 2022",11.65,11.68,11.12,11.47,"82,057,900"
46,"Dec 19, 2022",12.12,12.17,11.54,11.69,"88,062,500"
47,"Dec 16, 2022",12.77,12.82,12.08,12.12,"118,345,700"
48,"Dec 15, 2022",13.23,13.26,12.95,13.03,"55,725,300"
49,"Dec 14, 2022",13.57,13.78,13.36,13.48,"51,199,900"
50,"Dec 13, 2022",13.78,13.92,13.37,13.57,"57,872,100"
51,"Dec 12, 2022",13.20,13.47,13.10,13.46,"35,473,800"
52,"Dec 09, 2022",13.04,13.36,13.04,13.18,"41,553,600"
53,"Dec 08, 2022",13.20,13.26,13.07,13.12,"32,376,300"
54,"Dec 07, 2022",13.20,13.42,13.09,13.10,"36,609,800"
55,"Dec 06, 2022",13.42,13.57,13.06,13.28,"39,996,000"
56,"Dec 05, 2022",13.75,13.77,13.37,13.38,"39,714,500"
57,"Dec 02, 2022",13.84,13.97,13.75,13.86,"42,417,400"
58,"Dec 01, 2022",14.09,14.36,14.00,14.08,"45,335,100"
59,"Nov 30, 2022",13.78,13.95,13.45,13.90,"61,537,300"
60,"Nov 29, 2022",13.85,13.90,13.71,13.75,"28,380,800"
61,"Nov 28, 2022",13.94,13.96,13.70,13.73,"35,249,700"
62,"Nov 25, 2022",13.96,14.11,13.90,14.08,"12,980,900"
63,"Nov 23, 2022",14.00,14.06,13.85,14.03,"25,974,200"
64,"Nov 22, 2022",14.05,14.15,13.98,14.07,"28,738,800"
65,"Nov 21, 2022",13.86,14.04,13.66,13.95,"34,087,100"
66,"Nov 18, 2022",14.08,14.13,13.82,13.99,"37,101,900"
67,"Nov 17, 2022",13.66,13.91,13.55,13.91,"54,317,900"
68,"Nov 16, 2022",14.10,14.17,13.84,13.90,"47,484,200"
69,"Nov 15, 2022",14.29,14.58,14.20,14.30,"61,835,700"
