,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",25.80,25.87,25.64,25.75,"913,900"
1,"Feb 23, 2023",25.96,26.05,25.78,25.89,"713,000"
2,"Feb 22, 2023",25.85,25.96,25.78,25.82,"870,100"
3,"Feb 21, 2023",26.03,26.28,25.86,25.90,"2,141,300"
4,"Feb 17, 2023",25.40,25.57,25.30,25.54,"832,400"
5,"Feb 16, 2023",25.21,25.48,25.13,25.31,"727,900"
6,"Feb 15, 2023",25.09,25.26,25.06,25.22,"747,200"
7,"Feb 14, 2023",25.15,25.30,25.04,25.20,"890,100"
8,"Feb 13, 2023",25.25,25.45,25.18,25.44,"1,053,300"
9,"Feb 10, 2023",24.74,25.21,24.41,25.13,"1,596,700"
10,"Feb 09, 2023",24.68,24.97,24.51,24.54,"1,151,600"
11,"Feb 08, 2023",24.52,24.60,24.37,24.41,"845,200"
12,"Feb 07, 2023",24.61,25.00,24.50,24.86,"996,600"
13,"Feb 06, 2023",24.52,24.61,24.33,24.60,"1,020,100"
14,"Feb 03, 2023",24.67,24.83,24.54,24.60,"1,387,600"
15,"Feb 02, 2023",24.95,25.30,24.89,25.19,"1,113,100"
16,"Feb 01, 2023",24.95,25.42,24.88,25.31,"1,066,500"
17,"Jan 31, 2023",24.59,24.82,24.55,24.82,"842,800"
18,"Jan 30, 2023",24.46,24.52,24.31,24.34,"1,128,800"
19,"Jan 27, 2023",24.42,24.64,24.31,24.59,"735,700"
20,"Jan 26, 2023",24.22,24.32,24.07,24.27,"551,700"
21,"Jan 25, 2023",24.05,24.18,24.01,24.09,"1,086,300"
22,"Jan 24, 2023",23.94,24.14,23.79,23.95,"832,300"
23,"Jan 23, 2023",23.78,24.25,23.77,24.16,"1,403,700"
24,"Jan 20, 2023",23.72,23.98,23.65,23.95,"858,300"
25,"Jan 19, 2023",23.65,23.71,23.53,23.66,"705,800"
26,"Jan 18, 2023",24.34,24.34,23.78,23.80,"898,300"
27,"Jan 17, 2023",24.02,24.15,23.89,23.98,"1,451,100"
28,"Jan 13, 2023",23.74,23.80,23.44,23.58,"2,437,300"
29,"Jan 12, 2023",23.98,24.16,23.82,24.10,"1,187,100"
30,"Jan 11, 2023",23.79,24.03,23.75,23.89,"1,076,400"
31,"Jan 10, 2023",23.99,24.09,23.90,24.08,"858,700"
32,"Jan 09, 2023",24.09,24.40,23.99,24.13,"1,177,200"
33,"Jan 06, 2023",23.42,24.04,23.36,23.96,"1,016,700"
34,"Jan 05, 2023",23.12,23.39,22.97,23.27,"1,490,800"
35,"Jan 04, 2023",23.39,23.62,23.34,23.49,"1,247,300"
36,"Jan 03, 2023",23.09,23.41,22.96,23.27,"1,878,300"
37,"Dec 30, 2022",22.83,22.91,22.78,22.86,"797,100"
38,"Dec 29, 2022",22.68,22.96,22.61,22.90,"1,096,300"
