,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",17.38,17.58,17.26,17.57,"8,533,400"
1,"Feb 23, 2023",17.95,18.13,17.67,18.02,"11,726,400"
2,"Feb 22, 2023",17.14,17.50,17.14,17.27,"9,501,200"
3,"Feb 21, 2023",16.95,17.00,16.65,16.66,"6,751,000"
4,"Feb 17, 2023",16.98,17.29,16.88,17.29,"6,618,000"
5,"Feb 16, 2023",16.83,17.13,16.83,16.94,"4,418,800"
6,"Feb 15, 2023",16.81,17.07,16.81,17.01,"4,086,600"
7,"Feb 14, 2023",16.66,16.92,16.64,16.81,"3,981,700"
8,"Feb 13, 2023",16.52,16.71,16.47,16.67,"3,231,300"
9,"Feb 10, 2023",16.58,16.58,16.35,16.40,"5,102,900"
10,"Feb 09, 2023",16.80,16.93,16.73,16.75,"8,500,500"
11,"Feb 08, 2023",16.30,16.38,16.16,16.18,"3,724,700"
12,"Feb 07, 2023",16.16,16.31,16.03,16.27,"4,834,100"
13,"Feb 06, 2023",16.18,16.22,15.99,16.17,"4,661,200"
14,"Feb 03, 2023",16.34,16.61,16.27,16.33,"5,478,000"
15,"Feb 02, 2023",16.33,16.72,16.22,16.60,"6,898,700"
16,"Feb 01, 2023",15.79,16.18,15.78,16.08,"6,263,400"
17,"Jan 31, 2023",15.34,15.73,15.32,15.72,"5,840,300"
18,"Jan 30, 2023",15.32,15.36,15.09,15.10,"6,570,400"
19,"Jan 27, 2023",15.33,15.60,15.32,15.54,"5,385,100"
20,"Jan 26, 2023",15.36,15.40,15.24,15.39,"4,158,500"
21,"Jan 25, 2023",15.05,15.32,15.02,15.25,"3,917,400"
22,"Jan 24, 2023",15.13,15.27,15.05,15.23,"3,291,200"
23,"Jan 23, 2023",15.14,15.35,15.10,15.28,"4,587,000"
24,"Jan 20, 2023",15.03,15.24,14.98,15.20,"4,852,400"
25,"Jan 19, 2023",15.10,15.17,14.98,15.13,"4,132,300"
26,"Jan 18, 2023",15.67,15.70,15.27,15.28,"3,995,700"
27,"Jan 17, 2023",15.44,15.62,15.40,15.45,"4,135,100"
28,"Jan 13, 2023",15.32,15.43,15.29,15.42,"4,880,700"
29,"Jan 12, 2023",15.92,16.09,15.78,16.03,"5,612,300"
30,"Jan 11, 2023",15.82,15.85,15.68,15.80,"3,526,800"
31,"Jan 10, 2023",15.78,15.87,15.68,15.87,"5,060,100"
32,"Jan 09, 2023",15.64,15.74,15.57,15.62,"7,173,600"
33,"Jan 06, 2023",15.05,15.50,15.01,15.45,"5,226,600"
34,"Jan 05, 2023",15.10,15.24,15.05,15.17,"4,698,900"
35,"Jan 04, 2023",14.95,15.12,14.83,15.06,"5,575,200"
36,"Jan 03, 2023",14.66,14.76,14.49,14.59,"5,361,400"
37,"Dec 30, 2022",14.24,14.31,14.16,14.20,"4,206,100"
38,"Dec 29, 2022",14.14,14.35,14.13,14.34,"4,721,200"
39,"Dec 28, 2022",14.04,14.10,13.84,13.85,"5,638,700"
40,"Dec 27, 2022",13.98,14.05,13.95,14.00,"3,001,200"
41,"Dec 23, 2022",13.96,14.08,13.90,14.05,"4,230,700"
42,"Dec 22, 2022",14.07,14.08,13.71,13.88,"5,846,500"
43,"Dec 21, 2022",14.25,14.40,14.22,14.33,"4,149,400"
44,"Dec 20, 2022",14.06,14.13,14.01,14.07,"4,093,300"
45,"Dec 19, 2022",14.27,14.31,14.14,14.21,"3,846,300"
46,"Dec 16, 2022",14.30,14.36,14.12,14.14,"5,421,900"
47,"Dec 15, 2022",14.54,14.55,14.35,14.44,"5,446,600"
48,"Dec 14, 2022",14.76,14.84,14.57,14.71,"6,183,300"
49,"Dec 13, 2022",14.98,14.99,14.52,14.64,"8,477,700"
50,"Dec 12, 2022",14.51,14.61,14.42,14.58,"5,608,600"
51,"Dec 09, 2022",14.41,14.55,14.34,14.44,"7,766,700"
52,"Dec 08, 2022",15.05,15.05,14.80,14.84,"5,272,800"
53,"Dec 07, 2022",15.20,15.30,15.12,15.21,"4,891,400"
54,"Dec 06, 2022",15.33,15.39,15.00,15.17,"4,839,200"
55,"Dec 05, 2022",15.44,15.47,15.22,15.25,"5,142,200"
56,"Dec 02, 2022",15.38,15.45,15.30,15.37,"4,926,300"
57,"Dec 01, 2022",15.73,15.87,15.61,15.72,"5,118,500"
58,"Nov 30, 2022",15.39,15.63,15.25,15.62,"7,217,300"
59,"Nov 29, 2022",15.09,15.29,15.08,15.21,"4,881,800"
60,"Nov 28, 2022",15.12,15.22,15.01,15.04,"3,939,200"
61,"Nov 25, 2022",15.07,15.25,15.07,15.21,"2,063,900"
62,"Nov 23, 2022",14.98,15.08,14.91,15.04,"4,603,600"
63,"Nov 22, 2022",15.02,15.20,15.01,15.19,"3,668,900"
64,"Nov 21, 2022",14.85,14.96,14.79,14.91,"4,242,100"
65,"Nov 18, 2022",14.91,14.97,14.78,14.93,"4,804,700"
66,"Nov 17, 2022",14.52,14.78,14.51,14.75,"5,956,100"
67,"Nov 16, 2022",14.79,14.88,14.71,14.83,"7,224,500"
68,"Nov 15, 2022",15.12,15.16,14.67,14.87,"6,897,300"
69,"Nov 14, 2022",14.87,15.01,14.79,14.80,"6,028,800"
70,"Nov 11, 2022",14.58,14.95,14.52,14.87,"6,892,400"
71,"Nov 10, 2022",14.20,14.46,14.13,14.46,"6,825,200"
72,"Nov 09, 2022",13.64,13.83,13.58,13.59,"6,302,900"
73,"Nov 08, 2022",13.73,13.85,13.65,13.80,"8,459,200"
74,"Nov 07, 2022",13.75,13.85,13.62,13.80,"5,769,600"
75,"Nov 04, 2022",13.31,13.61,13.24,13.54,"10,135,700"
76,"Nov 03, 2022",12.87,13.06,12.79,12.91,"11,610,000"
77,"Nov 02, 2022",13.64,13.80,13.32,13.37,"12,782,000"
78,"Nov 01, 2022",13.84,13.87,13.53,13.73,"8,426,300"
79,"Oct 31, 2022",13.37,13.56,13.36,13.52,"6,216,300"
80,"Oct 28, 2022",13.40,13.59,13.39,13.57,"4,822,500"
81,"Oct 27, 2022",13.57,13.73,13.52,13.55,"5,364,300"
82,"Oct 26, 2022",13.56,13.78,13.51,13.62,"5,576,600"
83,"Oct 25, 2022",13.32,13.53,13.32,13.44,"5,467,600"
84,"Oct 24, 2022",13.27,13.45,13.18,13.41,"7,300,000"
85,"Oct 21, 2022",12.65,13.05,12.60,13.04,"5,864,300"
86,"Oct 20, 2022",12.85,13.02,12.70,12.76,"5,415,300"
87,"Oct 19, 2022",12.78,12.84,12.53,12.66,"5,949,400"
88,"Oct 18, 2022",13.05,13.09,12.75,12.92,"9,586,100"
89,"Oct 17, 2022",12.52,12.64,12.48,12.57,"6,569,100"
90,"Oct 14, 2022",12.36,12.40,12.08,12.10,"6,997,100"
91,"Oct 13, 2022",11.64,12.35,11.57,12.30,"7,599,700"
92,"Oct 12, 2022",11.81,11.92,11.73,11.77,"6,275,800"
93,"Oct 11, 2022",11.75,12.08,11.66,11.81,"7,033,200"
94,"Oct 10, 2022",12.00,12.01,11.75,11.86,"8,447,700"
95,"Oct 07, 2022",12.12,12.14,11.85,11.93,"7,648,300"
96,"Oct 06, 2022",12.37,12.45,12.26,12.29,"7,548,400"
97,"Oct 05, 2022",12.34,12.62,12.19,12.55,"6,505,000"
