,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",90.18,91.82,89.81,91.16,"2,451,000"
1,"Feb 23, 2023",91.62,92.56,90.57,92.26,"2,140,700"
2,"Feb 22, 2023",91.08,92.01,90.54,91.14,"3,624,000"
3,"Feb 21, 2023",91.96,93.69,90.07,90.26,"4,763,000"
4,"Feb 17, 2023",96.29,96.43,93.15,94.38,"5,028,700"
5,"Feb 16, 2023",97.73,97.98,96.37,97.15,"3,374,900"
6,"Feb 15, 2023",97.95,100.01,97.73,99.24,"2,440,700"
7,"Feb 14, 2023",99.44,100.61,98.59,99.17,"2,264,700"
8,"Feb 13, 2023",98.65,100.61,98.27,100.52,"2,534,500"
9,"Feb 10, 2023",97.15,98.78,97.09,98.59,"2,387,200"
10,"Feb 09, 2023",98.91,99.20,97.63,97.71,"2,573,800"
11,"Feb 08, 2023",98.89,99.15,96.75,97.41,"3,255,800"
12,"Feb 07, 2023",97.25,100.00,97.05,99.45,"2,603,600"
13,"Feb 06, 2023",98.59,98.96,97.17,98.18,"3,170,000"
14,"Feb 06, 2023",Dividend,,,,
15,"Feb 03, 2023",100.13,101.64,99.21,99.47,"2,655,700"
16,"Feb 02, 2023",101.39,104.14,101.04,102.94,"3,054,200"
17,"Feb 01, 2023",98.00,100.87,96.53,99.90,"2,904,400"
18,"Jan 31, 2023",95.77,98.72,95.42,98.69,"4,081,800"
19,"Jan 30, 2023",95.63,97.17,94.76,94.83,"2,667,300"
20,"Jan 27, 2023",96.32,97.32,95.96,96.52,"2,094,000"
21,"Jan 26, 2023",96.05,97.37,94.86,96.81,"2,225,900"
22,"Jan 25, 2023",95.55,96.22,94.89,95.48,"2,784,800"
23,"Jan 24, 2023",97.10,98.93,95.55,97.00,"4,047,100"
24,"Jan 23, 2023",93.82,96.01,93.75,95.68,"3,143,300"
25,"Jan 20, 2023",92.64,94.56,90.84,94.48,"2,557,500"
26,"Jan 19, 2023",93.94,94.21,91.88,92.02,"3,178,100"
27,"Jan 18, 2023",96.51,97.32,94.39,94.71,"2,434,200"
