,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",94.87,96.57,94.32,95.84,"2,207,800"
1,"Feb 23, 2023",96.94,97.45,95.70,97.15,"1,803,000"
2,"Feb 22, 2023",96.58,97.62,95.75,96.36,"2,386,300"
3,"Feb 21, 2023",97.51,98.71,95.34,95.77,"2,125,000"
4,"Feb 17, 2023",100.46,100.56,97.83,99.09,"2,850,000"
5,"Feb 16, 2023",101.15,101.99,100.36,101.30,"2,422,600"
6,"Feb 15, 2023",102.95,104.85,102.19,103.50,"1,672,000"
7,"Feb 14, 2023",103.65,104.98,102.98,104.07,"1,544,000"
8,"Feb 13, 2023",101.74,104.59,101.43,104.55,"1,893,100"
9,"Feb 10, 2023",100.41,102.32,100.04,101.90,"1,350,800"
10,"Feb 09, 2023",102.24,102.57,100.57,100.87,"1,360,600"
11,"Feb 08, 2023",102.85,102.85,100.56,100.83,"1,626,600"
12,"Feb 07, 2023",101.45,103.75,100.90,103.52,"2,654,300"
13,"Feb 06, 2023",103.64,104.00,102.48,102.73,"1,754,100"
14,"Feb 03, 2023",105.05,106.66,104.09,104.81,"2,070,300"
15,"Feb 02, 2023",106.43,109.28,106.43,108.08,"3,174,500"
16,"Feb 01, 2023",102.21,105.88,100.74,104.69,"2,810,700"
17,"Jan 31, 2023",100.50,102.63,100.50,102.40,"2,472,200"
18,"Jan 30, 2023",99.79,101.70,99.01,99.22,"2,097,100"
19,"Jan 27, 2023",99.72,101.42,99.60,100.61,"1,330,800"
20,"Jan 26, 2023",99.43,100.45,98.17,100.02,"1,382,500"
21,"Jan 26, 2023",Dividend,,,,
22,"Jan 25, 2023",97.97,99.22,97.68,99.04,"2,051,600"
23,"Jan 24, 2023",97.50,99.25,96.81,99.09,"1,996,900"
24,"Jan 23, 2023",96.21,98.35,96.21,97.53,"1,847,000"
25,"Jan 20, 2023",95.98,96.77,94.49,96.69,"1,997,200"
26,"Jan 19, 2023",96.73,97.36,94.86,95.70,"2,322,300"
27,"Jan 18, 2023",100.00,101.27,97.43,97.56,"2,866,900"
28,"Jan 17, 2023",98.47,99.45,98.06,98.78,"2,245,400"
29,"Jan 13, 2023",96.65,99.17,96.38,98.82,"2,291,700"
30,"Jan 12, 2023",99.09,99.78,97.21,99.15,"2,242,900"
31,"Jan 11, 2023",97.68,98.62,96.61,98.58,"2,179,200"
32,"Jan 10, 2023",94.64,96.64,94.21,96.57,"1,694,000"
33,"Jan 09, 2023",95.31,96.79,94.92,95.29,"2,659,000"
34,"Jan 06, 2023",94.35,96.50,94.35,95.66,"1,879,200"
35,"Jan 05, 2023",92.25,94.39,91.82,93.78,"2,052,300"
36,"Jan 04, 2023",93.36,95.03,92.71,93.61,"2,505,400"
37,"Jan 03, 2023",91.69,92.57,90.74,91.98,"2,351,900"
38,"Dec 30, 2022",89.73,90.67,89.73,90.50,"1,079,800"
39,"Dec 29, 2022",89.00,91.04,88.51,90.67,"1,354,400"
40,"Dec 28, 2022",90.80,91.08,88.42,88.50,"1,203,400"
41,"Dec 27, 2022",90.05,91.32,90.05,90.70,"1,088,600"
42,"Dec 23, 2022",90.09,90.84,89.69,90.62,"1,009,700"
43,"Dec 22, 2022",89.61,91.12,89.00,91.04,"1,925,600"
44,"Dec 21, 2022",90.61,91.47,89.85,90.57,"1,758,900"
45,"Dec 20, 2022",89.18,90.25,88.42,89.00,"2,406,000"
46,"Dec 19, 2022",92.50,92.90,89.47,90.10,"3,438,300"
47,"Dec 16, 2022",93.56,93.87,91.49,92.20,"4,492,800"
48,"Dec 15, 2022",88.49,94.82,87.35,94.29,"6,921,800"
49,"Dec 14, 2022",91.24,92.39,89.89,90.82,"3,729,000"
50,"Dec 13, 2022",94.24,95.24,90.26,90.59,"2,674,700"
51,"Dec 12, 2022",88.84,89.25,88.13,89.00,"2,032,900"
52,"Dec 09, 2022",88.29,89.60,88.11,88.50,"2,270,400"
53,"Dec 08, 2022",88.64,90.01,88.05,89.43,"1,673,700"
54,"Dec 07, 2022",86.74,89.31,86.37,89.00,"2,549,900"
55,"Dec 06, 2022",87.80,87.81,84.51,85.90,"2,501,000"
56,"Dec 05, 2022",86.56,88.07,86.18,87.35,"1,761,100"
57,"Dec 02, 2022",86.44,88.39,86.01,88.30,"1,395,800"
58,"Dec 01, 2022",88.95,90.34,87.84,88.16,"1,547,400"
59,"Nov 30, 2022",86.00,87.86,84.45,87.83,"2,975,000"
60,"Nov 29, 2022",84.97,86.53,84.67,86.40,"1,040,000"
61,"Nov 28, 2022",85.84,86.96,84.86,85.35,"1,123,600"
62,"Nov 25, 2022",85.79,86.72,85.77,86.38,"505,900"
63,"Nov 23, 2022",85.19,86.80,84.13,86.46,"1,730,100"
64,"Nov 22, 2022",84.51,85.20,83.90,85.12,"1,892,700"
65,"Nov 21, 2022",84.63,85.06,82.73,83.44,"2,361,400"
66,"Nov 18, 2022",86.49,86.92,83.89,84.71,"1,732,400"
67,"Nov 17, 2022",84.17,85.21,83.09,85.09,"1,192,000"
68,"Nov 16, 2022",87.16,87.71,85.61,86.45,"1,733,900"
69,"Nov 15, 2022",88.50,88.94,85.93,87.75,"1,736,100"
70,"Nov 14, 2022",87.40,87.66,85.70,85.74,"1,675,900"
71,"Nov 11, 2022",88.40,89.09,87.56,88.03,"2,617,700"
72,"Nov 10, 2022",84.38,90.00,84.26,88.40,"4,951,600"
73,"Nov 09, 2022",76.81,81.62,76.79,78.53,"2,618,100"
74,"Nov 08, 2022",79.70,79.92,76.82,77.77,"2,637,700"
75,"Nov 07, 2022",80.09,80.21,77.52,79.25,"1,621,600"
76,"Nov 04, 2022",80.48,81.98,77.93,79.61,"2,164,400"
77,"Nov 03, 2022",78.33,79.86,77.25,79.00,"2,787,900"
78,"Nov 02, 2022",81.28,83.52,79.50,80.00,"3,945,500"
79,"Nov 01, 2022",82.53,82.78,80.15,81.62,"2,882,200"
80,"Oct 31, 2022",80.90,81.07,79.52,80.70,"2,510,800"
81,"Oct 28, 2022",79.26,82.17,79.18,82.04,"1,651,400"
82,"Oct 27, 2022",79.07,81.19,78.58,79.46,"2,324,400"
83,"Oct 26, 2022",78.55,80.06,78.02,78.79,"2,844,200"
84,"Oct 25, 2022",74.93,79.04,74.76,78.60,"2,378,900"
85,"Oct 24, 2022",73.92,74.73,72.83,74.44,"2,073,600"
86,"Oct 21, 2022",70.13,73.59,69.90,73.43,"2,752,800"
87,"Oct 20, 2022",72.70,74.08,71.00,71.38,"1,768,400"
88,"Oct 19, 2022",75.57,75.57,71.91,72.29,"2,370,600"
89,"Oct 18, 2022",76.08,77.19,75.55,76.87,"1,883,400"
90,"Oct 17, 2022",74.77,76.17,74.08,74.49,"1,815,600"
91,"Oct 14, 2022",76.57,77.31,72.92,73.46,"2,070,600"
92,"Oct 13, 2022",74.34,76.96,71.12,76.12,"2,858,400"
93,"Oct 12, 2022",77.77,78.08,76.06,76.51,"2,219,200"
94,"Oct 12, 2022",Dividend,,,,
95,"Oct 11, 2022",77.67,80.40,77.41,78.16,"2,496,800"
96,"Oct 10, 2022",78.70,79.17,77.34,78.18,"1,567,900"
97,"Oct 07, 2022",78.79,78.96,77.31,78.11,"1,908,200"
98,"Oct 06, 2022",79.60,80.97,79.12,80.16,"2,473,700"
99,"Oct 05, 2022",79.50,80.45,78.81,79.85,"1,612,900"
100,"Oct 04, 2022",79.85,81.30,79.62,80.91,"2,354,300"
101,"Oct 03, 2022",75.86,78.55,74.64,78.16,"2,976,800"
102,"Sep 30, 2022",74.89,76.20,73.69,74.55,"2,579,200"
103,"Sep 29, 2022",75.97,76.25,74.49,74.97,"1,806,000"
104,"Sep 28, 2022",74.42,77.98,74.21,77.48,"2,823,100"
105,"Sep 27, 2022",74.73,75.94,72.77,73.47,"2,770,100"
106,"Sep 26, 2022",76.27,77.18,73.59,73.70,"2,963,600"
107,"Sep 23, 2022",76.10,77.12,75.09,77.07,"3,497,800"
108,"Sep 22, 2022",76.31,78.69,76.30,77.43,"4,770,600"
109,"Sep 21, 2022",77.43,78.89,75.78,75.92,"2,398,400"
110,"Sep 20, 2022",76.99,77.87,76.20,76.88,"2,066,700"
111,"Sep 19, 2022",76.78,78.71,76.75,78.47,"3,256,500"
112,"Sep 16, 2022",73.68,76.15,73.42,75.79,"5,339,900"
113,"Sep 15, 2022",73.63,75.31,73.23,73.82,"2,672,200"
114,"Sep 14, 2022",74.45,74.81,72.48,73.44,"3,827,500"
115,"Sep 13, 2022",77.77,77.88,74.15,74.23,"3,646,300"
116,"Sep 12, 2022",80.71,81.73,80.22,80.61,"1,967,300"
117,"Sep 09, 2022",78.64,80.21,78.37,79.82,"1,402,000"
118,"Sep 08, 2022",77.11,78.49,76.44,78.41,"1,598,600"
119,"Sep 07, 2022",76.61,78.21,76.61,77.90,"1,560,500"
120,"Sep 06, 2022",77.81,78.04,75.89,76.54,"2,167,300"
121,"Sep 02, 2022",78.46,79.47,77.24,77.87,"2,384,600"
122,"Sep 01, 2022",76.77,77.50,75.09,77.49,"2,866,700"
123,"Aug 31, 2022",79.59,79.63,77.44,77.45,"2,244,200"
124,"Aug 30, 2022",80.53,80.99,78.57,78.92,"2,140,900"
125,"Aug 29, 2022",79.58,80.92,79.03,79.90,"1,988,400"
126,"Aug 26, 2022",84.95,85.10,79.69,80.33,"3,298,900"
127,"Aug 25, 2022",82.17,85.16,82.17,84.90,"2,644,700"
128,"Aug 24, 2022",81.51,84.99,81.32,83.80,"2,073,400"
129,"Aug 23, 2022",82.65,83.24,82.09,82.11,"1,842,200"
130,"Aug 22, 2022",82.47,83.07,81.87,82.25,"2,385,400"
131,"Aug 19, 2022",84.76,85.00,83.20,83.84,"3,008,400"
132,"Aug 18, 2022",86.47,86.50,85.22,85.65,"1,980,700"
133,"Aug 17, 2022",86.75,87.21,85.36,86.21,"3,445,600"
134,"Aug 16, 2022",87.44,88.97,86.71,88.07,"2,435,100"
135,"Aug 15, 2022",88.01,89.08,87.43,88.08,"2,244,200"
136,"Aug 12, 2022",87.16,88.35,86.78,88.27,"2,078,800"
137,"Aug 11, 2022",87.96,89.31,87.31,87.76,"2,585,900"
138,"Aug 10, 2022",86.81,89.01,86.67,87.28,"2,346,700"
139,"Aug 09, 2022",86.42,86.59,83.79,84.27,"2,396,300"
140,"Aug 08, 2022",85.40,87.51,85.40,86.67,"1,773,000"
141,"Aug 05, 2022",83.57,85.20,83.04,84.73,"2,315,400"
142,"Aug 04, 2022",82.57,85.62,81.93,85.40,"2,826,500"
143,"Aug 03, 2022",82.72,83.41,81.00,82.56,"2,736,800"
144,"Aug 02, 2022",83.94,84.70,81.61,82.00,"3,804,800"
145,"Aug 01, 2022",84.99,86.35,83.72,85.23,"2,702,500"
146,"Jul 29, 2022",85.16,85.16,83.26,85.00,"2,659,900"
147,"Jul 28, 2022",84.00,85.80,83.45,85.20,"3,183,600"
148,"Jul 27, 2022",81.57,83.98,79.94,83.58,"2,955,500"
149,"Jul 26, 2022",80.79,81.61,79.91,81.04,"2,445,100"
150,"Jul 25, 2022",81.89,82.70,80.92,81.61,"3,122,000"
151,"Jul 22, 2022",82.89,85.58,81.91,83.08,"3,245,100"
152,"Jul 21, 2022",78.59,82.18,77.90,82.08,"3,175,000"
153,"Jul 20, 2022",79.63,79.76,78.30,79.17,"2,636,100"
154,"Jul 19, 2022",78.11,79.56,76.95,79.35,"2,317,000"
155,"Jul 18, 2022",78.20,78.95,76.86,77.26,"2,435,300"
156,"Jul 15, 2022",79.36,79.42,76.48,78.09,"1,910,200"
157,"Jul 14, 2022",77.95,78.55,76.27,77.54,"1,769,300"
158,"Jul 13, 2022",75.75,79.05,74.71,78.80,"3,497,500"
159,"Jul 12, 2022",77.70,80.29,77.55,78.29,"3,425,800"
160,"Jul 11, 2022",78.06,79.45,77.89,78.70,"2,407,600"
161,"Jul 08, 2022",76.98,79.05,76.98,78.39,"2,084,800"
162,"Jul 07, 2022",77.10,77.73,75.96,77.70,"2,233,700"
163,"Jul 06, 2022",77.58,77.91,74.86,76.63,"3,335,300"
164,"Jul 06, 2022",Dividend,,,,
165,"Jul 05, 2022",74.05,77.40,73.70,77.39,"5,555,900"
166,"Jul 01, 2022",71.12,74.82,71.12,74.60,"3,534,600"
167,"Jun 30, 2022",68.66,71.18,68.20,70.57,"2,498,400"
168,"Jun 29, 2022",69.40,70.13,67.78,69.64,"1,948,300"
169,"Jun 28, 2022",72.28,73.00,69.65,69.74,"2,126,100"
170,"Jun 27, 2022",71.85,72.93,70.81,71.99,"1,921,200"
171,"Jun 24, 2022",71.42,72.68,70.58,71.93,"3,722,000"
172,"Jun 23, 2022",68.07,71.59,68.00,70.71,"3,575,700"
173,"Jun 22, 2022",65.02,68.71,64.51,67.66,"3,578,200"
174,"Jun 21, 2022",65.95,68.18,63.82,65.65,"5,623,300"
175,"Jun 17, 2022",63.85,65.44,62.54,64.63,"5,452,600"
176,"Jun 16, 2022",67.13,67.27,63.36,64.49,"4,093,300"
177,"Jun 15, 2022",69.83,70.43,67.14,68.97,"3,134,900"
178,"Jun 14, 2022",70.01,71.14,68.64,69.14,"3,178,400"
179,"Jun 13, 2022",71.63,73.98,68.88,70.01,"4,532,400"
180,"Jun 10, 2022",77.64,77.90,74.44,74.45,"2,693,800"
181,"Jun 09, 2022",78.53,80.65,78.51,78.68,"2,703,100"
182,"Jun 08, 2022",80.26,80.64,78.50,79.14,"2,430,600"
183,"Jun 07, 2022",80.08,81.34,79.08,81.21,"1,862,500"
184,"Jun 06, 2022",80.36,81.42,79.56,81.06,"2,087,900"
185,"Jun 03, 2022",78.95,80.81,78.40,80.19,"1,285,200"
186,"Jun 02, 2022",80.22,80.84,78.90,80.15,"1,992,900"
187,"Jun 01, 2022",80.70,80.85,79.27,79.63,"1,471,300"
188,"May 31, 2022",80.14,80.91,79.20,80.25,"2,667,400"
189,"May 27, 2022",79.44,81.24,78.76,81.17,"1,588,200"
190,"May 26, 2022",76.30,79.26,76.30,78.91,"2,150,700"
191,"May 25, 2022",71.93,76.06,71.74,75.73,"2,141,500"
192,"May 24, 2022",73.59,73.90,70.56,71.99,"2,165,100"
193,"May 23, 2022",75.00,75.72,73.36,74.15,"2,068,500"
194,"May 20, 2022",74.06,74.57,72.06,74.44,"2,396,600"
195,"May 19, 2022",72.14,74.41,72.10,72.67,"2,243,700"
196,"May 18, 2022",75.72,75.72,71.99,72.40,"2,586,700"
197,"May 17, 2022",77.06,77.69,75.10,77.52,"1,759,100"
198,"May 16, 2022",76.40,76.70,72.72,75.39,"2,101,300"
199,"May 13, 2022",75.03,77.21,74.50,76.76,"2,731,300"
200,"May 12, 2022",71.00,75.86,70.68,74.37,"3,103,700"
201,"May 11, 2022",75.38,75.74,70.67,71.30,"3,385,900"
202,"May 10, 2022",78.82,79.09,74.96,75.76,"2,693,800"
203,"May 09, 2022",77.08,80.16,76.44,77.28,"2,707,100"
204,"May 06, 2022",77.52,79.15,75.32,78.54,"3,093,400"
205,"May 05, 2022",81.00,82.06,77.69,78.80,"3,435,900"
206,"May 04, 2022",79.20,83.63,77.51,83.43,"3,375,100"
207,"May 03, 2022",78.10,79.35,77.05,79.19,"2,404,100"
208,"May 02, 2022",76.36,78.01,75.24,77.88,"2,675,500"
209,"Apr 29, 2022",78.19,79.10,76.11,76.49,"2,746,000"
210,"Apr 28, 2022",77.34,79.37,75.38,78.59,"2,579,100"
211,"Apr 27, 2022",77.60,78.64,75.46,75.79,"2,659,800"
212,"Apr 26, 2022",78.84,80.39,77.20,77.22,"2,363,100"
213,"Apr 25, 2022",76.10,79.94,75.55,79.60,"2,533,900"
214,"Apr 25, 2022",Dividend,,,,
215,"Apr 22, 2022",78.60,78.66,76.82,76.98,"1,944,300"
216,"Apr 21, 2022",81.33,81.85,78.40,79.02,"2,486,200"
217,"Apr 20, 2022",79.84,81.23,79.44,79.81,"2,227,500"
218,"Apr 19, 2022",76.24,79.89,76.18,79.55,"2,642,300"
219,"Apr 18, 2022",76.16,77.59,75.49,76.02,"1,731,500"
220,"Apr 14, 2022",78.20,79.30,76.44,76.77,"2,059,200"
221,"Apr 13, 2022",75.68,78.55,75.68,77.97,"2,412,900"
222,"Apr 12, 2022",78.53,79.69,75.97,76.51,"3,308,600"
223,"Apr 11, 2022",74.40,77.41,74.13,76.32,"3,129,400"
224,"Apr 08, 2022",74.58,77.08,74.05,74.92,"3,268,000"
225,"Apr 07, 2022",75.00,76.07,73.01,74.67,"3,881,200"
226,"Apr 06, 2022",77.75,77.88,75.07,75.45,"5,153,200"
227,"Apr 05, 2022",81.79,82.76,78.54,78.87,"4,400,900"
228,"Apr 04, 2022",82.46,82.92,81.70,82.31,"3,084,000"
229,"Apr 01, 2022",82.27,83.21,81.10,82.33,"3,556,600"
230,"Mar 31, 2022",83.57,84.62,81.09,81.17,"3,836,200"
231,"Mar 30, 2022",85.68,85.84,83.54,84.15,"3,277,600"
232,"Mar 29, 2022",83.40,86.18,83.40,85.74,"3,959,600"
233,"Mar 28, 2022",82.71,83.87,81.58,82.51,"3,988,300"
234,"Mar 25, 2022",84.27,84.78,81.92,82.78,"3,949,300"
235,"Mar 24, 2022",84.45,85.70,83.22,83.88,"4,077,900"
236,"Mar 23, 2022",87.17,87.39,84.76,84.87,"2,690,000"
237,"Mar 22, 2022",88.89,90.12,87.18,88.33,"2,229,300"
238,"Mar 21, 2022",91.75,92.19,87.35,88.22,"3,268,200"
239,"Mar 18, 2022",87.42,92.86,87.42,92.54,"5,856,700"
240,"Mar 17, 2022",89.28,90.61,86.81,89.29,"3,554,500"
241,"Mar 16, 2022",87.20,89.51,83.87,88.51,"3,429,700"
242,"Mar 15, 2022",83.75,86.48,83.57,86.27,"2,092,800"
243,"Mar 14, 2022",86.84,86.84,82.52,83.34,"2,689,500"
244,"Mar 11, 2022",88.57,88.98,86.49,86.57,"1,496,900"
245,"Mar 10, 2022",85.26,88.32,85.15,88.09,"2,674,200"
246,"Mar 09, 2022",86.08,88.68,85.84,87.50,"2,290,600"
247,"Mar 08, 2022",83.02,87.52,82.03,83.75,"2,081,300"
248,"Mar 07, 2022",89.33,90.12,83.06,83.26,"2,949,200"
249,"Mar 04, 2022",90.17,90.42,88.05,89.14,"2,046,400"
250,"Mar 03, 2022",93.11,93.11,89.21,89.89,"2,016,500"
251,"Mar 02, 2022",91.05,92.99,90.53,92.05,"1,665,800"
252,"Mar 01, 2022",90.24,91.78,89.03,90.34,"2,618,800"
253,"Feb 28, 2022",89.92,91.47,89.13,89.88,"3,048,900"
254,"Feb 25, 2022",86.39,91.12,86.39,90.83,"3,085,900"
255,"Feb 24, 2022",79.95,88.50,79.52,87.74,"4,908,000"
256,"Feb 23, 2022",86.56,86.74,82.05,82.33,"3,062,200"
257,"Feb 22, 2022",88.00,89.20,85.26,86.09,"2,344,700"
258,"Feb 18, 2022",89.55,90.47,88.40,89.43,"2,124,700"
259,"Feb 17, 2022",91.73,92.00,89.29,89.33,"2,279,400"
260,"Feb 16, 2022",91.29,92.40,90.45,92.02,"2,037,700"
