,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",105.79,108.06,104.63,107.60,"403,700"
1,"Feb 23, 2023",108.00,109.26,106.55,108.69,"279,300"
2,"Feb 22, 2023",107.72,108.17,105.88,107.35,"662,100"
3,"Feb 21, 2023",106.07,108.77,106.07,106.99,"576,100"
4,"Feb 17, 2023",110.21,110.44,105.28,109.03,"545,500"
5,"Feb 16, 2023",110.69,112.04,109.92,110.78,"384,300"
6,"Feb 15, 2023",112.83,114.81,112.47,113.16,"342,700"
7,"Feb 14, 2023",114.16,115.53,112.56,114.50,"349,000"
8,"Feb 13, 2023",112.32,115.72,111.71,115.57,"337,400"
9,"Feb 10, 2023",111.32,113.65,111.32,112.64,"438,800"
10,"Feb 09, 2023",112.14,113.22,111.08,111.78,"554,100"
11,"Feb 08, 2023",112.88,113.32,109.50,110.71,"301,300"
12,"Feb 07, 2023",110.43,114.62,109.69,114.01,"500,900"
13,"Feb 06, 2023",111.47,111.97,109.78,110.34,"354,100"
14,"Feb 03, 2023",113.07,115.28,112.00,113.32,"509,200"
15,"Feb 02, 2023",108.89,117.22,108.27,116.59,"764,500"
16,"Feb 01, 2023",107.33,110.52,105.24,109.53,"638,900"
17,"Jan 31, 2023",104.20,107.86,104.01,107.69,"760,300"
18,"Jan 30, 2023",104.95,106.72,103.26,103.41,"327,500"
19,"Jan 27, 2023",105.46,107.17,105.46,106.59,"281,100"
20,"Jan 26, 2023",104.40,106.41,103.00,105.82,"354,400"
21,"Jan 25, 2023",101.94,104.94,101.94,104.40,"393,000"
22,"Jan 24, 2023",100.98,102.87,99.92,102.83,"264,900"
23,"Jan 23, 2023",99.80,101.48,99.31,100.81,"247,200"
24,"Jan 20, 2023",98.20,100.22,96.27,100.18,"456,000"
25,"Jan 19, 2023",98.93,98.93,96.68,97.85,"374,400"
26,"Jan 18, 2023",100.89,102.98,99.04,99.39,"262,700"
27,"Jan 17, 2023",100.72,101.44,99.76,99.86,"413,300"
28,"Jan 13, 2023",99.45,102.13,99.45,101.03,"494,000"
29,"Jan 12, 2023",101.18,102.07,99.35,100.92,"324,000"
30,"Jan 11, 2023",100.20,101.27,99.77,100.90,"309,600"
31,"Jan 10, 2023",98.56,99.50,97.79,98.96,"372,400"
32,"Jan 09, 2023",100.00,101.34,98.85,99.38,"291,800"
33,"Jan 06, 2023",98.71,100.86,98.43,99.80,"290,300"
34,"Jan 05, 2023",95.92,98.80,95.42,97.83,"436,400"
35,"Jan 04, 2023",95.53,98.63,95.34,97.03,"481,400"
36,"Jan 03, 2023",93.86,94.67,92.29,93.30,"298,700"
37,"Dec 30, 2022",91.21,92.57,90.99,92.20,"245,600"
38,"Dec 29, 2022",90.08,92.81,88.80,92.42,"231,400"
39,"Dec 28, 2022",92.49,92.58,89.33,89.46,"298,300"
40,"Dec 27, 2022",92.00,92.67,91.23,92.06,"216,900"
41,"Dec 23, 2022",92.12,92.31,90.88,92.26,"238,800"
42,"Dec 22, 2022",90.68,92.79,89.87,92.78,"275,100"
43,"Dec 21, 2022",90.55,91.86,90.01,91.86,"253,600"
44,"Dec 20, 2022",89.35,90.36,88.29,89.31,"255,800"
45,"Dec 19, 2022",91.75,92.71,90.02,90.10,"379,800"
46,"Dec 16, 2022",93.28,94.10,91.75,92.33,"1,241,800"
47,"Dec 15, 2022",89.78,94.86,89.01,94.33,"528,800"
48,"Dec 14, 2022",92.48,93.80,91.26,91.97,"323,300"
49,"Dec 13, 2022",95.59,97.01,91.26,91.82,"645,500"
50,"Dec 12, 2022",88.17,89.64,88.00,89.36,"242,300"
51,"Dec 09, 2022",86.79,88.48,86.79,87.79,"239,500"
52,"Dec 08, 2022",87.99,89.41,87.02,88.02,"220,300"
53,"Dec 07, 2022",86.03,88.53,85.30,88.18,"276,500"
54,"Dec 06, 2022",86.02,86.45,84.46,85.55,"326,900"
55,"Dec 05, 2022",84.93,85.85,84.42,85.80,"208,500"
56,"Dec 02, 2022",85.01,87.50,84.72,86.65,"167,700"
57,"Dec 01, 2022",87.63,89.73,86.50,87.05,"219,100"
58,"Nov 30, 2022",84.08,86.43,82.27,86.41,"278,900"
59,"Nov 29, 2022",84.10,85.41,83.59,84.66,"208,700"
60,"Nov 28, 2022",85.62,86.68,84.18,84.93,"232,800"
61,"Nov 25, 2022",85.33,86.41,85.33,86.03,"94,600"
62,"Nov 23, 2022",83.45,86.08,82.96,85.77,"221,000"
63,"Nov 22, 2022",82.00,83.63,81.68,83.61,"210,000"
64,"Nov 21, 2022",81.23,81.62,80.25,81.05,"180,500"
