,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",12.16,12.19,12.10,12.14,"14,500"
1,"Feb 23, 2023",12.28,12.31,12.20,12.29,"11,400"
2,"Feb 22, 2023",12.18,12.18,12.11,12.12,"15,200"
3,"Feb 21, 2023",12.08,12.20,12.05,12.13,"10,400"
4,"Feb 17, 2023",11.86,11.93,11.86,11.86,"7,300"
5,"Feb 16, 2023",11.74,11.76,11.74,11.76,"4,200"
6,"Feb 15, 2023",11.80,11.84,11.74,11.76,"10,200"
7,"Feb 14, 2023",11.90,11.99,11.90,11.90,"10,700"
8,"Feb 13, 2023",11.98,11.98,11.89,11.95,"15,000"
9,"Feb 10, 2023",12.02,12.02,11.98,11.99,"20,300"
10,"Feb 09, 2023",12.13,12.19,12.11,12.19,"2,500"
11,"Feb 08, 2023",12.22,12.22,12.01,12.14,"4,300"
12,"Feb 07, 2023",12.12,12.25,12.12,12.25,"10,800"
13,"Feb 06, 2023",12.14,12.22,12.14,12.17,"10,600"
14,"Feb 03, 2023",12.20,12.25,12.14,12.14,"10,700"
15,"Feb 02, 2023",12.47,12.47,12.36,12.39,"20,400"
16,"Feb 01, 2023",12.23,12.35,12.22,12.35,"11,500"
17,"Jan 31, 2023",12.38,12.42,12.38,12.42,"13,300"
18,"Jan 30, 2023",12.48,12.48,12.12,12.16,"55,300"
19,"Jan 27, 2023",12.80,12.80,12.70,12.73,"3,400"
20,"Jan 26, 2023",12.67,12.71,12.65,12.71,"2,500"
21,"Jan 25, 2023",12.76,12.98,12.70,12.85,"10,900"
22,"Jan 24, 2023",12.92,12.98,12.63,12.82,"17,200"
23,"Jan 23, 2023",12.90,12.97,12.63,12.91,"16,500"
24,"Jan 20, 2023",12.78,12.91,12.67,12.91,"5,400"
25,"Jan 19, 2023",12.59,12.59,12.42,12.47,"10,800"
26,"Jan 18, 2023",12.52,12.70,12.52,12.70,"3,100"
27,"Jan 17, 2023",12.57,12.68,12.57,12.68,"8,800"
28,"Jan 13, 2023",12.61,12.66,12.59,12.66,"10,700"
29,"Jan 12, 2023",12.49,12.62,12.48,12.57,"29,900"
30,"Jan 11, 2023",12.33,12.54,12.33,12.50,"32,500"
31,"Jan 10, 2023",11.86,11.95,11.85,11.88,"11,100"
32,"Jan 09, 2023",11.78,11.79,11.72,11.77,"42,300"
33,"Jan 06, 2023",11.66,11.77,11.66,11.74,"4,400"
34,"Jan 05, 2023",11.69,11.75,11.69,11.74,"42,000"
35,"Jan 04, 2023",11.55,11.76,11.55,11.72,"57,400"
36,"Jan 03, 2023",11.74,11.78,11.63,11.78,"38,400"
37,"Dec 30, 2022",11.41,11.47,11.41,11.46,"9,000"
38,"Dec 29, 2022",11.52,11.53,11.49,11.53,"38,300"
39,"Dec 28, 2022",11.64,11.66,11.56,11.58,"23,200"
40,"Dec 27, 2022",11.52,11.66,11.52,11.58,"24,800"
41,"Dec 23, 2022",11.33,11.63,11.33,11.50,"7,100"
42,"Dec 22, 2022",11.83,11.83,11.26,11.42,"10,700"
43,"Dec 21, 2022",11.50,11.58,11.46,11.48,"24,600"
44,"Dec 20, 2022",11.40,11.50,11.39,11.42,"196,500"
45,"Dec 19, 2022",11.56,11.56,11.47,11.52,"130,100"
46,"Dec 16, 2022",11.58,11.84,11.58,11.59,"5,400"
47,"Dec 15, 2022",11.60,11.65,11.48,11.56,"10,200"
48,"Dec 14, 2022",11.22,11.78,11.22,11.63,"19,000"
49,"Dec 13, 2022",11.35,11.61,11.35,11.50,"30,900"
50,"Dec 12, 2022",11.49,11.52,11.45,11.45,"10,000"
51,"Dec 09, 2022",11.53,11.54,11.44,11.44,"14,800"
52,"Dec 08, 2022",11.44,11.48,11.38,11.41,"7,400"
53,"Dec 07, 2022",11.65,11.66,11.49,11.50,"26,500"
54,"Dec 06, 2022",11.89,11.94,11.79,11.83,"12,400"
55,"Dec 05, 2022",11.74,11.82,11.65,11.74,"8,000"
56,"Dec 02, 2022",11.42,11.70,11.42,11.62,"24,900"
57,"Dec 01, 2022",11.97,12.00,11.88,11.88,"18,000"
58,"Nov 30, 2022",12.25,12.33,12.14,12.28,"31,500"
59,"Nov 29, 2022",11.74,12.12,11.70,11.70,"33,900"
60,"Nov 28, 2022",11.70,11.87,11.70,11.82,"16,000"
61,"Nov 25, 2022",11.81,12.02,11.81,11.88,"19,200"
62,"Nov 23, 2022",11.45,11.62,11.45,11.55,"5,900"
63,"Nov 22, 2022",11.22,11.44,11.22,11.25,"15,100"
64,"Nov 21, 2022",10.82,11.25,10.82,11.17,"24,000"
65,"Nov 18, 2022",11.10,11.30,11.10,11.18,"19,000"
66,"Nov 17, 2022",11.14,11.30,11.14,11.25,"7,100"
67,"Nov 16, 2022",11.47,11.47,11.36,11.40,"46,200"
68,"Nov 15, 2022",11.39,11.53,11.34,11.43,"30,200"
69,"Nov 14, 2022",11.40,11.46,11.35,11.35,"14,900"
70,"Nov 11, 2022",11.71,11.78,11.64,11.78,"13,400"
71,"Nov 10, 2022",11.84,12.27,11.84,11.87,"37,800"
72,"Nov 09, 2022",11.39,11.39,11.22,11.22,"22,000"
73,"Nov 08, 2022",11.43,11.54,11.43,11.46,"35,100"
74,"Nov 07, 2022",11.54,11.54,11.16,11.43,"21,700"
75,"Nov 04, 2022",11.30,11.39,11.26,11.37,"14,200"
76,"Nov 03, 2022",10.81,10.96,10.75,10.96,"14,600"
77,"Nov 02, 2022",10.76,10.76,10.61,10.64,"34,800"
