,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",11.71,11.75,11.60,11.67,"475,700"
1,"Feb 23, 2023",11.93,11.97,11.76,11.97,"542,500"
2,"Feb 22, 2023",11.78,11.92,11.74,11.80,"621,600"
3,"Feb 21, 2023",12.19,12.23,12.00,12.01,"861,000"
4,"Feb 17, 2023",12.16,12.29,12.11,12.27,"354,300"
5,"Feb 16, 2023",11.99,12.27,11.99,12.18,"735,800"
6,"Feb 15, 2023",12.03,12.30,11.97,12.30,"1,196,700"
7,"Feb 14, 2023",12.35,12.73,12.34,12.62,"1,010,200"
8,"Feb 13, 2023",12.40,12.55,12.37,12.52,"421,000"
9,"Feb 10, 2023",12.49,12.52,12.29,12.35,"489,400"
10,"Feb 09, 2023",13.01,13.01,12.61,12.64,"717,700"
11,"Feb 08, 2023",13.21,13.25,13.09,13.17,"1,896,200"
12,"Feb 07, 2023",13.11,13.33,13.04,13.27,"596,300"
13,"Feb 06, 2023",13.07,13.14,12.94,13.12,"1,295,100"
14,"Feb 03, 2023",13.34,13.54,13.25,13.28,"764,700"
15,"Feb 02, 2023",13.50,13.50,13.19,13.25,"1,626,900"
16,"Feb 01, 2023",13.45,13.61,13.22,13.52,"449,300"
17,"Jan 31, 2023",13.23,13.39,13.18,13.33,"489,800"
18,"Jan 30, 2023",13.50,13.61,13.50,13.52,"199,200"
19,"Jan 27, 2023",13.55,13.62,13.39,13.54,"965,600"
20,"Jan 26, 2023",13.58,13.65,13.41,13.63,"734,300"
21,"Jan 25, 2023",13.68,13.86,13.62,13.84,"544,700"
22,"Jan 24, 2023",13.75,13.96,13.67,13.92,"598,900"
23,"Jan 23, 2023",14.27,14.33,14.15,14.28,"667,900"
24,"Jan 20, 2023",14.07,14.31,14.03,14.31,"561,600"
25,"Jan 19, 2023",13.78,14.10,13.76,14.07,"912,700"
26,"Jan 18, 2023",14.10,14.41,13.96,13.98,"1,495,900"
27,"Jan 17, 2023",13.41,13.53,13.36,13.42,"1,353,000"
28,"Jan 13, 2023",13.46,13.69,13.46,13.68,"1,367,300"
29,"Jan 12, 2023",13.08,13.31,12.87,13.28,"1,060,200"
30,"Jan 11, 2023",13.20,13.21,12.88,13.04,"663,400"
31,"Jan 10, 2023",13.07,13.10,12.88,13.10,"723,700"
32,"Jan 09, 2023",13.15,13.26,13.05,13.05,"763,100"
33,"Jan 06, 2023",12.46,12.75,12.43,12.75,"559,600"
34,"Jan 05, 2023",12.11,12.26,12.06,12.23,"973,500"
35,"Jan 04, 2023",12.47,12.47,12.11,12.18,"2,024,400"
36,"Jan 03, 2023",13.23,13.36,12.92,13.00,"447,300"
37,"Dec 30, 2022",13.09,13.38,13.09,13.32,"172,800"
38,"Dec 29, 2022",13.47,13.48,13.38,13.39,"146,200"
39,"Dec 28, 2022",13.74,13.74,13.35,13.41,"355,800"
40,"Dec 27, 2022",13.52,13.65,13.50,13.65,"266,000"
41,"Dec 23, 2022",13.25,13.47,13.25,13.44,"199,900"
42,"Dec 22, 2022",13.46,13.46,13.20,13.38,"337,700"
43,"Dec 21, 2022",13.37,13.55,13.35,13.52,"397,300"
44,"Dec 20, 2022",13.21,13.36,13.18,13.32,"657,300"
45,"Dec 19, 2022",13.06,13.13,12.91,12.97,"263,300"
46,"Dec 16, 2022",12.90,12.98,12.81,12.91,"410,700"
47,"Dec 15, 2022",13.15,13.15,12.92,12.95,"591,700"
48,"Dec 14, 2022",13.35,13.47,13.20,13.45,"696,900"
49,"Dec 13, 2022",13.56,13.65,13.30,13.34,"443,700"
50,"Dec 12, 2022",13.28,13.30,13.04,13.12,"502,300"
51,"Dec 09, 2022",13.30,13.34,13.15,13.15,"216,000"
52,"Dec 08, 2022",13.41,13.48,13.33,13.36,"299,400"
53,"Dec 07, 2022",13.14,13.32,13.10,13.17,"495,600"
54,"Dec 06, 2022",13.39,13.55,13.27,13.50,"663,800"
55,"Dec 05, 2022",13.84,13.90,13.50,13.51,"271,800"
56,"Dec 02, 2022",13.46,13.75,13.43,13.71,"310,400"
57,"Dec 01, 2022",13.66,13.72,13.50,13.58,"277,600"
58,"Nov 30, 2022",13.50,13.66,13.32,13.50,"784,000"
59,"Nov 29, 2022",13.06,13.20,13.06,13.19,"527,200"
60,"Nov 28, 2022",12.72,13.00,12.69,12.82,"363,600"
61,"Nov 25, 2022",12.85,12.91,12.80,12.81,"154,200"
62,"Nov 23, 2022",12.66,12.82,12.61,12.82,"371,500"
63,"Nov 22, 2022",12.19,12.28,12.14,12.28,"372,000"
64,"Nov 21, 2022",11.76,11.87,11.63,11.85,"572,400"
65,"Nov 18, 2022",12.00,12.04,11.88,12.00,"370,700"
66,"Nov 17, 2022",11.93,12.17,11.91,12.17,"226,400"
67,"Nov 16, 2022",12.25,12.29,12.15,12.20,"452,600"
68,"Nov 15, 2022",12.32,12.34,12.15,12.23,"498,600"
69,"Nov 14, 2022",11.88,12.04,11.85,11.92,"1,294,200"
70,"Nov 11, 2022",11.86,12.02,11.73,11.91,"617,900"
