,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",17.20,17.25,16.98,17.20,"408,800"
1,"Feb 23, 2023",18.53,18.58,17.96,18.17,"152,100"
2,"Feb 22, 2023",18.49,18.69,18.21,18.47,"138,400"
3,"Feb 21, 2023",19.19,19.25,18.91,18.91,"137,500"
4,"Feb 17, 2023",19.31,19.42,19.14,19.39,"129,000"
5,"Feb 16, 2023",19.23,19.81,19.23,19.54,"110,600"
6,"Feb 15, 2023",18.83,19.52,18.81,19.49,"81,700"
7,"Feb 14, 2023",19.44,19.82,19.39,19.76,"87,900"
8,"Feb 13, 2023",19.50,19.68,19.40,19.65,"188,900"
9,"Feb 10, 2023",19.68,19.68,19.39,19.45,"954,500"
10,"Feb 09, 2023",20.65,20.65,20.06,20.08,"394,900"
11,"Feb 08, 2023",20.20,20.32,20.06,20.17,"208,700"
12,"Feb 07, 2023",20.33,20.63,20.17,20.55,"429,700"
13,"Feb 06, 2023",20.23,20.29,20.02,20.24,"218,000"
14,"Feb 03, 2023",20.55,20.83,20.48,20.56,"174,500"
15,"Feb 02, 2023",21.16,21.20,20.46,20.70,"186,000"
16,"Feb 01, 2023",21.03,21.47,20.72,21.17,"285,100"
17,"Jan 31, 2023",21.10,21.57,21.03,21.55,"166,600"
18,"Jan 30, 2023",21.83,22.06,21.76,21.82,"130,900"
19,"Jan 27, 2023",22.27,22.27,21.82,22.17,"169,900"
20,"Jan 26, 2023",22.51,22.52,22.17,22.51,"82,800"
21,"Jan 25, 2023",22.15,22.54,22.09,22.46,"134,700"
22,"Jan 24, 2023",21.85,22.29,21.70,22.26,"207,100"
23,"Jan 23, 2023",22.36,22.46,22.19,22.45,"188,300"
24,"Jan 20, 2023",22.04,22.37,21.97,22.31,"207,900"
25,"Jan 19, 2023",22.11,22.39,22.00,22.35,"303,800"
26,"Jan 18, 2023",22.60,22.95,22.29,22.35,"504,200"
27,"Jan 17, 2023",21.89,22.07,21.75,21.98,"426,800"
28,"Jan 13, 2023",21.67,21.97,21.67,21.97,"103,500"
29,"Jan 12, 2023",22.00,22.20,21.57,22.19,"171,800"
30,"Jan 11, 2023",21.70,21.74,21.34,21.55,"77,000"
31,"Jan 10, 2023",21.27,21.39,21.08,21.35,"251,400"
32,"Jan 09, 2023",21.69,21.93,21.57,21.57,"92,900"
33,"Jan 06, 2023",20.61,21.35,20.46,21.31,"206,800"
34,"Jan 05, 2023",19.70,19.91,19.52,19.86,"135,000"
35,"Jan 04, 2023",19.30,19.38,19.06,19.21,"124,800"
36,"Jan 03, 2023",19.48,19.74,19.43,19.53,"73,700"
37,"Dec 30, 2022",19.50,19.61,19.18,19.61,"71,800"
38,"Dec 29, 2022",19.67,19.80,19.58,19.62,"106,900"
39,"Dec 28, 2022",20.14,20.17,19.67,19.69,"103,200"
40,"Dec 27, 2022",20.40,20.40,19.59,19.59,"151,800"
41,"Dec 23, 2022",19.15,19.85,19.15,19.71,"139,800"
