,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",69.27,69.40,68.40,68.90,"3,983,500"
1,"Feb 23, 2023",72.31,72.41,70.45,71.49,"3,770,200"
2,"Feb 22, 2023",73.35,73.63,72.04,72.85,"3,883,200"
3,"Feb 21, 2023",76.13,76.54,75.13,75.38,"2,769,100"
4,"Feb 17, 2023",74.15,74.53,73.84,74.44,"2,196,400"
5,"Feb 16, 2023",74.07,75.44,73.90,74.91,"2,090,600"
6,"Feb 15, 2023",72.21,74.46,72.00,74.43,"2,433,500"
7,"Feb 14, 2023",74.04,75.02,73.78,74.70,"2,168,000"
8,"Feb 13, 2023",73.06,74.03,72.88,74.00,"1,905,200"
9,"Feb 10, 2023",73.20,73.34,72.45,73.32,"3,049,400"
10,"Feb 09, 2023",75.77,75.78,74.15,74.37,"1,938,100"
11,"Feb 08, 2023",74.53,74.86,74.01,74.35,"2,226,200"
12,"Feb 07, 2023",74.09,75.11,73.45,74.64,"2,630,100"
13,"Feb 06, 2023",73.82,74.00,73.07,73.88,"2,412,500"
14,"Feb 03, 2023",75.34,76.09,74.60,74.71,"3,000,200"
15,"Feb 02, 2023",77.06,77.11,74.71,75.15,"5,612,600"
16,"Feb 01, 2023",78.09,79.39,76.95,79.09,"4,121,300"
17,"Jan 31, 2023",78.41,79.40,78.13,79.35,"2,032,000"
18,"Jan 30, 2023",78.98,79.74,78.93,78.93,"2,394,900"
19,"Jan 27, 2023",79.28,79.82,77.75,79.61,"4,268,000"
20,"Jan 26, 2023",80.28,80.52,79.32,80.40,"2,908,000"
21,"Jan 25, 2023",78.56,79.94,78.54,79.88,"2,161,400"
22,"Jan 24, 2023",79.83,79.83,77.29,78.99,"2,305,100"
23,"Jan 23, 2023",78.58,78.78,78.13,78.76,"2,369,600"
24,"Jan 20, 2023",77.25,78.38,77.04,78.38,"3,670,400"
25,"Jan 19, 2023",76.42,77.83,76.29,77.32,"3,609,200"
26,"Jan 18, 2023",77.72,78.16,76.36,76.40,"3,624,600"
27,"Jan 17, 2023",76.46,76.53,75.75,75.97,"2,624,200"
28,"Jan 13, 2023",76.92,77.56,76.80,77.55,"2,204,600"
29,"Jan 12, 2023",77.21,77.72,75.75,77.68,"4,020,800"
30,"Jan 11, 2023",76.28,76.35,75.17,75.35,"2,356,600"
31,"Jan 10, 2023",74.92,75.65,74.35,75.61,"2,221,400"
32,"Jan 09, 2023",74.90,75.35,74.11,74.15,"3,126,800"
33,"Jan 06, 2023",72.80,74.20,72.56,74.07,"2,810,100"
34,"Jan 05, 2023",71.63,72.15,71.23,71.95,"1,581,800"
35,"Jan 04, 2023",71.52,71.68,70.93,71.54,"1,734,100"
36,"Jan 03, 2023",71.03,71.79,70.62,71.06,"1,979,000"
37,"Dec 30, 2022",70.93,71.53,70.60,71.20,"1,122,400"
38,"Dec 29, 2022",71.34,71.62,70.99,71.09,"1,968,900"
39,"Dec 28, 2022",72.03,72.14,70.55,70.63,"1,903,800"
40,"Dec 27, 2022",71.49,71.81,71.23,71.43,"1,444,000"
41,"Dec 23, 2022",70.67,70.95,70.30,70.79,"1,407,100"
42,"Dec 22, 2022",70.12,70.34,69.31,70.29,"2,109,600"
43,"Dec 21, 2022",70.53,71.07,70.32,70.74,"2,350,500"
44,"Dec 20, 2022",69.35,70.09,69.32,69.63,"2,142,000"
45,"Dec 19, 2022",69.36,69.85,68.61,68.86,"2,343,600"
46,"Dec 16, 2022",69.16,69.56,68.80,69.43,"3,987,800"
47,"Dec 15, 2022",71.32,71.32,69.90,70.45,"3,472,400"
48,"Dec 14, 2022",70.65,71.19,69.90,70.72,"3,312,700"
49,"Dec 13, 2022",73.23,73.35,71.22,71.61,"4,019,300"
50,"Dec 12, 2022",71.61,71.72,70.36,71.13,"3,498,600"
51,"Dec 09, 2022",72.35,73.11,72.30,72.49,"3,386,800"
52,"Dec 08, 2022",71.31,72.05,71.06,71.80,"3,021,600"
53,"Dec 07, 2022",69.41,70.27,69.41,69.85,"3,027,500"
54,"Dec 06, 2022",70.34,70.70,69.66,70.34,"3,863,100"
55,"Dec 05, 2022",71.28,71.66,69.26,69.46,"3,487,300"
56,"Dec 02, 2022",68.36,70.07,68.36,69.82,"3,632,100"
57,"Dec 01, 2022",69.42,70.05,68.99,69.18,"4,277,300"
58,"Nov 30, 2022",68.38,68.94,67.29,68.64,"4,925,200"
59,"Nov 29, 2022",67.09,68.10,67.01,67.86,"3,820,100"
60,"Nov 28, 2022",65.51,66.20,65.15,65.20,"2,748,700"
61,"Nov 25, 2022",66.14,66.28,65.70,65.73,"1,079,600"
62,"Nov 23, 2022",65.36,66.24,65.29,66.14,"2,248,900"
63,"Nov 22, 2022",64.85,65.43,64.50,65.20,"3,134,100"
64,"Nov 21, 2022",63.50,64.53,62.63,64.28,"3,985,900"
65,"Nov 18, 2022",64.99,65.35,64.64,65.19,"2,786,300"
66,"Nov 17, 2022",63.10,64.95,62.97,64.93,"3,515,800"
67,"Nov 16, 2022",64.82,65.08,64.16,64.51,"2,862,800"
