,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",1.5100,1.5400,1.5100,1.5200,"25,700"
1,"Feb 23, 2023",1.6000,1.6000,1.6000,1.6000,
2,"Feb 22, 2023",1.6100,1.6100,1.6000,1.6000,200
3,"Feb 21, 2023",1.6200,1.6500,1.5600,1.5700,"18,300"
4,"Feb 17, 2023",1.5300,1.5300,1.5300,1.5300,"9,300"
5,"Feb 16, 2023",1.5100,1.5200,1.5100,1.5200,"1,200"
6,"Feb 15, 2023",1.5500,1.5500,1.5100,1.5300,"39,400"
7,"Feb 14, 2023",1.5600,1.5900,1.5600,1.5600,"15,300"
8,"Feb 13, 2023",1.5300,1.5300,1.5100,1.5100,"10,300"
9,"Feb 10, 2023",1.5200,1.5200,1.5200,1.5200,500
10,"Feb 09, 2023",1.5200,1.5200,1.5200,1.5200,"1,000"
11,"Feb 08, 2023",1.5200,1.5200,1.5200,1.5200,"2,500"
12,"Feb 07, 2023",1.5600,1.5600,1.5600,1.5600,"6,900"
13,"Feb 06, 2023",1.5400,1.5500,1.5400,1.5500,"29,300"
14,"Feb 03, 2023",1.6200,1.6200,1.6200,1.6200,"6,100"
15,"Feb 02, 2023",1.6700,1.6800,1.6500,1.6800,"3,900"
16,"Feb 01, 2023",1.7000,1.7000,1.7000,1.7000,"30,600"
17,"Jan 31, 2023",1.6300,1.6500,1.6300,1.6500,600
18,"Jan 30, 2023",1.7300,1.7300,1.7000,1.7000,"29,600"
19,"Jan 27, 2023",1.7100,1.7200,1.7000,1.7100,"12,300"
20,"Jan 26, 2023",1.6900,1.7000,1.6800,1.6800,"8,500"
21,"Jan 25, 2023",1.6500,1.6700,1.6400,1.6400,"8,600"
22,"Jan 24, 2023",1.6700,1.6900,1.6500,1.6500,"18,500"
23,"Jan 23, 2023",1.6900,1.7000,1.6600,1.6600,"72,900"
24,"Jan 20, 2023",1.6500,1.6500,1.6300,1.6500,"16,400"
25,"Jan 19, 2023",1.6100,1.6300,1.5900,1.6300,"6,300"
26,"Jan 18, 2023",1.5500,1.5500,1.5300,1.5500,"3,900"
