,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",90.07,91.68,88.03,89.00,"36,174,500"
1,"Feb 23, 2023",100.10,100.47,92.13,94.16,"40,482,900"
2,"Feb 22, 2023",95.57,95.89,93.56,94.78,"24,484,000"
3,"Feb 21, 2023",96.50,97.63,94.70,95.10,"27,172,700"
4,"Feb 17, 2023",101.00,101.09,99.25,100.01,"18,088,700"
5,"Feb 16, 2023",102.71,104.52,102.03,103.11,"21,747,100"
6,"Feb 15, 2023",102.39,103.44,102.00,103.08,"18,910,200"
7,"Feb 14, 2023",103.55,104.48,101.85,104.22,"12,978,400"
8,"Feb 13, 2023",105.99,106.35,104.15,104.79,"18,538,600"
9,"Feb 10, 2023",105.80,106.64,102.79,103.65,"18,757,800"
10,"Feb 09, 2023",108.50,109.81,107.75,108.46,"16,281,300"
11,"Feb 08, 2023",107.10,107.14,103.55,105.11,"14,329,500"
12,"Feb 07, 2023",106.84,107.35,103.72,105.50,"16,861,700"
13,"Feb 06, 2023",103.82,106.28,103.22,105.45,"15,337,500"
14,"Feb 03, 2023",108.05,109.53,105.81,106.33,"15,961,200"
15,"Feb 02, 2023",112.50,112.53,107.81,109.74,"23,396,900"
16,"Feb 01, 2023",111.86,113.95,110.15,112.82,"16,623,000"
17,"Jan 31, 2023",109.42,112.08,108.81,110.20,"15,330,000"
18,"Jan 30, 2023",111.69,113.15,109.78,111.20,"21,918,200"
19,"Jan 27, 2023",119.69,119.71,116.81,118.38,"18,005,100"
20,"Jan 26, 2023",121.00,121.30,118.76,120.57,"11,171,000"
21,"Jan 25, 2023",118.51,120.32,117.50,120.25,"9,705,000"
22,"Jan 24, 2023",115.00,120.00,115.00,119.44,"7,807,100"
23,"Jan 23, 2023",120.00,120.30,118.14,119.53,"13,590,200"
24,"Jan 20, 2023",118.30,120.06,117.80,119.86,"18,324,500"
25,"Jan 19, 2023",114.02,117.00,113.97,116.58,"18,489,900"
26,"Jan 18, 2023",116.75,116.75,113.04,113.22,"15,347,900"
27,"Jan 17, 2023",115.52,117.01,114.34,115.19,"16,945,600"
28,"Jan 13, 2023",114.52,117.98,114.09,117.01,"25,591,100"
29,"Jan 12, 2023",113.66,113.79,111.45,113.15,"16,590,600"
30,"Jan 11, 2023",114.60,115.21,112.31,115.02,"22,804,400"
31,"Jan 10, 2023",112.97,115.48,111.21,114.88,"33,478,600"
32,"Jan 09, 2023",111.99,113.11,108.12,110.83,"42,085,300"
33,"Jan 06, 2023",104.11,108.00,102.46,107.40,"21,056,200"
34,"Jan 05, 2023",101.40,105.70,100.64,104.58,"30,400,400"
35,"Jan 04, 2023",98.85,104.52,96.97,103.92,"53,291,800"
36,"Jan 03, 2023",91.11,94.45,90.75,91.98,"27,891,000"
37,"Dec 30, 2022",87.45,89.41,87.41,88.09,"11,906,200"
38,"Dec 29, 2022",87.63,89.52,87.06,89.13,"12,535,400"
39,"Dec 28, 2022",88.98,90.15,86.46,87.20,"16,268,800"
40,"Dec 27, 2022",86.55,90.69,86.21,89.86,"22,959,900"
41,"Dec 23, 2022",87.85,88.65,85.52,85.65,"17,949,300"
42,"Dec 22, 2022",89.08,89.69,86.67,87.97,"16,004,800"
43,"Dec 21, 2022",86.01,88.39,85.46,87.81,"18,212,900"
44,"Dec 20, 2022",85.04,87.20,85.04,85.92,"15,315,400"
45,"Dec 19, 2022",89.75,89.78,86.50,87.16,"20,737,000"
46,"Dec 16, 2022",88.80,90.57,86.61,86.79,"25,084,600"
47,"Dec 15, 2022",93.09,94.08,86.05,86.21,"30,419,400"
48,"Dec 14, 2022",91.06,91.26,89.50,90.91,"15,575,500"
49,"Dec 13, 2022",93.45,94.98,90.30,91.41,"21,150,600"
50,"Dec 12, 2022",90.09,90.89,87.75,89.41,"15,190,200"
51,"Dec 09, 2022",93.27,93.75,91.22,91.34,"15,452,100"
52,"Dec 08, 2022",91.97,94.33,91.08,94.17,"29,241,500"
53,"Dec 07, 2022",87.06,89.26,86.62,88.33,"19,507,400"
54,"Dec 06, 2022",91.88,92.57,89.20,91.45,"26,675,700"
55,"Dec 05, 2022",92.90,92.90,89.63,90.52,"30,929,800"
56,"Dec 02, 2022",86.05,91.85,86.05,90.06,"35,042,600"
57,"Dec 01, 2022",84.35,87.60,84.26,85.94,"20,243,000"
58,"Nov 30, 2022",82.74,89.63,82.25,87.56,"60,169,600"
59,"Nov 29, 2022",80.24,80.89,79.45,79.86,"24,178,100"
60,"Nov 28, 2022",74.74,77.42,74.68,75.88,"19,107,400"
61,"Nov 25, 2022",75.50,76.05,74.92,75.50,"13,036,900"
62,"Nov 23, 2022",78.19,78.85,76.85,78.50,"19,032,700"
63,"Nov 22, 2022",75.44,76.80,74.58,75.99,"20,694,100"
64,"Nov 21, 2022",78.69,79.06,76.47,76.93,"19,005,100"
65,"Nov 18, 2022",82.15,82.52,79.86,80.48,"29,528,300"
66,"Nov 17, 2022",76.00,85.68,75.76,84.26,"62,050,600"
67,"Nov 16, 2022",80.32,80.45,77.41,78.16,"26,637,300"
68,"Nov 15, 2022",78.93,80.37,77.81,79.30,"53,150,500"
69,"Nov 14, 2022",73.16,74.00,71.32,71.33,"30,310,700"
70,"Nov 11, 2022",72.32,72.70,69.31,70.77,"38,723,400"
71,"Nov 10, 2022",68.03,69.99,68.00,69.77,"28,757,200"
72,"Nov 09, 2022",66.43,66.78,64.80,64.84,"22,099,300"
73,"Nov 08, 2022",67.62,68.92,66.27,68.13,"23,870,200"
74,"Nov 07, 2022",71.30,71.88,68.67,69.71,"26,087,600"
75,"Nov 04, 2022",71.17,71.64,67.45,69.81,"51,292,200"
76,"Nov 03, 2022",63.42,66.88,63.40,65.21,"23,360,500"
77,"Nov 02, 2022",66.48,67.67,64.33,64.70,"28,298,100"
78,"Nov 01, 2022",68.01,68.45,65.64,65.86,"27,257,000"
79,"Oct 31, 2022",63.49,64.85,63.22,63.58,"20,645,300"
80,"Oct 28, 2022",63.20,64.15,61.82,63.74,"28,638,000"
81,"Oct 27, 2022",65.44,67.88,65.42,65.84,"25,812,600"
82,"Oct 26, 2022",63.36,69.80,62.92,68.51,"52,957,400"
83,"Oct 25, 2022",65.08,66.18,61.26,63.22,"69,302,400"
84,"Oct 24, 2022",63.39,64.10,58.01,63.15,"101,023,200"
85,"Oct 21, 2022",71.20,72.79,69.46,72.18,"19,526,800"
86,"Oct 20, 2022",71.60,74.94,71.55,72.02,"19,173,400"
87,"Oct 19, 2022",73.28,74.33,70.52,71.27,"23,094,500"
88,"Oct 18, 2022",78.01,78.64,75.06,76.34,"14,970,600"
89,"Oct 17, 2022",75.15,77.87,75.11,76.77,"14,487,400"
90,"Oct 14, 2022",76.05,76.14,72.78,73.02,"13,675,300"
91,"Oct 13, 2022",72.24,75.78,71.40,75.01,"17,563,400"
92,"Oct 12, 2022",74.90,76.68,74.03,75.73,"13,247,900"
93,"Oct 11, 2022",77.38,77.84,74.14,75.37,"18,387,900"
94,"Oct 10, 2022",79.77,79.79,77.70,79.24,"14,070,900"
95,"Oct 07, 2022",82.35,83.71,80.75,81.24,"11,632,400"
96,"Oct 06, 2022",84.07,85.25,83.52,84.32,"11,583,600"
97,"Oct 05, 2022",84.10,86.29,83.25,84.39,"13,194,000"
98,"Oct 04, 2022",83.00,85.03,82.34,84.11,"18,252,000"
99,"Oct 03, 2022",79.76,80.93,78.05,80.45,"13,249,600"
100,"Sep 30, 2022",78.74,81.78,78.65,79.99,"17,116,900"
101,"Sep 29, 2022",78.05,79.19,76.74,79.06,"17,913,600"
102,"Sep 28, 2022",76.49,81.48,76.28,80.99,"20,725,400"
103,"Sep 27, 2022",79.43,80.41,77.10,77.87,"16,975,100"
104,"Sep 26, 2022",79.94,80.99,78.78,78.91,"17,880,600"
105,"Sep 23, 2022",79.26,79.77,77.60,78.80,"20,492,100"
106,"Sep 22, 2022",82.63,83.28,80.17,80.71,"19,141,200"
107,"Sep 21, 2022",85.12,85.16,81.50,81.60,"23,847,300"
108,"Sep 20, 2022",87.95,88.73,85.01,85.80,"19,129,000"
109,"Sep 19, 2022",85.10,87.76,85.00,87.66,"12,822,100"
110,"Sep 16, 2022",87.70,88.25,85.42,86.43,"19,322,000"
111,"Sep 15, 2022",88.63,91.10,88.20,88.83,"12,188,800"
112,"Sep 14, 2022",89.46,89.78,88.17,88.92,"10,843,600"
113,"Sep 13, 2022",90.76,92.18,89.23,89.47,"21,149,800"
114,"Sep 12, 2022",92.42,94.84,91.81,94.69,"15,604,000"
115,"Sep 09, 2022",91.05,92.90,90.72,92.14,"10,745,500"
116,"Sep 08, 2022",88.56,90.18,88.28,89.52,"13,291,800"
117,"Sep 07, 2022",88.52,90.86,87.76,90.60,"12,753,300"
118,"Sep 06, 2022",89.32,89.47,87.80,88.45,"15,573,500"
119,"Sep 02, 2022",91.77,93.67,90.77,91.80,"12,378,900"
120,"Sep 01, 2022",92.75,94.52,91.67,93.71,"11,929,100"
121,"Aug 31, 2022",96.66,98.62,94.92,95.41,"16,169,000"
122,"Aug 30, 2022",95.86,96.97,92.62,93.84,"17,865,800"
123,"Aug 29, 2022",98.96,100.91,96.48,96.60,"18,323,500"
124,"Aug 26, 2022",104.84,104.85,97.61,98.00,"45,773,400"
125,"Aug 25, 2022",96.06,101.03,94.95,99.89,"39,170,600"
126,"Aug 24, 2022",87.90,94.15,87.55,92.52,"22,808,300"
127,"Aug 23, 2022",89.17,90.18,86.71,89.83,"17,345,900"
128,"Aug 22, 2022",89.57,90.88,89.30,90.03,"15,545,000"
129,"Aug 19, 2022",90.41,91.65,89.18,89.63,"12,364,300"
130,"Aug 18, 2022",90.05,91.93,88.52,90.74,"13,418,600"
131,"Aug 17, 2022",91.87,92.39,89.76,89.77,"14,491,500"
132,"Aug 16, 2022",92.69,93.57,91.40,92.65,"12,003,200"
133,"Aug 15, 2022",93.20,94.63,92.38,94.20,"14,425,100"
134,"Aug 12, 2022",91.51,94.80,91.43,94.77,"17,846,400"
135,"Aug 11, 2022",94.49,97.71,93.63,94.87,"17,521,200"
136,"Aug 10, 2022",91.17,92.95,88.56,92.43,"17,855,400"
137,"Aug 09, 2022",91.19,93.12,90.60,91.19,"16,744,900"
138,"Aug 08, 2022",91.47,92.75,90.34,90.84,"16,194,100"
139,"Aug 05, 2022",93.07,94.17,90.73,92.56,"27,206,100"
140,"Aug 04, 2022",101.07,103.00,95.06,97.43,"42,517,800"
141,"Aug 03, 2022",92.00,96.30,90.92,95.72,"23,921,700"
142,"Aug 02, 2022",88.20,94.87,88.20,92.62,"34,430,500"
143,"Aug 01, 2022",89.19,90.54,88.00,90.34,"36,050,900"
144,"Jul 29, 2022",94.22,94.22,89.11,89.37,"59,201,800"
145,"Jul 28, 2022",101.92,102.68,95.62,100.55,"33,875,400"
146,"Jul 27, 2022",102.20,102.97,99.80,102.78,"19,366,600"
147,"Jul 26, 2022",104.31,105.25,100.81,101.44,"28,004,300"
148,"Jul 25, 2022",100.50,101.27,98.74,101.06,"16,604,300"
149,"Jul 22, 2022",104.31,104.70,99.68,100.61,"18,819,800"
150,"Jul 21, 2022",104.06,106.61,103.68,105.13,"17,865,500"
151,"Jul 20, 2022",106.24,107.16,102.85,103.96,"21,897,900"
152,"Jul 19, 2022",103.97,104.82,101.53,104.75,"19,842,500"
153,"Jul 18, 2022",105.88,106.96,102.95,103.14,"20,503,400"
154,"Jul 15, 2022",103.49,103.64,97.84,102.44,"33,572,300"
155,"Jul 14, 2022",107.80,108.54,100.71,103.76,"35,314,900"
156,"Jul 13, 2022",106.84,110.64,106.75,109.10,"16,861,400"
157,"Jul 12, 2022",110.86,111.00,107.06,109.21,"22,318,500"
158,"Jul 11, 2022",115.46,115.58,109.33,109.57,"31,249,900"
159,"Jul 08, 2022",122.26,125.84,120.70,120.90,"27,221,400"
160,"Jul 07, 2022",120.63,125.00,120.63,122.39,"24,202,000"
161,"Jul 06, 2022",118.93,120.00,115.51,119.12,"20,222,700"
162,"Jul 05, 2022",114.51,120.53,112.14,120.13,"20,989,300"
163,"Jul 01, 2022",113.63,116.63,112.92,116.00,"16,679,400"
164,"Jun 30, 2022",113.77,114.60,111.38,113.68,"13,836,200"
165,"Jun 29, 2022",115.81,117.09,113.71,116.03,"13,793,900"
166,"Jun 28, 2022",118.98,120.93,116.51,116.76,"18,659,400"
167,"Jun 27, 2022",119.97,121.38,117.88,118.73,"21,724,300"
168,"Jun 24, 2022",115.30,118.09,114.30,117.62,"27,029,900"
169,"Jun 23, 2022",109.96,113.09,108.08,112.11,"33,228,200"
170,"Jun 22, 2022",104.23,107.10,103.08,105.15,"24,233,000"
171,"Jun 21, 2022",105.96,107.06,103.87,106.39,"33,975,000"
172,"Jun 17, 2022",112.54,112.75,101.33,102.24,"73,019,300"
173,"Jun 16, 2022",102.79,104.91,100.51,101.45,"22,357,800"
174,"Jun 15, 2022",106.81,108.63,104.38,108.03,"24,026,100"
175,"Jun 14, 2022",101.99,106.07,100.83,105.23,"28,567,500"
176,"Jun 13, 2022",103.61,104.53,97.58,98.52,"36,396,700"
177,"Jun 10, 2022",113.66,114.82,108.24,109.84,"49,859,200"
178,"Jun 09, 2022",115.00,118.22,109.44,109.90,"72,512,300"
179,"Jun 08, 2022",108.26,121.06,107.81,119.62,"92,337,000"
180,"Jun 07, 2022",99.99,104.46,99.42,104.32,"35,958,700"
181,"Jun 06, 2022",99.64,102.42,97.92,99.01,"37,287,200"
182,"Jun 03, 2022",95.15,96.00,93.02,93.21,"15,855,900"
183,"Jun 02, 2022",93.67,97.63,93.40,97.50,"23,228,100"
184,"Jun 01, 2022",95.90,96.93,91.88,93.38,"23,730,900"
185,"May 31, 2022",98.33,99.32,95.45,96.05,"33,790,000"
186,"May 27, 2022",92.21,94.50,90.37,93.41,"26,716,000"
