,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",488.58,490.36,484.70,488.61,"1,586,500"
1,"Feb 23, 2023",498.80,498.86,487.86,493.14,"1,546,300"
2,"Feb 22, 2023",503.92,505.46,496.60,497.39,"1,332,000"
3,"Feb 21, 2023",500.82,503.99,496.55,501.74,"1,811,800"
4,"Feb 17, 2023",504.27,507.71,501.84,507.48,"1,339,700"
5,"Feb 16, 2023",503.61,510.73,503.60,504.10,"1,456,000"
6,"Feb 15, 2023",502.73,511.42,501.34,511.28,"1,423,400"
7,"Feb 14, 2023",505.01,507.85,498.63,503.22,"1,257,300"
8,"Feb 13, 2023",501.74,506.79,501.35,506.45,"1,452,600"
9,"Feb 10, 2023",498.51,500.55,495.38,499.99,"1,536,500"
10,"Feb 09, 2023",505.29,509.16,498.42,500.63,"1,517,300"
11,"Feb 08, 2023",511.29,512.18,501.56,503.81,"2,062,900"
12,"Feb 07, 2023",511.99,517.99,507.39,516.53,"1,927,300"
13,"Feb 06, 2023",514.44,517.22,512.27,515.59,"1,740,100"
14,"Feb 03, 2023",519.13,521.55,512.50,514.80,"1,843,400"
15,"Feb 02, 2023",524.29,530.05,520.64,523.43,"2,287,400"
16,"Feb 02, 2023",Dividend,,,,
17,"Feb 01, 2023",508.31,520.45,504.72,517.91,"2,080,200"
18,"Jan 31, 2023",503.23,511.41,502.00,511.14,"1,924,100"
19,"Jan 30, 2023",500.37,505.60,500.37,503.28,"1,855,900"
20,"Jan 27, 2023",499.76,509.10,497.86,503.29,"2,033,700"
21,"Jan 26, 2023",493.20,498.67,491.77,498.30,"1,576,400"
22,"Jan 25, 2023",489.36,491.94,484.50,490.88,"1,329,800"
23,"Jan 24, 2023",492.05,493.60,487.01,492.11,"1,510,200"
24,"Jan 23, 2023",479.95,495.24,477.60,492.61,"2,709,400"
25,"Jan 20, 2023",473.92,480.32,469.47,480.11,"2,583,000"
26,"Jan 19, 2023",476.24,477.56,468.07,469.49,"1,919,500"
27,"Jan 18, 2023",484.81,488.81,478.52,479.47,"1,925,500"
28,"Jan 17, 2023",485.13,490.48,484.37,486.77,"1,539,900"
29,"Jan 13, 2023",480.89,485.59,479.00,485.25,"1,405,600"
30,"Jan 12, 2023",484.99,485.00,478.75,482.43,"1,628,200"
31,"Jan 11, 2023",480.33,484.52,479.11,484.31,"1,576,400"
32,"Jan 10, 2023",477.14,482.09,475.48,481.40,"1,649,900"
33,"Jan 09, 2023",482.93,486.87,478.14,478.75,"2,384,800"
34,"Jan 06, 2023",463.08,484.42,462.22,482.87,"5,172,200"
35,"Jan 05, 2023",454.54,456.43,449.62,450.19,"2,169,300"
36,"Jan 04, 2023",457.18,459.51,452.59,456.56,"2,097,300"
37,"Jan 03, 2023",458.00,458.80,447.90,453.28,"1,978,100"
