,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",44.74,45.56,44.46,44.80,"11,854,300"
1,"Feb 23, 2023",47.90,48.16,45.96,46.65,"11,819,700"
2,"Feb 22, 2023",48.24,48.31,46.16,46.53,"12,536,200"
3,"Feb 21, 2023",48.11,48.96,46.67,47.17,"23,406,200"
4,"Feb 17, 2023",53.11,53.70,52.46,53.02,"6,337,700"
5,"Feb 16, 2023",53.79,54.77,53.49,54.10,"9,148,400"
6,"Feb 15, 2023",51.64,52.27,51.08,52.23,"5,158,200"
7,"Feb 14, 2023",51.64,52.53,51.36,52.32,"5,405,800"
8,"Feb 13, 2023",52.90,53.22,52.20,52.43,"7,134,600"
9,"Feb 10, 2023",53.42,53.63,51.83,52.29,"10,929,300"
10,"Feb 09, 2023",56.42,57.09,55.08,55.45,"7,964,600"
11,"Feb 08, 2023",56.79,56.87,55.19,55.35,"7,881,400"
12,"Feb 07, 2023",56.89,57.42,56.00,57.09,"7,999,200"
13,"Feb 06, 2023",56.47,57.12,55.85,56.73,"5,384,800"
14,"Feb 03, 2023",58.69,59.49,57.52,57.63,"6,160,300"
15,"Feb 02, 2023",60.30,60.30,58.40,59.31,"8,239,900"
16,"Feb 01, 2023",60.13,61.76,59.18,60.47,"7,872,100"
17,"Jan 31, 2023",59.03,60.39,58.81,59.53,"5,075,600"
18,"Jan 30, 2023",60.61,60.89,59.16,59.83,"7,464,300"
19,"Jan 27, 2023",64.20,64.46,62.88,63.74,"5,665,000"
20,"Jan 26, 2023",62.52,63.26,61.95,63.11,"4,809,200"
21,"Jan 25, 2023",61.14,61.66,60.20,61.38,"3,651,700"
22,"Jan 24, 2023",60.20,61.69,60.10,61.62,"4,130,100"
23,"Jan 23, 2023",60.95,61.70,60.55,61.06,"4,606,000"
24,"Jan 20, 2023",60.49,60.99,60.14,60.43,"6,862,100"
25,"Jan 19, 2023",59.09,60.34,59.09,59.42,"5,255,000"
26,"Jan 18, 2023",60.71,60.93,58.48,58.52,"6,763,300"
27,"Jan 17, 2023",61.12,61.35,59.65,59.96,"8,511,200"
28,"Jan 13, 2023",63.84,65.41,62.78,63.60,"7,957,000"
29,"Jan 12, 2023",63.02,63.75,62.26,63.17,"5,271,500"
30,"Jan 11, 2023",63.28,63.59,61.72,63.04,"7,476,500"
31,"Jan 10, 2023",64.10,64.62,62.95,63.65,"5,538,000"
32,"Jan 09, 2023",64.81,65.05,62.21,63.13,"9,838,400"
33,"Jan 06, 2023",63.96,64.89,62.60,64.30,"8,490,500"
34,"Jan 05, 2023",63.50,66.25,63.47,65.90,"10,826,200"
35,"Jan 04, 2023",61.68,67.10,61.04,66.10,"19,823,100"
36,"Jan 03, 2023",57.97,59.57,56.87,57.64,"7,337,700"
37,"Dec 30, 2022",55.87,57.16,55.82,56.13,"4,566,700"
38,"Dec 29, 2022",56.14,57.33,55.75,57.09,"4,613,500"
39,"Dec 28, 2022",58.35,58.73,55.11,56.15,"10,055,900"
40,"Dec 27, 2022",57.49,59.84,57.07,58.80,"8,114,700"
41,"Dec 23, 2022",57.85,58.20,56.30,56.44,"5,041,600"
42,"Dec 22, 2022",58.75,59.40,57.11,57.67,"5,318,200"
43,"Dec 21, 2022",56.14,58.33,55.93,58.12,"4,726,200"
44,"Dec 20, 2022",55.66,57.37,55.61,56.42,"4,568,100"
45,"Dec 19, 2022",57.42,57.80,56.70,57.19,"6,995,500"
46,"Dec 16, 2022",57.63,58.18,56.54,56.59,"7,517,300"
47,"Dec 15, 2022",60.08,60.62,56.22,56.65,"8,436,200"
48,"Dec 14, 2022",58.25,59.08,58.05,58.57,"7,296,700"
49,"Dec 13, 2022",60.51,60.68,57.11,57.81,"8,382,900"
50,"Dec 12, 2022",58.68,58.81,56.87,57.42,"7,473,900"
51,"Dec 09, 2022",59.87,60.22,57.90,58.32,"7,993,600"
52,"Dec 08, 2022",60.42,61.40,59.92,60.37,"7,278,700"
53,"Dec 07, 2022",57.07,58.95,56.88,58.45,"6,229,100"
54,"Dec 06, 2022",60.20,60.49,58.53,60.35,"7,771,300"
55,"Dec 05, 2022",60.70,60.74,58.56,59.18,"9,149,600"
56,"Dec 02, 2022",55.09,59.67,55.05,58.64,"10,436,300"
57,"Dec 01, 2022",55.33,56.37,54.68,55.85,"7,147,700"
58,"Nov 30, 2022",56.54,58.39,56.35,57.18,"15,765,800"
59,"Nov 29, 2022",53.46,54.49,53.12,53.25,"13,450,200"
