,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",43.80,43.96,43.45,43.75,"5,039,000"
1,"Feb 23, 2023",44.50,44.56,43.73,43.91,"5,079,600"
2,"Feb 22, 2023",44.46,45.17,44.03,44.62,"4,718,600"
3,"Feb 21, 2023",43.93,44.76,43.57,44.62,"5,973,400"
4,"Feb 17, 2023",43.96,44.14,43.79,44.00,"4,228,900"
5,"Feb 16, 2023",43.92,44.08,43.71,43.85,"4,493,300"
6,"Feb 15, 2023",43.76,44.28,43.67,44.27,"3,988,600"
7,"Feb 14, 2023",44.77,44.77,43.59,43.63,"4,941,500"
8,"Feb 14, 2023",Dividend,,,,
9,"Feb 13, 2023",44.84,44.95,44.50,44.89,"4,477,600"
10,"Feb 10, 2023",44.23,45.19,44.18,44.80,"3,725,100"
11,"Feb 09, 2023",44.35,44.48,43.93,44.09,"3,660,300"
12,"Feb 08, 2023",44.36,44.56,44.00,44.27,"4,791,300"
13,"Feb 07, 2023",44.50,44.65,44.14,44.47,"3,487,100"
14,"Feb 06, 2023",44.53,44.61,44.09,44.54,"4,413,800"
15,"Feb 03, 2023",44.92,45.02,44.15,44.42,"5,024,800"
16,"Feb 02, 2023",44.78,45.29,44.56,44.97,"4,816,500"
17,"Feb 01, 2023",44.41,45.39,44.08,45.18,"5,387,300"
18,"Jan 31, 2023",44.05,44.63,43.74,44.63,"5,007,000"
19,"Jan 30, 2023",44.69,44.89,44.07,44.21,"4,544,800"
20,"Jan 27, 2023",44.60,45.30,44.46,45.05,"3,672,000"
21,"Jan 26, 2023",44.80,44.92,44.34,44.46,"3,106,600"
22,"Jan 25, 2023",44.30,44.91,44.27,44.90,"3,351,700"
23,"Jan 24, 2023",45.00,45.00,44.15,44.26,"2,721,800"
24,"Jan 23, 2023",44.45,45.04,44.29,44.70,"3,556,300"
25,"Jan 20, 2023",44.01,44.49,43.62,44.45,"3,965,600"
26,"Jan 19, 2023",45.32,45.44,43.99,44.00,"4,422,200"
27,"Jan 18, 2023",46.22,46.39,45.11,45.26,"4,005,200"
28,"Jan 17, 2023",45.36,46.49,45.35,46.18,"3,834,000"
29,"Jan 13, 2023",45.50,45.67,44.86,45.22,"3,428,700"
30,"Jan 12, 2023",45.73,45.83,45.18,45.67,"3,312,400"
31,"Jan 11, 2023",46.19,46.28,45.09,45.61,"4,994,300"
32,"Jan 10, 2023",46.27,46.64,45.80,45.98,"3,434,600"
33,"Jan 09, 2023",45.99,46.45,45.79,46.19,"4,736,600"
34,"Jan 06, 2023",45.32,45.98,45.26,45.74,"4,385,800"
35,"Jan 05, 2023",44.78,45.24,44.21,45.16,"4,749,800"
36,"Jan 04, 2023",44.40,45.51,44.07,44.97,"4,299,700"
37,"Jan 03, 2023",44.48,45.00,44.22,44.47,"3,570,100"
38,"Dec 30, 2022",44.49,44.84,44.24,44.58,"3,626,000"
39,"Dec 29, 2022",44.68,44.78,44.41,44.62,"2,897,600"
40,"Dec 28, 2022",45.94,46.16,44.57,44.58,"4,223,900"
41,"Dec 27, 2022",45.92,46.36,45.83,45.95,"4,601,000"
42,"Dec 23, 2022",45.25,46.07,45.25,45.89,"4,693,200"
43,"Dec 22, 2022",44.56,45.26,44.23,45.25,"4,340,400"
44,"Dec 21, 2022",44.55,44.81,44.31,44.46,"3,486,200"
45,"Dec 20, 2022",44.27,44.97,44.20,44.58,"4,444,400"
46,"Dec 19, 2022",44.31,44.77,43.99,44.40,"4,556,200"
47,"Dec 16, 2022",43.26,44.44,43.06,44.32,"13,022,400"
48,"Dec 15, 2022",44.26,44.45,43.32,43.49,"7,070,200"
49,"Dec 14, 2022",45.37,45.66,44.58,44.76,"5,731,700"
50,"Dec 13, 2022",46.80,46.89,45.43,45.45,"6,225,300"
51,"Dec 12, 2022",46.54,46.83,46.04,46.71,"4,260,500"
52,"Dec 09, 2022",47.19,47.50,46.46,46.47,"5,210,300"
53,"Dec 08, 2022",46.83,47.54,46.42,47.46,"3,792,600"
54,"Dec 07, 2022",46.46,47.06,46.36,46.94,"4,855,400"
55,"Dec 06, 2022",46.33,46.73,45.93,46.33,"4,102,400"
56,"Dec 05, 2022",47.21,47.42,45.55,46.07,"7,997,900"
57,"Dec 02, 2022",48.30,48.57,47.28,47.57,"5,145,200"
58,"Dec 01, 2022",50.35,50.41,47.65,48.41,"10,564,400"
59,"Nov 30, 2022",48.96,49.42,48.44,49.19,"10,713,400"
60,"Nov 29, 2022",49.00,49.74,48.71,49.35,"6,008,000"
61,"Nov 28, 2022",48.92,49.39,48.48,48.83,"5,846,200"
62,"Nov 25, 2022",47.90,49.04,47.90,49.04,"2,438,800"
63,"Nov 23, 2022",48.17,48.25,47.62,47.84,"4,091,700"
64,"Nov 22, 2022",48.54,48.67,47.96,48.08,"3,597,200"
65,"Nov 21, 2022",48.11,48.40,47.61,48.12,"3,524,500"
66,"Nov 18, 2022",48.65,48.86,47.85,48.26,"4,656,600"
67,"Nov 17, 2022",47.53,48.43,47.50,48.18,"4,433,000"
