,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",199.79,202.59,198.46,201.54,"2,163,500"
1,"Feb 23, 2023",202.56,203.75,199.13,202.21,"2,332,200"
2,"Feb 22, 2023",201.21,204.44,200.06,202.63,"2,667,400"
3,"Feb 21, 2023",205.27,206.90,201.22,201.85,"3,942,900"
4,"Feb 17, 2023",213.24,213.71,208.90,212.75,"3,462,000"
5,"Feb 16, 2023",210.20,216.07,209.62,214.01,"2,479,000"
6,"Feb 15, 2023",212.35,215.50,211.27,215.03,"1,851,600"
7,"Feb 14, 2023",212.03,215.12,211.14,213.76,"2,316,600"
8,"Feb 13, 2023",209.30,214.30,207.43,214.14,"2,364,000"
9,"Feb 10, 2023",207.46,208.93,206.33,208.78,"1,836,300"
10,"Feb 09, 2023",214.77,215.24,207.96,208.64,"2,386,700"
11,"Feb 08, 2023",214.21,214.21,211.07,212.76,"2,421,100"
12,"Feb 07, 2023",212.89,215.57,210.42,214.73,"2,552,300"
13,"Feb 06, 2023",214.25,216.84,214.06,215.87,"2,380,600"
14,"Feb 03, 2023",217.14,218.39,214.82,215.97,"3,045,300"
15,"Feb 02, 2023",216.05,223.31,215.98,221.56,"4,156,800"
16,"Feb 01, 2023",207.46,215.14,204.39,213.56,"3,363,900"
17,"Jan 31, 2023",203.25,208.33,202.50,208.25,"3,415,800"
18,"Jan 30, 2023",201.97,204.56,201.15,201.91,"2,786,300"
19,"Jan 27, 2023",201.45,203.42,200.44,202.49,"2,907,100"
20,"Jan 26, 2023",204.35,208.77,201.64,201.81,"3,426,100"
21,"Jan 25, 2023",204.52,206.29,201.84,206.11,"2,283,400"
22,"Jan 24, 2023",202.61,206.58,202.61,206.41,"2,862,500"
23,"Jan 24, 2023",Dividend,,,,
24,"Jan 23, 2023",203.52,206.91,201.79,205.11,"3,473,500"
25,"Jan 20, 2023",201.36,204.99,198.67,204.53,"3,515,400"
26,"Jan 19, 2023",207.51,207.90,201.19,202.13,"3,508,800"
27,"Jan 18, 2023",210.72,214.18,208.11,208.50,"3,575,000"
28,"Jan 17, 2023",212.17,214.98,209.25,209.52,"2,943,800"
29,"Jan 13, 2023",207.81,213.56,207.81,212.16,"3,875,600"
30,"Jan 12, 2023",210.26,211.57,206.59,210.26,"2,690,200"
31,"Jan 11, 2023",202.16,208.72,202.15,208.59,"2,781,000"
32,"Jan 10, 2023",199.92,201.67,198.54,201.40,"2,200,800"
33,"Jan 09, 2023",202.42,204.13,199.34,199.44,"2,748,500"
34,"Jan 06, 2023",200.73,201.79,194.45,200.97,"3,121,400"
35,"Jan 05, 2023",199.30,201.44,197.48,200.77,"1,942,300"
36,"Jan 04, 2023",201.43,202.35,197.51,201.39,"2,507,400"
37,"Jan 03, 2023",201.49,202.30,197.14,199.04,"2,602,000"
38,"Dec 30, 2022",200.03,200.50,197.21,199.24,"2,154,600"
39,"Dec 29, 2022",201.68,203.12,201.30,202.26,"1,270,900"
40,"Dec 28, 2022",201.96,203.50,199.63,200.06,"1,419,900"
41,"Dec 27, 2022",201.69,203.99,201.31,201.71,"2,076,600"
42,"Dec 23, 2022",198.42,202.32,197.02,201.88,"1,469,200"
43,"Dec 22, 2022",198.52,200.23,195.27,199.15,"2,414,800"
44,"Dec 21, 2022",202.93,203.62,200.27,202.43,"2,345,400"
45,"Dec 20, 2022",201.19,202.13,197.69,200.86,"2,372,200"
46,"Dec 19, 2022",205.35,205.94,201.99,203.17,"2,442,400"
47,"Dec 16, 2022",206.36,207.36,203.32,206.14,"9,543,500"
48,"Dec 15, 2022",208.61,209.72,205.49,208.02,"3,373,900"
49,"Dec 14, 2022",210.95,216.63,210.06,212.11,"3,727,700"
50,"Dec 13, 2022",216.71,217.83,208.92,211.22,"4,168,600"
51,"Dec 12, 2022",202.29,205.10,201.04,205.08,"2,719,800"
52,"Dec 09, 2022",201.00,204.61,200.20,201.77,"3,226,900"
53,"Dec 08, 2022",205.00,206.41,202.46,203.56,"3,150,200"
54,"Dec 07, 2022",202.76,209.99,202.26,206.89,"3,999,300"
55,"Dec 06, 2022",205.21,205.71,199.00,201.91,"3,627,500"
56,"Dec 05, 2022",210.91,211.61,205.40,206.18,"3,308,400"
