,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",35.98,35.98,35.61,35.80,"4,066,700"
1,"Feb 23, 2023",36.46,36.50,35.95,36.21,"4,492,300"
2,"Feb 22, 2023",36.19,36.34,35.90,36.08,"4,007,500"
3,"Feb 21, 2023",36.38,36.51,36.05,36.16,"4,910,600"
4,"Feb 17, 2023",36.40,36.78,36.19,36.76,"4,187,800"
5,"Feb 16, 2023",36.21,36.56,35.92,36.32,"5,046,800"
6,"Feb 15, 2023",36.20,36.53,35.84,36.52,"5,769,700"
7,"Feb 15, 2023",Dividend,,,,
8,"Feb 14, 2023",37.08,37.13,36.45,36.75,"5,111,900"
9,"Feb 13, 2023",36.55,37.12,36.51,37.11,"5,498,600"
10,"Feb 10, 2023",35.92,36.57,35.76,36.55,"6,609,800"
11,"Feb 09, 2023",36.88,37.02,35.71,35.81,"6,946,400"
12,"Feb 08, 2023",36.60,36.92,36.38,36.56,"5,336,500"
13,"Feb 07, 2023",36.27,36.81,35.96,36.74,"6,941,900"
14,"Feb 06, 2023",37.00,37.00,36.07,36.28,"6,287,200"
15,"Feb 03, 2023",37.70,37.75,36.92,37.09,"5,936,900"
16,"Feb 02, 2023",37.30,37.96,37.17,37.71,"6,829,100"
17,"Feb 01, 2023",36.82,37.43,36.17,37.18,"7,963,700"
18,"Jan 31, 2023",36.50,36.89,35.95,36.86,"12,117,100"
19,"Jan 30, 2023",37.04,37.14,36.51,36.53,"5,196,100"
20,"Jan 27, 2023",36.68,37.53,36.64,37.17,"5,950,100"
21,"Jan 26, 2023",36.48,36.56,35.99,36.50,"4,267,900"
22,"Jan 25, 2023",35.97,36.44,35.81,36.28,"5,347,600"
23,"Jan 24, 2023",36.06,36.16,35.63,35.90,"6,016,600"
24,"Jan 23, 2023",35.95,36.73,35.82,36.67,"6,287,600"
25,"Jan 20, 2023",35.65,35.94,35.13,35.88,"5,596,000"
26,"Jan 19, 2023",35.60,35.75,35.35,35.41,"6,165,200"
27,"Jan 18, 2023",36.43,36.44,35.42,35.61,"7,128,400"
28,"Jan 17, 2023",36.90,36.90,36.16,36.33,"6,820,200"
29,"Jan 13, 2023",36.58,36.83,36.12,36.78,"4,177,200"
30,"Jan 12, 2023",37.30,37.41,36.62,36.66,"6,056,100"
31,"Jan 11, 2023",37.20,37.29,36.76,37.12,"6,098,700"
32,"Jan 10, 2023",36.35,36.72,36.06,36.70,"6,341,200"
33,"Jan 09, 2023",36.73,37.11,36.30,36.35,"9,435,000"
34,"Jan 06, 2023",35.36,36.74,35.11,36.61,"10,009,200"
35,"Jan 05, 2023",35.91,36.18,34.30,35.19,"19,328,200"
36,"Jan 04, 2023",37.60,37.95,36.98,37.49,"7,987,000"
37,"Jan 03, 2023",37.85,37.85,36.88,37.19,"7,377,200"
38,"Dec 30, 2022",37.24,37.38,36.97,37.36,"5,404,200"
39,"Dec 29, 2022",37.66,37.97,37.36,37.47,"5,251,500"
40,"Dec 28, 2022",38.25,38.57,37.56,37.58,"4,008,900"
41,"Dec 27, 2022",38.62,38.68,38.11,38.31,"3,940,100"
42,"Dec 23, 2022",38.56,38.76,38.21,38.63,"3,476,700"
43,"Dec 22, 2022",38.39,38.46,37.57,38.44,"5,997,000"
44,"Dec 21, 2022",39.85,39.93,38.32,38.60,"7,081,600"
45,"Dec 20, 2022",39.39,39.83,39.20,39.53,"4,716,900"
46,"Dec 19, 2022",39.09,39.84,39.03,39.32,"5,436,400"
47,"Dec 16, 2022",39.16,39.46,38.55,39.05,"10,867,100"
48,"Dec 15, 2022",40.15,40.28,39.33,39.53,"5,693,500"
49,"Dec 14, 2022",41.04,41.32,40.37,40.63,"4,575,300"
50,"Dec 13, 2022",42.01,42.29,40.81,41.03,"6,089,300"
51,"Dec 12, 2022",40.60,41.06,40.24,41.06,"6,156,800"
52,"Dec 09, 2022",40.78,40.92,40.40,40.43,"7,710,800"
53,"Dec 08, 2022",40.64,40.97,40.40,40.90,"3,587,900"
54,"Dec 07, 2022",40.41,40.97,40.31,40.65,"3,775,600"
55,"Dec 06, 2022",41.28,41.40,40.41,40.59,"4,326,300"
56,"Dec 05, 2022",41.36,41.42,40.82,41.21,"4,501,800"
57,"Dec 02, 2022",40.99,41.63,40.85,41.48,"4,857,600"
58,"Dec 01, 2022",41.51,42.03,41.06,41.31,"4,511,400"
59,"Nov 30, 2022",41.31,41.74,40.52,41.50,"7,591,800"
60,"Nov 29, 2022",40.90,41.21,40.63,41.08,"3,213,600"
61,"Nov 28, 2022",41.43,41.66,40.64,40.81,"4,687,900"
62,"Nov 25, 2022",41.67,41.97,41.42,41.66,"2,225,500"
63,"Nov 23, 2022",41.60,41.94,41.50,41.76,"3,889,500"
64,"Nov 22, 2022",41.48,41.84,41.11,41.79,"5,697,300"
65,"Nov 21, 2022",39.83,40.66,39.61,40.59,"5,107,800"
66,"Nov 18, 2022",40.87,40.95,39.26,39.75,"6,945,100"
67,"Nov 17, 2022",39.76,40.37,39.60,40.13,"5,910,300"
68,"Nov 16, 2022",40.76,41.13,40.26,40.39,"4,833,200"
69,"Nov 15, 2022",41.00,41.58,40.25,40.65,"6,767,500"
70,"Nov 14, 2022",40.80,41.54,40.40,40.54,"8,301,900"
71,"Nov 14, 2022",Dividend,,,,
72,"Nov 11, 2022",40.39,41.57,39.40,41.26,"13,101,300"
73,"Nov 10, 2022",38.02,38.53,37.58,38.49,"8,825,000"
74,"Nov 09, 2022",38.08,38.14,36.85,36.89,"6,830,500"
75,"Nov 08, 2022",38.51,39.51,37.78,38.29,"8,082,900"
76,"Nov 07, 2022",37.77,39.13,37.70,38.59,"12,631,400"
77,"Nov 04, 2022",36.10,37.13,35.93,37.07,"7,478,700"
78,"Nov 03, 2022",35.56,35.94,35.14,35.74,"5,609,800"
79,"Nov 02, 2022",36.81,37.00,35.79,35.81,"8,126,300"
80,"Nov 01, 2022",36.66,36.70,36.07,36.26,"5,473,100"
81,"Oct 31, 2022",36.53,36.81,36.23,36.50,"9,705,800"
82,"Oct 28, 2022",35.70,36.64,35.57,36.58,"6,883,500"
83,"Oct 27, 2022",35.88,36.22,35.64,35.67,"5,581,600"
84,"Oct 26, 2022",35.81,36.13,35.45,35.51,"5,739,600"
85,"Oct 25, 2022",34.40,35.60,34.40,35.52,"6,596,900"
86,"Oct 24, 2022",34.40,34.75,34.07,34.69,"7,655,600"
87,"Oct 21, 2022",33.40,34.54,33.21,34.30,"9,883,800"
88,"Oct 20, 2022",33.50,34.03,33.32,33.36,"6,223,600"
89,"Oct 19, 2022",32.91,33.59,32.83,33.39,"8,462,600"
90,"Oct 18, 2022",33.46,33.88,32.70,33.10,"10,005,500"
91,"Oct 17, 2022",33.73,33.98,32.96,33.00,"13,122,900"
92,"Oct 14, 2022",33.70,34.24,33.20,33.24,"10,479,800"
93,"Oct 13, 2022",31.91,34.01,31.77,33.65,"21,806,900"
94,"Oct 12, 2022",32.65,32.88,31.88,31.94,"9,555,900"
95,"Oct 11, 2022",32.03,33.17,31.94,32.61,"10,981,800"
96,"Oct 10, 2022",30.87,32.16,30.83,31.84,"10,560,000"
