,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",140.84,142.74,139.53,142.47,"6,874,500"
1,"Feb 23, 2023",144.37,144.37,140.71,142.09,"7,340,400"
2,"Feb 22, 2023",146.77,147.57,142.76,144.24,"9,948,000"
3,"Feb 21, 2023",142.88,148.34,142.15,147.33,"18,131,300"
4,"Feb 17, 2023",145.11,146.69,144.57,146.44,"8,256,900"
5,"Feb 16, 2023",145.48,145.99,144.18,144.27,"5,437,400"
6,"Feb 15, 2023",144.96,146.60,144.56,146.57,"4,891,400"
7,"Feb 14, 2023",145.73,147.13,144.56,145.49,"4,610,400"
8,"Feb 13, 2023",144.71,146.12,144.51,145.91,"5,338,600"
9,"Feb 10, 2023",143.09,143.94,142.17,143.72,"5,000,900"
10,"Feb 09, 2023",140.87,141.94,140.57,141.52,"4,354,800"
11,"Feb 08, 2023",140.33,141.10,139.99,140.22,"3,897,100"
12,"Feb 07, 2023",139.77,141.30,138.69,140.98,"5,447,100"
13,"Feb 06, 2023",141.82,142.10,140.03,140.68,"5,818,000"
14,"Feb 03, 2023",143.36,143.96,140.86,141.71,"5,718,500"
15,"Feb 02, 2023",144.41,144.86,142.94,143.62,"5,935,600"
16,"Feb 01, 2023",143.66,145.61,142.70,144.67,"4,283,100"
17,"Jan 31, 2023",142.32,143.88,141.66,143.87,"4,701,200"
18,"Jan 30, 2023",142.12,142.45,141.27,142.15,"5,299,200"
19,"Jan 27, 2023",142.60,144.47,141.75,143.30,"6,137,600"
20,"Jan 26, 2023",143.03,143.75,141.76,142.21,"5,273,000"
21,"Jan 25, 2023",142.24,142.84,140.39,142.34,"4,163,900"
22,"Jan 24, 2023",146.55,146.55,141.00,143.02,"4,556,400"
23,"Jan 23, 2023",140.46,143.01,140.20,142.64,"4,383,300"
24,"Jan 20, 2023",139.40,140.78,138.17,140.54,"9,847,700"
25,"Jan 19, 2023",141.39,141.53,138.79,138.83,"5,780,700"
26,"Jan 18, 2023",144.20,144.25,140.48,140.84,"7,558,100"
27,"Jan 17, 2023",145.29,145.71,144.20,144.41,"5,040,800"
28,"Jan 13, 2023",145.53,145.82,143.86,145.29,"4,566,600"
29,"Jan 12, 2023",146.41,146.42,144.39,144.81,"4,157,600"
30,"Jan 11, 2023",145.74,146.18,144.73,146.13,"4,944,900"
31,"Jan 10, 2023",144.94,145.45,143.73,144.86,"3,990,200"
32,"Jan 09, 2023",146.32,147.86,144.80,144.95,"5,918,900"
33,"Jan 06, 2023",144.60,147.55,144.24,146.78,"7,077,300"
34,"Jan 05, 2023",143.46,144.13,142.65,143.27,"4,424,800"
35,"Jan 04, 2023",143.42,144.05,142.07,143.76,"4,446,100"
36,"Jan 03, 2023",142.55,143.71,142.09,143.60,"5,749,900"
37,"Dec 30, 2022",141.56,141.99,140.81,141.79,"3,835,300"
38,"Dec 29, 2022",142.14,143.02,141.75,142.15,"3,057,300"
39,"Dec 28, 2022",143.47,143.67,140.91,141.29,"5,082,100"
40,"Dec 27, 2022",144.04,144.45,143.19,143.81,"3,348,200"
41,"Dec 23, 2022",143.05,143.80,142.28,143.77,"3,182,500"
42,"Dec 22, 2022",144.77,144.98,141.93,143.48,"4,360,800"
43,"Dec 21, 2022",144.32,145.94,144.26,145.18,"4,575,500"
44,"Dec 20, 2022",142.92,144.64,142.25,144.05,"5,669,800"
45,"Dec 19, 2022",143.01,143.56,141.73,142.80,"5,022,500"
46,"Dec 16, 2022",144.48,144.72,142.57,142.75,"13,447,700"
47,"Dec 15, 2022",145.58,146.42,143.63,145.36,"5,838,000"
48,"Dec 14, 2022",147.09,148.53,145.96,146.67,"6,778,200"
49,"Dec 13, 2022",150.00,150.20,146.74,147.49,"7,802,700"
50,"Dec 12, 2022",145.90,148.10,145.56,148.02,"6,477,400"
51,"Dec 09, 2022",147.47,147.72,145.22,145.31,"9,309,800"
52,"Dec 08, 2022",149.16,149.28,148.14,148.78,"4,504,200"
53,"Dec 08, 2022",Dividend,,,,
54,"Dec 07, 2022",150.50,151.21,148.82,149.11,"5,850,100"
55,"Dec 06, 2022",151.20,151.91,149.21,149.89,"6,875,200"
