,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",93.53,94.14,92.32,93.50,"57,010,100"
1,"Feb 23, 2023",96.12,96.43,93.67,95.82,"48,467,000"
2,"Feb 22, 2023",95.10,97.01,94.80,95.79,"59,534,100"
3,"Feb 21, 2023",95.34,95.61,94.27,94.58,"56,580,400"
4,"Feb 17, 2023",97.80,97.94,95.65,97.20,"59,967,700"
5,"Feb 16, 2023",99.21,100.63,98.10,98.15,"56,339,200"
6,"Feb 15, 2023",99.09,101.17,98.45,101.16,"48,053,900"
7,"Feb 14, 2023",98.41,100.92,97.52,99.70,"56,202,900"
8,"Feb 13, 2023",97.85,99.68,96.91,99.54,"52,841,500"
9,"Feb 10, 2023",97.56,98.82,96.23,97.61,"52,698,600"
10,"Feb 09, 2023",101.32,101.78,97.57,98.24,"64,622,500"
11,"Feb 08, 2023",102.04,102.67,98.78,100.05,"75,878,300"
12,"Feb 07, 2023",101.17,102.41,98.08,102.11,"119,501,300"
13,"Feb 06, 2023",102.93,103.95,100.65,102.18,"81,945,200"
14,"Feb 03, 2023",105.26,108.78,102.52,103.39,"144,173,400"
15,"Feb 02, 2023",110.25,114.00,108.88,112.91,"158,154,200"
16,"Feb 01, 2023",102.53,106.24,101.24,105.15,"80,450,100"
17,"Jan 31, 2023",101.16,103.35,101.14,103.13,"66,527,300"
18,"Jan 30, 2023",101.09,101.74,99.01,100.55,"70,691,900"
19,"Jan 27, 2023",99.53,103.49,99.53,102.24,"87,678,100"
20,"Jan 26, 2023",98.24,99.49,96.92,99.22,"68,523,600"
21,"Jan 25, 2023",92.56,97.24,91.52,97.18,"94,261,600"
22,"Jan 24, 2023",96.93,98.09,96.00,96.32,"66,929,500"
23,"Jan 23, 2023",97.56,97.78,95.86,97.52,"76,501,100"
24,"Jan 20, 2023",93.86,97.35,93.20,97.25,"67,307,100"
25,"Jan 19, 2023",94.74,95.44,92.86,93.68,"69,002,700"
26,"Jan 18, 2023",97.25,99.32,95.38,95.46,"79,570,400"
27,"Jan 17, 2023",98.68,98.89,95.73,96.05,"72,755,000"
28,"Jan 13, 2023",94.18,98.37,94.12,98.12,"85,413,600"
29,"Jan 12, 2023",96.93,97.19,93.50,95.27,"85,254,800"
30,"Jan 11, 2023",90.93,95.26,90.93,95.09,"103,126,200"
31,"Jan 10, 2023",87.57,90.19,87.29,89.87,"67,756,600"
32,"Jan 09, 2023",87.46,89.48,87.08,87.36,"65,266,100"
33,"Jan 06, 2023",83.03,86.40,81.43,86.08,"83,219,100"
34,"Jan 05, 2023",85.33,85.42,83.07,83.12,"67,930,800"
35,"Jan 04, 2023",86.55,86.98,83.36,85.14,"68,885,100"
36,"Jan 03, 2023",85.46,86.96,84.21,85.82,"76,706,000"
37,"Dec 30, 2022",83.12,84.05,82.47,84.00,"62,330,000"
38,"Dec 29, 2022",82.87,84.55,82.55,84.18,"54,995,900"
39,"Dec 28, 2022",82.80,83.48,81.69,81.82,"58,228,600"
40,"Dec 27, 2022",84.97,85.35,83.00,83.04,"57,284,000"
41,"Dec 23, 2022",83.25,85.78,82.93,85.25,"57,433,700"
42,"Dec 22, 2022",85.52,85.68,82.25,83.79,"81,431,300"
43,"Dec 21, 2022",86.18,87.23,85.21,86.77,"59,267,200"
44,"Dec 20, 2022",85.33,86.61,84.33,85.19,"74,348,300"
45,"Dec 19, 2022",87.51,87.63,84.51,84.92,"83,531,500"
46,"Dec 16, 2022",88.27,89.35,86.73,87.86,"146,144,100"
47,"Dec 15, 2022",89.89,89.97,87.47,88.45,"84,802,900"
48,"Dec 14, 2022",92.50,93.46,89.87,91.58,"70,298,000"
49,"Dec 13, 2022",95.23,96.25,90.52,92.49,"100,212,000"
50,"Dec 12, 2022",89.21,90.58,87.87,90.55,"61,999,800"
51,"Dec 09, 2022",88.90,90.30,88.63,89.09,"67,398,500"
52,"Dec 08, 2022",89.24,90.86,87.88,90.35,"73,305,900"
53,"Dec 07, 2022",88.34,89.89,87.48,88.46,"68,086,900"
54,"Dec 06, 2022",90.50,91.04,87.90,88.25,"75,503,600"
55,"Dec 05, 2022",93.05,94.06,90.82,91.01,"71,535,500"
56,"Dec 02, 2022",94.48,95.36,93.78,94.13,"72,496,400"
57,"Dec 01, 2022",96.99,97.23,94.92,95.50,"68,488,000"
58,"Nov 30, 2022",92.47,96.54,91.53,96.54,"102,805,800"
59,"Nov 29, 2022",94.04,94.41,91.44,92.42,"65,567,300"
60,"Nov 28, 2022",93.93,96.40,93.43,93.95,"74,943,100"
61,"Nov 25, 2022",93.79,94.43,93.07,93.41,"35,088,600"
62,"Nov 23, 2022",93.24,94.58,92.83,94.13,"59,414,700"
63,"Nov 22, 2022",92.62,93.35,90.87,93.20,"62,192,000"
64,"Nov 21, 2022",93.97,95.02,90.59,92.46,"84,330,300"
65,"Nov 18, 2022",95.95,95.99,92.48,94.14,"72,428,200"
66,"Nov 17, 2022",95.37,96.97,94.03,94.85,"82,617,900"
67,"Nov 16, 2022",96.85,98.49,95.54,97.12,"87,958,800"
68,"Nov 15, 2022",103.21,103.79,97.34,98.94,"111,336,300"
69,"Nov 14, 2022",98.77,100.12,97.29,98.49,"99,533,100"
70,"Nov 11, 2022",97.88,101.19,96.66,100.79,"111,590,500"
71,"Nov 10, 2022",92.94,98.69,91.65,96.63,"173,414,900"
72,"Nov 09, 2022",89.47,89.48,85.87,86.14,"90,796,200"
73,"Nov 08, 2022",90.79,91.72,88.23,89.98,"88,703,400"
74,"Nov 07, 2022",91.95,92.10,89.04,90.53,"77,495,700"
75,"Nov 04, 2022",91.49,92.44,88.04,90.98,"129,101,300"
76,"Nov 03, 2022",92.47,93.50,89.02,89.30,"136,683,300"
77,"Nov 02, 2022",97.32,97.74,92.01,92.12,"135,761,800"
78,"Nov 01, 2022",103.99,104.58,96.06,96.79,"153,370,000"
79,"Oct 31, 2022",103.56,104.87,100.74,102.44,"99,251,400"
80,"Oct 28, 2022",97.91,103.96,97.66,103.41,"223,133,400"
81,"Oct 27, 2022",113.92,114.12,109.77,110.96,"129,605,400"
82,"Oct 26, 2022",116.00,119.35,114.76,115.66,"68,802,300"
83,"Oct 25, 2022",119.65,121.32,118.95,120.60,"50,934,600"
84,"Oct 24, 2022",119.98,120.39,116.57,119.82,"49,531,500"
85,"Oct 21, 2022",114.79,119.59,114.50,119.32,"55,660,500"
86,"Oct 20, 2022",113.83,118.24,113.51,115.25,"48,795,100"
87,"Oct 19, 2022",114.71,116.59,113.22,115.07,"47,198,100"
88,"Oct 18, 2022",119.06,119.52,114.79,116.36,"65,607,400"
89,"Oct 17, 2022",110.11,114.19,110.09,113.79,"62,782,000"
90,"Oct 14, 2022",114.10,114.96,106.60,106.90,"67,737,300"
91,"Oct 13, 2022",107.88,113.44,105.35,112.53,"86,868,100"
92,"Oct 12, 2022",112.49,113.83,111.40,112.90,"45,728,700"
93,"Oct 11, 2022",112.71,115.48,110.39,112.21,"56,432,200"
94,"Oct 10, 2022",115.10,116.25,112.43,113.67,"42,339,700"
95,"Oct 07, 2022",118.00,118.17,113.88,114.56,"54,678,000"
96,"Oct 06, 2022",120.77,121.53,119.50,120.30,"42,253,800"
97,"Oct 05, 2022",118.58,121.75,117.69,120.95,"48,217,500"
98,"Oct 04, 2022",119.89,123.00,119.79,121.09,"62,812,600"
99,"Oct 03, 2022",113.58,116.91,112.45,115.88,"50,941,900"
100,"Sep 30, 2022",114.08,116.92,112.84,113.00,"59,479,600"
101,"Sep 29, 2022",115.60,116.07,113.06,114.80,"58,969,700"
102,"Sep 28, 2022",114.38,118.70,113.80,118.01,"55,763,800"
103,"Sep 27, 2022",117.20,118.32,113.05,114.41,"60,094,700"
104,"Sep 26, 2022",113.30,117.34,113.13,115.15,"62,723,300"
105,"Sep 23, 2022",116.00,116.05,112.06,113.78,"65,126,700"
106,"Sep 22, 2022",117.08,118.79,116.26,117.31,"55,229,200"
107,"Sep 21, 2022",122.49,123.76,118.45,118.54,"58,498,900"
108,"Sep 20, 2022",123.35,124.40,121.14,122.19,"47,698,400"
109,"Sep 19, 2022",122.16,124.71,121.80,124.66,"47,279,700"
110,"Sep 16, 2022",122.78,123.87,120.70,123.53,"115,667,800"
111,"Sep 15, 2022",127.38,130.37,125.50,126.28,"52,887,200"
112,"Sep 14, 2022",127.36,128.84,126.33,128.55,"45,316,800"
113,"Sep 13, 2022",131.01,131.40,126.27,126.82,"72,694,000"
114,"Sep 12, 2022",134.10,136.49,134.00,136.45,"53,826,900"
115,"Sep 09, 2022",130.91,133.69,130.76,133.27,"49,387,600"
116,"Sep 08, 2022",127.72,130.28,127.10,129.82,"43,988,500"
117,"Sep 07, 2022",126.12,129.82,125.40,129.48,"47,900,300"
118,"Sep 06, 2022",127.92,128.62,124.74,126.11,"43,888,600"
119,"Sep 02, 2022",129.50,131.38,126.39,127.51,"57,429,800"
120,"Sep 01, 2022",126.00,128.02,123.66,127.82,"56,636,100"
121,"Aug 31, 2022",129.45,130.59,126.74,126.77,"53,648,700"
122,"Aug 30, 2022",131.25,132.07,126.85,128.73,"49,203,000"
123,"Aug 29, 2022",129.90,131.95,128.77,129.79,"48,101,600"
124,"Aug 26, 2022",136.55,137.83,130.50,130.75,"53,322,700"
125,"Aug 25, 2022",135.26,137.42,134.28,137.28,"37,496,300"
126,"Aug 24, 2022",132.75,135.47,132.10,133.80,"38,627,000"
127,"Aug 23, 2022",133.41,134.99,132.95,133.62,"36,252,100"
128,"Aug 22, 2022",135.72,136.32,132.85,133.22,"50,461,500"
129,"Aug 19, 2022",140.47,141.11,137.91,138.23,"47,792,800"
130,"Aug 18, 2022",141.32,142.77,140.38,142.30,"37,458,700"
131,"Aug 17, 2022",142.69,143.38,140.78,142.10,"48,149,800"
