,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",89.63,90.13,88.86,89.35,"31,276,600"
1,"Feb 23, 2023",92.13,92.13,90.01,91.07,"32,423,700"
2,"Feb 22, 2023",91.93,92.36,90.87,91.80,"29,891,100"
3,"Feb 21, 2023",93.24,93.42,92.00,92.05,"28,367,200"
4,"Feb 17, 2023",95.07,95.75,93.45,94.59,"31,074,100"
5,"Feb 16, 2023",95.54,97.88,94.97,95.78,"35,642,100"
6,"Feb 15, 2023",94.74,97.34,94.36,97.10,"37,029,900"
7,"Feb 14, 2023",94.66,95.18,92.65,94.95,"42,513,100"
8,"Feb 13, 2023",95.01,95.35,94.05,95.00,"43,116,600"
9,"Feb 10, 2023",95.74,97.02,94.53,94.86,"49,269,900"
10,"Feb 09, 2023",100.54,100.61,93.86,95.46,"97,798,600"
11,"Feb 08, 2023",102.69,103.58,98.46,100.00,"73,546,000"
12,"Feb 07, 2023",103.63,108.67,103.55,108.04,"33,738,800"
13,"Feb 06, 2023",102.68,104.70,102.21,103.47,"25,573,000"
14,"Feb 03, 2023",103.51,108.02,103.30,105.22,"36,805,900"
15,"Feb 02, 2023",106.79,108.82,106.54,108.80,"46,622,600"
16,"Feb 01, 2023",99.74,102.19,98.42,101.43,"26,392,600"
17,"Jan 31, 2023",97.86,99.91,97.79,99.87,"22,306,800"
18,"Jan 30, 2023",98.75,99.41,97.52,97.95,"24,365,100"
19,"Jan 27, 2023",99.05,101.58,98.97,100.71,"29,011,900"
20,"Jan 26, 2023",98.28,99.21,96.82,99.16,"24,542,100"
21,"Jan 25, 2023",97.20,97.72,95.26,96.73,"31,000,900"
22,"Jan 24, 2023",99.55,101.09,98.70,99.21,"27,391,400"
23,"Jan 23, 2023",99.13,101.40,98.75,101.21,"31,791,800"
24,"Jan 20, 2023",95.95,99.42,95.91,99.28,"53,610,200"
25,"Jan 19, 2023",91.39,94.40,91.38,93.91,"28,707,700"
26,"Jan 18, 2023",92.94,93.59,91.40,91.78,"19,641,600"
27,"Jan 17, 2023",92.78,92.97,90.84,92.16,"22,935,800"
28,"Jan 13, 2023",91.53,92.98,90.93,92.80,"18,617,800"
29,"Jan 12, 2023",92.40,92.62,90.57,91.91,"22,754,200"
30,"Jan 11, 2023",90.06,92.45,89.74,92.26,"25,998,800"
31,"Jan 10, 2023",86.72,89.47,86.70,89.24,"22,855,600"
32,"Jan 09, 2023",89.19,90.83,88.58,88.80,"22,996,700"
33,"Jan 06, 2023",87.36,88.47,85.57,88.16,"26,604,400"
34,"Jan 05, 2023",88.07,88.21,86.56,86.77,"23,136,100"
35,"Jan 04, 2023",91.01,91.24,87.80,88.71,"27,046,500"
36,"Jan 03, 2023",89.83,91.55,89.02,89.70,"20,738,500"
37,"Dec 30, 2022",87.36,88.83,87.03,88.73,"19,179,300"
38,"Dec 29, 2022",87.03,89.36,86.99,88.95,"18,280,700"
39,"Dec 28, 2022",87.50,88.52,86.37,86.46,"17,879,600"
40,"Dec 27, 2022",89.31,89.50,87.54,87.93,"15,470,900"
41,"Dec 23, 2022",87.62,90.10,87.62,89.81,"17,815,000"
42,"Dec 22, 2022",88.93,89.18,86.94,88.26,"23,656,100"
43,"Dec 21, 2022",89.73,90.92,88.91,90.25,"20,336,400"
44,"Dec 20, 2022",88.73,89.78,88.04,89.63,"21,976,800"
45,"Dec 19, 2022",90.88,91.20,88.93,89.15,"23,020,500"
46,"Dec 16, 2022",91.20,91.75,90.01,90.86,"48,485,500"
47,"Dec 15, 2022",93.54,94.03,90.43,91.20,"28,298,800"
48,"Dec 14, 2022",95.54,97.22,93.94,95.31,"26,452,900"
49,"Dec 13, 2022",98.07,99.80,95.38,95.85,"34,788,500"
50,"Dec 12, 2022",93.09,93.88,91.90,93.56,"27,380,900"
51,"Dec 09, 2022",93.90,94.49,93.02,93.07,"21,885,300"
52,"Dec 08, 2022",95.69,95.87,93.80,93.95,"25,593,200"
53,"Dec 07, 2022",96.77,97.31,95.03,95.15,"26,647,900"
54,"Dec 06, 2022",99.67,100.21,96.76,97.31,"20,877,600"
55,"Dec 05, 2022",99.82,101.75,99.36,99.87,"19,955,500"
56,"Dec 02, 2022",99.37,101.15,99.17,100.83,"18,821,500"
57,"Dec 01, 2022",101.40,102.59,100.67,101.28,"21,771,500"
58,"Nov 30, 2022",95.12,101.45,94.67,101.45,"39,888,100"
59,"Nov 29, 2022",96.00,96.39,94.39,95.44,"20,220,000"
60,"Nov 28, 2022",97.20,97.83,95.89,96.25,"19,974,500"
61,"Nov 25, 2022",98.46,98.94,97.53,97.60,"8,567,800"
62,"Nov 23, 2022",97.34,99.07,97.34,98.82,"17,568,900"
63,"Nov 22, 2022",96.16,97.55,94.41,97.33,"18,868,900"
64,"Nov 21, 2022",97.56,98.72,95.67,95.83,"18,696,900"
65,"Nov 18, 2022",99.01,99.16,96.74,97.80,"24,969,900"
66,"Nov 17, 2022",97.18,99.48,97.10,98.50,"21,818,700"
67,"Nov 16, 2022",98.02,99.85,97.90,98.99,"24,660,200"
68,"Nov 15, 2022",98.67,100.42,97.02,98.72,"31,831,000"
69,"Nov 14, 2022",95.50,97.18,95.11,96.03,"24,170,100"
70,"Nov 11, 2022",94.71,97.36,94.16,96.73,"30,569,100"
71,"Nov 10, 2022",92.34,94.55,91.65,94.17,"42,371,200"
72,"Nov 09, 2022",88.54,89.49,87.36,87.40,"26,743,900"
