,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 24, 2023",168.64,170.72,167.66,170.39,170.39,"19,763,800"
1,"Feb 23, 2023",172.00,173.69,169.38,172.04,172.04,"20,017,800"
2,"Feb 22, 2023",171.07,172.76,169.69,171.12,171.12,"22,433,200"
3,"Feb 21, 2023",174.31,178.17,171.88,172.08,172.08,"34,592,600"
4,"Feb 17, 2023",170.22,173.18,169.70,172.88,172.88,"22,191,900"
5,"Feb 16, 2023",172.75,175.85,171.79,172.44,172.44,"25,827,500"
6,"Feb 15, 2023",176.42,178.19,175.33,177.16,177.16,"25,338,000"
7,"Feb 14, 2023",177.16,181.51,175.88,179.48,179.48,"24,034,600"
8,"Feb 13, 2023",178.22,181.00,175.82,179.43,179.43,"31,463,200"
9,"Feb 10, 2023",176.35,178.89,173.35,174.15,174.15,"33,413,200"
10,"Feb 09, 2023",186.13,186.65,177.27,177.92,177.92,"37,118,800"
11,"Feb 08, 2023",190.00,190.83,182.92,183.43,183.43,"36,139,100"
12,"Feb 07, 2023",185.58,193.78,184.40,191.62,191.62,"47,080,700"
13,"Feb 06, 2023",186.53,190.70,185.52,186.06,186.06,"42,483,800"
14,"Feb 03, 2023",183.47,196.77,182.89,186.53,186.53,"76,733,100"
15,"Feb 02, 2023",183.38,197.16,180.16,188.77,188.77,"150,475,700"
16,"Feb 01, 2023",148.03,153.58,147.06,153.12,153.12,"55,661,000"
17,"Jan 31, 2023",147.95,149.88,147.52,148.97,148.97,"29,842,100"
18,"Jan 30, 2023",149.41,151.12,146.95,147.06,147.06,"28,040,100"
19,"Jan 27, 2023",148.24,153.19,147.39,151.74,151.74,"35,746,900"
20,"Jan 26, 2023",144.40,147.51,143.30,147.30,147.30,"25,482,100"
21,"Jan 25, 2023",141.22,143.17,140.31,141.50,141.50,"26,622,000"
22,"Jan 24, 2023",141.69,145.00,141.36,143.14,143.14,"21,970,200"
23,"Jan 23, 2023",139.29,143.76,138.66,143.27,143.27,"27,470,100"
24,"Jan 20, 2023",135.89,139.94,134.61,139.37,139.37,"28,643,100"
25,"Jan 19, 2023",132.49,137.45,132.14,136.15,136.15,"28,625,200"
26,"Jan 18, 2023",135.81,137.25,132.80,133.02,133.02,"20,215,500"
27,"Jan 17, 2023",136.18,136.75,134.25,135.36,135.36,"21,147,600"
28,"Jan 13, 2023",134.97,137.39,134.84,136.98,136.98,"22,410,700"
29,"Jan 12, 2023",133.44,137.68,131.76,136.71,136.71,"30,757,700"
30,"Jan 11, 2023",130.96,133.85,130.34,132.89,132.89,"25,423,000"
31,"Jan 10, 2023",127.27,133.44,127.15,132.99,132.99,"28,684,400"
32,"Jan 09, 2023",131.16,132.95,129.28,129.47,129.47,"26,649,100"
33,"Jan 06, 2023",128.97,130.33,126.04,130.02,130.02,"27,567,600"
34,"Jan 05, 2023",126.13,128.52,124.54,126.94,126.94,"25,447,100"
35,"Jan 04, 2023",127.38,129.05,125.85,127.37,127.37,"32,397,100"
36,"Jan 03, 2023",122.82,126.37,122.28,124.74,124.74,"35,528,500"
37,"Dec 30, 2022",118.16,120.42,117.74,120.34,120.34,"19,492,100"
38,"Dec 29, 2022",116.40,121.03,115.77,120.26,120.26,"22,366,200"
39,"Dec 28, 2022",116.25,118.15,115.51,115.62,115.62,"19,612,500"
40,"Dec 27, 2022",117.93,118.60,116.05,116.88,116.88,"21,392,300"
41,"Dec 23, 2022",116.03,118.18,115.54,118.04,118.04,"17,796,600"
42,"Dec 22, 2022",117.20,118.62,114.38,117.12,117.12,"23,618,100"
43,"Dec 21, 2022",116.70,120.34,115.62,119.76,119.76,"20,392,800"
44,"Dec 20, 2022",113.26,117.33,112.46,117.09,117.09,"28,742,500"
