,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",73.50,74.03,72.98,73.55,"12,313,600"
1,"Feb 23, 2023",75.89,76.28,73.63,75.19,"9,292,000"
2,"Feb 22, 2023",75.36,76.28,74.89,75.48,"9,526,700"
3,"Feb 21, 2023",73.71,75.57,73.68,75.24,"14,537,400"
4,"Feb 17, 2023",76.20,76.33,73.59,74.66,"15,830,800"
5,"Feb 16, 2023",76.87,78.72,76.54,76.73,"11,461,800"
6,"Feb 15, 2023",76.53,78.79,76.05,77.91,"14,511,600"
7,"Feb 14, 2023",79.00,79.37,76.30,77.26,"18,802,000"
8,"Feb 13, 2023",80.65,80.71,78.44,79.45,"15,898,500"
9,"Feb 10, 2023",79.37,82.85,78.60,80.80,"37,502,600"
10,"Feb 09, 2023",81.73,81.80,78.10,78.42,"25,473,900"
11,"Feb 08, 2023",82.35,82.61,79.62,79.72,"13,569,300"
12,"Feb 07, 2023",82.06,83.67,80.82,83.23,"13,520,800"
13,"Feb 06, 2023",83.33,83.80,82.14,82.33,"14,175,900"
14,"Feb 03, 2023",85.39,87.84,85.20,85.52,"14,775,200"
15,"Feb 02, 2023",86.72,88.63,84.65,86.96,"16,906,600"
16,"Feb 01, 2023",81.34,83.60,79.58,82.91,"13,221,600"
17,"Jan 31, 2023",79.70,82.47,79.61,81.49,"15,730,300"
18,"Jan 30, 2023",80.87,81.36,79.54,79.64,"10,301,000"
19,"Jan 27, 2023",80.56,82.54,80.32,81.83,"10,886,500"
20,"Jan 26, 2023",80.08,80.90,78.56,80.81,"10,566,000"
21,"Jan 25, 2023",78.56,79.55,77.30,79.10,"9,463,400"
22,"Jan 24, 2023",79.38,80.39,78.11,79.58,"9,491,300"
23,"Jan 23, 2023",77.83,79.72,76.66,79.50,"17,407,300"
24,"Jan 20, 2023",77.01,79.10,75.90,79.09,"12,187,400"
25,"Jan 19, 2023",76.26,77.42,75.96,76.75,"10,023,400"
26,"Jan 18, 2023",79.80,80.75,77.12,77.31,"13,601,900"
27,"Jan 17, 2023",80.14,80.67,78.88,80.18,"11,261,800"
28,"Jan 13, 2023",78.53,79.81,78.03,79.48,"8,621,300"
29,"Jan 12, 2023",79.01,80.30,77.10,79.78,"9,381,900"
30,"Jan 11, 2023",78.67,79.19,77.82,78.54,"10,640,400"
31,"Jan 10, 2023",76.90,78.02,76.50,77.92,"10,436,000"
32,"Jan 09, 2023",77.00,78.76,76.53,77.08,"12,966,100"
33,"Jan 06, 2023",76.77,77.06,73.95,76.48,"14,160,400"
34,"Jan 05, 2023",77.30,77.32,75.65,76.27,"11,113,800"
35,"Jan 04, 2023",76.11,78.48,75.43,77.69,"19,144,700"
36,"Jan 03, 2023",73.69,75.26,73.38,74.58,"27,974,200"
37,"Dec 30, 2022",69.48,71.26,69.06,71.22,"10,167,000"
38,"Dec 29, 2022",68.39,70.74,68.22,70.56,"13,143,000"
39,"Dec 28, 2022",68.12,69.47,67.29,67.55,"8,897,600"
40,"Dec 27, 2022",68.96,69.24,67.68,68.33,"10,323,800"
41,"Dec 23, 2022",68.05,69.25,67.71,69.03,"9,990,400"
42,"Dec 22, 2022",68.54,68.82,66.39,68.57,"16,488,200"
43,"Dec 21, 2022",68.81,70.19,68.07,69.21,"13,861,600"
44,"Dec 20, 2022",68.39,70.13,68.13,68.76,"9,470,900"
45,"Dec 19, 2022",69.06,69.60,67.75,68.95,"15,330,000"
46,"Dec 16, 2022",69.40,70.86,68.45,69.26,"25,735,200"
47,"Dec 15, 2022",71.29,71.66,69.44,69.77,"17,639,900"
48,"Dec 14, 2022",73.70,74.33,71.59,72.63,"18,298,800"
49,"Dec 13, 2022",77.04,77.81,73.10,73.70,"20,069,600"
50,"Dec 12, 2022",73.14,74.07,72.80,73.80,"13,652,800"
51,"Dec 09, 2022",73.95,74.59,73.34,73.57,"11,781,600"
52,"Dec 08, 2022",75.09,75.86,73.79,74.22,"13,151,100"
53,"Dec 07, 2022",71.68,75.34,71.01,74.42,"24,695,600"
54,"Dec 06, 2022",73.38,73.84,71.35,72.23,"14,692,600"
55,"Dec 05, 2022",74.01,75.49,72.82,73.62,"18,317,200"
56,"Dec 02, 2022",76.82,77.06,74.52,74.66,"24,238,400"
57,"Dec 01, 2022",79.11,80.75,78.14,78.53,"15,189,000"
58,"Nov 30, 2022",77.70,79.11,75.32,78.41,"25,747,300"
59,"Nov 29, 2022",79.23,80.75,77.26,77.64,"15,491,100"
60,"Nov 28, 2022",79.93,82.92,79.64,79.93,"11,282,600"
61,"Nov 25, 2022",80.60,80.75,79.42,80.08,"4,634,500"
62,"Nov 23, 2022",79.52,80.99,78.74,80.75,"8,851,700"
63,"Nov 22, 2022",80.14,80.16,76.05,79.91,"17,402,600"
64,"Nov 21, 2022",84.26,84.79,80.57,80.63,"13,839,700"
65,"Nov 18, 2022",86.86,87.28,84.43,84.92,"9,371,700"
66,"Nov 17, 2022",84.61,87.34,83.51,85.64,"11,250,100"
67,"Nov 16, 2022",89.62,89.71,85.48,87.04,"17,049,800"
68,"Nov 15, 2022",92.49,92.62,89.28,89.86,"14,515,700"
69,"Nov 14, 2022",90.16,91.37,88.92,89.51,"10,944,100"
70,"Nov 11, 2022",86.52,92.00,86.46,91.03,"19,916,700"
71,"Nov 10, 2022",84.11,86.90,83.11,86.80,"20,122,100"
72,"Nov 09, 2022",80.02,80.25,78.09,78.68,"14,327,600"
73,"Nov 08, 2022",78.15,83.23,78.05,81.13,"19,481,300"
74,"Nov 07, 2022",76.53,78.18,76.12,77.66,"18,061,500"
75,"Nov 04, 2022",75.00,75.31,71.17,75.18,"41,464,900"
76,"Nov 03, 2022",78.15,78.72,75.29,76.55,"26,962,900"
77,"Nov 02, 2022",83.11,84.22,79.39,79.45,"13,037,400"
78,"Nov 01, 2022",85.00,86.14,83.06,83.11,"10,269,700"
79,"Oct 31, 2022",85.51,86.25,82.47,83.58,"17,709,500"
80,"Oct 28, 2022",86.09,87.42,84.19,86.25,"16,005,700"
81,"Oct 27, 2022",88.55,89.71,87.10,87.35,"10,785,800"
82,"Oct 26, 2022",88.10,91.34,87.92,88.55,"12,101,100"
83,"Oct 25, 2022",86.17,89.68,85.96,89.24,"18,001,400"
84,"Oct 24, 2022",84.55,84.60,80.86,83.32,"13,299,000"
