,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",58.05,58.81,57.66,58.33,"1,257,600"
1,"Feb 23, 2023",58.34,59.06,57.87,58.88,"1,501,600"
2,"Feb 22, 2023",57.18,58.48,56.85,57.46,"3,502,700"
3,"Feb 21, 2023",55.91,57.00,55.44,55.77,"2,437,300"
4,"Feb 17, 2023",58.62,58.62,56.92,57.20,"1,984,900"
5,"Feb 16, 2023",58.35,59.46,57.97,58.90,"1,424,800"
6,"Feb 15, 2023",58.98,59.81,58.57,59.52,"1,085,900"
7,"Feb 14, 2023",59.07,60.08,58.60,59.49,"1,025,200"
8,"Feb 13, 2023",58.64,59.79,58.48,59.78,"1,057,000"
9,"Feb 10, 2023",58.00,58.87,57.96,58.76,"1,015,700"
10,"Feb 09, 2023",59.27,59.43,58.11,58.31,"1,690,300"
11,"Feb 08, 2023",59.75,59.95,58.13,58.49,"1,600,600"
12,"Feb 07, 2023",59.21,60.40,58.73,60.07,"1,295,100"
13,"Feb 06, 2023",60.04,60.48,59.52,59.53,"1,064,900"
14,"Feb 03, 2023",61.18,61.69,60.30,60.74,"1,140,600"
15,"Feb 02, 2023",61.32,62.61,60.99,61.72,"1,960,900"
16,"Feb 01, 2023",59.13,60.94,58.02,60.26,"2,222,400"
17,"Jan 31, 2023",57.63,59.52,57.55,59.49,"2,297,700"
18,"Jan 30, 2023",56.79,57.64,56.45,56.49,"1,065,100"
19,"Jan 27, 2023",57.04,57.68,56.86,57.39,"639,800"
20,"Jan 26, 2023",57.00,57.76,56.35,57.16,"872,200"
21,"Jan 25, 2023",55.71,56.98,55.56,56.63,"1,003,500"
22,"Jan 24, 2023",57.72,57.72,54.71,56.36,"1,156,000"
23,"Jan 23, 2023",55.56,56.43,55.37,56.04,"943,000"
24,"Jan 20, 2023",55.38,55.91,54.62,55.86,"1,127,200"
25,"Jan 19, 2023",56.08,56.22,54.70,55.09,"1,494,500"
26,"Jan 18, 2023",56.48,57.64,56.14,56.30,"1,475,500"
27,"Jan 17, 2023",55.95,56.41,55.76,56.09,"1,042,000"
28,"Jan 13, 2023",55.07,56.32,55.07,56.13,"1,054,500"
29,"Jan 12, 2023",55.70,56.33,54.36,56.01,"1,479,300"
30,"Jan 11, 2023",55.67,55.80,55.03,55.45,"1,827,100"
31,"Jan 10, 2023",53.04,54.01,53.04,53.91,"1,687,800"
32,"Jan 09, 2023",53.51,54.40,53.18,53.39,"2,321,200"
33,"Jan 06, 2023",52.62,53.70,52.57,53.11,"1,442,400"
34,"Jan 05, 2023",51.00,52.26,50.70,52.14,"1,261,400"
35,"Jan 05, 2023",Dividend,,,,
36,"Jan 04, 2023",51.41,52.09,51.10,51.87,"1,585,800"
37,"Jan 03, 2023",50.81,50.87,49.87,50.58,"1,164,900"
38,"Dec 30, 2022",50.03,50.19,49.64,49.92,"1,153,200"
39,"Dec 29, 2022",49.40,50.67,49.02,50.41,"996,200"
40,"Dec 28, 2022",50.67,50.82,49.31,49.38,"1,002,800"
41,"Dec 27, 2022",50.53,51.06,50.31,50.58,"860,800"
42,"Dec 23, 2022",50.64,51.06,50.30,50.80,"868,700"
43,"Dec 22, 2022",50.69,51.00,49.88,50.97,"1,407,500"
44,"Dec 21, 2022",50.90,51.78,50.82,51.38,"1,217,300"
45,"Dec 20, 2022",49.54,50.31,49.45,50.06,"1,166,600"
46,"Dec 19, 2022",50.27,50.67,49.79,50.11,"1,618,200"
47,"Dec 16, 2022",50.59,51.04,49.97,50.55,"2,347,600"
48,"Dec 15, 2022",49.53,51.68,49.18,51.33,"2,340,600"
49,"Dec 14, 2022",50.86,51.56,50.09,50.79,"1,405,100"
50,"Dec 13, 2022",52.45,53.02,50.42,50.59,"2,201,500"
51,"Dec 12, 2022",48.87,49.53,48.56,49.44,"1,342,900"
52,"Dec 09, 2022",48.82,49.63,48.70,48.72,"1,003,800"
53,"Dec 08, 2022",49.20,50.27,48.67,49.46,"2,120,800"
54,"Dec 07, 2022",47.36,49.81,46.72,49.50,"4,476,000"
55,"Dec 06, 2022",47.04,47.13,45.47,45.94,"2,305,700"
56,"Dec 05, 2022",46.95,47.42,46.69,46.86,"1,448,600"
57,"Dec 02, 2022",47.19,48.58,47.02,47.89,"1,359,100"
58,"Dec 01, 2022",48.49,49.77,48.11,48.35,"1,596,500"
59,"Nov 30, 2022",46.93,47.98,46.02,47.91,"1,471,400"
60,"Nov 29, 2022",45.80,47.24,45.80,47.20,"1,498,800"
61,"Nov 28, 2022",46.49,47.00,45.73,46.07,"954,000"
62,"Nov 25, 2022",46.72,47.08,46.59,46.82,"546,900"
63,"Nov 23, 2022",45.74,47.44,45.39,47.18,"1,223,000"
64,"Nov 22, 2022",46.22,46.40,45.41,46.00,"1,766,900"
65,"Nov 21, 2022",45.44,45.45,44.50,45.04,"806,200"
66,"Nov 18, 2022",46.03,46.22,44.85,45.52,"634,700"
67,"Nov 17, 2022",44.85,45.28,43.81,45.27,"958,500"
68,"Nov 16, 2022",46.02,46.28,45.46,45.94,"918,600"
69,"Nov 15, 2022",46.75,47.25,45.28,46.24,"1,540,600"
70,"Nov 14, 2022",46.50,46.52,45.30,45.37,"1,071,900"
71,"Nov 11, 2022",46.50,47.13,45.99,46.99,"1,871,800"
72,"Nov 10, 2022",44.51,47.37,44.51,46.52,"2,402,200"
73,"Nov 09, 2022",42.04,43.39,41.55,41.90,"1,826,900"
74,"Nov 08, 2022",43.00,43.10,41.79,42.40,"1,271,000"
75,"Nov 07, 2022",43.13,43.48,41.68,42.75,"1,065,300"
76,"Nov 04, 2022",42.29,43.03,41.61,42.82,"1,254,400"
77,"Nov 03, 2022",41.41,42.22,40.57,41.48,"1,307,800"
78,"Nov 02, 2022",43.51,44.41,42.22,42.24,"1,311,300"
79,"Nov 01, 2022",43.69,44.23,43.11,43.74,"1,468,900"
80,"Oct 31, 2022",43.74,43.77,42.44,43.08,"2,281,300"
81,"Oct 28, 2022",43.19,44.42,42.88,44.40,"1,240,300"
82,"Oct 27, 2022",43.36,44.46,43.19,43.33,"1,768,300"
83,"Oct 26, 2022",43.61,44.08,43.26,43.28,"1,579,600"
84,"Oct 25, 2022",42.15,44.11,42.09,43.70,"1,953,400"
85,"Oct 24, 2022",42.00,42.36,41.26,41.90,"1,889,900"
86,"Oct 21, 2022",39.73,41.94,39.53,41.76,"1,371,300"
87,"Oct 20, 2022",40.90,41.74,40.15,40.28,"1,155,300"
88,"Oct 19, 2022",42.17,42.35,40.56,40.90,"1,529,300"
89,"Oct 18, 2022",43.07,43.31,42.27,43.08,"1,458,500"
90,"Oct 17, 2022",42.38,42.83,41.71,42.04,"1,469,800"
91,"Oct 14, 2022",43.00,43.45,40.94,41.28,"1,704,900"
92,"Oct 13, 2022",41.60,43.33,40.31,42.87,"2,110,400"
93,"Oct 12, 2022",43.85,43.92,42.77,42.87,"1,999,300"
94,"Oct 11, 2022",44.04,44.96,43.78,43.93,"2,498,900"
95,"Oct 10, 2022",44.92,44.96,44.07,44.32,"1,131,500"
96,"Oct 07, 2022",45.34,45.66,44.33,44.57,"1,863,400"
