,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",16.44,16.50,16.23,16.33,"15,877,700"
1,"Feb 23, 2023",17.08,17.17,16.59,16.92,"18,437,200"
2,"Feb 22, 2023",16.84,17.02,16.52,16.91,"32,689,400"
3,"Feb 21, 2023",17.07,17.55,17.01,17.04,"35,445,400"
4,"Feb 17, 2023",17.06,17.20,16.88,17.02,"16,999,100"
5,"Feb 16, 2023",17.11,17.25,16.94,17.09,"19,080,200"
6,"Feb 15, 2023",16.73,17.07,16.61,17.05,"16,820,600"
7,"Feb 14, 2023",16.84,17.00,16.62,16.77,"15,494,600"
8,"Feb 13, 2023",16.46,16.79,16.42,16.72,"19,540,200"
9,"Feb 10, 2023",16.70,16.77,16.46,16.56,"24,320,900"
10,"Feb 09, 2023",16.90,16.97,16.72,16.76,"15,645,300"
11,"Feb 08, 2023",16.95,17.11,16.80,16.95,"12,820,500"
12,"Feb 07, 2023",17.00,17.16,16.85,16.95,"12,971,400"
13,"Feb 06, 2023",16.77,16.99,16.65,16.96,"16,439,600"
14,"Feb 03, 2023",17.65,17.77,17.21,17.32,"39,014,500"
15,"Feb 02, 2023",18.31,18.31,17.60,17.66,"27,022,600"
16,"Feb 01, 2023",18.17,18.54,17.94,18.45,"22,991,100"
17,"Jan 31, 2023",18.56,18.69,18.42,18.68,"14,280,200"
18,"Jan 30, 2023",18.65,18.75,18.40,18.51,"18,578,900"
19,"Jan 27, 2023",19.06,19.11,18.60,18.66,"26,483,600"
20,"Jan 26, 2023",19.05,19.31,19.00,19.30,"20,958,000"
21,"Jan 25, 2023",18.54,18.95,18.50,18.91,"15,963,900"
22,"Jan 24, 2023",18.08,18.54,18.06,18.52,"13,737,700"
23,"Jan 23, 2023",18.03,18.20,17.97,18.13,"11,139,600"
24,"Jan 20, 2023",18.05,18.18,18.00,18.12,"20,682,900"
25,"Jan 19, 2023",18.04,18.20,17.92,18.07,"20,044,300"
26,"Jan 18, 2023",18.41,18.48,18.03,18.05,"19,427,800"
27,"Jan 17, 2023",18.14,18.19,17.94,18.00,"23,675,800"
28,"Jan 13, 2023",18.26,18.49,18.25,18.43,"16,548,600"
29,"Jan 12, 2023",18.19,18.49,17.99,18.38,"17,878,300"
30,"Jan 11, 2023",18.06,18.09,17.80,17.90,"21,824,200"
31,"Jan 10, 2023",17.80,18.04,17.76,17.96,"28,056,900"
32,"Jan 09, 2023",17.46,17.64,17.32,17.52,"22,693,900"
33,"Jan 06, 2023",17.39,17.68,17.19,17.66,"31,231,000"
34,"Jan 05, 2023",16.58,17.10,16.55,17.09,"28,418,500"
35,"Jan 04, 2023",16.23,16.55,16.05,16.55,"34,623,700"
36,"Jan 03, 2023",16.65,16.72,16.30,16.35,"25,585,700"
37,"Dec 30, 2022",16.83,17.10,16.73,16.97,"16,455,900"
38,"Dec 29, 2022",17.15,17.23,16.85,16.88,"19,336,000"
39,"Dec 28, 2022",17.08,17.16,16.83,16.92,"21,807,400"
