,Date,Open,High,Low,Close,Volume
0,"Feb 24, 2023",17.23,17.27,17.11,17.22,"163,800"
1,"Feb 23, 2023",17.85,17.89,17.69,17.89,"135,400"
2,"Feb 22, 2023",17.63,17.77,17.57,17.57,"87,700"
3,"Feb 21, 2023",17.54,17.68,17.42,17.48,"233,900"
4,"Feb 17, 2023",17.77,17.87,17.71,17.86,"92,200"
5,"Feb 16, 2023",17.89,18.01,17.78,17.86,"101,000"
6,"Feb 15, 2023",17.85,17.88,17.68,17.81,"454,900"
7,"Feb 14, 2023",17.73,18.08,17.67,18.06,"184,600"
8,"Feb 13, 2023",17.49,17.57,17.44,17.48,"139,100"
9,"Feb 10, 2023",17.49,17.53,17.40,17.44,"162,100"
10,"Feb 09, 2023",17.87,17.92,17.58,17.61,"165,800"
11,"Feb 08, 2023",17.59,17.65,17.47,17.53,"205,400"
12,"Feb 07, 2023",17.70,17.92,17.61,17.76,"170,200"
13,"Feb 06, 2023",17.92,17.93,17.55,17.65,"128,800"
14,"Feb 03, 2023",18.17,18.26,18.04,18.07,"181,400"
15,"Feb 02, 2023",18.21,18.46,18.13,18.33,"189,200"
16,"Feb 01, 2023",17.55,17.99,17.54,17.88,"265,100"
17,"Jan 31, 2023",17.23,17.48,17.23,17.46,"154,600"
18,"Jan 30, 2023",17.29,17.37,17.18,17.19,"168,200"
19,"Jan 27, 2023",17.48,17.57,17.26,17.34,"829,300"
20,"Jan 26, 2023",17.49,17.52,17.31,17.41,"142,000"
21,"Jan 25, 2023",17.27,17.30,17.13,17.25,"222,600"
22,"Jan 24, 2023",17.17,17.33,17.13,17.24,"391,800"
23,"Jan 23, 2023",17.28,17.45,17.22,17.39,"192,200"
24,"Jan 20, 2023",16.94,17.28,16.87,17.27,"165,000"
25,"Jan 19, 2023",17.04,17.10,16.90,17.06,"132,400"
26,"Jan 18, 2023",17.69,17.69,17.23,17.23,"184,800"
27,"Jan 17, 2023",17.48,17.75,17.46,17.50,"265,000"
28,"Jan 13, 2023",17.27,17.45,17.25,17.45,"171,400"
