,Close,Date,High,Low,Open,Volume
0,83.85,"Mar 14, 2023",83.91,82.16,82.86,"20,083,500"
1,82.90,"Mar 13, 2023",83.75,81.97,83.01,"17,848,300"
2,82.96,"Mar 10, 2023",84.52,82.33,82.64,"18,105,800"
3,83.37,"Mar 09, 2023",85.69,82.88,85.12,"24,327,700"
4,86.95,"Mar 08, 2023",87.77,86.45,87.39,"14,721,500"
5,88.73,"Mar 07, 2023",90.05,88.20,89.52,"14,514,700"
6,89.62,"Mar 06, 2023",91.30,88.03,89.58,"16,983,900"
7,89.70,"Mar 03, 2023",90.46,88.40,90.11,"25,767,000"
8,89.75,"Mar 02, 2023",90.92,87.97,88.96,"24,829,000"
9,89.95,"Mar 01, 2023",92.92,89.73,92.92,"35,434,900"
10,87.79,"Feb 28, 2023",89.34,87.27,88.46,"24,597,200"
11,89.25,"Feb 27, 2023",91.24,88.89,90.85,"25,840,000"
12,89.0,"Feb 24, 2023",91.68,88.03,90.07,"36,174,500"
13,94.16,"Feb 23, 2023",100.47,92.13,100.1,"40,482,900"
14,94.78,"Feb 22, 2023",95.89,93.56,95.57,"24,484,000"
15,95.1,"Feb 21, 2023",97.63,94.7,96.5,"27,172,700"
16,100.01,"Feb 17, 2023",101.09,99.25,101.0,"18,088,700"
17,103.11,"Feb 16, 2023",104.52,102.03,102.71,"21,747,100"
18,103.08,"Feb 15, 2023",103.44,102.0,102.39,"18,910,200"
19,104.22,"Feb 14, 2023",104.48,101.85,103.55,"12,978,400"
20,104.79,"Feb 13, 2023",106.35,104.15,105.99,"18,538,600"
21,103.65,"Feb 10, 2023",106.64,102.79,105.8,"18,757,800"
22,108.46,"Feb 09, 2023",109.81,107.75,108.5,"16,281,300"
23,105.11,"Feb 08, 2023",107.14,103.55,107.1,"14,329,500"
24,105.5,"Feb 07, 2023",107.35,103.72,106.84,"16,861,700"
25,105.45,"Feb 06, 2023",106.28,103.22,103.82,"15,337,500"
26,106.33,"Feb 03, 2023",109.53,105.81,108.05,"15,961,200"
27,109.74,"Feb 02, 2023",112.53,107.81,112.5,"23,396,900"
28,112.82,"Feb 01, 2023",113.95,110.15,111.86,"16,623,000"
29,110.2,"Jan 31, 2023",112.08,108.81,109.42,"15,330,000"
30,111.2,"Jan 30, 2023",113.15,109.78,111.69,"21,918,200"
31,118.38,"Jan 27, 2023",119.71,116.81,119.69,"18,005,100"
32,120.57,"Jan 26, 2023",121.3,118.76,121.0,"11,171,000"
33,120.25,"Jan 25, 2023",120.32,117.5,118.51,"9,705,000"
34,119.44,"Jan 24, 2023",120.0,115.0,115.0,"7,807,100"
35,119.53,"Jan 23, 2023",120.3,118.14,120.0,"13,590,200"
36,119.86,"Jan 20, 2023",120.06,117.8,118.3,"18,324,500"
37,116.58,"Jan 19, 2023",117.0,113.97,114.02,"18,489,900"
38,113.22,"Jan 18, 2023",116.75,113.04,116.75,"15,347,900"
39,115.19,"Jan 17, 2023",117.01,114.34,115.52,"16,945,600"
40,117.01,"Jan 13, 2023",117.98,114.09,114.52,"25,591,100"
41,113.15,"Jan 12, 2023",113.79,111.45,113.66,"16,590,600"
42,115.02,"Jan 11, 2023",115.21,112.31,114.6,"22,804,400"
43,114.88,"Jan 10, 2023",115.48,111.21,112.97,"33,478,600"
44,110.83,"Jan 09, 2023",113.11,108.12,111.99,"42,085,300"
45,107.4,"Jan 06, 2023",108.0,102.46,104.11,"21,056,200"
46,104.58,"Jan 05, 2023",105.7,100.64,101.4,"30,400,400"
47,103.92,"Jan 04, 2023",104.52,96.97,98.85,"53,291,800"
48,91.98,"Jan 03, 2023",94.45,90.75,91.11,"27,891,000"
49,88.09,"Dec 30, 2022",89.41,87.41,87.45,"11,906,200"
50,89.13,"Dec 29, 2022",89.52,87.06,87.63,"12,535,400"
51,87.2,"Dec 28, 2022",90.15,86.46,88.98,"16,268,800"
52,89.86,"Dec 27, 2022",90.69,86.21,86.55,"22,959,900"
53,85.65,"Dec 23, 2022",88.65,85.52,87.85,"17,949,300"
54,87.97,"Dec 22, 2022",89.69,86.67,89.08,"16,004,800"
55,87.81,"Dec 21, 2022",88.39,85.46,86.01,"18,212,900"
56,85.92,"Dec 20, 2022",87.2,85.04,85.04,"15,315,400"
57,87.16,"Dec 19, 2022",89.78,86.5,89.75,"20,737,000"
58,86.79,"Dec 16, 2022",90.57,86.61,88.8,"25,084,600"
59,86.21,"Dec 15, 2022",94.08,86.05,93.09,"30,419,400"
60,90.91,"Dec 14, 2022",91.26,89.5,91.06,"15,575,500"
61,91.41,"Dec 13, 2022",94.98,90.3,93.45,"21,150,600"
62,89.41,"Dec 12, 2022",90.89,87.75,90.09,"15,190,200"
63,91.34,"Dec 09, 2022",93.75,91.22,93.27,"15,452,100"
64,94.17,"Dec 08, 2022",94.33,91.08,91.97,"29,241,500"
65,88.33,"Dec 07, 2022",89.26,86.62,87.06,"19,507,400"
66,91.45,"Dec 06, 2022",92.57,89.2,91.88,"26,675,700"
67,90.52,"Dec 05, 2022",92.9,89.63,92.9,"30,929,800"
68,90.06,"Dec 02, 2022",91.85,86.05,86.05,"35,042,600"
69,85.94,"Dec 01, 2022",87.6,84.26,84.35,"20,243,000"
70,87.56,"Nov 30, 2022",89.63,82.25,82.74,"60,169,600"
71,79.86,"Nov 29, 2022",80.89,79.45,80.24,"24,178,100"
72,75.88,"Nov 28, 2022",77.42,74.68,74.74,"19,107,400"
73,75.5,"Nov 25, 2022",76.05,74.92,75.5,"13,036,900"
74,78.5,"Nov 23, 2022",78.85,76.85,78.19,"19,032,700"
75,75.99,"Nov 22, 2022",76.8,74.58,75.44,"20,694,100"
76,76.93,"Nov 21, 2022",79.06,76.47,78.69,"19,005,100"
77,80.48,"Nov 18, 2022",82.52,79.86,82.15,"29,528,300"
78,84.26,"Nov 17, 2022",85.68,75.76,76.0,"62,050,600"
79,78.16,"Nov 16, 2022",80.45,77.41,80.32,"26,637,300"
