,Close,Date,High,Low,Open,Volume
0,225.67,"Mar 14, 2023",229.59,222.20,228.99,"3,752,400"
1,224.70,"Mar 13, 2023",228.33,221.54,222.58,"4,885,100"
2,227.01,"Mar 10, 2023",238.13,225.80,236.31,"5,763,200"
3,240.96,"Mar 09, 2023",250.13,240.61,248.95,"2,518,800"
4,248.72,"Mar 08, 2023",251.11,246.75,247.99,"2,068,600"
5,246.14,"Mar 07, 2023",254.75,245.95,254.05,"3,018,400"
6,253.98,"Mar 06, 2023",255.70,251.58,255.65,"2,317,100"
7,255.31,"Mar 03, 2023",255.40,249.91,252.39,"2,313,400"
8,252.18,"Mar 02, 2023",252.49,246.13,246.51,"2,676,500"
9,248.67,"Mar 01, 2023",249.70,241.57,242.01,"4,117,700"
10,239.55,"Feb 28, 2023",241.10,238.71,240.94,"2,647,700"
11,239.98,"Feb 27, 2023",241.25,238.72,239.10,"1,720,900"
12,236.17,"Feb 24, 2023",236.69,233.02,235.23,"2,105,500"
13,237.95,"Feb 23, 2023",240.83,235.6,240.67,"3,219,000"
14,237.89,"Feb 22, 2023",242.23,236.42,241.19,"3,145,200"
15,240.71,"Feb 21, 2023",248.0,239.75,244.50,"3,105,900"
16,247.79,"Feb 17, 2023",250.86,245.63,247.86,"3,759,300"
17,246.52,"Feb 16, 2023",248.53,244.52,246.50,"1,934,900"
18,248.7,"Feb 15, 2023",248.77,243.23,244.20,"2,398,200"
19,244.36,"Feb 14, 2023",247.31,241.65,247.01,"2,512,900"
20,248.15,"Feb 13, 2023",248.38,242.65,243.50,"3,068,100"
21,247.67,"Feb 10, 2023",248.63,244.64,246.28,"2,820,300"
22,246.28,"Feb 09, 2023",251.97,245.48,250.00,"2,464,900"
23,248.87,"Feb 08, 2023",251.56,247.08,248.10,"2,300,300"
24,249.66,"Feb 07, 2023",252.0,245.35,250.55,"3,467,900"
25,251.42,"Feb 06, 2023",252.14,248.0,248.11,"3,528,800"
26,247.76,"Feb 03, 2023",250.95,243.13,244.00,"4,134,700"
27,244.9,"Feb 02, 2023",249.53,241.8,249.33,"6,130,300"
28,249.54,"Feb 01, 2023",252.7,245.31,251.75,"6,022,000"
29,252.29,"Jan 31, 2023",257.39,246.41,257.00,"10,992,100"
30,261.5,"Jan 30, 2023",265.0,261.31,263.34,"3,426,900"
31,264.54,"Jan 27, 2023",266.04,262.12,262.46,"2,783,000"
32,262.12,"Jan 26, 2023",262.26,256.89,260.00,"2,677,200"
33,258.44,"Jan 25, 2023",259.19,254.32,254.53,"2,424,900"
34,257.61,"Jan 24, 2023",259.05,249.75,252.88,"3,505,100"
35,252.7,"Jan 23, 2023",253.68,249.27,250.75,"2,610,200"
