,Close,Date,High,Low,Open,Volume
0,94.25,"Mar 14, 2023",94.83,92.78,93.07,"32,284,100"
1,91.66,"Mar 13, 2023",93.08,89.94,90.57,"31,508,600"
2,91.01,"Mar 10, 2023",93.18,90.80,92.50,"32,831,700"
3,92.66,"Mar 09, 2023",95.92,92.36,94.49,"24,438,900"
4,94.65,"Mar 08, 2023",96.24,94.40,94.40,"25,395,200"
5,94.17,"Mar 07, 2023",96.09,93.84,95.42,"24,101,500"
6,95.58,"Mar 06, 2023",96.30,94.30,94.36,"28,288,200"
7,94.02,"Mar 03, 2023",94.11,92.66,92.74,"30,220,900"
8,92.31,"Mar 02, 2023",92.48,89.77,89.86,"23,328,600"
9,90.51,"Mar 01, 2023",91.20,89.85,90.16,"26,323,900"
10,90.30,"Feb 28, 2023",91.45,89.52,89.54,"30,546,900"
11,90.10,"Feb 27, 2023",90.45,89.61,90.09,"22,724,300"
12,89.35,"Feb 24, 2023",90.13,88.86,89.63,"31,295,600"
13,91.07,"Feb 23, 2023",92.13,90.01,92.13,"32,423,700"
14,91.8,"Feb 22, 2023",92.36,90.87,91.93,"29,891,100"
15,92.05,"Feb 21, 2023",93.42,92.0,93.24,"28,367,200"
16,94.59,"Feb 17, 2023",95.75,93.45,95.07,"31,074,100"
17,95.78,"Feb 16, 2023",97.88,94.97,95.54,"35,642,100"
18,97.1,"Feb 15, 2023",97.34,94.36,94.74,"37,029,900"
19,94.95,"Feb 14, 2023",95.18,92.65,94.66,"42,513,100"
20,95.0,"Feb 13, 2023",95.35,94.05,95.01,"43,116,600"
21,94.86,"Feb 10, 2023",97.02,94.53,95.74,"49,269,900"
22,95.46,"Feb 09, 2023",100.61,93.86,100.54,"97,798,600"
23,100.0,"Feb 08, 2023",103.58,98.46,102.69,"73,546,000"
24,108.04,"Feb 07, 2023",108.67,103.55,103.63,"33,738,800"
25,103.47,"Feb 06, 2023",104.7,102.21,102.68,"25,573,000"
26,105.22,"Feb 03, 2023",108.02,103.3,103.51,"36,805,900"
27,108.8,"Feb 02, 2023",108.82,106.54,106.79,"46,622,600"
28,101.43,"Feb 01, 2023",102.19,98.42,99.74,"26,392,600"
29,99.87,"Jan 31, 2023",99.91,97.79,97.86,"22,306,800"
30,97.95,"Jan 30, 2023",99.41,97.52,98.75,"24,365,100"
31,100.71,"Jan 27, 2023",101.58,98.97,99.05,"29,011,900"
32,99.16,"Jan 26, 2023",99.21,96.82,98.28,"24,542,100"
33,96.73,"Jan 25, 2023",97.72,95.26,97.20,"31,000,900"
34,99.21,"Jan 24, 2023",101.09,98.7,99.55,"27,391,400"
35,101.21,"Jan 23, 2023",101.4,98.75,99.13,"31,791,800"
