,Close,Date,High,Low,Open,Volume
0,25.41,"Mar 14, 2023",25.50,25.12,25.23,"1,279,100"
1,25.72,"Mar 13, 2023",25.91,25.63,25.74,"1,286,000"
2,26.26,"Mar 10, 2023",26.61,26.12,26.48,"1,084,900"
3,26.40,"Mar 09, 2023",26.83,26.37,26.77,"1,028,500"
4,26.55,"Mar 08, 2023",26.64,26.45,26.52,"623,500"
5,26.40,"Mar 07, 2023",26.74,26.33,26.73,"845,800"
6,26.60,"Mar 06, 2023",26.75,26.58,26.70,"863,700"
7,26.70,"Mar 03, 2023",26.70,26.34,26.39,"1,838,100"
8,26.09,"Mar 02, 2023",26.10,25.83,25.85,"930,900"
9,26.21,"Mar 01, 2023",26.40,26.17,26.28,"1,143,000"
10,25.97,"Feb 28, 2023",26.09,25.94,26.02,"923,700"
11,26.17,"Feb 27, 2023",26.36,26.15,26.24,"1,187,000"
12,25.75,"Feb 24, 2023",25.87,25.64,25.80,"913,900"
13,25.89,"Feb 23, 2023",26.05,25.78,25.96,"713,000"
14,25.82,"Feb 22, 2023",25.96,25.78,25.85,"870,100"
15,25.9,"Feb 21, 2023",26.28,25.86,26.03,"2,141,300"
16,25.54,"Feb 17, 2023",25.57,25.3,25.40,"832,400"
17,25.31,"Feb 16, 2023",25.48,25.13,25.21,"727,900"
18,25.22,"Feb 15, 2023",25.26,25.06,25.09,"747,200"
19,25.2,"Feb 14, 2023",25.3,25.04,25.15,"890,100"
20,25.44,"Feb 13, 2023",25.45,25.18,25.25,"1,053,300"
21,25.13,"Feb 10, 2023",25.21,24.41,24.74,"1,597,200"
22,24.54,"Feb 09, 2023",24.97,24.51,24.68,"1,151,600"
23,24.41,"Feb 08, 2023",24.6,24.37,24.52,"845,200"
24,24.86,"Feb 07, 2023",25.0,24.5,24.61,"996,600"
25,24.6,"Feb 06, 2023",24.61,24.33,24.52,"1,020,100"
26,24.6,"Feb 03, 2023",24.83,24.54,24.67,"1,387,600"
27,25.19,"Feb 02, 2023",25.3,24.89,24.95,"1,113,100"
28,25.31,"Feb 01, 2023",25.42,24.88,24.95,"1,066,500"
29,24.82,"Jan 31, 2023",24.82,24.55,24.59,"842,800"
30,24.34,"Jan 30, 2023",24.52,24.31,24.46,"1,128,800"
31,24.59,"Jan 27, 2023",24.64,24.31,24.42,"735,700"
32,24.27,"Jan 26, 2023",24.32,24.07,24.22,"551,700"
33,24.09,"Jan 25, 2023",24.18,24.01,24.05,"1,086,300"
34,23.95,"Jan 24, 2023",24.14,23.79,23.94,"832,400"
35,24.16,"Jan 23, 2023",24.25,23.77,23.78,"1,403,700"
