,Close,Date,High,Low,Open,Volume
0,40.44,"Mar 14, 2023",40.81,39.46,39.98,"11,093,300"
1,40.11,"Mar 13, 2023",40.84,39.04,39.68,"13,141,600"
2,40.47,"Mar 10, 2023",41.38,40.07,40.88,"15,467,700"
3,41.68,"Mar 09, 2023",44.79,41.31,44.51,"37,309,900"
4,46.98,"Mar 08, 2023",47.41,45.47,45.51,"8,511,400"
5,46.57,"Mar 07, 2023",47.36,46.34,47.36,"6,508,500"
6,47.92,"Mar 06, 2023",48.72,47.23,47.67,"7,170,400"
7,47.46,"Mar 03, 2023",48.24,47.15,47.17,"7,858,400"
8,47.07,"Mar 02, 2023",47.15,45.40,45.62,"7,916,900"
9,45.73,"Mar 01, 2023",46.77,45.30,46.54,"9,294,900"
10,44.44,"Feb 28, 2023",45.11,43.97,44.28,"6,437,600"
11,44.74,"Feb 27, 2023",45.50,44.49,45.50,"8,018,000"
12,44.8,"Feb 24, 2023",45.56,44.46,44.74,"11,854,300"
13,46.65,"Feb 23, 2023",48.16,45.96,47.9,"11,819,700"
14,46.53,"Feb 22, 2023",48.31,46.16,48.24,"12,536,200"
15,47.17,"Feb 21, 2023",48.96,46.67,48.11,"23,406,200"
16,53.02,"Feb 17, 2023",53.7,52.46,53.11,"6,337,700"
17,54.1,"Feb 16, 2023",54.77,53.49,53.79,"9,148,400"
18,52.23,"Feb 15, 2023",52.27,51.08,51.64,"5,158,200"
19,52.32,"Feb 14, 2023",52.53,51.36,51.64,"5,405,800"
20,52.43,"Feb 13, 2023",53.22,52.2,52.9,"7,134,600"
21,52.29,"Feb 10, 2023",53.63,51.83,53.42,"10,929,300"
22,55.45,"Feb 09, 2023",57.09,55.08,56.42,"7,964,600"
23,55.35,"Feb 08, 2023",56.87,55.19,56.79,"7,881,400"
24,57.09,"Feb 07, 2023",57.42,56.0,56.89,"7,999,200"
25,56.73,"Feb 06, 2023",57.12,55.85,56.47,"5,384,800"
26,57.63,"Feb 03, 2023",59.49,57.52,58.69,"6,160,300"
27,59.31,"Feb 02, 2023",60.3,58.4,60.3,"8,239,900"
28,60.47,"Feb 01, 2023",61.76,59.18,60.13,"7,872,100"
29,59.53,"Jan 31, 2023",60.39,58.81,59.03,"5,075,600"
30,59.83,"Jan 30, 2023",60.89,59.16,60.61,"7,464,300"
31,63.74,"Jan 27, 2023",64.46,62.88,64.2,"5,665,000"
32,63.11,"Jan 26, 2023",63.26,61.95,62.52,"4,809,200"
33,61.38,"Jan 25, 2023",61.66,60.2,61.14,"3,651,700"
34,61.62,"Jan 24, 2023",61.69,60.1,60.2,"4,130,100"
35,61.06,"Jan 23, 2023",61.7,60.55,60.95,"4,606,000"
36,60.43,"Jan 20, 2023",60.99,60.14,60.49,"6,862,100"
37,59.42,"Jan 19, 2023",60.34,59.09,59.09,"5,255,000"
38,58.52,"Jan 18, 2023",60.93,58.48,60.71,"6,763,300"
39,59.96,"Jan 17, 2023",61.35,59.65,61.12,"8,511,200"
40,63.6,"Jan 13, 2023",65.41,62.78,63.84,"7,957,000"
41,63.17,"Jan 12, 2023",63.75,62.26,63.02,"5,271,500"
42,63.04,"Jan 11, 2023",63.59,61.72,63.28,"7,476,500"
43,63.65,"Jan 10, 2023",64.62,62.95,64.1,"5,538,000"
44,63.13,"Jan 09, 2023",65.05,62.21,64.81,"9,838,400"
45,64.3,"Jan 06, 2023",64.89,62.6,63.96,"8,490,500"
46,65.9,"Jan 05, 2023",66.25,63.47,63.5,"10,826,200"
47,66.1,"Jan 04, 2023",67.1,61.04,61.68,"19,823,100"
48,57.64,"Jan 03, 2023",59.57,56.87,57.97,"7,337,700"
49,56.13,"Dec 30, 2022",57.16,55.82,55.87,"4,566,700"
50,57.09,"Dec 29, 2022",57.33,55.75,56.14,"4,613,500"
51,56.15,"Dec 28, 2022",58.73,55.11,58.35,"10,055,900"
52,58.8,"Dec 27, 2022",59.84,57.07,57.49,"8,114,700"
53,56.44,"Dec 23, 2022",58.2,56.3,57.85,"5,041,600"
54,57.67,"Dec 22, 2022",59.4,57.11,58.75,"5,318,200"
55,58.12,"Dec 21, 2022",58.33,55.93,56.14,"4,726,200"
56,56.42,"Dec 20, 2022",57.37,55.61,55.66,"4,568,100"
57,57.19,"Dec 19, 2022",57.8,56.7,57.42,"6,995,500"
58,56.59,"Dec 16, 2022",58.18,56.54,57.63,"7,517,300"
59,56.65,"Dec 15, 2022",60.62,56.22,60.08,"8,436,200"
60,58.57,"Dec 14, 2022",59.08,58.05,58.25,"7,296,700"
61,57.81,"Dec 13, 2022",60.68,57.11,60.51,"8,382,900"
62,57.42,"Dec 12, 2022",58.81,56.87,58.68,"7,473,900"
63,58.32,"Dec 09, 2022",60.22,57.9,59.87,"7,993,600"
64,60.37,"Dec 08, 2022",61.4,59.92,60.42,"7,278,700"
65,58.45,"Dec 07, 2022",58.95,56.88,57.07,"6,229,100"
66,60.35,"Dec 06, 2022",60.49,58.53,60.2,"7,771,300"
67,59.18,"Dec 05, 2022",60.74,58.56,60.7,"9,149,600"
68,58.64,"Dec 02, 2022",59.67,55.05,55.09,"10,436,300"
69,55.85,"Dec 01, 2022",56.37,54.68,55.33,"7,147,700"
70,57.18,"Nov 30, 2022",58.39,56.35,56.54,"15,765,800"
71,53.25,"Nov 29, 2022",54.49,53.12,53.46,"13,450,200"
72,49.91,"Nov 28, 2022",51.12,49.29,49.41,"7,626,900"
73,49.48,"Nov 25, 2022",50.17,49.24,50.05,"5,908,900"
74,52.26,"Nov 23, 2022",53.03,51.68,52.87,"6,054,300"
75,51.56,"Nov 22, 2022",51.71,49.87,50.09,"6,675,400"
76,52.5,"Nov 21, 2022",53.87,52.12,53.42,"11,007,000"
77,56.07,"Nov 18, 2022",58.78,55.11,58.66,"16,768,100"
78,57.52,"Nov 17, 2022",58.07,51.86,52.01,"15,141,200"
79,53.49,"Nov 16, 2022",53.87,52.75,53.42,"6,782,500"
80,54.48,"Nov 15, 2022",55.87,53.38,55.0,"13,060,500"
81,50.85,"Nov 14, 2022",52.02,50.12,50.94,"12,662,500"
82,48.93,"Nov 11, 2022",50.55,48.53,49.47,"12,951,800"
83,46.03,"Nov 10, 2022",46.93,45.23,45.39,"11,966,000"
84,42.46,"Nov 09, 2022",43.6,42.19,43.44,"9,533,900"
85,45.49,"Nov 08, 2022",45.84,43.95,45.0,"9,351,300"
86,44.51,"Nov 07, 2022",46.2,44.05,45.41,"10,360,500"
87,44.38,"Nov 04, 2022",44.84,42.52,44.39,"20,375,100"
88,40.44,"Nov 03, 2022",41.18,38.09,38.34,"11,091,800"
89,39.84,"Nov 02, 2022",41.13,39.16,39.92,"13,751,800"
90,38.44,"Nov 01, 2022",40.54,38.24,40.47,"12,171,600"
91,37.29,"Oct 31, 2022",38.29,37.11,37.57,"9,762,000"
92,37.86,"Oct 28, 2022",37.93,36.69,37.14,"13,592,200"
93,39.5,"Oct 27, 2022",40.7,39.2,39.6,"10,699,500"
94,41.04,"Oct 26, 2022",42.57,37.48,37.8,"22,836,100"
95,37.77,"Oct 25, 2022",38.79,37.07,38.15,"15,122,300"
96,36.66,"Oct 24, 2022",36.92,33.17,35.78,"29,614,400"
97,42.15,"Oct 21, 2022",42.2,40.61,41.34,"8,515,900"
98,42.16,"Oct 20, 2022",43.65,41.4,41.64,"10,832,700"
99,41.22,"Oct 19, 2022",42.78,40.6,42.52,"11,761,100"
100,44.67,"Oct 18, 2022",46.13,43.78,45.84,"7,836,200"
101,44.44,"Oct 17, 2022",45.16,43.76,44.25,"9,118,300"
102,42.33,"Oct 14, 2022",45.27,42.21,45.26,"12,859,900"
103,45.05,"Oct 13, 2022",45.79,43.53,44.06,"8,880,500"
104,46.4,"Oct 12, 2022",47.23,45.6,46.34,"5,145,100"
105,46.27,"Oct 11, 2022",47.4,45.31,46.51,"8,667,900"
106,47.58,"Oct 10, 2022",49.06,46.72,48.98,"8,791,300"
107,49.91,"Oct 07, 2022",50.96,49.2,50.4,"8,249,200"
108,51.66,"Oct 06, 2022",53.07,51.64,52.55,"6,967,200"
109,52.98,"Oct 05, 2022",54.38,52.41,53.68,"9,187,100"
110,52.04,"Oct 04, 2022",52.99,50.42,50.67,"8,173,600"
111,49.52,"Oct 03, 2022",49.6,48.09,49.38,"9,728,000"
112,50.3,"Sep 30, 2022",51.35,49.81,50.27,"6,553,600"
113,51.25,"Sep 29, 2022",52.09,50.09,51.38,"6,141,700"
114,52.93,"Sep 28, 2022",53.25,50.55,51.32,"5,989,100"
115,52.66,"Sep 27, 2022",55.06,52.17,54.03,"6,126,500"
116,53.34,"Sep 26, 2022",54.68,53.1,53.23,"6,258,200"
117,52.31,"Sep 23, 2022",53.05,51.83,52.37,"5,627,600"
118,53.47,"Sep 22, 2022",54.75,52.99,54.19,"4,552,300"
119,53.93,"Sep 21, 2022",55.96,53.84,55.86,"6,177,800"
120,56.8,"Sep 20, 2022",57.94,56.52,56.62,"4,296,800"
121,56.82,"Sep 19, 2022",56.82,55.25,55.42,"6,204,700"
122,55.37,"Sep 16, 2022",56.9,55.09,56.51,"7,378,900"
123,57.65,"Sep 15, 2022",58.15,57.0,57.51,"5,181,100"
124,57.4,"Sep 14, 2022",57.67,56.25,57.41,"5,076,400"
125,57.43,"Sep 13, 2022",59.26,57.28,58.33,"7,339,400"
126,61.79,"Sep 12, 2022",61.83,60.12,60.99,"5,340,500"
127,60.41,"Sep 09, 2022",61.88,60.2,61.47,"5,020,900"
128,59.91,"Sep 08, 2022",60.36,59.22,59.3,"2,941,700"
129,59.88,"Sep 07, 2022",60.05,58.02,58.95,"4,845,900"
130,59.35,"Sep 06, 2022",60.12,59.0,59.61,"4,376,800"
131,61.29,"Sep 02, 2022",62.13,60.89,62.01,"4,544,200"
132,63.11,"Sep 01, 2022",63.2,61.33,61.75,"4,268,200"
133,63.49,"Aug 31, 2022",64.62,62.53,63.0,"6,955,200"
134,61.51,"Aug 30, 2022",62.85,60.61,62.42,"7,001,400"
135,62.32,"Aug 29, 2022",64.74,62.19,63.57,"7,340,400"
136,63.46,"Aug 26, 2022",67.87,63.41,67.69,"14,638,300"
137,64.91,"Aug 25, 2022",66.42,61.93,62.01,"19,917,600"
138,59.44,"Aug 24, 2022",61.65,56.22,56.65,"12,443,400"
139,57.2,"Aug 23, 2022",57.78,53.05,55.8,"13,407,000"
140,55.32,"Aug 22, 2022",56.15,54.97,55.36,"8,342,900"
141,54.7,"Aug 19, 2022",55.88,54.58,55.1,"4,714,400"
142,55.19,"Aug 18, 2022",55.88,54.38,55.62,"5,552,800"
143,56.15,"Aug 17, 2022",57.35,55.8,57.0,"4,903,300"
144,57.29,"Aug 16, 2022",57.85,56.46,56.82,"4,834,400"
145,57.98,"Aug 15, 2022",58.28,56.44,56.58,"5,223,200"
146,57.05,"Aug 12, 2022",57.33,54.52,54.52,"6,238,900"
147,56.94,"Aug 11, 2022",58.49,56.26,56.49,"9,374,500"
148,55.5,"Aug 10, 2022",56.95,54.35,56.36,"13,971,900"
149,57.08,"Aug 09, 2022",59.11,56.7,58.64,"8,594,800"
150,58.84,"Aug 08, 2022",61.74,58.46,61.59,"8,208,300"
151,61.91,"Aug 05, 2022",62.34,61.2,61.48,"4,763,300"
152,63.35,"Aug 04, 2022",64.95,62.92,64.35,"7,232,900"
153,61.13,"Aug 03, 2022",61.22,59.0,59.47,"4,812,200"
154,59.73,"Aug 02, 2022",60.64,56.86,57.01,"6,395,400"
155,58.76,"Aug 01, 2022",58.83,56.35,57.58,"7,032,600"
156,59.5,"Jul 29, 2022",60.08,58.37,59.0,"7,464,400"
157,62.13,"Jul 28, 2022",63.0,60.2,62.12,"6,070,200"
158,63.32,"Jul 27, 2022",63.95,61.6,63.95,"4,987,800"
159,62.97,"Jul 26, 2022",64.66,62.63,63.38,"4,336,300"
160,62.98,"Jul 25, 2022",63.65,62.06,63.07,"4,522,100"
161,61.58,"Jul 22, 2022",63.44,61.45,63.35,"4,241,200"
162,64.01,"Jul 21, 2022",64.4,63.04,63.23,"3,850,700"
163,62.62,"Jul 20, 2022",63.8,62.05,63.15,"4,784,800"
164,62.78,"Jul 19, 2022",63.2,61.57,62.96,"4,215,200"
165,62.05,"Jul 18, 2022",64.73,61.84,62.96,"6,015,000"
166,60.26,"Jul 15, 2022",60.63,58.58,60.38,"5,875,800"
167,61.04,"Jul 14, 2022",61.9,60.27,61.45,"6,276,800"
168,61.7,"Jul 13, 2022",62.91,59.76,59.78,"5,967,500"
169,60.16,"Jul 12, 2022",61.06,58.77,58.83,"5,807,900"
170,59.59,"Jul 11, 2022",59.85,58.56,59.4,"8,078,700"
171,62.01,"Jul 08, 2022",62.75,61.05,61.96,"6,004,100"
172,63.13,"Jul 07, 2022",64.11,62.61,62.87,"7,912,700"
173,61.76,"Jul 06, 2022",63.62,60.77,63.22,"8,607,600"
174,64.73,"Jul 05, 2022",65.33,62.32,65.33,"10,596,500"
175,65.95,"Jul 01, 2022",66.36,63.68,63.91,"5,462,200"
176,64.22,"Jun 30, 2022",64.63,62.91,63.89,"5,557,400"
177,64.85,"Jun 29, 2022",64.91,63.25,63.72,"6,445,900"
178,64.54,"Jun 28, 2022",66.68,63.87,65.7,"8,473,500"
179,65.62,"Jun 27, 2022",68.29,64.92,67.16,"15,168,000"
180,64.01,"Jun 24, 2022",64.84,62.6,63.09,"11,412,600"
181,61.9,"Jun 23, 2022",64.03,60.76,62.47,"17,658,500"
182,61.42,"Jun 22, 2022",62.67,60.65,60.98,"12,079,600"
183,63.65,"Jun 21, 2022",65.04,61.82,64.59,"18,598,500"
184,65.23,"Jun 17, 2022",67.39,63.81,67.31,"28,556,600"
185,62.01,"Jun 16, 2022",63.02,60.79,61.66,"9,632,000"
186,64.32,"Jun 15, 2022",64.53,62.23,63.66,"13,971,000"
187,62.51,"Jun 14, 2022",63.52,60.58,61.38,"12,539,500"
188,58.93,"Jun 13, 2022",60.54,57.6,59.9,"12,244,100"
189,61.51,"Jun 10, 2022",64.77,61.33,62.9,"11,806,600"
190,61.4,"Jun 09, 2022",62.75,60.83,62.0,"19,049,300"
191,66.47,"Jun 08, 2022",67.3,63.35,63.97,"22,812,000"
192,61.74,"Jun 07, 2022",61.99,59.81,60.22,"12,851,700"
193,60.21,"Jun 06, 2022",61.29,59.11,59.89,"18,820,100"
194,56.52,"Jun 03, 2022",57.21,55.94,57.13,"8,358,300"
195,58.0,"Jun 02, 2022",58.56,55.63,56.02,"11,544,000"
196,55.79,"Jun 01, 2022",57.25,54.64,56.83,"12,724,900"
197,56.12,"May 31, 2022",57.72,55.76,56.87,"20,893,000"
198,53.68,"May 27, 2022",53.7,51.61,53.46,"10,263,600"
199,52.72,"May 26, 2022",53.59,50.31,50.77,"14,157,100"
200,50.19,"May 25, 2022",50.65,49.02,50.22,"8,486,600"
201,49.58,"May 24, 2022",51.13,48.93,51.06,"11,263,800"
202,53.33,"May 23, 2022",54.01,52.4,53.84,"11,441,200"
203,52.17,"May 20, 2022",54.9,50.99,54.25,"12,289,400"
204,52.78,"May 19, 2022",53.64,51.01,51.09,"13,828,400"
205,51.2,"May 18, 2022",53.26,50.64,52.43,"13,836,900"
206,53.67,"May 17, 2022",56.4,49.7,55.66,"38,056,200"
207,51.53,"May 16, 2022",52.75,51.15,51.69,"9,181,100"
208,51.55,"May 13, 2022",52.35,49.71,49.96,"11,579,300"
209,48.67,"May 12, 2022",49.83,46.83,48.83,"13,177,900"
210,49.83,"May 11, 2022",53.29,49.55,52.32,"13,276,900"
211,51.65,"May 10, 2022",53.85,50.18,53.69,"18,345,800"
212,51.04,"May 09, 2022",54.0,50.12,53.7,"22,233,000"
