,Close,Date,High,Low,Open,Volume
0,47.18,"Mar 14, 2023",47.24,46.51,46.75,"6,576,500"
1,46.85,"Mar 13, 2023",48.07,46.58,47.04,"8,891,300"
2,47.10,"Mar 10, 2023",47.34,46.72,46.95,"7,329,300"
3,47.25,"Mar 09, 2023",47.73,47.04,47.65,"6,352,200"
4,47.45,"Mar 08, 2023",47.56,46.70,46.75,"7,354,500"
5,46.91,"Mar 07, 2023",47.14,46.27,46.49,"8,262,100"
6,46.48,"Mar 06, 2023",46.53,45.50,45.70,"6,271,000"
7,45.98,"Mar 03, 2023",46.76,45.55,46.70,"8,238,900"
8,45.73,"Mar 02, 2023",46.62,44.21,45.01,"12,908,600"
9,43.38,"Mar 01, 2023",43.43,42.82,42.96,"7,008,800"
10,43.14,"Feb 28, 2023",43.46,42.93,43.15,"6,000,400"
11,43.41,"Feb 27, 2023",44.15,43.30,43.85,"5,586,100"
12,43.75,"Feb 24, 2023",43.96,43.45,43.80,"5,039,500"
13,43.91,"Feb 23, 2023",44.56,43.73,44.50,"5,079,600"
14,44.62,"Feb 22, 2023",45.17,44.03,44.46,"4,718,600"
15,44.62,"Feb 21, 2023",44.76,43.57,43.93,"5,973,400"
16,44.0,"Feb 17, 2023",44.14,43.79,43.96,"4,230,100"
17,43.85,"Feb 16, 2023",44.08,43.71,43.92,"4,493,300"
18,44.27,"Feb 15, 2023",44.28,43.67,43.76,"3,987,200"
19,43.63,"Feb 14, 2023",44.77,43.59,44.77,"4,941,500"
20,44.89,"Feb 13, 2023",44.95,44.5,44.84,"4,477,600"
21,44.8,"Feb 10, 2023",45.19,44.18,44.23,"3,726,200"
22,44.09,"Feb 09, 2023",44.48,43.93,44.35,"3,660,300"
23,44.27,"Feb 08, 2023",44.56,44.0,44.36,"4,791,300"
24,44.47,"Feb 07, 2023",44.65,44.14,44.50,"3,487,100"
25,44.54,"Feb 06, 2023",44.61,44.09,44.53,"4,413,800"
26,44.42,"Feb 03, 2023",45.02,44.15,44.92,"5,025,100"
27,44.97,"Feb 02, 2023",45.29,44.56,44.78,"4,816,500"
28,45.18,"Feb 01, 2023",45.39,44.08,44.41,"5,387,300"
29,44.63,"Jan 31, 2023",44.63,43.74,44.05,"5,007,000"
30,44.21,"Jan 30, 2023",44.89,44.07,44.69,"4,544,800"
31,45.05,"Jan 27, 2023",45.3,44.46,44.60,"3,672,000"
32,44.46,"Jan 26, 2023",44.92,44.34,44.80,"3,106,600"
