,Close,Date,High,Low,Open,Volume
0,240.63,"Mar 14, 2023",242.19,234.60,234.96,"47,431,000"
1,229.66,"Mar 13, 2023",232.98,222.97,227.52,"42,189,000"
2,229.65,"Mar 10, 2023",236.27,227.26,234.09,"47,453,200"
3,234.36,"Mar 09, 2023",244.54,233.83,241.75,"50,125,700"
4,241.81,"Mar 08, 2023",242.00,234.24,234.87,"51,357,300"
5,232.88,"Mar 07, 2023",241.25,232.41,236.00,"51,515,400"
6,,"Mar 07, 2023",,,Dividend,
7,235.54,"Mar 06, 2023",242.48,234.87,238.91,"43,742,900"
8,238.90,"Mar 03, 2023",239.00,231.30,233.20,"41,168,400"
9,233.14,"Mar 02, 2023",233.80,224.32,224.88,"38,941,500"
10,226.98,"Mar 01, 2023",232.56,225.08,231.92,"46,002,600"
11,232.16,"Feb 28, 2023",238.25,232.06,233.72,"45,596,300"
12,232.86,"Feb 24, 2023",234.74,229.47,232.25,"58,971,600"
13,236.64,"Feb 23, 2023",238.88,230.25,234.40,"111,799,500"
14,207.54,"Feb 22, 2023",211.04,204.21,207.07,"51,318,400"
15,206.55,"Feb 21, 2023",214.94,206.18,210.00,"41,001,500"
16,213.88,"Feb 17, 2023",217.4,209.75,216.31,"46,588,800"
17,220.02,"Feb 16, 2023",225.5,219.27,221.33,"41,202,600"
18,227.64,"Feb 15, 2023",228.55,221.06,225.49,"42,057,500"
19,229.71,"Feb 14, 2023",230.49,213.66,215.78,"67,547,400"
20,217.88,"Feb 13, 2023",220.48,209.62,215.38,"47,491,900"
21,212.65,"Feb 10, 2023",220.78,208.11,216.90,"55,073,700"
22,223.37,"Feb 09, 2023",230.2,221.2,226.06,"52,387,600"
23,222.05,"Feb 08, 2023",228.78,220.08,223.87,"55,965,100"
24,221.73,"Feb 07, 2023",222.59,211.5,213.82,"66,415,000"
25,210.89,"Feb 06, 2023",215.7,207.86,208.06,"45,219,700"
26,211.0,"Feb 03, 2023",217.45,207.89,210.00,"42,936,600"
